date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,264.50,269.85,252.35,254.65,254.65,"157,095","Aug 25, 2023"
24-08-2023,274.30,275.50,261.55,265.75,265.75,"201,939","Aug 24, 2023"
23-08-2023,278.80,281.80,271.35,272.85,272.85,"132,412","Aug 23, 2023"
22-08-2023,273.90,277.90,272.20,277.15,277.15,"152,560","Aug 22, 2023"
21-08-2023,272.90,279.95,267.20,271.40,271.40,"343,545","Aug 21, 2023"
18-08-2023,258.80,274.40,256.00,268.55,268.55,"334,172","Aug 18, 2023"
17-08-2023,263.15,267.40,257.40,258.50,258.50,"106,911","Aug 17, 2023"
16-08-2023,266.20,267.45,258.80,261.70,261.70,"188,016","Aug 16, 2023"
14-08-2023,262.00,268.00,252.00,265.10,265.10,"269,178","Aug 14, 2023"
11-08-2023,260.00,272.20,258.20,262.70,262.70,"621,810","Aug 11, 2023"
10-08-2023,246.85,261.00,246.00,258.20,258.20,"508,635","Aug 10, 2023"
09-08-2023,256.40,256.40,243.40,246.00,246.00,"305,885","Aug 09, 2023"
08-08-2023,238.50,259.65,237.45,256.15,256.15,"839,750","Aug 08, 2023"
07-08-2023,243.40,243.40,235.10,240.45,240.45,"212,876","Aug 07, 2023"
04-08-2023,238.35,247.95,235.80,241.70,241.70,"807,506","Aug 04, 2023"
03-08-2023,225.50,235.00,221.30,233.35,233.35,"465,154","Aug 03, 2023"
02-08-2023,234.00,238.25,216.30,223.15,223.15,"789,085","Aug 02, 2023"
01-08-2023,223.65,230.30,221.70,227.90,227.90,"293,188","Aug 01, 2023"
31-07-2023,214.90,223.00,214.05,221.60,221.60,"188,997","Jul 31, 2023"
28-07-2023,214.60,216.35,212.45,213.55,213.55,"52,854","Jul 28, 2023"
27-07-2023,215.00,217.90,212.35,213.45,213.45,"82,179","Jul 27, 2023"
26-07-2023,217.15,217.95,211.65,213.30,213.30,"64,732","Jul 26, 2023"
25-07-2023,222.55,222.70,214.95,215.45,215.45,"103,792","Jul 25, 2023"
24-07-2023,222.10,226.05,218.70,221.45,221.45,"189,802","Jul 24, 2023"
21-07-2023,214.95,227.40,209.80,218.50,218.50,"360,609","Jul 21, 2023"
20-07-2023,217.75,218.50,213.20,214.55,214.55,"159,266","Jul 20, 2023"
19-07-2023,215.65,223.30,215.20,216.85,216.85,"289,797","Jul 19, 2023"
18-07-2023,223.80,226.10,211.25,214.40,214.40,"361,632","Jul 18, 2023"
17-07-2023,217.75,228.60,216.50,222.25,222.25,"833,537","Jul 17, 2023"
14-07-2023,208.10,216.95,205.00,214.50,214.50,"1,182,080","Jul 14, 2023"
13-07-2023,210.00,219.40,200.05,203.05,203.05,"1,307,897","Jul 13, 2023"
12-07-2023,191.85,201.00,189.00,196.15,196.15,"513,132","Jul 12, 2023"
11-07-2023,196.20,198.00,188.00,190.35,190.35,"327,125","Jul 11, 2023"
10-07-2023,198.90,204.00,193.25,194.90,194.90,"727,807","Jul 10, 2023"
07-07-2023,180.45,198.50,179.30,196.80,196.80,"1,349,980","Jul 07, 2023"
06-07-2023,178.85,187.95,177.00,180.45,180.45,"281,054","Jul 06, 2023"
05-07-2023,180.95,180.95,175.40,178.10,178.10,"96,401","Jul 05, 2023"
04-07-2023,182.00,182.85,176.00,180.00,180.00,"135,250","Jul 04, 2023"
03-07-2023,175.00,182.50,175.00,180.20,180.20,"194,853","Jul 03, 2023"
30-06-2023,176.20,177.90,173.10,174.10,174.10,"65,827","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,175.15,179.50,174.90,176.05,176.05,"94,212","Jun 27, 2023"
26-06-2023,175.60,178.10,172.65,173.40,173.40,"70,935","Jun 26, 2023"
23-06-2023,178.95,179.00,172.60,173.45,173.45,"84,011","Jun 23, 2023"
22-06-2023,181.85,183.40,176.50,177.20,177.20,"85,791","Jun 22, 2023"
21-06-2023,184.80,187.00,179.00,180.90,180.90,"139,874","Jun 21, 2023"
20-06-2023,172.90,184.20,172.80,182.90,182.90,"261,727","Jun 20, 2023"
19-06-2023,175.20,175.30,171.10,171.75,171.75,"79,789","Jun 19, 2023"
16-06-2023,178.60,180.25,172.80,174.20,174.20,"162,184","Jun 16, 2023"
15-06-2023,178.65,181.55,176.90,177.40,177.40,"87,881","Jun 15, 2023"
14-06-2023,182.40,183.85,178.00,178.65,178.65,"104,146","Jun 14, 2023"
13-06-2023,179.55,185.00,178.00,181.40,181.40,"167,985","Jun 13, 2023"
12-06-2023,181.00,186.65,178.80,179.55,179.55,"324,477","Jun 12, 2023"
09-06-2023,173.50,181.00,173.50,178.45,178.45,"197,012","Jun 09, 2023"
08-06-2023,179.10,179.10,170.00,172.60,172.60,"134,654","Jun 08, 2023"
07-06-2023,174.90,179.45,174.05,178.10,178.10,"130,350","Jun 07, 2023"
06-06-2023,172.35,175.85,171.70,174.85,174.85,"98,201","Jun 06, 2023"
05-06-2023,177.60,179.25,171.10,171.75,171.75,"205,767","Jun 05, 2023"
02-06-2023,170.00,178.00,169.60,175.75,175.75,"318,233","Jun 02, 2023"
01-06-2023,174.85,175.80,168.50,169.30,169.30,"167,920","Jun 01, 2023"
31-05-2023,172.00,175.80,172.00,173.90,173.90,"130,389","May 31, 2023"
30-05-2023,182.00,182.15,171.00,171.75,171.75,"382,302","May 30, 2023"
29-05-2023,189.00,190.75,178.75,179.55,179.55,"633,579","May 29, 2023"
26-05-2023,184.95,186.85,181.60,184.10,184.10,"375,102","May 26, 2023"
25-05-2023,172.75,183.80,170.10,182.75,182.75,"837,142","May 25, 2023"
24-05-2023,154.80,179.40,154.80,173.85,173.85,"1,661,703","May 24, 2023"
23-05-2023,155.05,159.00,153.25,155.00,155.00,"81,817","May 23, 2023"
22-05-2023,160.80,160.80,153.75,154.30,154.30,"178,103","May 22, 2023"
19-05-2023,166.60,168.95,157.80,159.80,159.80,"153,752","May 19, 2023"
18-05-2023,161.75,169.95,161.75,165.55,165.55,"222,790","May 18, 2023"
17-05-2023,160.70,164.00,159.25,161.75,161.75,"74,636","May 17, 2023"
16-05-2023,161.70,165.00,158.50,160.95,160.95,"92,346","May 16, 2023"
15-05-2023,165.00,166.00,161.80,163.05,163.05,"73,223","May 15, 2023"
12-05-2023,161.40,165.00,161.40,163.55,163.55,"37,915","May 12, 2023"
11-05-2023,163.20,165.10,162.05,163.40,163.40,"56,330","May 11, 2023"
10-05-2023,166.40,166.40,161.45,162.05,162.05,"64,601","May 10, 2023"
09-05-2023,164.30,172.05,161.50,163.95,163.95,"157,422","May 09, 2023"
08-05-2023,168.20,168.90,161.50,163.35,163.35,"76,325","May 08, 2023"
05-05-2023,169.50,175.10,166.40,167.35,167.35,"107,720","May 05, 2023"
04-05-2023,168.50,171.75,167.70,169.45,169.45,"64,480","May 04, 2023"
03-05-2023,168.00,171.20,165.50,168.05,168.05,"89,236","May 03, 2023"
02-05-2023,170.55,176.70,168.55,170.10,170.10,"212,505","May 02, 2023"
28-04-2023,173.75,177.90,169.50,170.40,170.40,"244,304","Apr 28, 2023"
27-04-2023,171.20,173.50,168.55,171.10,171.10,"127,878","Apr 27, 2023"
26-04-2023,168.20,173.45,166.10,169.80,169.80,"132,207","Apr 26, 2023"
25-04-2023,170.70,171.65,164.00,167.05,167.05,"202,270","Apr 25, 2023"
24-04-2023,168.80,176.00,168.10,169.80,169.80,"662,107","Apr 24, 2023"
21-04-2023,151.95,167.85,150.10,166.30,166.30,"1,023,411","Apr 21, 2023"
20-04-2023,150.35,153.00,147.10,152.05,152.05,"103,246","Apr 20, 2023"
19-04-2023,151.70,152.90,147.70,148.60,148.60,"81,649","Apr 19, 2023"
18-04-2023,152.90,154.40,147.80,149.25,149.25,"187,436","Apr 18, 2023"
17-04-2023,144.90,152.90,143.10,149.95,149.95,"294,325","Apr 17, 2023"
13-04-2023,140.10,144.45,140.10,143.90,143.90,"86,607","Apr 13, 2023"
12-04-2023,143.85,144.00,140.20,140.90,140.90,"107,901","Apr 12, 2023"
11-04-2023,140.10,144.80,140.10,141.75,141.75,"266,046","Apr 11, 2023"
10-04-2023,145.95,149.15,140.10,141.70,141.70,"280,305","Apr 10, 2023"
06-04-2023,144.80,146.50,141.68,144.65,144.65,"253,134","Apr 06, 2023"
05-04-2023,140.05,145.10,139.15,143.05,143.05,"150,692","Apr 05, 2023"
03-04-2023,136.00,143.35,135.75,140.02,140.02,"274,236","Apr 03, 2023"
31-03-2023,136.50,136.50,132.57,134.25,134.25,"45,078","Mar 31, 2023"
29-03-2023,132.15,137.25,129.68,133.13,133.13,"177,818","Mar 29, 2023"
28-03-2023,131.55,133.50,127.05,131.75,131.75,"79,624","Mar 28, 2023"
27-03-2023,133.10,133.23,128.57,129.88,129.88,"48,182","Mar 27, 2023"
24-03-2023,136.75,136.75,131.63,132.45,132.45,"45,076","Mar 24, 2023"
23-03-2023,137.10,137.23,134.13,134.73,134.73,"27,706","Mar 23, 2023"
22-03-2023,131.50,137.95,131.50,135.60,135.60,"119,746","Mar 22, 2023"
21-03-2023,130.45,131.50,130.02,130.98,130.98,"33,670","Mar 21, 2023"
20-03-2023,129.50,133.15,128.95,129.35,129.35,"24,476","Mar 20, 2023"
17-03-2023,131.02,132.50,129.27,132.05,132.05,"32,360","Mar 17, 2023"
16-03-2023,129.00,131.90,125.90,130.90,130.90,"43,950","Mar 16, 2023"
15-03-2023,128.95,131.75,127.50,129.40,129.40,"41,866","Mar 15, 2023"
14-03-2023,129.20,131.27,126.18,127.15,127.15,"112,674","Mar 14, 2023"
13-03-2023,134.27,134.63,129.52,130.98,130.98,"99,000","Mar 13, 2023"
10-03-2023,134.07,135.07,132.50,133.20,133.20,"36,258","Mar 10, 2023"
09-03-2023,136.15,136.15,134.07,134.30,134.30,"26,984","Mar 09, 2023"
08-03-2023,135.75,136.02,134.50,134.80,134.80,"30,908","Mar 08, 2023"
06-03-2023,135.88,137.50,134.27,135.93,135.93,"31,390","Mar 06, 2023"
03-03-2023,136.85,138.43,135.25,135.73,135.73,"59,326","Mar 03, 2023"
02-03-2023,135.65,139.50,135.00,136.15,136.15,"70,530","Mar 02, 2023"
01-03-2023,135.50,141.00,135.00,135.50,135.50,"148,046","Mar 01, 2023"
28-02-2023,133.13,138.00,131.90,135.05,135.05,"75,464","Feb 28, 2023"
27-02-2023,137.95,138.20,130.27,131.82,131.82,"89,160","Feb 27, 2023"
24-02-2023,138.40,139.85,136.68,137.55,137.55,"53,010","Feb 24, 2023"
23-02-2023,137.15,139.60,136.10,137.35,137.35,"85,968","Feb 23, 2023"
22-02-2023,137.75,140.60,136.10,137.15,137.15,"63,950","Feb 22, 2023"
21-02-2023,141.00,142.45,138.23,138.55,138.55,"69,222","Feb 21, 2023"
20-02-2023,141.75,144.07,140.93,141.82,141.82,"66,692","Feb 20, 2023"
17-02-2023,144.70,146.25,140.93,143.43,143.43,"144,952","Feb 17, 2023"
16-02-2023,146.00,148.60,143.25,145.18,145.18,"99,164","Feb 16, 2023"
15-02-2023,138.50,147.45,138.00,145.73,145.73,"111,598","Feb 15, 2023"
14-02-2023,142.80,147.30,138.07,138.95,138.95,"147,740","Feb 14, 2023"
13-02-2023,145.45,145.95,140.27,141.68,141.68,"130,438","Feb 13, 2023"
10-02-2023,145.60,151.00,143.55,145.05,145.05,"216,264","Feb 10, 2023"
09-02-2023,141.50,147.00,141.50,145.73,145.73,"249,300","Feb 09, 2023"
08-02-2023,149.00,152.38,139.00,142.02,142.02,"405,384","Feb 08, 2023"
07-02-2023,155.05,159.90,146.68,147.77,147.77,"471,054","Feb 07, 2023"
06-02-2023,145.13,152.82,145.13,149.55,149.55,"244,654","Feb 06, 2023"
03-02-2023,145.50,147.20,143.32,146.20,146.20,"77,432","Feb 03, 2023"
02-02-2023,140.00,147.40,138.48,144.30,144.30,"108,314","Feb 02, 2023"
01-02-2023,148.98,150.00,137.52,140.70,140.70,"139,332","Feb 01, 2023"
31-01-2023,142.00,148.95,139.75,148.20,148.20,"181,144","Jan 31, 2023"
30-01-2023,137.70,145.02,137.70,141.05,141.05,"74,698","Jan 30, 2023"
27-01-2023,148.15,151.10,129.02,141.65,141.65,"537,670","Jan 27, 2023"
25-01-2023,152.85,153.55,148.50,149.02,149.02,"152,424","Jan 25, 2023"
24-01-2023,157.00,161.00,153.18,154.40,154.40,"167,570","Jan 24, 2023"
23-01-2023,155.10,160.00,155.10,156.07,156.07,"331,668","Jan 23, 2023"
20-01-2023,149.30,155.00,149.00,153.93,153.93,"165,652","Jan 20, 2023"
19-01-2023,151.52,153.85,148.68,149.18,149.18,"121,084","Jan 19, 2023"
18-01-2023,150.50,155.40,150.50,151.73,151.73,"404,310","Jan 18, 2023"
17-01-2023,148.63,154.40,146.25,149.48,149.48,"328,610","Jan 17, 2023"
16-01-2023,146.98,149.23,143.32,147.15,147.15,"92,080","Jan 16, 2023"
13-01-2023,142.18,149.50,142.18,146.50,146.50,"329,150","Jan 13, 2023"
12-01-2023,146.00,146.00,140.95,142.18,142.18,"50,004","Jan 12, 2023"
11-01-2023,145.00,146.85,140.60,141.90,141.90,"60,972","Jan 11, 2023"
10-01-2023,141.63,147.35,139.88,144.43,144.43,"61,050","Jan 10, 2023"
09-01-2023,142.25,143.23,137.80,140.93,140.93,"77,512","Jan 09, 2023"
06-01-2023,145.23,149.95,140.05,140.82,140.82,"238,178","Jan 06, 2023"
05-01-2023,141.63,144.57,141.57,143.73,143.73,"54,384","Jan 05, 2023"
04-01-2023,145.25,145.25,141.00,141.63,141.63,"70,578","Jan 04, 2023"
03-01-2023,149.30,150.65,144.18,145.38,145.38,"146,982","Jan 03, 2023"
02-01-2023,141.85,151.10,141.02,148.40,148.40,"621,478","Jan 02, 2023"
30-12-2022,132.50,142.50,132.50,140.52,140.52,"323,890","Dec 30, 2022"
29-12-2022,131.98,133.88,130.82,132.60,132.60,"49,276","Dec 29, 2022"
28-12-2022,136.98,136.98,133.32,133.98,133.98,"62,692","Dec 28, 2022"
27-12-2022,134.00,135.48,130.52,134.68,134.68,"131,786","Dec 27, 2022"
26-12-2022,131.25,132.32,126.00,130.73,130.73,"254,794","Dec 26, 2022"
23-12-2022,129.95,129.95,120.20,122.15,122.15,"165,240","Dec 23, 2022"
22-12-2022,129.23,131.15,123.28,130.30,130.30,"138,298","Dec 22, 2022"
21-12-2022,136.57,136.98,127.50,129.23,129.23,"226,242","Dec 21, 2022"
20-12-2022,135.10,139.70,131.77,135.30,135.30,"116,666","Dec 20, 2022"
19-12-2022,136.48,137.43,134.00,135.10,135.10,"80,950","Dec 19, 2022"
16-12-2022,133.00,135.98,131.55,134.95,134.95,"86,442","Dec 16, 2022"
15-12-2022,134.85,136.50,132.10,133.55,133.55,"110,656","Dec 15, 2022"
14-12-2022,130.93,135.90,129.27,134.60,134.60,"249,800","Dec 14, 2022"
13-12-2022,126.00,131.25,126.00,130.15,130.15,"115,418","Dec 13, 2022"
12-12-2022,121.47,127.78,120.25,125.93,125.93,"116,664","Dec 12, 2022"
09-12-2022,124.50,124.50,118.35,119.68,119.68,"161,584","Dec 09, 2022"
08-12-2022,126.50,128.93,121.85,122.80,122.80,"383,164","Dec 08, 2022"
07-12-2022,129.95,129.95,126.50,127.55,127.55,"46,230","Dec 07, 2022"
06-12-2022,128.02,130.32,126.60,127.72,127.72,"52,082","Dec 06, 2022"
05-12-2022,131.00,132.00,126.90,127.65,127.65,"59,518","Dec 05, 2022"
02-12-2022,132.50,133.82,129.05,129.48,129.48,"124,200","Dec 02, 2022"
01-12-2022,134.00,134.00,130.00,133.27,133.27,"65,760","Dec 01, 2022"
30-11-2022,130.70,134.00,129.68,132.30,132.30,"78,172","Nov 30, 2022"
29-11-2022,128.63,132.93,128.63,130.10,130.10,"53,494","Nov 29, 2022"
28-11-2022,135.50,135.50,130.00,130.50,130.50,"75,176","Nov 28, 2022"
25-11-2022,131.95,136.48,129.95,132.20,132.20,"184,450","Nov 25, 2022"
24-11-2022,125.00,134.45,125.00,130.88,130.88,"152,536","Nov 24, 2022"
23-11-2022,125.82,129.73,124.97,125.53,125.53,"97,234","Nov 23, 2022"
22-11-2022,129.00,130.00,124.95,125.43,125.43,"97,664","Nov 22, 2022"
21-11-2022,127.45,130.00,125.68,129.02,129.02,"70,706","Nov 21, 2022"
18-11-2022,127.35,132.00,126.50,127.78,127.78,"235,078","Nov 18, 2022"
17-11-2022,131.50,131.50,125.38,126.25,126.25,"164,484","Nov 17, 2022"
16-11-2022,136.05,137.38,130.15,131.88,131.88,"103,234","Nov 16, 2022"
15-11-2022,132.00,138.05,132.00,136.05,136.05,"235,044","Nov 15, 2022"
14-11-2022,130.50,132.40,128.00,131.60,131.60,"141,186","Nov 14, 2022"
11-11-2022,134.55,136.45,130.00,130.43,130.43,"289,504","Nov 11, 2022"
10-11-2022,137.05,138.95,136.00,136.68,136.68,"104,490","Nov 10, 2022"
09-11-2022,140.10,141.10,134.23,137.35,137.35,"378,906","Nov 09, 2022"
07-11-2022,145.75,147.00,140.50,141.55,141.55,"148,262","Nov 07, 2022"
04-11-2022,146.43,147.00,144.00,144.68,144.68,"109,582","Nov 04, 2022"
03-11-2022,145.60,147.43,143.30,144.43,144.43,"160,900","Nov 03, 2022"
02-11-2022,147.23,152.43,145.27,146.25,146.25,"276,704","Nov 02, 2022"
01-11-2022,151.00,151.00,146.02,146.80,146.80,"222,676","Nov 01, 2022"
31-10-2022,155.00,156.40,149.77,151.07,151.07,"189,670","Oct 31, 2022"
28-10-2022,147.00,154.85,147.00,153.73,153.73,"414,178","Oct 28, 2022"
27-10-2022,149.50,149.77,145.45,146.20,146.20,"111,248","Oct 27, 2022"
25-10-2022,152.50,152.50,147.52,148.20,148.20,"93,796","Oct 25, 2022"
24-10-2022,150.50,155.77,148.55,152.48,152.48,"138,828","Oct 24, 2022"
21-10-2022,151.98,154.75,146.05,147.40,147.40,"149,832","Oct 21, 2022"
20-10-2022,158.48,159.90,151.25,151.98,151.98,"459,238","Oct 20, 2022"
19-10-2022,146.00,158.45,145.00,156.48,156.48,"934,878","Oct 19, 2022"
18-10-2022,145.90,149.27,144.00,144.43,144.43,"141,372","Oct 18, 2022"
17-10-2022,146.00,149.35,144.00,145.57,145.57,"128,846","Oct 17, 2022"
14-10-2022,153.50,155.00,149.00,149.70,149.70,"250,132","Oct 14, 2022"
13-10-2022,141.70,151.20,141.70,150.45,150.45,"393,882","Oct 13, 2022"
12-10-2022,147.35,148.88,141.77,143.48,143.48,"303,378","Oct 12, 2022"
11-10-2022,157.00,158.25,144.50,146.20,146.20,"439,082","Oct 11, 2022"
10-10-2022,154.90,161.00,152.52,155.63,155.63,"878,122","Oct 10, 2022"
07-10-2022,149.25,158.38,147.20,154.93,154.93,"2,149,370","Oct 07, 2022"
06-10-2022,143.00,152.50,141.70,148.57,148.57,"1,676,908","Oct 06, 2022"
04-10-2022,142.50,144.50,139.00,140.70,140.70,"505,652","Oct 04, 2022"
03-10-2022,127.78,141.50,127.78,140.05,140.05,"962,652","Oct 03, 2022"
30-09-2022,123.45,130.50,119.82,126.53,126.53,"223,934","Sep 30, 2022"
29-09-2022,121.25,124.90,118.53,122.15,122.15,"83,488","Sep 29, 2022"
28-09-2022,120.15,124.45,119.07,119.82,119.82,"137,464","Sep 28, 2022"
27-09-2022,124.45,127.50,121.13,124.32,124.32,"124,090","Sep 27, 2022"
26-09-2022,127.55,129.52,120.40,122.63,122.63,"223,566","Sep 26, 2022"
23-09-2022,134.00,135.73,128.25,129.40,129.40,"159,778","Sep 23, 2022"
22-09-2022,133.35,137.85,131.80,134.00,134.00,"179,322","Sep 22, 2022"
21-09-2022,135.60,139.52,131.82,132.98,132.98,"250,322","Sep 21, 2022"
20-09-2022,139.95,141.93,135.00,137.02,137.02,"596,836","Sep 20, 2022"
19-09-2022,125.00,145.50,125.00,138.52,138.52,"2,703,920","Sep 19, 2022"
16-09-2022,119.80,124.90,118.10,123.55,123.55,"460,406","Sep 16, 2022"
15-09-2022,118.00,122.00,115.00,119.80,119.80,"315,174","Sep 15, 2022"
14-09-2022,114.50,120.00,113.00,118.40,118.40,"176,866","Sep 14, 2022"
13-09-2022,119.80,119.80,114.50,114.93,114.93,"122,446","Sep 13, 2022"
12-09-2022,111.47,119.50,111.38,118.20,118.20,"266,380","Sep 12, 2022"
09-09-2022,111.45,111.45,108.50,110.40,110.40,"95,182","Sep 09, 2022"
08-09-2022,111.40,112.80,110.00,110.72,110.72,"118,984","Sep 08, 2022"
07-09-2022,107.50,112.00,106.75,111.07,111.07,"77,130","Sep 07, 2022"
06-09-2022,110.95,111.78,107.25,107.68,107.68,"92,354","Sep 06, 2022"
05-09-2022,112.60,114.50,110.05,110.95,110.95,"97,158","Sep 05, 2022"
02-09-2022,113.25,115.00,111.05,112.57,112.57,"123,264","Sep 02, 2022"
01-09-2022,109.82,115.00,106.18,112.90,112.90,"330,130","Sep 01, 2022"
30-08-2022,109.00,111.68,108.47,110.00,110.00,"186,860","Aug 30, 2022"
29-08-2022,104.50,108.85,103.07,107.55,107.55,"137,146","Aug 29, 2022"
26-08-2022,106.50,109.85,106.00,107.22,107.22,"129,172","Aug 26, 2022"
25-08-2022,105.50,108.50,104.38,106.10,106.10,"336,376","Aug 25, 2022"
24-08-2022,101.78,105.30,101.05,103.88,103.88,"219,770","Aug 24, 2022"
23-08-2022,99.50,103.00,97.78,101.60,101.60,"218,392","Aug 23, 2022"
22-08-2022,96.75,100.63,96.75,100.03,100.03,"134,322","Aug 22, 2022"
19-08-2022,99.40,100.50,96.55,97.43,97.43,"63,300","Aug 19, 2022"
18-08-2022,98.78,99.53,97.50,98.20,98.20,"49,864","Aug 18, 2022"
17-08-2022,99.47,99.90,97.75,98.40,98.40,"82,990","Aug 17, 2022"
16-08-2022,98.30,100.75,96.00,99.38,99.38,"144,562","Aug 16, 2022"
12-08-2022,91.00,98.90,91.00,97.57,97.57,"372,628","Aug 12, 2022"
11-08-2022,96.50,96.50,88.57,90.75,90.75,"252,924","Aug 11, 2022"
10-08-2022,98.25,98.25,93.00,94.20,94.20,"193,606","Aug 10, 2022"
08-08-2022,98.25,98.25,94.82,96.10,96.10,"98,066","Aug 08, 2022"
05-08-2022,98.75,98.75,95.68,97.20,97.20,"68,444","Aug 05, 2022"
04-08-2022,99.50,99.50,96.03,97.20,97.20,"64,706","Aug 04, 2022"
03-08-2022,98.00,100.22,96.00,97.57,97.57,"74,146","Aug 03, 2022"
02-08-2022,97.28,100.45,97.28,99.50,99.50,"117,214","Aug 02, 2022"
01-08-2022,99.80,101.07,98.45,98.70,98.70,"69,500","Aug 01, 2022"
29-07-2022,99.00,100.72,98.60,99.72,99.72,"122,426","Jul 29, 2022"
