date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,42.35,43.15,41.50,42.80,42.80,"1,618,612","Aug 25, 2023"
24-08-2023,43.90,43.95,42.30,42.60,42.60,"1,261,006","Aug 24, 2023"
23-08-2023,43.60,44.60,43.30,43.55,43.55,"3,018,479","Aug 23, 2023"
22-08-2023,42.50,43.85,42.45,43.30,43.30,"2,449,247","Aug 22, 2023"
21-08-2023,42.20,43.15,41.70,42.30,42.30,"2,003,530","Aug 21, 2023"
18-08-2023,42.00,42.60,41.40,42.20,42.20,"1,865,886","Aug 18, 2023"
17-08-2023,43.00,43.50,41.55,42.00,42.00,"1,588,968","Aug 17, 2023"
16-08-2023,42.20,44.00,42.15,42.80,42.80,"2,548,765","Aug 16, 2023"
14-08-2023,42.90,43.10,41.75,42.35,42.35,"2,253,392","Aug 14, 2023"
11-08-2023,44.00,44.10,42.70,43.00,43.00,"1,713,885","Aug 11, 2023"
10-08-2023,43.60,44.65,43.10,43.75,43.75,"2,893,904","Aug 10, 2023"
09-08-2023,44.00,44.40,43.00,43.50,43.50,"2,481,721","Aug 09, 2023"
08-08-2023,41.40,44.40,41.35,43.70,43.70,"6,529,791","Aug 08, 2023"
07-08-2023,41.00,42.00,41.00,41.30,41.30,"1,699,058","Aug 07, 2023"
04-08-2023,41.20,42.45,40.65,40.90,40.90,"2,305,621","Aug 04, 2023"
03-08-2023,40.65,41.95,40.30,41.00,41.00,"2,341,984","Aug 03, 2023"
02-08-2023,41.65,42.45,40.00,40.65,40.65,"2,911,166","Aug 02, 2023"
01-08-2023,42.15,42.35,41.30,41.70,41.70,"2,182,800","Aug 01, 2023"
31-07-2023,42.70,43.15,41.75,41.95,41.95,"4,048,663","Jul 31, 2023"
28-07-2023,40.60,42.45,40.10,42.15,42.15,"6,129,140","Jul 28, 2023"
27-07-2023,40.20,40.80,39.75,40.30,40.30,"4,259,580","Jul 27, 2023"
26-07-2023,38.30,40.20,37.40,39.75,39.75,"7,021,617","Jul 26, 2023"
25-07-2023,37.40,38.50,37.40,38.30,38.30,"2,534,805","Jul 25, 2023"
24-07-2023,36.35,37.80,36.35,37.25,37.25,"2,458,688","Jul 24, 2023"
21-07-2023,36.25,36.75,35.80,36.30,36.30,"1,274,910","Jul 21, 2023"
20-07-2023,34.65,37.20,34.65,36.10,36.10,"4,361,961","Jul 20, 2023"
19-07-2023,34.20,35.10,34.00,34.45,34.45,"1,183,913","Jul 19, 2023"
18-07-2023,35.35,35.60,33.65,33.95,33.95,"2,069,851","Jul 18, 2023"
17-07-2023,34.50,35.90,34.50,35.10,35.10,"1,913,349","Jul 17, 2023"
14-07-2023,33.45,34.40,33.25,34.15,34.15,"931,458","Jul 14, 2023"
13-07-2023,34.15,34.15,32.95,33.25,33.25,"1,387,660","Jul 13, 2023"
12-07-2023,35.10,35.20,33.85,33.95,33.95,"1,675,802","Jul 12, 2023"
11-07-2023,35.50,35.90,34.70,34.90,34.90,"674,034","Jul 11, 2023"
10-07-2023,35.70,35.80,34.85,35.20,35.20,"527,098","Jul 10, 2023"
07-07-2023,35.35,36.25,34.80,35.45,35.45,"920,333","Jul 07, 2023"
06-07-2023,35.25,36.00,35.25,35.35,35.35,"982,814","Jul 06, 2023"
05-07-2023,35.00,35.65,34.75,35.25,35.25,"1,050,108","Jul 05, 2023"
04-07-2023,34.80,35.45,34.35,34.65,34.65,"992,622","Jul 04, 2023"
03-07-2023,34.30,34.85,34.00,34.70,34.70,"707,894","Jul 03, 2023"
30-06-2023,34.30,34.60,33.95,34.05,34.05,"828,428","Jun 30, 2023"
28-06-2023,34.40,34.40,34.40,34.40,34.40,-,"Jun 28, 2023"
27-06-2023,34.85,35.15,34.20,34.40,34.40,"554,492","Jun 27, 2023"
26-06-2023,35.45,36.00,34.05,34.60,34.60,"2,527,980","Jun 26, 2023"
23-06-2023,36.50,36.70,35.10,35.35,35.35,"1,785,698","Jun 23, 2023"
22-06-2023,34.20,36.70,34.00,36.25,36.25,"5,792,577","Jun 22, 2023"
21-06-2023,34.50,35.50,33.70,34.10,34.10,"1,508,295","Jun 21, 2023"
20-06-2023,34.35,34.70,34.05,34.30,34.30,"689,629","Jun 20, 2023"
19-06-2023,34.25,35.30,34.15,34.35,34.35,"903,333","Jun 19, 2023"
16-06-2023,33.85,34.75,33.45,34.40,34.40,"2,861,541","Jun 16, 2023"
15-06-2023,34.45,34.45,33.40,33.70,33.70,"462,564","Jun 15, 2023"
14-06-2023,34.30,34.60,33.85,34.10,34.10,"847,753","Jun 14, 2023"
13-06-2023,34.55,35.10,34.05,34.15,34.15,"1,056,697","Jun 13, 2023"
12-06-2023,32.50,35.15,32.40,34.55,34.55,"3,174,953","Jun 12, 2023"
09-06-2023,33.15,33.75,32.40,32.70,32.70,"1,434,559","Jun 09, 2023"
08-06-2023,33.50,34.40,32.70,32.80,32.80,"1,020,666","Jun 08, 2023"
07-06-2023,33.40,34.35,33.25,33.40,33.40,"795,310","Jun 07, 2023"
06-06-2023,34.20,34.20,33.15,33.35,33.35,"744,732","Jun 06, 2023"
05-06-2023,34.50,35.20,33.65,33.95,33.95,"2,316,604","Jun 05, 2023"
02-06-2023,32.55,34.60,32.45,33.90,33.90,"2,668,833","Jun 02, 2023"
01-06-2023,32.10,32.70,31.80,32.40,32.40,"1,030,825","Jun 01, 2023"
31-05-2023,31.50,32.10,31.50,31.90,31.90,"513,174","May 31, 2023"
30-05-2023,32.25,32.50,31.40,31.60,31.60,"930,092","May 30, 2023"
29-05-2023,31.55,33.25,31.40,32.10,32.10,"2,637,098","May 29, 2023"
26-05-2023,31.80,32.30,31.05,31.40,31.40,"705,056","May 26, 2023"
25-05-2023,31.85,32.20,31.30,31.70,31.70,"608,518","May 25, 2023"
24-05-2023,30.75,32.90,30.70,31.75,31.75,"1,973,396","May 24, 2023"
23-05-2023,30.05,30.90,30.05,30.75,30.75,"690,252","May 23, 2023"
22-05-2023,30.30,30.50,30.00,30.05,30.05,"207,550","May 22, 2023"
19-05-2023,30.50,30.70,30.05,30.35,30.35,"216,994","May 19, 2023"
18-05-2023,30.65,31.00,30.25,30.45,30.45,"372,072","May 18, 2023"
17-05-2023,30.90,31.25,30.25,30.45,30.45,"419,832","May 17, 2023"
16-05-2023,31.10,31.40,30.55,30.85,30.85,"527,780","May 16, 2023"
15-05-2023,31.10,31.35,30.70,31.05,31.05,"396,372","May 15, 2023"
12-05-2023,31.20,31.60,30.80,31.00,31.00,"446,054","May 12, 2023"
11-05-2023,31.65,31.90,31.05,31.20,31.20,"339,734","May 11, 2023"
10-05-2023,30.50,31.80,30.00,31.60,31.60,"965,882","May 10, 2023"
09-05-2023,30.70,31.10,30.15,30.40,30.40,"394,577","May 09, 2023"
08-05-2023,31.10,31.30,30.55,30.70,30.70,"336,884","May 08, 2023"
05-05-2023,31.65,32.00,30.95,31.05,31.05,"566,803","May 05, 2023"
04-05-2023,31.35,32.15,31.20,31.75,31.75,"656,127","May 04, 2023"
03-05-2023,30.90,31.60,30.10,31.20,31.20,"680,521","May 03, 2023"
02-05-2023,30.80,31.35,30.40,30.90,30.90,"707,215","May 02, 2023"
28-04-2023,30.75,31.00,30.20,30.50,30.50,"437,823","Apr 28, 2023"
27-04-2023,30.15,31.50,30.00,30.55,30.55,"915,422","Apr 27, 2023"
26-04-2023,29.80,30.40,29.65,30.10,30.10,"294,089","Apr 26, 2023"
25-04-2023,30.10,30.20,29.70,29.80,29.80,"308,625","Apr 25, 2023"
24-04-2023,30.25,30.50,29.85,29.95,29.95,"641,754","Apr 24, 2023"
21-04-2023,29.35,30.15,29.35,29.90,29.90,"523,679","Apr 21, 2023"
20-04-2023,29.60,29.90,29.30,29.55,29.55,"476,131","Apr 20, 2023"
19-04-2023,29.45,29.65,29.30,29.45,29.45,"170,415","Apr 19, 2023"
18-04-2023,29.50,29.65,28.85,29.25,29.25,"504,989","Apr 18, 2023"
17-04-2023,30.90,30.90,29.10,29.65,29.65,"1,572,300","Apr 17, 2023"
13-04-2023,28.80,29.15,28.50,28.95,28.95,"362,830","Apr 13, 2023"
12-04-2023,28.70,28.75,28.30,28.40,28.40,"232,577","Apr 12, 2023"
