date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,325.60,330.85,319.00,329.30,329.30,"28,427","Aug 25, 2023"
24-08-2023,324.50,337.95,313.25,328.90,328.90,"162,674","Aug 24, 2023"
23-08-2023,327.15,333.00,318.05,321.80,321.80,"66,958","Aug 23, 2023"
22-08-2023,310.00,329.95,307.85,324.00,324.00,"145,858","Aug 22, 2023"
21-08-2023,313.90,315.80,305.05,306.30,306.30,"24,314","Aug 21, 2023"
18-08-2023,312.00,314.00,306.30,309.25,309.25,"47,663","Aug 18, 2023"
17-08-2023,307.15,316.80,305.50,309.25,309.25,"59,079","Aug 17, 2023"
16-08-2023,309.90,310.90,305.00,305.35,305.35,"40,067","Aug 16, 2023"
14-08-2023,310.00,311.25,304.05,305.30,305.30,"35,678","Aug 14, 2023"
11-08-2023,317.60,317.60,302.00,305.70,305.70,"44,922","Aug 11, 2023"
10-08-2023,339.00,350.60,311.00,313.00,313.00,"157,586","Aug 10, 2023"
09-08-2023,349.95,363.95,333.05,341.40,341.40,"131,917","Aug 09, 2023"
08-08-2023,360.75,360.75,341.95,346.55,346.55,"52,136","Aug 08, 2023"
07-08-2023,330.35,365.00,328.30,360.75,360.75,"195,243","Aug 07, 2023"
04-08-2023,330.00,337.45,328.15,332.20,332.20,"22,808","Aug 04, 2023"
03-08-2023,329.10,336.90,323.05,329.85,329.85,"35,936","Aug 03, 2023"
02-08-2023,331.25,333.20,320.15,324.25,324.25,"48,126","Aug 02, 2023"
01-08-2023,335.30,346.40,329.25,331.25,331.25,"51,833","Aug 01, 2023"
31-07-2023,322.00,340.00,319.50,334.85,334.85,"103,095","Jul 31, 2023"
28-07-2023,304.30,330.00,300.45,325.25,325.25,"121,015","Jul 28, 2023"
27-07-2023,308.95,312.40,298.15,301.30,301.30,"33,036","Jul 27, 2023"
26-07-2023,314.00,314.00,303.10,305.95,305.95,"18,366","Jul 26, 2023"
25-07-2023,318.80,318.80,309.70,310.55,310.55,"25,926","Jul 25, 2023"
24-07-2023,311.10,320.70,308.00,313.65,313.65,"46,852","Jul 24, 2023"
21-07-2023,306.75,309.50,303.00,307.70,307.70,"18,258","Jul 21, 2023"
20-07-2023,309.70,311.75,302.45,304.75,304.75,"27,691","Jul 20, 2023"
19-07-2023,306.00,317.30,301.85,310.05,310.05,"43,615","Jul 19, 2023"
18-07-2023,309.00,309.00,302.10,303.35,303.35,"17,269","Jul 18, 2023"
17-07-2023,306.90,311.95,301.90,304.60,304.60,"34,376","Jul 17, 2023"
14-07-2023,306.20,321.90,304.85,306.80,306.80,"70,693","Jul 14, 2023"
13-07-2023,311.45,319.30,302.40,308.90,308.90,"46,558","Jul 13, 2023"
12-07-2023,310.30,312.65,302.00,306.50,306.50,"35,112","Jul 12, 2023"
11-07-2023,302.65,319.50,301.15,309.45,309.45,"31,437","Jul 11, 2023"
10-07-2023,310.30,313.95,296.10,301.90,301.90,"40,192","Jul 10, 2023"
07-07-2023,312.15,319.90,310.00,310.25,310.25,"28,365","Jul 07, 2023"
06-07-2023,311.55,320.70,311.55,315.30,315.30,"20,615","Jul 06, 2023"
05-07-2023,313.55,323.45,310.70,313.45,313.45,"26,299","Jul 05, 2023"
04-07-2023,329.00,334.70,310.05,310.45,310.45,"70,812","Jul 04, 2023"
03-07-2023,312.00,330.00,304.55,325.85,325.85,"45,721","Jul 03, 2023"
30-06-2023,316.40,320.00,310.00,313.75,313.75,"24,708","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,325.80,325.80,313.05,316.35,316.35,"34,635","Jun 27, 2023"
26-06-2023,335.75,335.75,320.00,321.95,321.95,"103,717","Jun 26, 2023"
23-06-2023,316.00,346.80,316.00,335.80,335.80,"821,745","Jun 23, 2023"
22-06-2023,283.00,322.00,281.75,313.40,313.40,"593,054","Jun 22, 2023"
21-06-2023,268.15,283.00,267.70,278.80,278.80,"36,865","Jun 21, 2023"
20-06-2023,271.20,275.25,263.95,269.75,269.75,"36,293","Jun 20, 2023"
19-06-2023,269.00,273.90,264.90,271.20,271.20,"21,643","Jun 19, 2023"
16-06-2023,269.50,269.50,263.10,264.10,264.10,"7,026","Jun 16, 2023"
15-06-2023,270.00,270.05,263.05,266.60,266.60,"7,175","Jun 15, 2023"
14-06-2023,264.00,267.40,262.05,263.25,263.25,"18,945","Jun 14, 2023"
13-06-2023,272.00,278.40,259.55,261.20,261.20,"38,654","Jun 13, 2023"
12-06-2023,250.15,291.30,250.15,270.90,270.90,"174,777","Jun 12, 2023"
09-06-2023,257.95,257.95,250.00,252.70,252.70,"8,184","Jun 09, 2023"
08-06-2023,255.05,259.35,252.20,253.45,253.45,"10,710","Jun 08, 2023"
07-06-2023,260.75,262.30,255.00,257.05,257.05,"24,333","Jun 07, 2023"
06-06-2023,248.90,259.20,246.70,258.00,258.00,"15,336","Jun 06, 2023"
05-06-2023,246.95,248.00,243.70,245.30,245.30,"13,704","Jun 05, 2023"
02-06-2023,252.95,252.95,240.10,242.90,242.90,"22,248","Jun 02, 2023"
01-06-2023,249.70,252.45,246.00,246.70,246.70,"10,775","Jun 01, 2023"
31-05-2023,246.30,256.95,245.00,245.40,245.40,"22,503","May 31, 2023"
30-05-2023,261.00,261.00,245.65,249.05,249.05,"17,584","May 30, 2023"
