date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,44.15,44.90,43.80,44.15,44.15,"115,487","Aug 25, 2023"
24-08-2023,44.15,44.65,44.10,44.15,44.15,"106,358","Aug 24, 2023"
23-08-2023,44.25,44.80,43.40,43.80,43.80,"209,044","Aug 23, 2023"
22-08-2023,44.75,44.75,44.00,44.20,44.20,"77,879","Aug 22, 2023"
21-08-2023,45.00,45.50,44.05,44.35,44.35,"116,919","Aug 21, 2023"
18-08-2023,44.90,45.60,44.55,44.85,44.85,"91,449","Aug 18, 2023"
17-08-2023,44.70,46.50,44.55,44.90,44.90,"103,359","Aug 17, 2023"
16-08-2023,45.00,45.85,44.25,44.45,44.45,"101,699","Aug 16, 2023"
14-08-2023,45.55,46.20,44.80,45.05,45.05,"76,285","Aug 14, 2023"
11-08-2023,47.00,47.90,45.30,45.55,45.55,"162,907","Aug 11, 2023"
10-08-2023,48.20,48.50,45.15,46.25,46.25,"218,426","Aug 10, 2023"
09-08-2023,45.00,48.40,44.75,46.90,46.90,"441,728","Aug 09, 2023"
08-08-2023,46.00,46.30,44.70,44.95,44.95,"127,447","Aug 08, 2023"
07-08-2023,46.50,46.90,45.50,45.65,45.65,"90,868","Aug 07, 2023"
04-08-2023,47.05,47.05,45.30,46.25,46.25,"131,066","Aug 04, 2023"
03-08-2023,47.50,47.50,46.10,46.20,46.20,"44,655","Aug 03, 2023"
02-08-2023,47.05,48.20,46.20,47.10,47.10,"173,064","Aug 02, 2023"
01-08-2023,47.00,48.05,46.20,47.05,47.05,"152,182","Aug 01, 2023"
31-07-2023,44.20,49.20,43.55,46.55,46.55,"477,938","Jul 31, 2023"
28-07-2023,44.00,44.50,43.70,44.20,44.20,"58,965","Jul 28, 2023"
27-07-2023,43.95,45.00,43.80,44.05,44.05,"90,672","Jul 27, 2023"
26-07-2023,44.15,44.35,43.45,43.95,43.95,"61,161","Jul 26, 2023"
25-07-2023,44.00,44.40,43.55,43.75,43.75,"58,508","Jul 25, 2023"
24-07-2023,45.25,45.25,43.40,43.80,43.80,"135,616","Jul 24, 2023"
21-07-2023,44.00,45.50,43.70,44.95,44.95,"107,491","Jul 21, 2023"
20-07-2023,45.40,45.50,44.35,44.55,44.55,"42,293","Jul 20, 2023"
19-07-2023,45.10,45.35,44.75,44.90,44.90,"36,691","Jul 19, 2023"
18-07-2023,45.05,45.90,44.60,44.80,44.80,"89,136","Jul 18, 2023"
17-07-2023,45.35,45.50,44.25,45.15,45.15,"100,511","Jul 17, 2023"
14-07-2023,44.10,45.20,43.85,44.85,44.85,"54,465","Jul 14, 2023"
13-07-2023,45.05,45.05,44.05,44.20,44.20,"60,112","Jul 13, 2023"
12-07-2023,44.70,45.20,43.90,44.40,44.40,"64,861","Jul 12, 2023"
11-07-2023,45.00,45.25,43.80,44.25,44.25,"105,930","Jul 11, 2023"
10-07-2023,44.50,45.05,43.85,44.65,44.65,"82,322","Jul 10, 2023"
07-07-2023,44.20,44.90,43.65,44.05,44.05,"79,402","Jul 07, 2023"
06-07-2023,44.20,44.90,43.20,44.30,44.30,"128,646","Jul 06, 2023"
05-07-2023,44.45,45.50,43.55,43.95,43.95,"177,556","Jul 05, 2023"
04-07-2023,45.00,45.85,44.45,44.70,44.70,"120,967","Jul 04, 2023"
03-07-2023,45.90,46.70,44.55,44.75,44.75,"270,966","Jul 03, 2023"
30-06-2023,46.80,47.30,45.75,45.90,45.90,"114,455","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,46.85,47.50,46.30,47.35,47.35,"32,042","Jun 27, 2023"
26-06-2023,46.85,48.10,45.30,46.50,46.50,"83,977","Jun 26, 2023"
23-06-2023,47.45,47.70,47.05,47.25,47.25,"18,798","Jun 23, 2023"
22-06-2023,47.80,48.00,46.80,47.60,47.60,"53,701","Jun 22, 2023"
21-06-2023,48.45,48.50,47.45,47.80,47.80,"80,799","Jun 21, 2023"
20-06-2023,48.50,49.00,48.10,48.35,48.35,"47,917","Jun 20, 2023"
19-06-2023,48.10,49.90,48.10,48.40,48.40,"183,567","Jun 19, 2023"
16-06-2023,47.25,49.25,46.55,47.70,47.70,"179,776","Jun 16, 2023"
15-06-2023,47.55,47.60,46.30,46.55,46.55,"54,077","Jun 15, 2023"
14-06-2023,47.65,47.95,46.70,46.80,46.80,"49,488","Jun 14, 2023"
13-06-2023,46.95,48.25,45.70,47.30,47.30,"289,117","Jun 13, 2023"
12-06-2023,45.50,48.90,45.50,46.55,46.55,"452,788","Jun 12, 2023"
09-06-2023,45.00,46.15,44.15,44.90,44.90,"73,562","Jun 09, 2023"
08-06-2023,45.90,46.65,44.65,44.95,44.95,"112,155","Jun 08, 2023"
07-06-2023,45.00,46.00,44.50,45.50,45.50,"405,752","Jun 07, 2023"
06-06-2023,43.60,45.40,43.55,44.65,44.65,"92,927","Jun 06, 2023"
05-06-2023,43.40,44.60,42.90,43.25,43.25,"103,700","Jun 05, 2023"
02-06-2023,43.60,44.25,43.00,43.35,43.35,"73,788","Jun 02, 2023"
01-06-2023,44.00,44.50,43.50,43.75,43.75,"74,785","Jun 01, 2023"
31-05-2023,42.20,44.35,42.15,44.00,44.00,"177,659","May 31, 2023"
30-05-2023,43.80,43.95,42.45,42.60,42.60,"129,916","May 30, 2023"
29-05-2023,45.20,46.40,43.45,43.65,43.65,"185,963","May 29, 2023"
26-05-2023,46.95,46.95,43.75,44.20,44.20,"492,422","May 26, 2023"
25-05-2023,48.25,48.90,48.00,48.50,48.50,"29,890","May 25, 2023"
24-05-2023,48.45,49.00,48.20,48.40,48.40,"25,382","May 24, 2023"
23-05-2023,49.00,49.50,47.60,48.20,48.20,"77,897","May 23, 2023"
22-05-2023,47.00,51.00,46.80,49.00,49.00,"256,277","May 22, 2023"
19-05-2023,48.30,48.30,46.90,47.30,47.30,"33,179","May 19, 2023"
18-05-2023,48.40,48.40,47.15,47.45,47.45,"36,372","May 18, 2023"
17-05-2023,48.05,48.70,47.35,47.45,47.45,"54,392","May 17, 2023"
16-05-2023,49.50,49.50,47.90,48.05,48.05,"103,844","May 16, 2023"
15-05-2023,49.20,49.20,48.20,48.75,48.75,"44,060","May 15, 2023"
12-05-2023,49.20,49.40,48.50,48.65,48.65,"53,675","May 12, 2023"
11-05-2023,48.40,50.00,48.40,49.20,49.20,"50,791","May 11, 2023"
10-05-2023,50.15,50.15,48.30,49.05,49.05,"49,457","May 10, 2023"
09-05-2023,49.50,50.70,49.20,49.45,49.45,"100,490","May 09, 2023"
08-05-2023,49.85,50.75,48.60,48.90,48.90,"53,898","May 08, 2023"
05-05-2023,50.40,50.50,49.55,49.85,49.85,"38,564","May 05, 2023"
04-05-2023,49.80,51.20,49.60,49.90,49.90,"149,158","May 04, 2023"
03-05-2023,50.25,50.95,49.50,49.80,49.80,"153,442","May 03, 2023"
02-05-2023,52.90,52.90,50.05,50.25,50.25,"135,142","May 02, 2023"
28-04-2023,52.65,53.30,51.35,52.40,52.40,"89,415","Apr 28, 2023"
27-04-2023,52.80,54.85,51.45,51.95,51.95,"364,834","Apr 27, 2023"
26-04-2023,47.80,52.10,47.70,51.30,51.30,"196,420","Apr 26, 2023"
25-04-2023,47.00,48.70,47.00,47.80,47.80,"69,285","Apr 25, 2023"
24-04-2023,49.40,49.40,46.95,47.35,47.35,"47,537","Apr 24, 2023"
21-04-2023,49.15,49.15,47.60,48.45,48.45,"36,036","Apr 21, 2023"
20-04-2023,49.30,49.30,48.15,48.45,48.45,"35,508","Apr 20, 2023"
19-04-2023,48.75,49.55,47.65,48.00,48.00,"123,284","Apr 19, 2023"
18-04-2023,48.50,48.75,47.55,48.20,48.20,"111,305","Apr 18, 2023"
17-04-2023,48.20,48.20,47.20,47.75,47.75,"54,179","Apr 17, 2023"
13-04-2023,47.50,49.35,47.50,47.90,47.90,"130,461","Apr 13, 2023"
12-04-2023,47.00,48.60,46.60,47.90,47.90,"68,571","Apr 12, 2023"
11-04-2023,47.45,48.30,46.25,46.65,46.65,"60,693","Apr 11, 2023"
10-04-2023,47.50,48.45,46.55,47.35,47.35,"73,449","Apr 10, 2023"
06-04-2023,47.30,48.50,46.50,47.05,47.05,"85,827","Apr 06, 2023"
05-04-2023,46.35,49.30,45.75,47.80,47.80,"211,712","Apr 05, 2023"
03-04-2023,42.75,47.30,42.40,45.65,45.65,"165,936","Apr 03, 2023"
31-03-2023,40.50,42.70,40.50,42.05,42.05,"193,325","Mar 31, 2023"
29-03-2023,40.25,41.95,39.75,40.45,40.45,"281,031","Mar 29, 2023"
28-03-2023,41.55,41.90,39.25,39.95,39.95,"195,621","Mar 28, 2023"
27-03-2023,43.65,44.25,41.10,41.55,41.55,"311,657","Mar 27, 2023"
24-03-2023,46.05,46.05,43.00,43.65,43.65,"176,501","Mar 24, 2023"
23-03-2023,46.50,46.50,44.50,45.00,45.00,"152,600","Mar 23, 2023"
22-03-2023,44.80,48.50,44.25,45.60,45.60,"259,304","Mar 22, 2023"
21-03-2023,44.50,44.55,43.30,43.90,43.90,"96,432","Mar 21, 2023"
20-03-2023,44.00,44.65,42.95,43.80,43.80,"93,174","Mar 20, 2023"
17-03-2023,45.50,45.75,44.20,44.70,44.70,"58,815","Mar 17, 2023"
16-03-2023,45.40,45.40,43.35,44.60,44.60,"122,077","Mar 16, 2023"
15-03-2023,46.50,47.00,44.70,44.90,44.90,"194,460","Mar 15, 2023"
