date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,414.90,418.85,411.00,414.80,414.80,"90,404","Aug 25, 2023"
24-08-2023,422.95,430.50,412.50,413.70,413.70,"113,188","Aug 24, 2023"
23-08-2023,429.50,429.50,418.20,420.95,420.95,"45,113","Aug 23, 2023"
22-08-2023,425.00,430.05,425.00,427.60,427.60,"57,416","Aug 22, 2023"
21-08-2023,424.00,429.00,421.00,424.70,424.70,"47,986","Aug 21, 2023"
18-08-2023,431.00,432.50,422.50,427.50,427.50,"72,009","Aug 18, 2023"
17-08-2023,436.00,441.10,408.90,430.85,430.85,"246,395","Aug 17, 2023"
16-08-2023,396.00,438.90,391.20,435.80,435.80,"478,518","Aug 16, 2023"
14-08-2023,400.00,409.80,393.00,399.25,399.25,"220,103","Aug 14, 2023"
11-08-2023,434.00,434.00,405.70,409.60,409.60,"355,221","Aug 11, 2023"
10-08-2023,439.10,457.00,430.40,446.10,446.10,"220,408","Aug 10, 2023"
09-08-2023,421.25,455.90,421.25,439.10,439.10,"264,866","Aug 09, 2023"
08-08-2023,416.50,422.95,415.45,420.45,420.45,"70,474","Aug 08, 2023"
07-08-2023,423.95,428.00,411.90,416.35,416.35,"174,645","Aug 07, 2023"
04-08-2023,422.95,428.95,421.60,423.15,423.15,"58,243","Aug 04, 2023"
03-08-2023,408.40,425.90,406.20,422.95,422.95,"108,985","Aug 03, 2023"
02-08-2023,420.00,426.45,401.00,406.55,406.55,"157,737","Aug 02, 2023"
01-08-2023,437.95,441.95,416.95,419.65,419.65,"138,380","Aug 01, 2023"
31-07-2023,430.00,446.50,429.80,436.05,436.05,"170,751","Jul 31, 2023"
28-07-2023,412.20,441.00,406.40,426.40,426.40,"312,733","Jul 28, 2023"
27-07-2023,399.95,423.00,398.30,412.20,412.20,"321,907","Jul 27, 2023"
27-07-2023,3 Dividend,,,,,,"Jul 27, 2023"
26-07-2023,383.70,414.90,383.20,398.30,395.30,"590,966","Jul 26, 2023"
25-07-2023,380.65,384.00,378.55,382.15,379.27,"104,583","Jul 25, 2023"
24-07-2023,361.90,381.70,360.50,378.50,375.65,"175,223","Jul 24, 2023"
21-07-2023,362.75,364.75,358.00,360.55,357.83,"50,590","Jul 21, 2023"
20-07-2023,377.30,377.30,360.85,363.60,360.86,"137,313","Jul 20, 2023"
19-07-2023,372.80,378.15,372.55,375.85,373.02,"73,478","Jul 19, 2023"
18-07-2023,372.30,374.80,370.10,372.55,369.74,"75,874","Jul 18, 2023"
17-07-2023,365.40,372.00,362.10,370.85,368.06,"94,476","Jul 17, 2023"
14-07-2023,360.20,368.00,358.25,361.35,358.63,"58,400","Jul 14, 2023"
13-07-2023,368.00,370.30,359.05,362.05,359.32,"100,536","Jul 13, 2023"
12-07-2023,376.50,378.75,359.40,366.10,363.34,"91,477","Jul 12, 2023"
11-07-2023,370.00,378.40,370.00,375.05,372.23,"93,664","Jul 11, 2023"
10-07-2023,371.70,376.80,367.00,373.45,370.64,"97,175","Jul 10, 2023"
07-07-2023,369.50,373.70,368.05,371.00,368.21,"51,366","Jul 07, 2023"
06-07-2023,368.75,373.05,365.10,369.50,366.72,"94,405","Jul 06, 2023"
05-07-2023,370.55,373.95,366.80,368.05,365.28,"50,939","Jul 05, 2023"
04-07-2023,374.00,374.90,366.30,369.70,366.92,"63,351","Jul 04, 2023"
03-07-2023,381.70,384.05,372.25,373.60,370.79,"65,123","Jul 03, 2023"
30-06-2023,386.85,387.20,378.35,380.10,377.24,"47,787","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,376.20,385.00,374.55,384.10,381.21,"117,573","Jun 27, 2023"
26-06-2023,374.65,379.95,371.95,374.40,371.58,"43,741","Jun 26, 2023"
23-06-2023,376.10,376.75,371.50,373.75,370.93,"31,761","Jun 23, 2023"
22-06-2023,381.85,383.70,375.00,376.10,373.27,"71,269","Jun 22, 2023"
21-06-2023,393.80,394.45,380.00,381.20,378.33,"94,815","Jun 21, 2023"
20-06-2023,379.15,396.30,379.15,392.70,389.74,"213,664","Jun 20, 2023"
19-06-2023,379.60,389.60,373.50,381.40,378.53,"172,711","Jun 19, 2023"
16-06-2023,371.00,391.50,368.60,379.60,376.74,"173,724","Jun 16, 2023"
15-06-2023,370.80,374.60,369.95,370.80,368.01,"64,580","Jun 15, 2023"
14-06-2023,372.30,375.05,368.10,370.80,368.01,"39,778","Jun 14, 2023"
13-06-2023,371.90,376.90,368.45,370.95,368.16,"84,398","Jun 13, 2023"
12-06-2023,374.70,376.00,368.80,371.90,369.10,"52,462","Jun 12, 2023"
09-06-2023,372.35,376.15,367.50,372.75,369.94,"45,323","Jun 09, 2023"
08-06-2023,371.10,381.30,370.30,372.35,369.55,"58,093","Jun 08, 2023"
07-06-2023,370.50,380.00,370.10,374.65,371.83,"119,179","Jun 07, 2023"
06-06-2023,378.85,382.90,367.00,369.40,366.62,"141,080","Jun 06, 2023"
05-06-2023,372.15,380.00,370.45,377.40,374.56,"148,349","Jun 05, 2023"
02-06-2023,369.70,374.50,367.35,369.20,366.42,"113,443","Jun 02, 2023"
01-06-2023,356.55,370.00,356.55,367.50,364.73,"171,001","Jun 01, 2023"
31-05-2023,343.60,364.40,330.00,354.75,352.08,"522,201","May 31, 2023"
30-05-2023,360.80,364.00,350.85,358.85,356.15,"100,672","May 30, 2023"
29-05-2023,356.80,362.50,351.80,359.60,356.89,"109,818","May 29, 2023"
26-05-2023,358.50,358.50,350.85,354.10,351.43,"95,495","May 26, 2023"
25-05-2023,360.15,365.40,356.20,357.65,354.96,"80,461","May 25, 2023"
24-05-2023,365.00,368.65,355.00,358.35,355.65,"69,575","May 24, 2023"
23-05-2023,366.85,374.00,363.50,365.10,362.35,"67,695","May 23, 2023"
22-05-2023,369.00,369.05,363.05,365.60,362.85,"35,844","May 22, 2023"
19-05-2023,360.50,370.10,359.10,369.15,366.37,"52,606","May 19, 2023"
18-05-2023,364.00,373.95,353.00,358.80,356.10,"108,483","May 18, 2023"
17-05-2023,365.00,371.45,358.45,360.40,357.69,"60,763","May 17, 2023"
16-05-2023,369.00,372.00,364.20,365.30,362.55,"45,892","May 16, 2023"
15-05-2023,360.50,372.80,360.50,369.05,366.27,"156,967","May 15, 2023"
12-05-2023,366.75,367.00,362.20,364.60,361.85,"45,628","May 12, 2023"
11-05-2023,365.60,370.00,360.75,367.45,364.68,"108,326","May 11, 2023"
10-05-2023,371.65,373.25,361.25,363.95,361.21,"102,445","May 10, 2023"
09-05-2023,374.00,379.70,366.45,371.65,368.85,"509,439","May 09, 2023"
08-05-2023,346.00,368.50,346.00,363.80,361.06,"566,298","May 08, 2023"
05-05-2023,340.00,350.00,336.05,343.35,340.76,"371,484","May 05, 2023"
04-05-2023,340.00,343.80,338.85,339.70,337.14,"179,904","May 04, 2023"
03-05-2023,343.30,347.85,337.50,339.65,337.09,"139,062","May 03, 2023"
02-05-2023,350.80,357.35,342.10,344.85,342.25,"478,424","May 02, 2023"
28-04-2023,348.90,355.65,344.40,346.95,344.34,"100,375","Apr 28, 2023"
27-04-2023,347.90,356.30,343.25,347.60,344.98,"81,282","Apr 27, 2023"
26-04-2023,350.10,353.35,345.10,346.70,344.09,"73,068","Apr 26, 2023"
25-04-2023,354.50,356.80,350.00,352.15,349.50,"79,106","Apr 25, 2023"
24-04-2023,362.50,362.50,352.15,353.05,350.39,"84,462","Apr 24, 2023"
21-04-2023,365.50,368.80,357.50,360.75,358.03,"76,561","Apr 21, 2023"
20-04-2023,356.50,386.65,356.25,364.05,361.31,"754,650","Apr 20, 2023"
19-04-2023,355.00,359.40,350.05,354.55,351.88,"93,880","Apr 19, 2023"
18-04-2023,355.55,360.85,348.40,352.15,349.50,"43,619","Apr 18, 2023"
17-04-2023,361.30,363.70,354.05,355.15,352.48,"36,085","Apr 17, 2023"
13-04-2023,367.80,367.80,357.10,358.60,355.90,"34,189","Apr 13, 2023"
12-04-2023,365.50,370.85,361.55,363.05,360.32,"31,911","Apr 12, 2023"
11-04-2023,376.00,378.90,362.15,364.05,361.31,"36,061","Apr 11, 2023"
10-04-2023,360.40,372.90,360.40,370.80,368.01,"60,313","Apr 10, 2023"
06-04-2023,355.05,372.00,355.05,358.60,355.90,"84,305","Apr 06, 2023"
05-04-2023,363.65,374.90,353.05,358.10,355.40,"75,726","Apr 05, 2023"
03-04-2023,349.00,363.60,348.55,361.80,359.07,"69,738","Apr 03, 2023"
31-03-2023,346.00,357.60,344.00,347.80,345.18,"49,940","Mar 31, 2023"
29-03-2023,330.20,348.00,330.20,344.60,342.00,"82,383","Mar 29, 2023"
28-03-2023,344.15,349.00,330.10,331.75,329.25,"128,126","Mar 28, 2023"
27-03-2023,363.50,368.10,341.00,344.15,341.56,"98,043","Mar 27, 2023"
