date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,13.95,14.45,13.70,13.90,13.90,"198,367","Aug 25, 2023"
24-08-2023,14.50,14.60,13.90,14.05,14.05,"204,227","Aug 24, 2023"
23-08-2023,14.50,14.55,14.00,14.25,14.25,"119,001","Aug 23, 2023"
22-08-2023,14.35,14.40,14.15,14.30,14.30,"149,919","Aug 22, 2023"
21-08-2023,13.90,14.30,13.70,14.10,14.10,"208,018","Aug 21, 2023"
18-08-2023,13.60,14.05,13.55,13.80,13.80,"139,441","Aug 18, 2023"
17-08-2023,13.80,14.15,13.70,13.85,13.85,"166,706","Aug 17, 2023"
16-08-2023,14.45,14.45,13.90,14.00,14.00,"210,676","Aug 16, 2023"
14-08-2023,14.85,14.90,14.00,14.20,14.20,"203,950","Aug 14, 2023"
11-08-2023,14.35,14.65,14.25,14.55,14.55,"210,946","Aug 11, 2023"
10-08-2023,14.30,14.70,14.20,14.35,14.35,"244,561","Aug 10, 2023"
09-08-2023,14.85,14.85,14.20,14.30,14.30,"189,138","Aug 09, 2023"
08-08-2023,14.70,15.00,14.40,14.55,14.55,"188,915","Aug 08, 2023"
07-08-2023,15.25,15.50,14.10,14.45,14.45,"365,646","Aug 07, 2023"
04-08-2023,15.45,15.50,14.90,15.00,15.00,"273,870","Aug 04, 2023"
03-08-2023,15.05,15.60,14.85,15.20,15.20,"324,495","Aug 03, 2023"
02-08-2023,15.65,15.95,14.60,14.85,14.85,"680,695","Aug 02, 2023"
01-08-2023,15.15,16.35,14.25,15.65,15.65,"2,430,959","Aug 01, 2023"
31-07-2023,13.90,15.60,13.05,15.10,15.10,"1,991,557","Jul 31, 2023"
28-07-2023,12.40,14.60,12.20,13.95,13.95,"3,814,075","Jul 28, 2023"
27-07-2023,12.40,12.50,12.05,12.20,12.20,"145,768","Jul 27, 2023"
26-07-2023,12.10,12.55,11.95,12.25,12.25,"263,694","Jul 26, 2023"
25-07-2023,12.00,12.05,11.90,11.95,11.95,"77,721","Jul 25, 2023"
24-07-2023,12.20,12.20,11.80,11.85,11.85,"158,589","Jul 24, 2023"
21-07-2023,12.05,12.20,12.00,12.10,12.10,"64,583","Jul 21, 2023"
20-07-2023,12.15,12.20,12.00,12.05,12.05,"80,835","Jul 20, 2023"
19-07-2023,12.15,12.20,11.90,12.10,12.10,"86,636","Jul 19, 2023"
18-07-2023,12.15,12.50,11.85,11.95,11.95,"256,848","Jul 18, 2023"
17-07-2023,12.20,12.35,12.15,12.25,12.25,"106,181","Jul 17, 2023"
14-07-2023,11.85,12.20,11.85,12.15,12.15,"200,933","Jul 14, 2023"
13-07-2023,11.95,12.40,11.65,11.85,11.85,"347,276","Jul 13, 2023"
12-07-2023,13.10,14.10,11.05,11.95,11.95,"1,489,311","Jul 12, 2023"
11-07-2023,12.85,13.10,12.55,12.80,12.80,"222,072","Jul 11, 2023"
10-07-2023,13.05,13.15,12.55,12.60,12.60,"73,067","Jul 10, 2023"
07-07-2023,13.15,13.20,12.50,12.75,12.75,"287,714","Jul 07, 2023"
