date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,362.60,407.00,357.10,398.00,398.00,"447,600","Aug 25, 2023"
24-08-2023,347.80,364.80,342.45,361.35,361.35,"105,664","Aug 24, 2023"
23-08-2023,351.00,358.85,345.35,346.85,346.85,"71,935","Aug 23, 2023"
22-08-2023,324.80,374.85,323.50,354.20,354.20,"448,307","Aug 22, 2023"
21-08-2023,332.30,332.30,319.10,321.75,321.75,"60,314","Aug 21, 2023"
18-08-2023,323.00,344.95,322.85,332.30,332.30,"188,901","Aug 18, 2023"
17-08-2023,306.95,329.05,304.05,322.10,322.10,"147,814","Aug 17, 2023"
16-08-2023,302.70,307.05,293.95,304.00,304.00,"58,417","Aug 16, 2023"
14-08-2023,299.35,306.50,296.10,301.20,301.20,"28,238","Aug 14, 2023"
11-08-2023,302.80,303.90,298.00,299.35,299.35,"25,691","Aug 11, 2023"
10-08-2023,301.15,304.95,298.45,300.40,300.40,"18,828","Aug 10, 2023"
09-08-2023,300.00,306.00,296.95,301.00,301.00,"30,055","Aug 09, 2023"
08-08-2023,302.00,313.80,296.40,299.10,299.10,"51,855","Aug 08, 2023"
07-08-2023,302.50,307.60,296.00,297.70,297.70,"23,165","Aug 07, 2023"
04-08-2023,299.00,308.00,299.00,305.90,305.90,"19,842","Aug 04, 2023"
03-08-2023,299.80,304.70,296.10,299.65,299.65,"16,062","Aug 03, 2023"
02-08-2023,300.00,307.60,294.10,301.95,301.95,"31,753","Aug 02, 2023"
01-08-2023,296.10,304.00,296.10,299.25,299.25,"19,749","Aug 01, 2023"
31-07-2023,314.80,324.45,296.00,298.15,298.15,"34,589","Jul 31, 2023"
28-07-2023,301.00,311.00,301.00,307.20,307.20,"34,959","Jul 28, 2023"
27-07-2023,293.35,306.05,293.35,301.90,301.90,"31,735","Jul 27, 2023"
26-07-2023,284.20,299.00,284.00,293.35,293.35,"35,270","Jul 26, 2023"
25-07-2023,284.00,291.50,279.10,284.20,284.20,"28,713","Jul 25, 2023"
24-07-2023,278.95,290.90,278.00,281.15,281.15,"55,185","Jul 24, 2023"
21-07-2023,279.80,283.85,271.15,273.50,273.50,"22,181","Jul 21, 2023"
20-07-2023,275.95,279.15,270.15,276.80,276.80,"14,998","Jul 20, 2023"
19-07-2023,272.50,277.00,265.00,275.30,275.30,"63,815","Jul 19, 2023"
18-07-2023,281.90,284.80,271.00,271.65,271.65,"30,592","Jul 18, 2023"
17-07-2023,280.50,285.70,275.30,277.80,277.80,"42,086","Jul 17, 2023"
14-07-2023,285.35,289.95,280.55,283.05,283.05,"17,424","Jul 14, 2023"
13-07-2023,276.65,290.00,275.55,284.05,284.05,"33,023","Jul 13, 2023"
12-07-2023,279.70,280.70,273.40,274.50,274.50,"31,201","Jul 12, 2023"
11-07-2023,294.70,294.70,273.60,279.70,279.70,"58,927","Jul 11, 2023"
10-07-2023,309.00,309.00,283.00,289.95,289.95,"70,259","Jul 10, 2023"
07-07-2023,300.50,309.75,300.50,304.80,304.80,"27,557","Jul 07, 2023"
06-07-2023,321.60,323.60,300.10,303.70,303.70,"87,932","Jul 06, 2023"
05-07-2023,315.80,323.00,312.00,318.90,318.90,"24,508","Jul 05, 2023"
04-07-2023,314.75,315.95,308.20,312.35,312.35,"16,260","Jul 04, 2023"
03-07-2023,324.05,325.70,308.00,310.65,310.65,"67,544","Jul 03, 2023"
30-06-2023,324.40,330.10,316.35,319.35,319.35,"23,178","Jun 30, 2023"
28-06-2023,329.15,329.15,329.15,329.15,329.15,-,"Jun 28, 2023"
27-06-2023,328.05,334.25,327.00,329.15,329.15,"17,183","Jun 27, 2023"
26-06-2023,325.90,329.05,317.55,326.90,326.90,"20,075","Jun 26, 2023"
23-06-2023,323.95,329.70,318.40,321.40,321.40,"24,180","Jun 23, 2023"
22-06-2023,333.25,337.35,316.35,321.80,321.80,"62,762","Jun 22, 2023"
21-06-2023,336.35,339.15,330.45,331.40,331.40,"28,202","Jun 21, 2023"
20-06-2023,334.95,343.80,330.00,334.45,334.45,"29,929","Jun 20, 2023"
19-06-2023,344.80,344.80,327.55,330.15,330.15,"53,700","Jun 19, 2023"
16-06-2023,343.00,347.00,340.00,341.50,341.50,"25,735","Jun 16, 2023"
15-06-2023,339.90,349.40,335.95,337.75,337.75,"22,594","Jun 15, 2023"
14-06-2023,355.55,358.00,333.75,336.50,336.50,"38,844","Jun 14, 2023"
13-06-2023,345.80,361.45,340.60,349.25,349.25,"90,488","Jun 13, 2023"
12-06-2023,329.80,344.80,328.50,342.80,342.80,"81,116","Jun 12, 2023"
09-06-2023,326.60,329.00,317.00,325.80,325.80,"18,876","Jun 09, 2023"
08-06-2023,334.70,334.70,321.00,322.50,322.50,"29,780","Jun 08, 2023"
07-06-2023,324.85,333.95,322.00,330.05,330.05,"34,962","Jun 07, 2023"
06-06-2023,316.00,329.90,316.00,325.20,325.20,"35,164","Jun 06, 2023"
05-06-2023,333.90,334.10,307.60,317.40,317.40,"71,926","Jun 05, 2023"
02-06-2023,330.00,333.85,326.45,329.25,329.25,"28,930","Jun 02, 2023"
01-06-2023,332.00,337.20,322.55,325.75,325.75,"29,421","Jun 01, 2023"
31-05-2023,332.80,341.20,322.60,332.10,332.10,"45,540","May 31, 2023"
30-05-2023,316.15,355.15,312.00,327.80,327.80,"159,651","May 30, 2023"
29-05-2023,314.70,319.40,302.05,311.50,311.50,"22,360","May 29, 2023"
26-05-2023,319.00,319.00,309.05,310.90,310.90,"16,935","May 26, 2023"
25-05-2023,325.00,327.90,306.35,315.00,315.00,"71,187","May 25, 2023"
24-05-2023,330.05,338.80,320.35,325.65,325.65,"48,608","May 24, 2023"
23-05-2023,318.35,345.35,313.80,330.05,330.05,"93,340","May 23, 2023"
22-05-2023,315.95,319.70,313.25,317.45,317.45,"25,839","May 22, 2023"
19-05-2023,315.00,318.30,310.00,315.45,315.45,"24,776","May 19, 2023"
18-05-2023,314.90,319.90,311.10,313.70,313.70,"15,518","May 18, 2023"
17-05-2023,323.75,323.75,306.05,313.25,313.25,"25,252","May 17, 2023"
16-05-2023,324.80,324.80,315.20,317.75,317.75,"21,919","May 16, 2023"
15-05-2023,318.00,323.55,311.80,318.40,318.40,"43,026","May 15, 2023"
12-05-2023,315.45,317.40,309.45,312.30,312.30,"15,491","May 12, 2023"
11-05-2023,307.45,315.90,306.35,311.15,311.15,"25,129","May 11, 2023"
10-05-2023,309.90,315.00,305.25,307.45,307.45,"20,322","May 10, 2023"
09-05-2023,315.55,317.85,301.45,306.50,306.50,"31,606","May 09, 2023"
08-05-2023,318.50,319.90,311.10,313.60,313.60,"14,625","May 08, 2023"
05-05-2023,310.70,318.00,306.05,314.00,314.00,"25,483","May 05, 2023"
04-05-2023,306.15,314.50,304.85,311.70,311.70,"21,240","May 04, 2023"
03-05-2023,301.50,309.40,301.00,306.45,306.45,"34,692","May 03, 2023"
02-05-2023,325.40,325.40,295.60,298.85,298.85,"100,993","May 02, 2023"
28-04-2023,330.00,330.70,320.00,321.10,321.10,"19,535","Apr 28, 2023"
27-04-2023,302.60,333.00,295.10,327.70,327.70,"102,779","Apr 27, 2023"
26-04-2023,309.95,311.50,291.85,301.60,301.60,"58,911","Apr 26, 2023"
25-04-2023,342.00,342.60,305.10,312.10,312.10,"76,865","Apr 25, 2023"
24-04-2023,330.00,341.30,326.45,339.60,339.60,"37,828","Apr 24, 2023"
21-04-2023,323.45,333.70,320.55,329.60,329.60,"59,782","Apr 21, 2023"
20-04-2023,303.15,331.00,303.00,321.40,321.40,"153,656","Apr 20, 2023"
19-04-2023,306.55,307.40,302.00,303.15,303.15,"53,212","Apr 19, 2023"
18-04-2023,304.05,318.30,300.00,303.50,303.50,"67,384","Apr 18, 2023"
17-04-2023,290.00,317.40,282.25,309.15,309.15,"153,340","Apr 17, 2023"
13-04-2023,282.00,294.40,277.80,289.90,289.90,"120,565","Apr 13, 2023"
12-04-2023,274.25,287.95,270.25,277.80,277.80,"94,789","Apr 12, 2023"
11-04-2023,253.05,278.40,253.05,267.60,267.60,"79,745","Apr 11, 2023"
10-04-2023,261.70,269.45,252.65,256.65,256.65,"27,949","Apr 10, 2023"
06-04-2023,253.80,264.00,252.50,256.10,256.10,"31,478","Apr 06, 2023"
05-04-2023,248.85,265.00,247.25,256.45,256.45,"74,059","Apr 05, 2023"
03-04-2023,239.90,259.40,239.25,249.60,249.60,"65,103","Apr 03, 2023"
31-03-2023,241.90,251.50,230.00,233.60,233.60,"92,777","Mar 31, 2023"
29-03-2023,248.10,249.15,235.45,238.40,238.40,"196,924","Mar 29, 2023"
28-03-2023,251.25,253.95,242.00,243.00,243.00,"43,754","Mar 28, 2023"
27-03-2023,263.95,263.95,251.20,252.70,252.70,"66,049","Mar 27, 2023"
24-03-2023,263.40,288.80,258.25,260.95,260.95,"159,896","Mar 24, 2023"
23-03-2023,252.00,269.20,248.95,264.35,264.35,"51,510","Mar 23, 2023"
22-03-2023,256.10,263.35,248.70,252.50,252.50,"33,781","Mar 22, 2023"
21-03-2023,260.25,264.00,255.00,256.55,256.55,"36,601","Mar 21, 2023"
20-03-2023,267.15,267.15,254.00,259.95,259.95,"46,322","Mar 20, 2023"
17-03-2023,269.20,272.95,264.65,266.60,266.60,"46,710","Mar 17, 2023"
16-03-2023,268.15,272.00,262.10,268.90,268.90,"24,925","Mar 16, 2023"
15-03-2023,287.00,287.00,266.35,268.20,268.20,"34,625","Mar 15, 2023"
14-03-2023,279.60,282.65,273.00,275.95,275.95,"31,973","Mar 14, 2023"
13-03-2023,282.00,291.35,268.00,279.65,279.65,"63,501","Mar 13, 2023"
10-03-2023,277.00,286.00,271.60,282.55,282.55,"21,743","Mar 10, 2023"
09-03-2023,279.45,284.90,275.00,277.35,277.35,"29,853","Mar 09, 2023"
08-03-2023,281.65,282.95,271.30,275.45,275.45,"19,870","Mar 08, 2023"
06-03-2023,283.80,293.20,276.35,279.15,279.15,"28,890","Mar 06, 2023"
03-03-2023,287.05,289.45,283.05,283.80,283.80,"23,246","Mar 03, 2023"
02-03-2023,289.40,293.85,283.50,284.60,284.60,"13,720","Mar 02, 2023"
01-03-2023,295.00,299.00,287.35,290.80,290.80,"27,043","Mar 01, 2023"
28-02-2023,269.00,295.15,269.00,291.60,291.60,"50,288","Feb 28, 2023"
27-02-2023,274.75,280.80,271.00,272.45,272.45,"24,541","Feb 27, 2023"
24-02-2023,282.90,286.10,279.85,282.05,282.05,"12,700","Feb 24, 2023"
23-02-2023,289.60,290.95,280.00,282.90,282.90,"11,923","Feb 23, 2023"
22-02-2023,280.25,294.80,276.80,290.20,290.20,"42,719","Feb 22, 2023"
21-02-2023,280.05,285.90,274.05,277.85,277.85,"13,634","Feb 21, 2023"
20-02-2023,280.00,289.30,276.35,281.50,281.50,"24,249","Feb 20, 2023"
17-02-2023,288.00,295.00,277.35,279.25,279.25,"41,048","Feb 17, 2023"
16-02-2023,273.00,295.00,264.60,289.90,289.90,"101,110","Feb 16, 2023"
