date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,1.8500,1.9000,1.8000,1.9000,1.9000,"6,619","Aug 25, 2023"
24-08-2023,1.8500,1.9500,1.8500,1.8500,1.8500,"26,917","Aug 24, 2023"
23-08-2023,1.9000,2.0000,1.9000,1.9500,1.9500,"41,615","Aug 23, 2023"
22-08-2023,1.9500,2.0000,1.9000,2.0000,2.0000,"6,146","Aug 22, 2023"
21-08-2023,1.9500,2.0000,1.9000,1.9500,1.9500,"19,863","Aug 21, 2023"
18-08-2023,1.8000,1.9500,1.8000,1.9500,1.9500,"40,233","Aug 18, 2023"
17-08-2023,1.7500,1.9000,1.7500,1.9000,1.9000,"65,703","Aug 17, 2023"
16-08-2023,1.8000,1.9000,1.7500,1.8500,1.8500,"13,035","Aug 16, 2023"
14-08-2023,1.8000,1.9000,1.7500,1.8500,1.8500,"9,166","Aug 14, 2023"
11-08-2023,1.8500,1.9000,1.8500,1.8500,1.8500,"5,325","Aug 11, 2023"
10-08-2023,1.9000,1.9000,1.8000,1.8500,1.8500,"8,386","Aug 10, 2023"
09-08-2023,1.9500,2.0000,1.8500,1.9000,1.9000,"51,220","Aug 09, 2023"
08-08-2023,1.9000,1.9500,1.9000,1.9500,1.9500,"5,613","Aug 08, 2023"
07-08-2023,1.9500,2.0000,1.9000,1.9000,1.9000,"14,348","Aug 07, 2023"
04-08-2023,1.9000,1.9500,1.9000,1.9500,1.9500,"7,277","Aug 04, 2023"
03-08-2023,1.9000,2.0000,1.9000,1.9000,1.9000,"7,123","Aug 03, 2023"
02-08-2023,2.0000,2.0000,1.9000,1.9500,1.9500,"8,171","Aug 02, 2023"
01-08-2023,1.9000,2.0000,1.9000,2.0000,2.0000,"26,192","Aug 01, 2023"
31-07-2023,1.9000,2.0000,1.9000,1.9500,1.9500,"26,303","Jul 31, 2023"
28-07-2023,2.0000,2.0000,1.9000,2.0000,2.0000,"15,366","Jul 28, 2023"
27-07-2023,2.0500,2.0500,1.9500,2.0000,2.0000,"43,753","Jul 27, 2023"
26-07-2023,2.0000,2.0500,2.0000,2.0500,2.0500,"2,272","Jul 26, 2023"
25-07-2023,2.0500,2.0500,1.9500,2.0000,2.0000,"5,151","Jul 25, 2023"
