date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,142.10,145.95,142.10,144.20,144.20,"18,641","Aug 25, 2023"
24-08-2023,148.00,148.00,143.80,144.80,144.80,"20,582","Aug 24, 2023"
23-08-2023,145.95,146.95,144.00,145.80,145.80,"17,985","Aug 23, 2023"
22-08-2023,146.95,146.95,142.20,143.45,143.45,"31,114","Aug 22, 2023"
21-08-2023,150.50,150.50,143.60,144.20,144.20,"25,386","Aug 21, 2023"
18-08-2023,140.90,152.00,139.55,146.00,146.00,"1,063,390","Aug 18, 2023"
17-08-2023,137.50,148.00,137.50,139.35,139.35,"46,549","Aug 17, 2023"
16-08-2023,140.75,140.75,137.65,137.85,137.85,"22,684","Aug 16, 2023"
14-08-2023,147.00,147.00,137.50,138.55,138.55,"31,889","Aug 14, 2023"
11-08-2023,143.10,149.90,140.00,141.40,141.40,"39,948","Aug 11, 2023"
10-08-2023,140.70,142.40,136.90,137.75,137.75,"37,986","Aug 10, 2023"
09-08-2023,144.50,145.55,137.75,140.70,140.70,"58,805","Aug 09, 2023"
08-08-2023,144.90,150.05,142.35,144.10,144.10,"21,701","Aug 08, 2023"
07-08-2023,143.00,149.55,142.10,143.85,143.85,"10,893","Aug 07, 2023"
04-08-2023,153.00,153.00,144.60,147.55,147.55,"21,751","Aug 04, 2023"
03-08-2023,150.90,150.90,143.00,145.10,145.10,"17,293","Aug 03, 2023"
02-08-2023,150.45,150.45,148.50,149.20,149.20,"15,371","Aug 02, 2023"
01-08-2023,151.10,153.00,148.55,150.75,150.75,"17,419","Aug 01, 2023"
31-07-2023,150.90,152.10,149.75,151.50,151.50,"20,368","Jul 31, 2023"
28-07-2023,152.75,153.00,148.55,150.90,150.90,"21,935","Jul 28, 2023"
27-07-2023,146.75,154.80,145.60,151.55,151.55,"33,591","Jul 27, 2023"
26-07-2023,149.00,149.00,138.15,142.75,142.75,"36,556","Jul 26, 2023"
25-07-2023,155.00,155.00,139.05,143.45,143.45,"25,700","Jul 25, 2023"
24-07-2023,148.50,151.90,148.00,148.85,148.85,"13,893","Jul 24, 2023"
