date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,700.45,749.20,697.60,734.50,734.50,"9,251","Aug 25, 2023"
24-08-2023,697.25,699.95,685.15,693.65,693.65,"1,785","Aug 24, 2023"
23-08-2023,695.00,704.90,684.05,693.50,693.50,"3,650","Aug 23, 2023"
22-08-2023,700.75,701.90,690.50,696.70,696.70,"2,711","Aug 22, 2023"
21-08-2023,715.80,715.80,692.05,693.45,693.45,859,"Aug 21, 2023"
18-08-2023,708.40,708.40,676.05,707.80,707.80,"2,484","Aug 18, 2023"
17-08-2023,687.45,698.95,671.15,693.30,693.30,"1,475","Aug 17, 2023"
16-08-2023,708.75,708.75,675.15,688.45,688.45,"1,877","Aug 16, 2023"
14-08-2023,685.10,691.90,668.60,677.10,677.10,"1,568","Aug 14, 2023"
11-08-2023,704.20,712.65,681.55,693.10,693.10,"1,802","Aug 11, 2023"
10-08-2023,708.90,714.10,692.60,695.70,695.70,"1,685","Aug 10, 2023"
09-08-2023,712.00,716.95,686.75,710.25,710.25,"3,301","Aug 09, 2023"
08-08-2023,715.40,722.85,695.50,704.35,704.35,"5,092","Aug 08, 2023"
07-08-2023,720.00,725.35,709.85,712.80,712.80,"4,959","Aug 07, 2023"
04-08-2023,763.00,768.80,687.00,697.85,697.85,"20,763","Aug 04, 2023"
03-08-2023,810.05,810.05,762.00,765.70,765.70,"2,458","Aug 03, 2023"
02-08-2023,803.90,821.95,772.00,793.45,793.45,"4,075","Aug 02, 2023"
01-08-2023,849.00,849.00,798.05,801.95,801.95,"9,643","Aug 01, 2023"
31-07-2023,725.50,849.00,725.50,816.65,816.65,"30,848","Jul 31, 2023"
28-07-2023,757.00,757.00,716.05,736.20,736.20,"4,630","Jul 28, 2023"
27-07-2023,766.50,771.10,747.35,752.40,752.40,"1,959","Jul 27, 2023"
26-07-2023,752.40,773.95,750.05,759.65,759.65,472,"Jul 26, 2023"
