date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,161.00,161.55,154.10,157.95,157.95,"2,762,999","Aug 25, 2023"
25-08-2023,1 Dividend,,,,,,"Aug 25, 2023"
24-08-2023,165.50,166.50,160.15,161.50,160.50,"4,608,925","Aug 24, 2023"
23-08-2023,160.60,165.90,160.00,164.10,163.08,"11,238,984","Aug 23, 2023"
22-08-2023,152.40,161.40,152.05,158.80,157.82,"17,430,120","Aug 22, 2023"
21-08-2023,154.50,154.75,151.35,151.85,150.91,"1,994,536","Aug 21, 2023"
18-08-2023,150.35,155.85,150.05,152.90,151.95,"7,037,418","Aug 18, 2023"
17-08-2023,148.95,152.00,148.20,150.35,149.42,"2,342,100","Aug 17, 2023"
16-08-2023,148.95,152.15,147.65,148.50,147.58,"2,332,009","Aug 16, 2023"
14-08-2023,150.80,151.50,145.65,149.70,148.77,"2,497,959","Aug 14, 2023"
11-08-2023,150.25,152.80,149.60,151.00,150.07,"2,256,622","Aug 11, 2023"
10-08-2023,152.65,156.85,149.00,149.80,148.87,"4,784,479","Aug 10, 2023"
09-08-2023,155.20,156.20,151.60,152.65,151.70,"3,106,686","Aug 09, 2023"
08-08-2023,149.80,156.20,147.75,154.60,153.64,"7,618,852","Aug 08, 2023"
07-08-2023,147.85,151.65,146.15,149.70,148.77,"5,256,884","Aug 07, 2023"
04-08-2023,148.00,151.35,145.20,147.20,146.29,"3,432,880","Aug 04, 2023"
03-08-2023,149.70,151.40,144.20,147.05,146.14,"6,011,892","Aug 03, 2023"
02-08-2023,154.00,154.40,142.95,148.50,147.58,"9,261,004","Aug 02, 2023"
01-08-2023,158.50,160.70,152.05,155.50,154.54,"8,345,969","Aug 01, 2023"
31-07-2023,155.00,160.00,152.70,158.65,157.67,"9,640,319","Jul 31, 2023"
28-07-2023,148.00,155.60,145.45,154.55,153.59,"12,004,591","Jul 28, 2023"
27-07-2023,148.00,149.40,145.55,148.75,147.83,"4,406,636","Jul 27, 2023"
26-07-2023,149.15,149.80,145.00,147.75,146.84,"5,286,010","Jul 26, 2023"
25-07-2023,142.90,149.80,142.00,148.25,147.33,"19,571,550","Jul 25, 2023"
24-07-2023,135.90,142.40,135.60,141.45,140.57,"14,861,078","Jul 24, 2023"
21-07-2023,129.30,136.80,128.00,135.00,134.16,"13,040,294","Jul 21, 2023"
20-07-2023,130.95,131.35,129.10,129.60,128.80,"3,600,350","Jul 20, 2023"
19-07-2023,132.40,132.80,130.00,130.85,130.04,"4,454,486","Jul 19, 2023"
18-07-2023,129.50,132.75,127.50,131.35,130.54,"9,075,766","Jul 18, 2023"
17-07-2023,130.00,133.15,127.50,128.75,127.95,"16,027,712","Jul 17, 2023"
14-07-2023,124.00,128.00,122.00,126.75,125.97,"9,577,215","Jul 14, 2023"
13-07-2023,122.00,126.80,121.10,122.90,122.14,"10,221,714","Jul 13, 2023"
12-07-2023,120.55,124.65,119.50,121.45,120.70,"8,969,340","Jul 12, 2023"
11-07-2023,120.35,122.10,119.30,120.20,119.46,"4,292,258","Jul 11, 2023"
10-07-2023,121.75,122.35,118.30,120.35,119.60,"4,517,401","Jul 10, 2023"
07-07-2023,120.15,124.40,119.35,121.75,121.00,"9,310,814","Jul 07, 2023"
06-07-2023,116.95,123.85,116.20,119.70,118.96,"15,271,316","Jul 06, 2023"
05-07-2023,113.50,119.35,113.20,116.20,115.48,"5,652,140","Jul 05, 2023"
04-07-2023,114.70,115.85,112.85,113.60,112.90,"1,553,195","Jul 04, 2023"
03-07-2023,115.50,116.95,114.00,114.70,113.99,"1,916,035","Jul 03, 2023"
30-06-2023,116.00,116.40,113.75,114.95,114.24,"1,984,100","Jun 30, 2023"
28-06-2023,116.60,116.60,116.60,116.60,115.88,-,"Jun 28, 2023"
27-06-2023,115.85,117.70,115.15,116.60,115.88,"2,453,220","Jun 27, 2023"
26-06-2023,113.30,116.15,112.05,115.30,114.59,"3,582,699","Jun 26, 2023"
23-06-2023,114.95,116.95,112.30,112.95,112.25,"3,934,568","Jun 23, 2023"
22-06-2023,119.95,120.15,113.35,114.95,114.24,"5,081,783","Jun 22, 2023"
21-06-2023,121.00,122.45,117.65,119.40,118.66,"8,798,814","Jun 21, 2023"
20-06-2023,115.25,121.45,114.65,120.75,120.00,"15,672,070","Jun 20, 2023"
19-06-2023,113.20,115.00,111.50,114.00,113.29,"6,820,892","Jun 19, 2023"
16-06-2023,109.00,113.90,108.05,112.15,111.46,"7,121,944","Jun 16, 2023"
15-06-2023,110.75,111.40,107.50,108.25,107.58,"2,271,664","Jun 15, 2023"
14-06-2023,112.15,113.15,110.20,111.15,110.46,"2,312,001","Jun 14, 2023"
13-06-2023,112.80,113.70,110.70,112.10,111.41,"6,692,822","Jun 13, 2023"
12-06-2023,110.00,110.85,109.00,110.00,109.32,"1,687,759","Jun 12, 2023"
09-06-2023,110.30,110.90,109.00,109.80,109.12,"2,835,539","Jun 09, 2023"
08-06-2023,113.50,113.85,109.90,110.30,109.62,"3,736,394","Jun 08, 2023"
07-06-2023,111.95,114.50,111.60,113.30,112.60,"9,158,575","Jun 07, 2023"
06-06-2023,109.60,113.30,109.20,110.25,109.57,"7,378,107","Jun 06, 2023"
05-06-2023,108.00,110.95,106.25,109.10,108.42,"6,655,397","Jun 05, 2023"
02-06-2023,110.35,110.90,107.40,107.75,107.08,"3,567,752","Jun 02, 2023"
01-06-2023,111.25,111.90,109.10,109.90,109.22,"3,199,757","Jun 01, 2023"
31-05-2023,110.15,111.50,108.35,110.85,110.16,"4,775,128","May 31, 2023"
30-05-2023,110.70,111.65,107.60,110.70,110.01,"9,112,980","May 30, 2023"
29-05-2023,108.65,113.45,105.00,110.70,110.01,"31,090,947","May 29, 2023"
26-05-2023,110.40,110.40,103.65,104.70,104.05,"7,832,419","May 26, 2023"
25-05-2023,108.45,111.00,107.15,110.40,109.72,"14,561,391","May 25, 2023"
24-05-2023,100.40,109.15,99.95,108.55,107.88,"36,178,154","May 24, 2023"
23-05-2023,100.45,102.20,99.90,100.70,100.08,"5,425,855","May 23, 2023"
22-05-2023,100.45,100.95,99.50,100.00,99.38,"4,258,777","May 22, 2023"
19-05-2023,97.15,101.80,94.75,100.45,99.83,"14,471,514","May 19, 2023"
18-05-2023,99.80,99.80,96.50,96.90,96.30,"6,278,033","May 18, 2023"
17-05-2023,100.75,102.65,98.30,99.00,98.39,"12,135,354","May 17, 2023"
16-05-2023,97.40,103.35,96.10,100.30,99.68,"21,598,547","May 16, 2023"
15-05-2023,98.00,99.35,96.25,96.90,96.30,"6,485,466","May 15, 2023"
12-05-2023,100.40,100.40,97.75,98.25,97.64,"7,033,546","May 12, 2023"
11-05-2023,100.60,101.50,97.60,100.05,99.43,"12,347,020","May 11, 2023"
10-05-2023,94.70,99.90,93.75,99.25,98.64,"20,308,792","May 10, 2023"
09-05-2023,99.80,99.80,94.30,95.25,94.66,"10,089,347","May 09, 2023"
08-05-2023,99.40,101.50,97.20,98.90,98.29,"17,584,021","May 08, 2023"
05-05-2023,91.90,101.50,91.50,97.50,96.90,"56,103,719","May 05, 2023"
04-05-2023,93.00,98.55,90.30,91.65,91.08,"34,902,026","May 04, 2023"
03-05-2023,82.70,97.70,82.10,94.85,94.26,"71,363,109","May 03, 2023"
02-05-2023,82.95,83.70,82.15,82.55,82.04,"1,203,546","May 02, 2023"
28-04-2023,82.90,83.60,82.15,82.80,82.29,"965,198","Apr 28, 2023"
27-04-2023,83.80,83.80,82.10,82.45,81.94,"1,016,698","Apr 27, 2023"
26-04-2023,82.30,84.90,82.10,83.45,82.93,"2,444,134","Apr 26, 2023"
25-04-2023,82.90,84.00,82.05,82.30,81.79,"2,026,004","Apr 25, 2023"
24-04-2023,79.15,83.00,78.85,82.60,82.09,"5,647,824","Apr 24, 2023"
21-04-2023,80.60,80.85,78.60,79.10,78.61,"968,841","Apr 21, 2023"
20-04-2023,78.10,80.95,77.80,80.60,80.10,"3,183,721","Apr 20, 2023"
19-04-2023,77.65,79.45,77.50,78.10,77.62,"1,395,273","Apr 19, 2023"
18-04-2023,75.35,78.25,75.30,77.60,77.12,"2,589,761","Apr 18, 2023"
17-04-2023,74.95,75.35,74.55,74.95,74.49,"710,248","Apr 17, 2023"
13-04-2023,75.40,76.00,74.70,75.00,74.54,"910,000","Apr 13, 2023"
12-04-2023,74.50,75.60,73.80,75.25,74.78,"2,475,609","Apr 12, 2023"
11-04-2023,74.95,74.95,74.15,74.40,73.94,"494,984","Apr 11, 2023"
10-04-2023,74.65,75.70,74.15,74.35,73.89,"707,846","Apr 10, 2023"
06-04-2023,74.50,74.80,74.05,74.25,73.79,"683,683","Apr 06, 2023"
05-04-2023,75.60,76.45,74.05,74.35,73.89,"1,524,631","Apr 05, 2023"
03-04-2023,74.95,75.70,73.80,75.40,74.93,"831,838","Apr 03, 2023"
