date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,5.40,5.40,5.40,5.40,5.40,"78,782","Aug 25, 2023"
24-08-2023,5.50,5.50,5.50,5.50,5.50,"135,058","Aug 24, 2023"
23-08-2023,5.60,5.60,5.60,5.60,5.60,"84,412","Aug 23, 2023"
22-08-2023,5.70,5.70,5.70,5.70,5.70,"74,806","Aug 22, 2023"
21-08-2023,5.80,5.80,5.80,5.80,5.80,"55,893","Aug 21, 2023"
18-08-2023,5.90,5.90,5.90,5.90,5.90,"74,123","Aug 18, 2023"
17-08-2023,6.00,6.00,6.00,6.00,6.00,"83,143","Aug 17, 2023"
16-08-2023,6.10,6.10,6.10,6.10,6.10,"47,467","Aug 16, 2023"
14-08-2023,6.20,6.20,6.20,6.20,6.20,"51,603","Aug 14, 2023"
11-08-2023,6.30,6.30,6.30,6.30,6.30,"82,597","Aug 11, 2023"
10-08-2023,6.40,6.40,6.40,6.40,6.40,"53,368","Aug 10, 2023"
09-08-2023,6.50,6.50,6.50,6.50,6.50,"98,115","Aug 09, 2023"
08-08-2023,6.60,6.60,6.60,6.60,6.60,"102,548","Aug 08, 2023"
07-08-2023,6.70,6.70,6.70,6.70,6.70,"173,811","Aug 07, 2023"
04-08-2023,6.80,6.80,6.80,6.80,6.80,"258,822","Aug 04, 2023"
03-08-2023,6.60,6.90,6.30,6.90,6.90,"3,316,264","Aug 03, 2023"
02-08-2023,6.60,6.60,6.50,6.60,6.60,"5,424,202","Aug 02, 2023"
01-08-2023,6.30,6.30,6.15,6.30,6.30,"7,355,300","Aug 01, 2023"
31-07-2023,6.00,6.00,6.00,6.00,6.00,"2,854,350","Jul 31, 2023"
28-07-2023,5.45,5.85,5.45,5.75,5.75,"174,219","Jul 28, 2023"
27-07-2023,5.85,5.95,5.60,5.65,5.65,"1,945,721","Jul 27, 2023"
26-07-2023,5.75,5.75,5.50,5.70,5.70,"2,109,647","Jul 26, 2023"
25-07-2023,5.70,5.85,5.50,5.65,5.65,"1,919,767","Jul 25, 2023"
24-07-2023,5.85,5.95,5.45,5.70,5.70,"295,603","Jul 24, 2023"
21-07-2023,5.80,5.90,5.60,5.70,5.70,"144,095","Jul 21, 2023"
20-07-2023,5.90,5.95,5.75,5.75,5.75,"88,284","Jul 20, 2023"
19-07-2023,5.90,6.00,5.75,5.80,5.80,"113,273","Jul 19, 2023"
18-07-2023,5.85,6.00,5.70,5.75,5.75,"179,019","Jul 18, 2023"
17-07-2023,6.00,6.10,5.60,5.85,5.85,"201,044","Jul 17, 2023"
14-07-2023,6.10,6.15,5.90,5.90,5.90,"132,741","Jul 14, 2023"
13-07-2023,6.30,6.30,6.10,6.10,6.10,"160,252","Jul 13, 2023"
12-07-2023,6.15,6.25,6.00,6.20,6.20,"135,752","Jul 12, 2023"
11-07-2023,6.20,6.25,6.00,6.15,6.15,"128,176","Jul 11, 2023"
10-07-2023,6.00,6.15,6.00,6.05,6.05,"28,709","Jul 10, 2023"
07-07-2023,6.20,6.25,6.00,6.00,6.00,"109,118","Jul 07, 2023"
06-07-2023,6.10,6.35,6.10,6.10,6.10,"86,710","Jul 06, 2023"
05-07-2023,6.40,6.40,6.00,6.15,6.15,"64,428","Jul 05, 2023"
04-07-2023,6.50,6.70,6.10,6.25,6.25,"203,714","Jul 04, 2023"
03-07-2023,6.25,6.40,6.15,6.40,6.40,"149,034","Jul 03, 2023"
30-06-2023,5.80,6.10,5.75,6.10,6.10,"82,478","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,5.95,5.95,5.70,5.75,5.75,"145,408","Jun 27, 2023"
26-06-2023,5.90,5.95,5.80,5.85,5.85,"110,253","Jun 26, 2023"
23-06-2023,5.90,5.95,5.80,5.85,5.85,"110,590","Jun 23, 2023"
22-06-2023,5.85,6.00,5.75,5.80,5.80,"227,859","Jun 22, 2023"
21-06-2023,6.15,6.25,5.85,5.85,5.85,"303,111","Jun 21, 2023"
20-06-2023,6.30,6.40,6.05,6.15,6.15,"238,875","Jun 20, 2023"
19-06-2023,6.55,6.55,6.25,6.35,6.35,"163,509","Jun 19, 2023"
16-06-2023,6.70,6.70,6.45,6.55,6.55,"147,407","Jun 16, 2023"
15-06-2023,6.70,6.70,6.55,6.60,6.60,"210,590","Jun 15, 2023"
14-06-2023,6.55,6.75,6.50,6.60,6.60,"196,785","Jun 14, 2023"
13-06-2023,6.70,6.80,6.50,6.60,6.60,"1,002,374","Jun 13, 2023"
12-06-2023,6.65,6.85,6.55,6.65,6.65,"1,654,920","Jun 12, 2023"
09-06-2023,6.70,6.80,6.55,6.65,6.65,"64,750","Jun 09, 2023"
08-06-2023,6.85,6.85,6.60,6.65,6.65,"163,587","Jun 08, 2023"
07-06-2023,6.75,6.95,6.65,6.70,6.70,"227,953","Jun 07, 2023"
06-06-2023,6.85,7.10,6.70,6.95,6.95,"963,008","Jun 06, 2023"
05-06-2023,6.85,6.90,6.65,6.65,6.65,"475,047","Jun 05, 2023"
02-06-2023,6.85,6.85,6.65,6.75,6.75,"343,150","Jun 02, 2023"
01-06-2023,6.70,6.85,6.65,6.70,6.70,"210,651","Jun 01, 2023"
31-05-2023,6.70,6.85,6.65,6.75,6.75,"2,377,648","May 31, 2023"
30-05-2023,6.85,6.90,6.70,6.75,6.75,"2,215,828","May 30, 2023"
29-05-2023,6.90,6.90,6.75,6.80,6.80,"318,391","May 29, 2023"
26-05-2023,6.95,6.95,6.70,6.75,6.75,"253,850","May 26, 2023"
25-05-2023,6.75,6.95,6.75,6.80,6.80,"170,155","May 25, 2023"
24-05-2023,6.85,6.90,6.60,6.70,6.70,"2,133,469","May 24, 2023"
23-05-2023,6.95,6.95,6.55,6.65,6.65,"2,372,554","May 23, 2023"
22-05-2023,6.90,7.15,6.70,6.80,6.80,"668,950","May 22, 2023"
19-05-2023,6.90,7.10,6.60,6.75,6.75,"2,555,329","May 19, 2023"
18-05-2023,7.35,7.50,7.00,7.05,7.05,"2,553,491","May 18, 2023"
17-05-2023,7.10,7.25,7.00,7.15,7.15,"2,260,979","May 17, 2023"
16-05-2023,7.00,7.15,6.95,7.00,7.00,"2,321,265","May 16, 2023"
15-05-2023,7.70,7.90,6.85,6.90,6.90,"1,247,092","May 15, 2023"
12-05-2023,6.80,7.45,6.70,7.45,7.45,"3,459,101","May 12, 2023"
11-05-2023,7.05,7.10,6.75,6.80,6.80,"382,016","May 11, 2023"
10-05-2023,7.15,7.30,6.85,6.95,6.95,"2,652,594","May 10, 2023"
