date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,0.4000,0.4000,0.3500,0.4000,0.4000,"2,014,490","Aug 25, 2023"
24-08-2023,0.3500,0.4000,0.3500,0.3500,0.3500,"4,357,127","Aug 24, 2023"
23-08-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"4,337,445","Aug 23, 2023"
22-08-2023,0.3500,0.4000,0.3500,0.3500,0.3500,"3,875,296","Aug 22, 2023"
21-08-2023,0.3500,0.4000,0.3500,0.4000,0.4000,"2,915,083","Aug 21, 2023"
18-08-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"3,414,815","Aug 18, 2023"
17-08-2023,0.4000,0.4000,0.3500,0.4000,0.4000,"2,382,870","Aug 17, 2023"
16-08-2023,0.3500,0.4000,0.3500,0.3500,0.3500,"3,924,290","Aug 16, 2023"
14-08-2023,0.4000,0.4000,0.3000,0.3500,0.3500,"4,164,082","Aug 14, 2023"
11-08-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"2,262,926","Aug 11, 2023"
10-08-2023,0.3500,0.4000,0.3500,0.3500,0.3500,"2,187,001","Aug 10, 2023"
09-08-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"2,813,560","Aug 09, 2023"
08-08-2023,0.3500,0.4000,0.3500,0.4000,0.4000,"1,919,544","Aug 08, 2023"
07-08-2023,0.3500,0.4000,0.3500,0.4000,0.4000,"3,112,640","Aug 07, 2023"
04-08-2023,0.3500,0.4000,0.3000,0.3500,0.3500,"3,515,313","Aug 04, 2023"
03-08-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"2,129,871","Aug 03, 2023"
02-08-2023,0.3500,0.4000,0.3000,0.3500,0.3500,"4,617,206","Aug 02, 2023"
01-08-2023,0.3500,0.4000,0.3000,0.3500,0.3500,"4,922,946","Aug 01, 2023"
31-07-2023,0.3500,0.4000,0.3500,0.3500,0.3500,"16,017,690","Jul 31, 2023"
28-07-2023,0.3500,0.4000,0.3500,0.4000,0.4000,"1,264,871","Jul 28, 2023"
27-07-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"2,145,497","Jul 27, 2023"
26-07-2023,0.4000,0.4000,0.3500,0.3500,0.3500,"1,659,936","Jul 26, 2023"
