date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,747.00,757.95,732.25,743.60,743.60,"210,290","Aug 25, 2023"
24-08-2023,774.90,786.70,735.05,747.10,747.10,"297,708","Aug 24, 2023"
23-08-2023,794.95,806.45,740.10,772.20,772.20,"293,532","Aug 23, 2023"
22-08-2023,774.00,797.30,757.50,789.95,789.95,"338,167","Aug 22, 2023"
21-08-2023,791.45,794.95,756.50,769.35,769.35,"369,836","Aug 21, 2023"
18-08-2023,800.00,806.90,781.45,789.70,789.70,"153,280","Aug 18, 2023"
17-08-2023,804.00,810.95,788.30,799.60,799.60,"219,393","Aug 17, 2023"
16-08-2023,790.00,825.45,785.55,800.50,800.50,"570,049","Aug 16, 2023"
14-08-2023,814.90,837.45,770.60,787.55,787.55,"544,555","Aug 14, 2023"
11-08-2023,860.00,876.55,804.80,810.05,810.05,"841,900","Aug 11, 2023"
10-08-2023,829.90,855.80,813.00,846.95,846.95,"816,895","Aug 10, 2023"
09-08-2023,779.80,843.95,771.60,832.30,832.30,"1,207,927","Aug 09, 2023"
08-08-2023,764.00,784.65,763.70,774.00,774.00,"256,110","Aug 08, 2023"
07-08-2023,741.20,771.90,741.20,763.30,763.30,"365,586","Aug 07, 2023"
04-08-2023,735.95,749.90,723.55,739.85,739.85,"261,571","Aug 04, 2023"
03-08-2023,754.25,754.50,733.00,734.80,734.80,"348,241","Aug 03, 2023"
02-08-2023,729.80,757.30,722.00,749.00,749.00,"1,079,230","Aug 02, 2023"
01-08-2023,745.95,749.90,710.50,721.85,721.85,"398,223","Aug 01, 2023"
31-07-2023,747.65,819.70,728.10,732.55,732.55,"2,036,382","Jul 31, 2023"
28-07-2023,716.00,735.00,703.35,725.10,725.10,"215,437","Jul 28, 2023"
27-07-2023,730.80,739.70,712.00,721.15,721.15,"306,927","Jul 27, 2023"
26-07-2023,673.00,733.75,669.55,720.95,720.95,"986,899","Jul 26, 2023"
25-07-2023,662.00,684.00,662.00,675.55,675.55,"284,211","Jul 25, 2023"
24-07-2023,660.00,682.85,652.50,661.00,661.00,"264,160","Jul 24, 2023"
21-07-2023,659.95,660.00,647.55,651.25,651.25,"165,062","Jul 21, 2023"
20-07-2023,656.00,667.95,651.05,661.65,661.65,"226,003","Jul 20, 2023"
19-07-2023,662.00,663.35,638.40,646.95,646.95,"240,937","Jul 19, 2023"
18-07-2023,635.00,664.00,631.00,657.75,657.75,"372,484","Jul 18, 2023"
17-07-2023,642.85,648.25,621.05,628.75,628.75,"139,796","Jul 17, 2023"
14-07-2023,652.35,655.00,635.20,639.30,639.30,"80,655","Jul 14, 2023"
13-07-2023,644.00,657.90,637.10,646.80,646.80,"107,156","Jul 13, 2023"
12-07-2023,658.90,664.65,638.00,640.20,640.20,"137,709","Jul 12, 2023"
11-07-2023,668.10,677.70,652.30,654.95,654.95,"113,273","Jul 11, 2023"
10-07-2023,671.45,675.20,646.05,667.95,667.95,"102,341","Jul 10, 2023"
07-07-2023,677.00,679.95,660.60,664.90,664.90,"116,389","Jul 07, 2023"
06-07-2023,670.75,689.00,665.35,676.50,676.50,"347,490","Jul 06, 2023"
05-07-2023,657.55,673.15,650.20,664.10,664.10,"155,358","Jul 05, 2023"
