date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"3,182.60","3,240.00","3,180.05","3,191.40","3,191.40","12,452","Aug 25, 2023"
24-08-2023,"3,215.65","3,227.95","3,175.10","3,184.75","3,184.75","9,306","Aug 24, 2023"
23-08-2023,"3,185.00","3,280.00","3,182.90","3,215.65","3,215.65","11,069","Aug 23, 2023"
22-08-2023,"3,170.00","3,207.45","3,170.00","3,192.25","3,192.25","6,926","Aug 22, 2023"
21-08-2023,"3,144.70","3,209.45","3,144.70","3,184.40","3,184.40","15,460","Aug 21, 2023"
18-08-2023,"3,196.15","3,209.95","3,147.55","3,170.95","3,170.95","6,964","Aug 18, 2023"
17-08-2023,"3,196.15","3,227.10","3,159.10","3,199.15","3,199.15","8,821","Aug 17, 2023"
16-08-2023,"3,193.00","3,207.55","3,150.05","3,180.20","3,180.20","9,893","Aug 16, 2023"
14-08-2023,"3,143.00","3,235.00","3,140.00","3,191.60","3,191.60","10,020","Aug 14, 2023"
11-08-2023,"3,123.65","3,195.95","3,122.05","3,173.95","3,173.95","8,681","Aug 11, 2023"
10-08-2023,"3,206.95","3,209.90","3,105.65","3,123.65","3,123.65","9,081","Aug 10, 2023"
09-08-2023,"3,225.00","3,252.90","3,188.10","3,205.60","3,205.60","6,809","Aug 09, 2023"
08-08-2023,"3,236.60","3,245.00","3,170.50","3,231.50","3,231.50","20,758","Aug 08, 2023"
07-08-2023,"3,316.75","3,316.80","3,205.00","3,220.50","3,220.50","16,395","Aug 07, 2023"
04-08-2023,"3,350.00","3,365.95","3,252.00","3,300.25","3,300.25","22,957","Aug 04, 2023"
03-08-2023,"3,216.05","3,374.70","3,216.05","3,317.80","3,317.80","40,418","Aug 03, 2023"
02-08-2023,"3,237.85","3,320.95","3,186.00","3,216.05","3,216.05","41,446","Aug 02, 2023"
01-08-2023,"3,178.05","3,255.00","3,172.95","3,221.70","3,221.70","34,285","Aug 01, 2023"
31-07-2023,"3,117.00","3,194.70","3,117.00","3,172.70","3,172.70","29,891","Jul 31, 2023"
