date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,51.65,52.75,50.30,52.50,52.50,"957,146","Aug 25, 2023"
24-08-2023,51.10,52.90,51.10,51.80,51.80,"774,586","Aug 24, 2023"
23-08-2023,51.10,52.50,51.00,51.65,51.65,"596,862","Aug 23, 2023"
22-08-2023,52.00,53.00,50.65,51.10,51.10,"853,864","Aug 22, 2023"
21-08-2023,49.00,51.60,49.00,51.45,51.45,"2,203,960","Aug 21, 2023"
18-08-2023,46.85,49.75,46.55,48.60,48.60,"1,698,682","Aug 18, 2023"
17-08-2023,46.40,47.00,45.80,46.75,46.75,"398,642","Aug 17, 2023"
16-08-2023,47.00,47.25,46.00,46.15,46.15,"238,639","Aug 16, 2023"
14-08-2023,47.55,47.60,46.40,46.95,46.95,"233,614","Aug 14, 2023"
11-08-2023,47.85,48.15,47.10,47.55,47.55,"469,817","Aug 11, 2023"
10-08-2023,47.45,47.85,47.30,47.55,47.55,"227,069","Aug 10, 2023"
09-08-2023,47.75,47.85,47.10,47.30,47.30,"204,488","Aug 09, 2023"
08-08-2023,48.10,48.35,47.50,47.55,47.55,"160,217","Aug 08, 2023"
07-08-2023,47.20,48.50,47.10,47.85,47.85,"497,495","Aug 07, 2023"
04-08-2023,46.35,47.30,46.35,47.00,47.00,"309,317","Aug 04, 2023"
03-08-2023,46.50,46.80,46.10,46.30,46.30,"236,904","Aug 03, 2023"
02-08-2023,47.30,47.60,46.40,46.45,46.45,"233,448","Aug 02, 2023"
01-08-2023,46.65,47.60,46.45,47.10,47.10,"378,012","Aug 01, 2023"
31-07-2023,46.10,47.30,46.00,46.60,46.60,"466,388","Jul 31, 2023"
28-07-2023,47.85,48.15,46.00,47.55,47.55,"258,715","Jul 28, 2023"
27-07-2023,48.00,48.70,46.00,47.25,47.25,"308,110","Jul 27, 2023"
26-07-2023,47.70,48.30,47.40,47.90,47.90,"314,497","Jul 26, 2023"
25-07-2023,47.15,48.00,47.10,47.55,47.55,"249,013","Jul 25, 2023"
24-07-2023,46.70,47.50,46.70,47.05,47.05,"389,696","Jul 24, 2023"
21-07-2023,47.00,47.00,46.45,46.65,46.65,"206,662","Jul 21, 2023"
