date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,346.55,367.75,346.00,351.20,351.20,"162,368","Aug 25, 2023"
24-08-2023,349.20,355.05,345.30,350.25,350.25,"77,515","Aug 24, 2023"
23-08-2023,349.80,364.00,342.00,344.10,344.10,"110,101","Aug 23, 2023"
22-08-2023,352.95,354.95,339.00,346.70,346.70,"157,753","Aug 22, 2023"
21-08-2023,357.80,368.70,340.30,344.75,344.75,"251,431","Aug 21, 2023"
18-08-2023,355.00,355.70,341.10,351.15,351.15,"193,644","Aug 18, 2023"
17-08-2023,355.00,364.10,332.80,355.70,355.70,"1,108,045","Aug 17, 2023"
16-08-2023,346.80,346.80,335.20,346.80,346.80,"369,818","Aug 16, 2023"
14-08-2023,330.30,330.30,330.30,330.30,330.30,"249,996","Aug 14, 2023"
11-08-2023,314.60,314.60,306.00,314.60,314.60,"288,886","Aug 11, 2023"
10-08-2023,299.65,299.65,299.65,299.65,299.65,"30,721","Aug 10, 2023"
09-08-2023,285.40,285.40,285.40,285.40,285.40,"110,171","Aug 09, 2023"
08-08-2023,280.80,282.90,266.00,271.85,271.85,"55,786","Aug 08, 2023"
07-08-2023,265.00,276.25,260.00,276.25,276.25,"57,783","Aug 07, 2023"
04-08-2023,254.95,264.90,252.00,263.10,263.10,"96,516","Aug 04, 2023"
03-08-2023,244.25,254.00,241.05,252.60,252.60,"56,003","Aug 03, 2023"
02-08-2023,250.85,258.05,241.20,244.25,244.25,"46,181","Aug 02, 2023"
01-08-2023,255.85,256.50,244.10,251.20,251.20,"25,393","Aug 01, 2023"
31-07-2023,242.75,254.50,235.25,253.40,253.40,"92,820","Jul 31, 2023"
28-07-2023,246.00,250.00,235.35,242.95,242.95,"39,744","Jul 28, 2023"
27-07-2023,250.00,252.00,244.00,245.70,245.70,"23,301","Jul 27, 2023"
26-07-2023,259.95,259.95,242.30,246.40,246.40,"60,069","Jul 26, 2023"
25-07-2023,250.25,260.90,240.05,254.55,254.55,"188,577","Jul 25, 2023"
24-07-2023,254.60,261.05,246.00,250.00,250.00,"36,747","Jul 24, 2023"
