date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,78.10,80.00,77.10,78.75,78.75,"431,980","Aug 25, 2023"
24-08-2023,76.50,79.50,76.50,77.65,77.65,"299,842","Aug 24, 2023"
23-08-2023,77.00,79.00,75.25,76.30,76.30,"263,086","Aug 23, 2023"
22-08-2023,77.70,78.75,76.45,77.20,77.20,"202,141","Aug 22, 2023"
21-08-2023,74.00,79.50,74.00,76.95,76.95,"486,488","Aug 21, 2023"
18-08-2023,75.55,76.20,73.50,74.75,74.75,"217,228","Aug 18, 2023"
17-08-2023,74.70,76.65,73.10,75.75,75.75,"229,865","Aug 17, 2023"
16-08-2023,73.30,75.00,72.25,74.75,74.75,"210,913","Aug 16, 2023"
14-08-2023,71.50,74.35,70.05,73.65,73.65,"293,491","Aug 14, 2023"
11-08-2023,72.45,73.50,71.10,71.85,71.85,"282,026","Aug 11, 2023"
10-08-2023,73.45,74.35,71.55,72.30,72.30,"332,777","Aug 10, 2023"
09-08-2023,72.45,73.75,71.70,73.20,73.20,"429,262","Aug 09, 2023"
08-08-2023,75.00,75.70,71.10,72.15,72.15,"766,435","Aug 08, 2023"
07-08-2023,77.15,78.60,72.00,76.35,76.35,"603,719","Aug 07, 2023"
04-08-2023,75.50,77.20,75.00,76.60,76.60,"553,584","Aug 04, 2023"
03-08-2023,72.25,75.95,72.25,75.35,75.35,"293,504","Aug 03, 2023"
02-08-2023,76.00,76.35,71.55,73.55,73.55,"343,339","Aug 02, 2023"
01-08-2023,75.45,77.60,74.60,75.80,75.80,"346,655","Aug 01, 2023"
31-07-2023,69.20,77.60,69.20,75.05,75.05,"1,210,156","Jul 31, 2023"
28-07-2023,70.20,71.00,68.45,69.75,69.75,"212,809","Jul 28, 2023"
27-07-2023,69.60,72.30,69.60,70.15,70.15,"272,123","Jul 27, 2023"
26-07-2023,71.00,71.70,69.25,70.40,70.40,"454,812","Jul 26, 2023"
25-07-2023,69.80,71.85,69.30,70.95,70.95,"454,120","Jul 25, 2023"
24-07-2023,69.60,70.80,68.00,69.70,69.70,"644,864","Jul 24, 2023"
21-07-2023,72.50,74.50,69.80,70.00,70.00,"689,039","Jul 21, 2023"
20-07-2023,73.40,75.60,72.35,72.65,72.65,"512,542","Jul 20, 2023"
19-07-2023,75.30,77.00,73.10,73.80,73.80,"613,093","Jul 19, 2023"
18-07-2023,77.25,77.90,74.60,75.30,75.30,"547,261","Jul 18, 2023"
17-07-2023,79.40,80.40,76.50,77.25,77.25,"489,639","Jul 17, 2023"
14-07-2023,79.00,79.80,77.30,78.70,78.70,"417,198","Jul 14, 2023"
13-07-2023,81.85,82.80,77.10,78.55,78.55,"759,520","Jul 13, 2023"
12-07-2023,83.20,85.40,81.45,81.85,81.85,"893,011","Jul 12, 2023"
11-07-2023,83.20,83.25,81.40,82.85,82.85,"454,427","Jul 11, 2023"
10-07-2023,84.80,85.40,82.10,82.65,82.65,"412,292","Jul 10, 2023"
07-07-2023,84.00,86.00,80.70,84.10,84.10,"1,601,300","Jul 07, 2023"
06-07-2023,79.00,84.80,77.00,83.60,83.60,"2,206,764","Jul 06, 2023"
05-07-2023,76.70,81.00,76.70,78.85,78.85,"1,070,499","Jul 05, 2023"
04-07-2023,79.00,80.40,76.40,76.70,76.70,"1,512,629","Jul 04, 2023"
03-07-2023,74.00,80.30,74.00,77.90,77.90,"2,130,328","Jul 03, 2023"
30-06-2023,68.00,76.15,67.05,73.20,73.20,"3,006,753","Jun 30, 2023"
28-06-2023,65.00,65.00,65.00,65.00,65.00,-,"Jun 28, 2023"
27-06-2023,64.90,66.80,64.05,65.00,65.00,"533,241","Jun 27, 2023"
26-06-2023,69.90,71.25,62.50,63.80,63.80,"927,120","Jun 26, 2023"
23-06-2023,67.60,69.00,66.65,67.85,67.85,"316,747","Jun 23, 2023"
22-06-2023,66.00,68.40,65.00,67.60,67.60,"477,669","Jun 22, 2023"
21-06-2023,68.00,71.85,65.05,65.55,65.55,"916,791","Jun 21, 2023"
20-06-2023,68.45,68.45,66.00,68.45,68.45,"614,301","Jun 20, 2023"
19-06-2023,65.20,65.20,65.15,65.20,65.20,"588,864","Jun 19, 2023"
16-06-2023,59.75,62.10,59.15,62.10,62.10,"543,582","Jun 16, 2023"
15-06-2023,58.70,61.90,58.70,59.15,59.15,"1,087,001","Jun 15, 2023"
14-06-2023,61.75,66.60,61.75,61.75,61.75,"1,478,442","Jun 14, 2023"
13-06-2023,65.00,65.00,65.00,65.00,65.00,"46,402","Jun 13, 2023"
12-06-2023,72.00,73.50,68.40,68.40,68.40,"724,711","Jun 12, 2023"
