date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,106.00","1,115.00","1,106.00","1,115.00","1,115.00",122,"Aug 25, 2023"
24-08-2023,"1,106.00","1,106.00","1,105.00","1,106.00","1,106.00",125,"Aug 24, 2023"
23-08-2023,"1,105.00","1,119.95","1,100.00","1,105.00","1,105.00","2,567","Aug 23, 2023"
22-08-2023,"1,098.00","1,098.55","1,056.00","1,098.00","1,098.00",842,"Aug 22, 2023"
21-08-2023,"1,077.05","1,097.00","1,077.05","1,077.05","1,077.05",16,"Aug 21, 2023"
18-08-2023,"1,099.00","1,132.60","1,099.00","1,099.00","1,099.00",987,"Aug 18, 2023"
17-08-2023,"1,110.40","1,110.40","1,110.40","1,110.40","1,110.40","2,365","Aug 17, 2023"
16-08-2023,"1,088.65","1,088.65","1,088.65","1,088.65","1,088.65","2,268","Aug 16, 2023"
14-08-2023,"1,017.00","1,067.35","1,000.00","1,067.35","1,067.35","7,380","Aug 14, 2023"
11-08-2023,"1,036.65","1,036.65",990.00,"1,016.55","1,016.55","7,997","Aug 11, 2023"
10-08-2023,985.00,987.30,985.00,987.30,987.30,"1,712","Aug 10, 2023"
09-08-2023,895.55,940.30,895.00,940.30,940.30,927,"Aug 09, 2023"
08-08-2023,895.00,910.00,895.00,895.55,895.55,128,"Aug 08, 2023"
07-08-2023,917.00,917.00,890.00,905.90,905.90,227,"Aug 07, 2023"
04-08-2023,856.70,905.50,856.70,880.40,880.40,199,"Aug 04, 2023"
03-08-2023,913.00,939.50,890.00,896.30,896.30,"1,065","Aug 03, 2023"
02-08-2023,935.00,955.00,906.00,911.00,911.00,596,"Aug 02, 2023"
01-08-2023,875.00,929.45,875.00,915.00,915.00,977,"Aug 01, 2023"
31-07-2023,885.00,904.35,850.00,894.50,894.50,"1,037","Jul 31, 2023"
28-07-2023,864.45,870.00,840.00,868.60,868.60,280,"Jul 28, 2023"
27-07-2023,841.00,866.00,841.00,864.45,864.45,552,"Jul 27, 2023"
26-07-2023,850.00,865.00,830.05,840.00,840.00,322,"Jul 26, 2023"
25-07-2023,875.00,875.00,850.00,851.45,851.45,454,"Jul 25, 2023"
24-07-2023,839.90,845.00,826.00,840.50,840.50,261,"Jul 24, 2023"
21-07-2023,850.45,850.95,825.50,849.35,849.35,491,"Jul 21, 2023"
20-07-2023,859.90,859.90,825.05,846.85,846.85,103,"Jul 20, 2023"
19-07-2023,830.00,845.00,825.00,845.00,845.00,183,"Jul 19, 2023"
18-07-2023,848.35,848.35,820.05,839.80,839.80,321,"Jul 18, 2023"
17-07-2023,821.15,850.00,821.15,848.35,848.35,325,"Jul 17, 2023"
14-07-2023,840.00,883.50,825.00,834.90,834.90,826,"Jul 14, 2023"
13-07-2023,824.80,847.95,820.15,841.50,841.50,392,"Jul 13, 2023"
12-07-2023,845.00,860.00,815.20,824.80,824.80,"1,219","Jul 12, 2023"
11-07-2023,810.00,850.00,810.00,849.00,849.00,391,"Jul 11, 2023"
10-07-2023,855.00,855.00,825.00,833.90,833.90,217,"Jul 10, 2023"
07-07-2023,849.95,855.00,827.05,848.10,848.10,"1,488","Jul 07, 2023"
06-07-2023,848.00,870.00,821.05,845.00,845.00,303,"Jul 06, 2023"
05-07-2023,867.95,867.95,825.00,833.70,833.70,364,"Jul 05, 2023"
04-07-2023,876.10,890.00,835.10,838.30,838.30,361,"Jul 04, 2023"
03-07-2023,860.00,877.30,859.95,876.10,876.10,605,"Jul 03, 2023"
30-06-2023,835.55,870.00,801.05,860.35,860.35,"1,434","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,815.00,879.00,815.00,855.00,855.00,482,"Jun 27, 2023"
26-06-2023,843.05,884.00,843.05,857.85,857.85,717,"Jun 26, 2023"
23-06-2023,886.00,904.00,886.00,887.15,887.15,"3,400","Jun 23, 2023"
22-06-2023,966.00,970.00,925.00,931.85,931.85,"2,554","Jun 22, 2023"
21-06-2023,954.00,975.00,912.65,971.80,971.80,"6,333","Jun 21, 2023"
20-06-2023,972.20,999.00,946.05,960.65,960.65,"3,078","Jun 20, 2023"
19-06-2023,"1,000.00","1,009.00",946.75,995.85,995.85,"12,745","Jun 19, 2023"
16-06-2023,969.00,"1,012.20",961.00,996.55,996.55,"113,732","Jun 16, 2023"
15-06-2023,884.00,920.20,856.00,920.20,920.20,"140,742","Jun 15, 2023"
14-06-2023,639.05,766.85,639.00,766.85,766.85,"25,193","Jun 14, 2023"
13-06-2023,575.00,650.00,575.00,639.05,639.05,"11,714","Jun 13, 2023"
12-06-2023,584.05,587.15,573.00,575.90,575.90,662,"Jun 12, 2023"
09-06-2023,550.00,594.80,550.00,575.50,575.50,"7,907","Jun 09, 2023"
