date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,572.10","1,584.30","1,540.00","1,546.60","1,546.60","156,293","Aug 25, 2023"
24-08-2023,"1,594.40","1,627.80","1,564.10","1,572.00","1,572.00","335,450","Aug 24, 2023"
23-08-2023,"1,613.00","1,613.00","1,572.05","1,581.20","1,581.20","172,375","Aug 23, 2023"
22-08-2023,"1,597.00","1,625.00","1,596.95","1,606.10","1,606.10","228,887","Aug 22, 2023"
21-08-2023,"1,570.00","1,599.00","1,545.00","1,589.85","1,589.85","210,564","Aug 21, 2023"
18-08-2023,"1,617.25","1,631.25","1,521.65","1,568.70","1,568.70","378,777","Aug 18, 2023"
17-08-2023,"1,535.00","1,664.65","1,526.65","1,617.55","1,617.55","554,036","Aug 17, 2023"
16-08-2023,"1,564.95","1,594.95","1,535.10","1,546.25","1,546.25","210,746","Aug 16, 2023"
14-08-2023,"1,649.00","1,649.00","1,550.00","1,602.80","1,602.80","410,355","Aug 14, 2023"
11-08-2023,"1,665.00","1,692.00","1,605.00","1,648.00","1,648.00","856,415","Aug 11, 2023"
10-08-2023,"1,685.00","1,727.05","1,643.10","1,660.70","1,660.70","2,445,732","Aug 10, 2023"
09-08-2023,"1,635.00","1,768.00","1,621.00","1,671.65","1,671.65","12,136,886","Aug 09, 2023"
08-08-2023,"1,500.00","1,611.05","1,430.10","1,611.05","1,611.05","5,995,633","Aug 08, 2023"
07-08-2023,"1,343.45","1,378.00","1,301.05","1,342.55","1,342.55","684,651","Aug 07, 2023"
04-08-2023,"1,332.40","1,364.00","1,330.00","1,335.45","1,335.45","639,810","Aug 04, 2023"
03-08-2023,"1,284.70","1,335.95","1,282.05","1,329.00","1,329.00","622,557","Aug 03, 2023"
02-08-2023,"1,290.05","1,306.60","1,265.65","1,288.75","1,288.75","585,291","Aug 02, 2023"
01-08-2023,"1,306.00","1,324.00","1,287.00","1,303.60","1,303.60","501,912","Aug 01, 2023"
31-07-2023,"1,350.00","1,393.95","1,282.00","1,307.55","1,307.55","2,257,573","Jul 31, 2023"
28-07-2023,"1,266.60","1,301.00","1,250.25","1,292.00","1,292.00","947,615","Jul 28, 2023"
27-07-2023,"1,198.40","1,295.00","1,196.05","1,266.60","1,266.60","1,281,876","Jul 27, 2023"
26-07-2023,"1,231.95","1,245.00","1,190.00","1,194.55","1,194.55","306,247","Jul 26, 2023"
25-07-2023,"1,244.70","1,264.50","1,218.10","1,227.15","1,227.15","328,087","Jul 25, 2023"
24-07-2023,"1,235.65","1,246.45","1,211.05","1,239.35","1,239.35","402,752","Jul 24, 2023"
21-07-2023,"1,240.90","1,268.00","1,225.15","1,235.65","1,235.65","770,898","Jul 21, 2023"
20-07-2023,"1,198.50","1,243.15","1,198.50","1,237.05","1,237.05","1,658,008","Jul 20, 2023"
19-07-2023,"1,163.70","1,216.00","1,158.00","1,191.15","1,191.15","1,136,747","Jul 19, 2023"
18-07-2023,"1,180.00","1,182.80","1,148.30","1,161.20","1,161.20","315,290","Jul 18, 2023"
17-07-2023,"1,145.80","1,184.00","1,136.75","1,171.40","1,171.40","795,524","Jul 17, 2023"
14-07-2023,"1,112.00","1,147.00","1,109.00","1,136.75","1,136.75","1,085,336","Jul 14, 2023"
13-07-2023,"1,097.00","1,110.00","1,086.10","1,105.80","1,105.80","619,965","Jul 13, 2023"
12-07-2023,"1,110.00","1,110.00","1,084.50","1,092.70","1,092.70","526,923","Jul 12, 2023"
11-07-2023,"1,092.00","1,109.15","1,073.40","1,104.30","1,104.30","751,557","Jul 11, 2023"
10-07-2023,"1,059.00","1,135.85","1,056.65","1,084.75","1,084.75","3,176,023","Jul 10, 2023"
07-07-2023,"1,058.00","1,068.25","1,042.00","1,046.15","1,046.15","317,782","Jul 07, 2023"
06-07-2023,"1,069.00","1,069.00","1,057.05","1,060.45","1,060.45","174,143","Jul 06, 2023"
05-07-2023,"1,051.80","1,068.95","1,050.90","1,064.05","1,064.05","238,749","Jul 05, 2023"
04-07-2023,"1,070.95","1,070.95","1,045.00","1,051.80","1,051.80","326,952","Jul 04, 2023"
03-07-2023,"1,069.45","1,072.00","1,040.05","1,066.15","1,066.15","431,924","Jul 03, 2023"
30-06-2023,"1,066.00","1,083.70","1,052.90","1,062.50","1,062.50","603,486","Jun 30, 2023"
28-06-2023,"1,014.95","1,014.95","1,014.95","1,014.95","1,014.95",-,"Jun 28, 2023"
27-06-2023,"1,025.65","1,025.65","1,010.00","1,014.95","1,014.95","387,094","Jun 27, 2023"
26-06-2023,980.00,"1,027.90",972.05,"1,021.00","1,021.00","1,117,738","Jun 26, 2023"
23-06-2023,997.00,"1,004.95",971.00,980.00,980.00,"498,393","Jun 23, 2023"
22-06-2023,"1,006.00","1,011.70",988.65,997.40,997.40,"782,005","Jun 22, 2023"
21-06-2023,"1,025.00","1,028.95","1,002.80","1,006.35","1,006.35","456,867","Jun 21, 2023"
20-06-2023,"1,025.00","1,031.95","1,017.00","1,022.00","1,022.00","300,994","Jun 20, 2023"
19-06-2023,"1,019.00","1,033.95","1,013.00","1,023.75","1,023.75","541,869","Jun 19, 2023"
16-06-2023,"1,016.00","1,027.15","1,003.05","1,009.05","1,009.05","490,039","Jun 16, 2023"
15-06-2023,"1,004.00","1,019.80","1,000.25","1,008.45","1,008.45","1,009,787","Jun 15, 2023"
14-06-2023,"1,003.00","1,065.00",995.00,"1,001.10","1,001.10","4,507,074","Jun 14, 2023"
13-06-2023,966.00,"1,010.10",965.05,993.70,993.70,"2,461,357","Jun 13, 2023"
12-06-2023,960.00,969.00,951.20,955.45,955.45,"616,871","Jun 12, 2023"
09-06-2023,955.00,989.00,950.00,959.55,959.55,"1,526,555","Jun 09, 2023"
08-06-2023,948.50,962.80,943.15,951.85,951.85,"432,804","Jun 08, 2023"
07-06-2023,946.25,953.00,940.55,943.00,943.00,"269,019","Jun 07, 2023"
06-06-2023,938.35,956.80,932.85,942.00,942.00,"484,854","Jun 06, 2023"
05-06-2023,930.00,943.95,925.10,935.25,935.25,"383,146","Jun 05, 2023"
02-06-2023,936.00,937.00,920.00,922.25,922.25,"332,720","Jun 02, 2023"
01-06-2023,923.00,943.00,921.25,932.45,932.45,"336,810","Jun 01, 2023"
31-05-2023,908.50,927.60,902.00,924.05,924.05,"277,597","May 31, 2023"
30-05-2023,912.75,920.00,896.50,907.70,907.70,"493,509","May 30, 2023"
29-05-2023,929.30,940.00,910.00,911.60,911.60,"503,070","May 29, 2023"
26-05-2023,928.00,932.00,912.10,929.25,929.25,"604,233","May 26, 2023"
25-05-2023,943.00,954.90,919.00,924.15,924.15,"505,856","May 25, 2023"
24-05-2023,950.00,964.00,927.00,934.45,934.45,"935,219","May 24, 2023"
23-05-2023,917.00,979.60,905.00,941.40,941.40,"6,490,075","May 23, 2023"
22-05-2023,950.05,979.90,861.00,893.55,893.55,"10,765,871","May 22, 2023"
19-05-2023,"1,160.00","1,194.40","1,065.60","1,065.60","1,065.60","2,839,265","May 19, 2023"
18-05-2023,"1,348.45","1,379.90","1,315.05","1,331.95","1,331.95","237,928","May 18, 2023"
17-05-2023,"1,359.65","1,366.80","1,333.00","1,338.70","1,338.70","106,503","May 17, 2023"
16-05-2023,"1,376.95","1,388.00","1,350.25","1,354.70","1,354.70","268,900","May 16, 2023"
15-05-2023,"1,362.70","1,379.85","1,355.00","1,370.50","1,370.50","122,865","May 15, 2023"
12-05-2023,"1,386.70","1,394.95","1,352.00","1,358.45","1,358.45","224,994","May 12, 2023"
11-05-2023,"1,410.00","1,415.40","1,380.00","1,384.35","1,384.35","175,558","May 11, 2023"
10-05-2023,"1,395.95","1,418.60","1,373.35","1,403.15","1,403.15","368,180","May 10, 2023"
09-05-2023,"1,395.00","1,419.30","1,385.55","1,395.90","1,395.90","240,997","May 09, 2023"
08-05-2023,"1,407.95","1,421.10","1,375.00","1,388.25","1,388.25","447,864","May 08, 2023"
05-05-2023,"1,370.00","1,429.10","1,364.05","1,397.55","1,397.55","659,354","May 05, 2023"
04-05-2023,"1,373.00","1,382.00","1,362.05","1,371.70","1,371.70","141,553","May 04, 2023"
03-05-2023,"1,372.70","1,383.50","1,367.10","1,370.70","1,370.70","128,244","May 03, 2023"
02-05-2023,"1,372.00","1,395.00","1,368.15","1,375.70","1,375.70","406,309","May 02, 2023"
28-04-2023,"1,369.00","1,375.00","1,346.30","1,358.80","1,358.80","286,689","Apr 28, 2023"
27-04-2023,"1,376.90","1,390.00","1,361.60","1,367.70","1,367.70","332,068","Apr 27, 2023"
26-04-2023,"1,349.70","1,394.00","1,332.35","1,379.20","1,379.20","1,142,397","Apr 26, 2023"
25-04-2023,"1,321.20","1,376.95","1,318.20","1,349.70","1,349.70","1,917,504","Apr 25, 2023"
24-04-2023,"1,320.10","1,324.00","1,286.00","1,310.45","1,310.45","703,209","Apr 24, 2023"
21-04-2023,"1,365.00","1,365.00","1,305.00","1,311.20","1,311.20","1,294,691","Apr 21, 2023"
20-04-2023,"1,399.95","1,416.95","1,347.05","1,364.45","1,364.45","2,818,412","Apr 20, 2023"
19-04-2023,"1,235.00","1,477.85","1,232.05","1,416.95","1,416.95","6,725,689","Apr 19, 2023"
