date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,410.00","1,425.00","1,397.10","1,420.40","1,420.40","46,629","Aug 25, 2023"
24-08-2023,"1,422.95","1,424.00","1,407.00","1,411.45","1,411.45","59,709","Aug 24, 2023"
23-08-2023,"1,401.65","1,426.65","1,387.80","1,421.55","1,421.55","162,685","Aug 23, 2023"
22-08-2023,"1,410.00","1,410.00","1,397.75","1,401.65","1,401.65","13,996","Aug 22, 2023"
21-08-2023,"1,417.60","1,417.60","1,397.00","1,404.60","1,404.60","39,644","Aug 21, 2023"
18-08-2023,"1,406.10","1,418.05","1,396.20","1,410.20","1,410.20","47,620","Aug 18, 2023"
17-08-2023,"1,414.90","1,422.25","1,405.00","1,408.85","1,408.85","17,477","Aug 17, 2023"
16-08-2023,"1,419.80","1,421.70","1,408.00","1,416.35","1,416.35","21,967","Aug 16, 2023"
14-08-2023,"1,436.00","1,436.00","1,409.10","1,415.10","1,415.10","70,554","Aug 14, 2023"
11-08-2023,"1,431.60","1,455.10","1,428.85","1,441.60","1,441.60","92,402","Aug 11, 2023"
10-08-2023,"1,440.50","1,445.00","1,422.00","1,431.60","1,431.60","46,169","Aug 10, 2023"
09-08-2023,"1,400.65","1,442.00","1,395.00","1,433.30","1,433.30","97,914","Aug 09, 2023"
08-08-2023,"1,399.10","1,403.55","1,390.00","1,400.65","1,400.65","45,613","Aug 08, 2023"
07-08-2023,"1,407.60","1,410.00","1,393.85","1,399.10","1,399.10","45,085","Aug 07, 2023"
04-08-2023,"1,409.25","1,410.00","1,396.25","1,401.60","1,401.60","13,284","Aug 04, 2023"
03-08-2023,"1,405.00","1,426.20","1,393.80","1,402.20","1,402.20","79,757","Aug 03, 2023"
02-08-2023,"1,408.90","1,408.90","1,388.00","1,405.00","1,405.00","61,211","Aug 02, 2023"
01-08-2023,"1,403.40","1,410.00","1,391.35","1,405.00","1,405.00","50,880","Aug 01, 2023"
31-07-2023,"1,399.95","1,414.40","1,386.00","1,396.10","1,396.10","54,386","Jul 31, 2023"
28-07-2023,"1,400.30","1,418.45","1,387.15","1,395.20","1,395.20","56,528","Jul 28, 2023"
27-07-2023,"1,408.80","1,409.90","1,391.70","1,400.30","1,400.30","79,298","Jul 27, 2023"
26-07-2023,"1,407.00","1,414.85","1,386.55","1,401.40","1,401.40","122,943","Jul 26, 2023"
25-07-2023,"1,392.00","1,407.00","1,380.10","1,402.80","1,402.80","98,368","Jul 25, 2023"
24-07-2023,"1,405.00","1,409.20","1,385.25","1,391.90","1,391.90","43,477","Jul 24, 2023"
21-07-2023,"1,394.20","1,404.20","1,377.25","1,398.35","1,398.35","50,612","Jul 21, 2023"
20-07-2023,"1,408.90","1,408.90","1,390.05","1,393.70","1,393.70","26,689","Jul 20, 2023"
19-07-2023,"1,420.00","1,420.00","1,397.45","1,401.85","1,401.85","124,968","Jul 19, 2023"
18-07-2023,"1,428.00","1,428.00","1,398.05","1,413.45","1,413.45","118,423","Jul 18, 2023"
17-07-2023,"1,401.00","1,460.00","1,394.45","1,416.25","1,416.25","241,291","Jul 17, 2023"
14-07-2023,"1,403.00","1,403.00","1,386.00","1,387.40","1,387.40","100,421","Jul 14, 2023"
13-07-2023,"1,399.90","1,406.10","1,395.00","1,401.00","1,401.00","205,403","Jul 13, 2023"
12-07-2023,"1,395.00","1,410.00","1,385.45","1,394.90","1,394.90","126,011","Jul 12, 2023"
11-07-2023,"1,385.00","1,408.75","1,380.40","1,389.35","1,389.35","202,879","Jul 11, 2023"
10-07-2023,"1,405.00","1,412.65","1,394.30","1,397.30","1,397.30","75,127","Jul 10, 2023"
07-07-2023,"1,406.20","1,414.25","1,395.45","1,400.45","1,400.45","54,164","Jul 07, 2023"
06-07-2023,"1,421.20","1,422.45","1,400.00","1,415.50","1,415.50","52,843","Jul 06, 2023"
