date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,174.10,174.15,168.50,172.05,172.05,"18,692","Aug 25, 2023"
24-08-2023,176.70,176.70,170.30,174.30,174.30,"14,047","Aug 24, 2023"
23-08-2023,165.40,174.00,162.05,173.20,173.20,"26,373","Aug 23, 2023"
23-08-2023,1.25 Dividend,,,,,,"Aug 23, 2023"
22-08-2023,169.60,169.65,167.45,167.90,166.65,"15,341","Aug 22, 2023"
21-08-2023,166.00,169.80,164.00,167.45,166.20,"19,235","Aug 21, 2023"
18-08-2023,168.10,171.75,165.00,165.55,164.32,"24,459","Aug 18, 2023"
17-08-2023,170.50,171.70,163.00,169.70,168.44,"33,117","Aug 17, 2023"
16-08-2023,174.00,174.00,165.00,170.40,169.13,"29,661","Aug 16, 2023"
14-08-2023,169.05,172.95,167.75,169.50,168.24,"44,273","Aug 14, 2023"
11-08-2023,187.40,187.40,176.55,176.55,175.24,"62,941","Aug 11, 2023"
10-08-2023,194.40,194.40,185.00,185.85,184.47,"40,959","Aug 10, 2023"
09-08-2023,199.95,200.00,187.00,193.25,191.81,"50,619","Aug 09, 2023"
08-08-2023,189.00,194.40,185.80,191.65,190.22,"47,815","Aug 08, 2023"
07-08-2023,182.65,190.00,182.65,185.80,184.42,"29,313","Aug 07, 2023"
04-08-2023,187.25,187.25,177.80,182.35,180.99,"28,895","Aug 04, 2023"
03-08-2023,189.95,190.85,183.00,186.90,185.51,"25,931","Aug 03, 2023"
02-08-2023,186.40,187.00,184.00,185.40,184.02,"61,428","Aug 02, 2023"
01-08-2023,177.10,184.00,177.00,183.85,182.48,"52,035","Aug 01, 2023"
31-07-2023,174.50,176.00,171.00,175.50,174.19,"28,689","Jul 31, 2023"
28-07-2023,173.25,175.00,170.00,173.80,172.51,"15,824","Jul 28, 2023"
27-07-2023,173.95,177.00,168.35,172.95,171.66,"33,108","Jul 27, 2023"
26-07-2023,167.35,173.10,163.10,173.10,171.81,"41,081","Jul 26, 2023"
25-07-2023,165.65,167.95,163.00,164.90,163.67,"24,532","Jul 25, 2023"
24-07-2023,168.00,168.00,164.50,165.65,164.42,"16,655","Jul 24, 2023"
21-07-2023,172.60,172.60,162.55,166.40,165.16,"29,526","Jul 21, 2023"
20-07-2023,163.95,171.00,162.15,170.35,169.08,"35,499","Jul 20, 2023"
19-07-2023,165.80,165.80,162.05,163.75,162.53,"18,382","Jul 19, 2023"
18-07-2023,163.50,167.10,162.15,163.20,161.98,"27,960","Jul 18, 2023"
17-07-2023,168.50,168.50,162.00,163.40,162.18,"27,816","Jul 17, 2023"
14-07-2023,164.95,169.80,162.00,163.60,162.38,"32,641","Jul 14, 2023"
13-07-2023,170.75,170.75,164.10,164.95,163.72,"31,700","Jul 13, 2023"
12-07-2023,169.75,174.00,163.05,170.75,169.48,"59,393","Jul 12, 2023"
11-07-2023,173.05,173.05,164.20,168.25,167.00,"82,999","Jul 11, 2023"
10-07-2023,168.00,175.50,160.20,171.75,170.47,"83,519","Jul 10, 2023"
07-07-2023,173.50,173.50,165.10,167.15,165.91,"109,987","Jul 07, 2023"
06-07-2023,172.05,179.90,172.00,173.50,172.21,"168,772","Jul 06, 2023"
05-07-2023,190.00,192.90,181.05,181.05,179.70,"130,132","Jul 05, 2023"
04-07-2023,195.80,195.80,189.00,190.55,189.13,"32,380","Jul 04, 2023"
03-07-2023,192.05,199.30,192.00,194.70,193.25,"26,726","Jul 03, 2023"
30-06-2023,197.45,201.00,192.50,193.85,192.41,"29,624","Jun 30, 2023"
28-06-2023,191.75,191.75,191.75,191.75,190.32,-,"Jun 28, 2023"
27-06-2023,201.00,203.75,191.00,191.75,190.32,"63,062","Jun 27, 2023"
