date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,78.40,78.45,75.00,77.30,77.30,"3,364","Aug 25, 2023"
24-08-2023,78.20,78.70,77.20,77.20,77.20,"4,816","Aug 24, 2023"
23-08-2023,77.50,78.75,77.20,77.20,77.20,"6,204","Aug 23, 2023"
22-08-2023,77.20,79.90,77.00,77.50,77.50,"6,542","Aug 22, 2023"
21-08-2023,77.50,78.50,77.20,77.20,77.20,"19,208","Aug 21, 2023"
18-08-2023,78.00,78.90,77.20,77.25,77.25,"6,688","Aug 18, 2023"
17-08-2023,78.00,81.00,77.00,77.60,77.60,"6,417","Aug 17, 2023"
16-08-2023,77.90,80.00,76.10,79.30,79.30,"28,024","Aug 16, 2023"
14-08-2023,74.05,76.80,73.00,76.35,76.35,"6,970","Aug 14, 2023"
11-08-2023,77.00,77.25,75.50,75.95,75.95,"22,525","Aug 11, 2023"
10-08-2023,77.10,78.70,76.00,76.75,76.75,"7,639","Aug 10, 2023"
09-08-2023,78.00,78.25,76.00,77.10,77.10,"11,798","Aug 09, 2023"
08-08-2023,79.00,79.00,76.55,78.25,78.25,"4,131","Aug 08, 2023"
07-08-2023,76.30,79.50,76.30,78.65,78.65,"17,888","Aug 07, 2023"
04-08-2023,76.10,77.00,74.20,76.30,76.30,"5,602","Aug 04, 2023"
03-08-2023,76.60,77.65,75.40,76.90,76.90,"7,959","Aug 03, 2023"
02-08-2023,74.90,76.45,74.10,76.15,76.15,"9,716","Aug 02, 2023"
01-08-2023,75.20,76.95,73.10,75.20,75.20,"20,726","Aug 01, 2023"
31-07-2023,73.15,77.00,73.15,75.15,75.15,"36,485","Jul 31, 2023"
28-07-2023,77.60,77.85,74.15,74.45,74.45,"11,981","Jul 28, 2023"
27-07-2023,78.00,79.70,76.30,77.60,77.60,"11,742","Jul 27, 2023"
26-07-2023,75.70,78.65,74.85,76.60,76.60,"22,166","Jul 26, 2023"
25-07-2023,78.80,79.00,74.85,75.70,75.70,"58,433","Jul 25, 2023"
24-07-2023,80.60,81.80,78.15,78.75,78.75,"14,039","Jul 24, 2023"
21-07-2023,82.90,82.90,78.00,80.30,80.30,"38,856","Jul 21, 2023"
20-07-2023,87.00,88.90,81.95,82.05,82.05,"33,741","Jul 20, 2023"
19-07-2023,86.10,92.90,85.10,86.25,86.25,"189,580","Jul 19, 2023"
18-07-2023,94.95,96.00,85.75,88.40,88.40,"299,350","Jul 18, 2023"
17-07-2023,86.15,94.65,85.50,93.10,93.10,"571,847","Jul 17, 2023"
14-07-2023,77.50,87.15,76.40,85.50,85.50,"677,336","Jul 14, 2023"
13-07-2023,74.70,80.50,73.45,76.40,76.40,"465,803","Jul 13, 2023"
12-07-2023,70.65,76.95,68.10,74.10,74.10,"152,891","Jul 12, 2023"
11-07-2023,69.80,73.00,69.80,70.95,70.95,"38,599","Jul 11, 2023"
10-07-2023,70.05,72.20,69.60,70.25,70.25,"28,242","Jul 10, 2023"
07-07-2023,72.50,73.00,69.40,70.45,70.45,"73,470","Jul 07, 2023"
06-07-2023,71.90,75.50,70.80,71.30,71.30,"58,750","Jul 06, 2023"
05-07-2023,72.30,74.00,71.00,71.90,71.90,"61,952","Jul 05, 2023"
04-07-2023,75.00,75.30,69.00,72.30,72.30,"101,014","Jul 04, 2023"
03-07-2023,74.90,78.95,72.20,72.90,72.90,"206,052","Jul 03, 2023"
30-06-2023,70.80,76.50,70.30,73.20,73.20,"401,227","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,68.70,72.05,68.30,69.00,69.00,"46,483","Jun 27, 2023"
26-06-2023,69.85,70.90,67.10,68.70,68.70,"41,837","Jun 26, 2023"
23-06-2023,68.85,71.85,67.30,68.50,68.50,"117,803","Jun 23, 2023"
22-06-2023,71.80,73.00,67.15,68.05,68.05,"115,325","Jun 22, 2023"
21-06-2023,71.40,73.80,70.60,71.40,71.40,"437,897","Jun 21, 2023"
20-06-2023,63.55,70.55,63.30,70.10,70.10,"659,162","Jun 20, 2023"
19-06-2023,62.90,63.80,61.40,63.05,63.05,"51,540","Jun 19, 2023"
16-06-2023,63.35,63.95,61.30,62.00,62.00,"51,364","Jun 16, 2023"
15-06-2023,60.60,63.00,60.60,62.10,62.10,"30,672","Jun 15, 2023"
14-06-2023,60.50,63.35,60.00,60.20,60.20,"46,708","Jun 14, 2023"
13-06-2023,60.95,62.35,60.50,61.75,61.75,"15,300","Jun 13, 2023"
12-06-2023,62.95,64.30,60.10,60.50,60.50,"26,662","Jun 12, 2023"
09-06-2023,60.50,62.80,60.50,61.70,61.70,"13,441","Jun 09, 2023"
08-06-2023,62.40,62.45,60.35,60.75,60.75,"15,183","Jun 08, 2023"
07-06-2023,59.40,63.60,59.40,62.25,62.25,"49,384","Jun 07, 2023"
06-06-2023,62.35,62.35,58.55,59.40,59.40,"31,195","Jun 06, 2023"
05-06-2023,60.55,61.75,59.65,61.35,61.35,"18,472","Jun 05, 2023"
02-06-2023,58.55,61.00,58.55,60.30,60.30,"12,938","Jun 02, 2023"
01-06-2023,60.50,60.90,58.10,58.55,58.55,"25,050","Jun 01, 2023"
31-05-2023,59.90,61.10,58.05,58.35,58.35,"23,670","May 31, 2023"
30-05-2023,61.85,61.85,59.40,59.90,59.90,"13,498","May 30, 2023"
29-05-2023,62.70,62.70,61.25,61.30,61.30,"6,579","May 29, 2023"
26-05-2023,64.00,64.00,61.00,61.30,61.30,"13,631","May 26, 2023"
25-05-2023,61.65,64.35,61.60,63.45,63.45,"44,132","May 25, 2023"
24-05-2023,61.90,63.50,60.20,61.35,61.35,"50,056","May 24, 2023"
23-05-2023,62.00,63.75,61.05,61.25,61.25,"17,126","May 23, 2023"
22-05-2023,59.50,64.35,59.25,61.90,61.90,"119,876","May 22, 2023"
19-05-2023,60.95,60.95,58.70,59.50,59.50,"21,333","May 19, 2023"
18-05-2023,56.60,61.85,56.60,60.15,60.15,"48,826","May 18, 2023"
17-05-2023,56.35,57.80,56.30,57.10,57.10,"11,965","May 17, 2023"
16-05-2023,58.00,59.00,56.00,56.35,56.35,"30,175","May 16, 2023"
15-05-2023,57.50,59.65,56.50,57.30,57.30,"23,334","May 15, 2023"
