date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,034.95","1,040.00","1,011.00","1,029.40","1,029.40","46,798","Aug 25, 2023"
24-08-2023,"1,040.00","1,047.45","1,020.30","1,027.00","1,027.00","49,198","Aug 24, 2023"
23-08-2023,"1,045.95","1,064.90","1,031.00","1,040.45","1,040.45","113,078","Aug 23, 2023"
22-08-2023,"1,008.00","1,043.95","1,008.00","1,038.00","1,038.00","201,881","Aug 22, 2023"
21-08-2023,978.85,"1,013.00",978.85,"1,005.45","1,005.45","151,517","Aug 21, 2023"
18-08-2023,977.50,983.80,970.00,975.15,975.15,"35,546","Aug 18, 2023"
17-08-2023,968.00,981.80,966.05,974.85,974.85,"37,196","Aug 17, 2023"
16-08-2023,963.90,982.35,962.40,968.55,968.55,"49,709","Aug 16, 2023"
14-08-2023,994.70,994.70,951.60,969.40,969.40,"59,848","Aug 14, 2023"
11-08-2023,991.40,999.00,982.90,990.35,990.35,"31,106","Aug 11, 2023"
11-08-2023,6 Dividend,,,,,,"Aug 11, 2023"
11-08-2023,2:1 Stock Split,,,,,,"Aug 11, 2023"
10-08-2023,989.00,998.90,980.15,987.10,981.10,"44,763","Aug 10, 2023"
09-08-2023,"1,000.00","1,000.00",991.00,995.15,989.10,"28,764","Aug 09, 2023"
08-08-2023,990.00,"1,004.00",989.05,995.85,989.80,"33,150","Aug 08, 2023"
07-08-2023,"1,006.00","1,009.80",978.05,987.65,981.65,"70,477","Aug 07, 2023"
04-08-2023,"1,009.75","1,020.00","1,000.95","1,003.50",997.40,"48,712","Aug 04, 2023"
03-08-2023,"1,011.05","1,013.85",997.20,"1,004.75",998.64,"53,769","Aug 03, 2023"
02-08-2023,"1,038.20","1,043.00",982.15,"1,005.55",999.44,"134,863","Aug 02, 2023"
01-08-2023,"1,021.20","1,044.70","1,021.00","1,038.20","1,031.89","103,180","Aug 01, 2023"
31-07-2023,"1,010.00","1,024.00","1,002.00","1,021.20","1,014.99","91,290","Jul 31, 2023"
28-07-2023,"1,000.00","1,008.60",993.20,"1,003.60",997.50,"101,938","Jul 28, 2023"
27-07-2023,999.55,"1,008.60",986.60,995.80,989.75,"144,048","Jul 27, 2023"
26-07-2023,980.20,994.70,980.20,988.15,982.14,"151,841","Jul 26, 2023"
25-07-2023,943.90,994.70,939.35,978.05,972.10,"395,701","Jul 25, 2023"
24-07-2023,943.40,953.50,936.00,938.00,932.30,"195,731","Jul 24, 2023"
21-07-2023,923.80,955.00,910.00,935.80,930.11,"859,370","Jul 21, 2023"
20-07-2023,916.15,919.60,907.30,916.40,910.83,"53,015","Jul 20, 2023"
19-07-2023,900.40,924.95,896.05,911.60,906.06,"166,937","Jul 19, 2023"
18-07-2023,907.80,909.95,894.05,896.30,890.85,"41,963","Jul 18, 2023"
17-07-2023,922.75,922.80,897.00,902.00,896.52,"79,659","Jul 17, 2023"
14-07-2023,904.40,926.40,898.90,918.10,912.52,"94,319","Jul 14, 2023"
13-07-2023,922.00,926.90,892.45,897.60,892.14,"73,724","Jul 13, 2023"
12-07-2023,914.90,928.05,905.55,919.60,914.01,"105,920","Jul 12, 2023"
11-07-2023,906.80,918.00,905.00,909.70,904.17,"81,499","Jul 11, 2023"
10-07-2023,884.60,916.50,880.25,901.50,896.02,"202,824","Jul 10, 2023"
07-07-2023,894.40,905.25,875.60,879.60,874.25,"128,014","Jul 07, 2023"
06-07-2023,874.00,917.00,874.00,890.75,885.34,"306,885","Jul 06, 2023"
05-07-2023,865.00,875.95,855.55,871.15,865.85,"111,928","Jul 05, 2023"
04-07-2023,871.00,894.00,857.70,862.90,857.65,"325,759","Jul 04, 2023"
03-07-2023,843.90,891.50,824.10,864.25,859.00,"1,248,303","Jul 03, 2023"
30-06-2023,800.10,810.90,789.35,794.85,790.02,"61,087","Jun 30, 2023"
28-06-2023,791.00,801.95,791.00,796.10,791.26,"26,854","Jun 28, 2023"
27-06-2023,796.00,803.55,786.00,789.05,784.25,"60,719","Jun 27, 2023"
26-06-2023,804.80,804.80,791.10,793.55,788.73,"34,381","Jun 26, 2023"
23-06-2023,821.90,825.90,798.75,800.80,795.93,"83,206","Jun 23, 2023"
