date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,526.75,529.95,517.00,520.45,520.45,"24,391","Aug 25, 2023"
24-08-2023,534.00,535.95,526.00,527.40,527.40,"33,610","Aug 24, 2023"
23-08-2023,532.90,544.05,530.45,532.15,532.15,"66,579","Aug 23, 2023"
22-08-2023,522.45,543.50,522.20,529.30,529.30,"63,132","Aug 22, 2023"
21-08-2023,504.35,524.90,503.60,520.75,520.75,"78,922","Aug 21, 2023"
18-08-2023,516.00,520.50,498.60,504.15,504.15,"36,436","Aug 18, 2023"
17-08-2023,520.50,523.90,512.90,516.10,516.10,"31,162","Aug 17, 2023"
16-08-2023,517.00,524.90,515.20,518.50,518.50,"23,395","Aug 16, 2023"
14-08-2023,525.00,528.00,510.80,519.00,519.00,"68,454","Aug 14, 2023"
11-08-2023,543.25,543.25,526.95,530.00,530.00,"42,493","Aug 11, 2023"
10-08-2023,542.50,546.90,537.65,540.60,540.60,"74,723","Aug 10, 2023"
10-08-2023,17.5 Dividend,,,,,,"Aug 10, 2023"
09-08-2023,576.00,576.40,559.50,562.35,544.85,"93,592","Aug 09, 2023"
08-08-2023,585.00,585.00,564.15,572.20,554.39,"75,805","Aug 08, 2023"
07-08-2023,574.00,585.95,570.05,577.20,559.24,"145,774","Aug 07, 2023"
04-08-2023,559.90,574.95,559.85,565.65,548.05,"121,919","Aug 04, 2023"
03-08-2023,555.20,564.65,551.85,557.45,540.10,"99,268","Aug 03, 2023"
02-08-2023,574.90,578.00,540.05,555.20,537.92,"123,552","Aug 02, 2023"
01-08-2023,570.20,582.20,565.05,571.70,553.91,"173,466","Aug 01, 2023"
31-07-2023,549.85,573.80,548.80,566.20,548.58,"275,999","Jul 31, 2023"
28-07-2023,552.15,553.70,546.40,547.95,530.90,"36,693","Jul 28, 2023"
27-07-2023,557.30,562.95,549.00,550.10,532.98,"73,333","Jul 27, 2023"
26-07-2023,556.70,566.00,545.95,554.55,537.29,"266,693","Jul 26, 2023"
25-07-2023,533.70,553.25,530.75,548.10,531.04,"203,234","Jul 25, 2023"
24-07-2023,534.20,539.00,528.30,530.75,514.23,"39,883","Jul 24, 2023"
21-07-2023,540.00,543.75,522.55,535.00,518.35,"96,564","Jul 21, 2023"
20-07-2023,543.70,559.70,534.90,538.60,521.84,"164,782","Jul 20, 2023"
19-07-2023,526.00,552.90,525.40,539.60,522.81,"230,790","Jul 19, 2023"
18-07-2023,530.45,531.90,521.70,525.40,509.05,"44,440","Jul 18, 2023"
17-07-2023,534.00,539.00,527.00,528.00,511.57,"51,019","Jul 17, 2023"
14-07-2023,523.85,540.00,523.80,529.35,512.88,"86,119","Jul 14, 2023"
