date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,040.00","1,040.75","1,027.25","1,030.35","1,030.35","262,243","Aug 25, 2023"
24-08-2023,"1,027.65","1,048.00","1,025.85","1,041.80","1,041.80","849,525","Aug 24, 2023"
23-08-2023,"1,040.00","1,040.50","1,021.95","1,023.50","1,023.50","822,174","Aug 23, 2023"
22-08-2023,"1,026.40","1,040.00","1,022.70","1,037.45","1,037.45","530,261","Aug 22, 2023"
21-08-2023,"1,030.00","1,033.95","1,019.15","1,026.40","1,026.40","752,032","Aug 21, 2023"
18-08-2023,"1,020.50","1,032.95","1,015.00","1,026.45","1,026.45","1,060,254","Aug 18, 2023"
17-08-2023,"1,041.05","1,041.05","1,022.15","1,025.10","1,025.10","679,224","Aug 17, 2023"
16-08-2023,"1,034.90","1,044.30","1,029.20","1,041.50","1,041.50","720,033","Aug 16, 2023"
14-08-2023,"1,019.15","1,043.65","1,015.00","1,035.55","1,035.55","1,164,097","Aug 14, 2023"
11-08-2023,"1,027.00","1,028.90","1,013.95","1,020.15","1,020.15","660,411","Aug 11, 2023"
10-08-2023,"1,019.80","1,032.00","1,019.75","1,026.30","1,026.30","649,973","Aug 10, 2023"
09-08-2023,"1,008.75","1,027.90","1,002.10","1,018.70","1,018.70","1,032,480","Aug 09, 2023"
08-08-2023,"1,034.00","1,046.95",999.00,"1,009.45","1,009.45","2,008,417","Aug 08, 2023"
07-08-2023,"1,017.55","1,034.90","1,010.05","1,030.70","1,030.70","1,298,516","Aug 07, 2023"
04-08-2023,"1,020.85","1,020.85","1,009.50","1,017.55","1,017.55","597,861","Aug 04, 2023"
03-08-2023,"1,019.90","1,020.00","1,008.50","1,014.50","1,014.50","714,395","Aug 03, 2023"
02-08-2023,"1,021.60","1,024.95","1,012.25","1,019.70","1,019.70","1,060,526","Aug 02, 2023"
01-08-2023,"1,036.00","1,040.00","1,016.60","1,020.45","1,020.45","507,701","Aug 01, 2023"
31-07-2023,"1,039.90","1,040.45","1,030.10","1,035.95","1,035.95","773,878","Jul 31, 2023"
28-07-2023,"1,043.00","1,043.00","1,029.20","1,035.95","1,035.95","1,481,068","Jul 28, 2023"
27-07-2023,"1,040.65","1,043.85","1,024.00","1,029.95","1,029.95","1,866,020","Jul 27, 2023"
26-07-2023,"1,036.50","1,043.90","1,033.60","1,038.55","1,038.55","1,064,454","Jul 26, 2023"
25-07-2023,"1,038.35","1,040.85","1,028.85","1,034.85","1,034.85","1,113,858","Jul 25, 2023"
24-07-2023,"1,056.55","1,056.60","1,030.20","1,036.40","1,036.40","1,056,031","Jul 24, 2023"
21-07-2023,"1,064.95","1,081.80","1,044.05","1,056.55","1,056.55","2,423,119","Jul 21, 2023"
20-07-2023,"1,043.90","1,062.00","1,040.40","1,060.40","1,060.40","1,332,100","Jul 20, 2023"
19-07-2023,"1,044.80","1,050.65","1,038.05","1,043.90","1,043.90","360,529","Jul 19, 2023"
18-07-2023,"1,062.75","1,064.85","1,037.50","1,041.95","1,041.95","569,179","Jul 18, 2023"
17-07-2023,"1,062.90","1,070.50","1,058.00","1,061.10","1,061.10","674,454","Jul 17, 2023"
14-07-2023,"1,056.85","1,069.40","1,056.85","1,062.95","1,062.95","877,678","Jul 14, 2023"
13-07-2023,"1,068.35","1,074.55","1,050.00","1,053.60","1,053.60","447,833","Jul 13, 2023"
12-07-2023,"1,062.75","1,070.00","1,055.70","1,068.35","1,068.35","630,952","Jul 12, 2023"
11-07-2023,"1,057.70","1,074.75","1,053.70","1,061.85","1,061.85","613,630","Jul 11, 2023"
10-07-2023,"1,060.00","1,067.95","1,048.35","1,054.85","1,054.85","501,316","Jul 10, 2023"
07-07-2023,"1,082.80","1,091.95","1,060.00","1,062.60","1,062.60","773,991","Jul 07, 2023"
06-07-2023,"1,100.00","1,102.05","1,070.00","1,079.90","1,079.90","841,472","Jul 06, 2023"
05-07-2023,"1,060.00","1,100.00","1,060.00","1,096.95","1,096.95","2,106,111","Jul 05, 2023"
04-07-2023,"1,065.00","1,070.95","1,052.15","1,061.90","1,061.90","914,361","Jul 04, 2023"
03-07-2023,"1,078.15","1,084.25","1,057.00","1,060.95","1,060.95","1,022,960","Jul 03, 2023"
30-06-2023,"1,072.00","1,089.00","1,071.10","1,081.00","1,081.00","1,448,778","Jun 30, 2023"
28-06-2023,"1,037.35","1,037.35","1,037.35","1,037.35","1,037.35",-,"Jun 28, 2023"
27-06-2023,"1,037.50","1,050.00","1,032.55","1,037.35","1,037.35","664,187","Jun 27, 2023"
26-06-2023,"1,037.30","1,043.00","1,029.55","1,032.30","1,032.30","758,366","Jun 26, 2023"
23-06-2023,"1,041.95","1,044.45","1,031.60","1,035.95","1,035.95","611,409","Jun 23, 2023"
22-06-2023,"1,065.90","1,065.90","1,038.25","1,040.90","1,040.90","570,936","Jun 22, 2023"
21-06-2023,"1,071.90","1,076.60","1,054.10","1,063.60","1,063.60","1,129,047","Jun 21, 2023"
20-06-2023,"1,060.10","1,074.60","1,057.15","1,071.90","1,071.90","715,271","Jun 20, 2023"
19-06-2023,"1,071.45","1,083.30","1,064.30","1,066.75","1,066.75","1,017,828","Jun 19, 2023"
16-06-2023,"1,082.00","1,082.00","1,048.30","1,070.00","1,070.00","1,629,502","Jun 16, 2023"
15-06-2023,"1,068.00","1,085.15","1,062.20","1,077.70","1,077.70","1,241,860","Jun 15, 2023"
14-06-2023,"1,057.60","1,073.30","1,048.15","1,069.50","1,069.50","922,595","Jun 14, 2023"
13-06-2023,"1,045.00","1,067.00","1,044.10","1,055.45","1,055.45","952,216","Jun 13, 2023"
12-06-2023,"1,036.05","1,049.80","1,028.00","1,044.10","1,044.10","546,812","Jun 12, 2023"
09-06-2023,"1,052.10","1,058.50","1,027.10","1,035.35","1,035.35","553,616","Jun 09, 2023"
08-06-2023,"1,070.95","1,074.90","1,049.75","1,057.95","1,057.95","789,816","Jun 08, 2023"
07-06-2023,"1,055.20","1,067.85","1,052.55","1,065.35","1,065.35","452,303","Jun 07, 2023"
06-06-2023,"1,062.70","1,062.70","1,043.30","1,055.15","1,055.15","418,521","Jun 06, 2023"
05-06-2023,"1,062.65","1,069.00","1,048.20","1,052.20","1,052.20","803,273","Jun 05, 2023"
02-06-2023,"1,055.60","1,064.20","1,054.20","1,060.95","1,060.95","529,865","Jun 02, 2023"
01-06-2023,"1,068.30","1,069.00","1,051.05","1,054.20","1,054.20","799,780","Jun 01, 2023"
31-05-2023,"1,042.70","1,065.00","1,040.60","1,058.35","1,058.35","1,442,220","May 31, 2023"
30-05-2023,"1,047.30","1,052.20","1,040.35","1,047.15","1,047.15","460,823","May 30, 2023"
29-05-2023,"1,058.90","1,058.95","1,043.75","1,047.35","1,047.35","504,045","May 29, 2023"
26-05-2023,"1,032.20","1,052.00","1,030.20","1,049.95","1,049.95","1,192,030","May 26, 2023"
25-05-2023,"1,021.50","1,035.00","1,020.00","1,029.40","1,029.40","536,188","May 25, 2023"
24-05-2023,"1,020.35","1,025.25","1,015.00","1,022.75","1,022.75","489,848","May 24, 2023"
23-05-2023,"1,025.00","1,031.85","1,011.90","1,015.70","1,015.70","732,920","May 23, 2023"
22-05-2023,"1,004.90","1,019.95","1,002.00","1,016.90","1,016.90","610,807","May 22, 2023"
19-05-2023,"1,010.00","1,014.65","1,003.85","1,009.75","1,009.75","554,652","May 19, 2023"
18-05-2023,"1,022.10","1,022.50","1,006.00","1,008.80","1,008.80","691,877","May 18, 2023"
17-05-2023,"1,012.25","1,023.00","1,010.85","1,018.35","1,018.35","1,456,688","May 17, 2023"
16-05-2023,"1,009.70","1,025.00","1,009.00","1,012.25","1,012.25","1,359,065","May 16, 2023"
15-05-2023,"1,002.50","1,016.35","1,001.00","1,009.70","1,009.70","1,249,138","May 15, 2023"
12-05-2023,982.95,"1,003.80",977.40,999.20,999.20,"1,818,352","May 12, 2023"
11-05-2023,985.00,989.00,972.85,982.60,982.60,"3,042,774","May 11, 2023"
10-05-2023,955.00,967.05,948.05,962.45,962.45,"1,858,976","May 10, 2023"
09-05-2023,946.05,955.00,941.50,951.30,951.30,"1,069,335","May 09, 2023"
08-05-2023,936.05,948.25,932.55,943.50,943.50,"1,486,588","May 08, 2023"
05-05-2023,934.95,940.60,927.15,936.65,936.65,"659,303","May 05, 2023"
04-05-2023,945.45,945.45,928.25,931.45,931.45,"1,254,490","May 04, 2023"
03-05-2023,927.00,956.05,918.05,939.20,939.20,"4,347,263","May 03, 2023"
02-05-2023,911.95,929.00,902.00,923.35,923.35,"2,916,163","May 02, 2023"
28-04-2023,933.00,943.20,897.00,907.50,907.50,"5,510,898","Apr 28, 2023"
27-04-2023,979.00,979.00,943.00,953.60,953.60,"1,791,089","Apr 27, 2023"
26-04-2023,963.00,979.10,960.05,976.15,976.15,"1,048,158","Apr 26, 2023"
25-04-2023,989.60,992.20,951.80,963.20,963.20,"1,484,258","Apr 25, 2023"
24-04-2023,990.55,992.15,980.25,989.60,989.60,"1,195,669","Apr 24, 2023"
21-04-2023,972.10,990.75,972.10,987.15,987.15,"1,384,698","Apr 21, 2023"
20-04-2023,970.00,977.30,964.50,975.15,975.15,"628,811","Apr 20, 2023"
19-04-2023,962.90,970.25,961.95,967.85,967.85,"658,666","Apr 19, 2023"
18-04-2023,976.55,979.00,965.10,969.45,969.45,"566,779","Apr 18, 2023"
17-04-2023,966.00,977.00,963.60,974.75,974.75,"868,520","Apr 17, 2023"
13-04-2023,969.90,979.95,961.60,963.20,963.20,"778,427","Apr 13, 2023"
12-04-2023,964.00,971.35,954.60,968.85,968.85,"1,064,336","Apr 12, 2023"
11-04-2023,965.55,970.20,957.65,963.90,963.90,"566,811","Apr 11, 2023"
10-04-2023,965.05,967.95,956.65,965.55,965.55,"663,976","Apr 10, 2023"
06-04-2023,973.05,978.60,960.40,967.65,967.65,"1,339,417","Apr 06, 2023"
05-04-2023,957.20,972.85,950.85,969.55,969.55,"1,063,638","Apr 05, 2023"
03-04-2023,970.00,970.00,944.25,964.50,964.50,"839,394","Apr 03, 2023"
31-03-2023,966.95,973.00,957.15,968.15,968.15,"1,023,170","Mar 31, 2023"
29-03-2023,955.10,969.05,953.00,966.30,966.30,"1,282,377","Mar 29, 2023"
28-03-2023,963.75,963.90,952.30,958.60,958.60,"692,534","Mar 28, 2023"
27-03-2023,950.05,965.55,948.45,961.60,961.60,"1,430,957","Mar 27, 2023"
24-03-2023,952.00,955.95,943.30,951.20,951.20,"952,163","Mar 24, 2023"
23-03-2023,948.50,957.00,943.15,952.25,952.25,"1,018,638","Mar 23, 2023"
22-03-2023,948.10,953.70,942.00,951.45,951.45,"725,365","Mar 22, 2023"
21-03-2023,961.15,964.00,941.05,943.60,943.60,"1,258,265","Mar 21, 2023"
20-03-2023,954.90,963.60,942.95,960.00,960.00,"1,767,861","Mar 20, 2023"
17-03-2023,934.00,956.90,924.60,947.45,947.45,"2,433,451","Mar 17, 2023"
16-03-2023,905.35,938.85,905.35,932.35,932.35,"1,306,258","Mar 16, 2023"
15-03-2023,916.45,918.60,905.60,907.40,907.40,"616,275","Mar 15, 2023"
14-03-2023,904.95,918.95,904.55,914.80,914.80,"754,635","Mar 14, 2023"
13-03-2023,914.00,922.15,904.95,915.35,915.35,"867,341","Mar 13, 2023"
10-03-2023,895.00,919.85,894.20,916.35,916.35,"1,259,736","Mar 10, 2023"
09-03-2023,920.55,925.35,902.00,904.55,904.55,"886,042","Mar 09, 2023"
08-03-2023,911.00,926.00,907.60,920.55,920.55,"1,054,113","Mar 08, 2023"
06-03-2023,926.00,926.00,906.05,915.75,915.75,"1,497,749","Mar 06, 2023"
03-03-2023,914.30,933.30,912.05,925.75,925.75,"1,160,854","Mar 03, 2023"
02-03-2023,913.00,916.15,904.00,912.45,912.45,"573,501","Mar 02, 2023"
01-03-2023,923.35,936.05,908.35,912.05,912.05,"1,015,922","Mar 01, 2023"
28-02-2023,915.00,927.10,914.50,923.30,923.30,"1,066,639","Feb 28, 2023"
27-02-2023,923.00,927.50,902.40,914.00,914.00,"480,986","Feb 27, 2023"
24-02-2023,936.00,945.00,923.00,927.80,927.80,"411,170","Feb 24, 2023"
23-02-2023,929.90,939.95,917.50,934.35,934.35,"779,354","Feb 23, 2023"
22-02-2023,935.90,944.00,925.00,929.90,929.90,"805,179","Feb 22, 2023"
21-02-2023,927.75,949.25,927.75,937.20,937.20,"901,349","Feb 21, 2023"
20-02-2023,947.65,953.70,923.85,927.70,927.70,"808,796","Feb 20, 2023"
17-02-2023,930.00,950.90,923.60,942.10,942.10,"656,515","Feb 17, 2023"
16-02-2023,932.25,937.65,929.00,932.40,932.40,"361,273","Feb 16, 2023"
15-02-2023,930.55,937.85,924.15,935.50,935.50,"564,718","Feb 15, 2023"
14-02-2023,923.70,935.00,919.00,930.55,930.55,"719,482","Feb 14, 2023"
13-02-2023,940.40,942.55,919.65,923.85,923.85,"546,626","Feb 13, 2023"
10-02-2023,942.00,950.15,937.35,940.40,940.40,"746,288","Feb 10, 2023"
09-02-2023,940.65,946.80,937.80,940.85,940.85,"614,802","Feb 09, 2023"
08-02-2023,940.55,946.00,937.30,940.70,940.70,"602,539","Feb 08, 2023"
07-02-2023,938.25,942.55,930.50,940.60,940.60,"609,325","Feb 07, 2023"
06-02-2023,943.50,944.65,923.35,937.30,937.30,"675,653","Feb 06, 2023"
03-02-2023,942.30,949.45,932.00,935.00,935.00,"1,378,549","Feb 03, 2023"
02-02-2023,928.90,948.90,922.35,939.70,939.70,"1,061,085","Feb 02, 2023"
01-02-2023,927.00,939.00,898.55,929.70,929.70,"2,678,949","Feb 01, 2023"
31-01-2023,905.45,920.00,901.55,913.25,913.25,"2,617,690","Jan 31, 2023"
