date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,126.25,127.00,125.25,125.45,125.45,"159,673","Aug 25, 2023"
24-08-2023,127.10,127.50,126.00,126.55,126.55,"138,983","Aug 24, 2023"
23-08-2023,128.30,128.90,125.00,126.15,126.15,"197,155","Aug 23, 2023"
22-08-2023,125.85,128.50,125.20,127.40,127.40,"276,659","Aug 22, 2023"
21-08-2023,126.80,127.20,125.00,125.35,125.35,"202,842","Aug 21, 2023"
18-08-2023,126.50,126.95,125.40,126.05,126.05,"118,991","Aug 18, 2023"
17-08-2023,126.40,127.40,125.55,125.80,125.80,"138,248","Aug 17, 2023"
16-08-2023,126.70,127.20,125.15,126.25,126.25,"169,853","Aug 16, 2023"
14-08-2023,127.25,127.60,125.15,126.70,126.70,"149,386","Aug 14, 2023"
11-08-2023,129.40,130.20,127.05,127.60,127.60,"220,932","Aug 11, 2023"
10-08-2023,130.00,132.40,128.40,128.90,128.90,"528,227","Aug 10, 2023"
09-08-2023,125.25,135.95,124.50,132.70,132.70,"1,183,451","Aug 09, 2023"
08-08-2023,131.40,132.15,125.50,126.70,126.70,"377,113","Aug 08, 2023"
07-08-2023,131.05,132.50,129.25,130.75,130.75,"268,884","Aug 07, 2023"
04-08-2023,130.30,130.80,128.50,129.15,129.15,"138,720","Aug 04, 2023"
03-08-2023,131.75,132.90,129.05,129.80,129.80,"153,078","Aug 03, 2023"
02-08-2023,131.40,134.50,130.50,131.75,131.75,"405,854","Aug 02, 2023"
01-08-2023,128.90,131.60,128.20,130.75,130.75,"268,973","Aug 01, 2023"
31-07-2023,128.00,129.25,127.10,128.10,128.10,"202,447","Jul 31, 2023"
28-07-2023,125.40,127.80,125.35,126.40,126.40,"191,926","Jul 28, 2023"
27-07-2023,125.40,126.00,124.35,124.85,124.85,"212,088","Jul 27, 2023"
26-07-2023,124.90,125.25,124.50,124.70,124.70,"177,149","Jul 26, 2023"
25-07-2023,126.05,126.85,124.20,124.80,124.80,"254,747","Jul 25, 2023"
24-07-2023,126.60,127.65,125.30,125.70,125.70,"165,808","Jul 24, 2023"
21-07-2023,125.95,127.75,125.25,126.60,126.60,"235,550","Jul 21, 2023"
20-07-2023,125.40,129.20,124.60,128.60,128.60,"504,561","Jul 20, 2023"
19-07-2023,125.00,125.90,124.65,125.05,125.05,"338,521","Jul 19, 2023"
18-07-2023,125.35,126.10,123.95,124.50,124.50,"389,410","Jul 18, 2023"
17-07-2023,125.10,126.95,124.00,124.90,124.90,"451,933","Jul 17, 2023"
14-07-2023,128.70,129.00,124.20,124.95,124.95,"756,583","Jul 14, 2023"
13-07-2023,130.00,130.00,128.35,128.75,128.75,"192,254","Jul 13, 2023"
12-07-2023,130.00,130.45,128.55,129.40,129.40,"303,137","Jul 12, 2023"
11-07-2023,130.95,130.95,129.40,129.95,129.95,"334,862","Jul 11, 2023"
10-07-2023,130.80,131.45,129.25,129.60,129.60,"343,661","Jul 10, 2023"
07-07-2023,131.00,131.75,129.05,129.50,129.50,"378,108","Jul 07, 2023"
06-07-2023,129.30,132.45,129.00,130.00,130.00,"672,304","Jul 06, 2023"
05-07-2023,128.55,130.60,128.55,129.10,129.10,"225,232","Jul 05, 2023"
04-07-2023,129.90,130.70,128.05,128.50,128.50,"329,883","Jul 04, 2023"
03-07-2023,130.70,131.25,129.55,129.85,129.85,"246,534","Jul 03, 2023"
30-06-2023,130.90,131.40,129.25,130.00,130.00,"239,878","Jun 30, 2023"
28-06-2023,130.85,130.85,130.85,130.85,130.85,-,"Jun 28, 2023"
27-06-2023,130.50,133.00,129.45,130.85,130.85,"615,500","Jun 27, 2023"
