date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,578.70,584.00,562.35,574.30,574.30,"159,442","Aug 25, 2023"
24-08-2023,599.00,605.00,572.05,583.95,583.95,"328,096","Aug 24, 2023"
23-08-2023,574.10,596.50,573.05,594.35,594.35,"486,900","Aug 23, 2023"
22-08-2023,575.80,583.80,565.15,574.10,574.10,"350,909","Aug 22, 2023"
21-08-2023,567.90,575.00,560.00,572.00,572.00,"180,998","Aug 21, 2023"
18-08-2023,567.95,576.00,554.85,559.75,559.75,"353,816","Aug 18, 2023"
17-08-2023,550.00,572.95,550.00,567.90,567.90,"541,529","Aug 17, 2023"
16-08-2023,528.00,550.00,524.15,548.20,548.20,"906,435","Aug 16, 2023"
14-08-2023,521.00,525.95,503.20,517.70,517.70,"265,942","Aug 14, 2023"
11-08-2023,501.10,523.50,498.50,518.20,518.20,"438,939","Aug 11, 2023"
10-08-2023,509.40,519.90,497.00,501.50,501.50,"350,325","Aug 10, 2023"
09-08-2023,478.00,509.00,476.00,506.95,506.95,"626,812","Aug 09, 2023"
08-08-2023,478.80,489.95,476.00,477.40,477.40,"144,718","Aug 08, 2023"
07-08-2023,493.55,494.15,475.00,478.80,478.80,"176,397","Aug 07, 2023"
04-08-2023,495.85,499.45,484.55,487.20,487.20,"80,902","Aug 04, 2023"
03-08-2023,502.40,502.60,489.20,491.20,491.20,"140,499","Aug 03, 2023"
02-08-2023,510.00,512.20,490.00,499.65,499.65,"259,009","Aug 02, 2023"
01-08-2023,510.00,514.80,506.60,509.95,509.95,"287,069","Aug 01, 2023"
31-07-2023,499.65,512.70,499.00,506.40,506.40,"550,817","Jul 31, 2023"
28-07-2023,502.70,506.00,494.00,496.90,496.90,"301,231","Jul 28, 2023"
27-07-2023,488.35,507.00,487.90,498.70,498.70,"993,442","Jul 27, 2023"
26-07-2023,488.10,493.75,480.05,483.40,483.40,"370,370","Jul 26, 2023"
25-07-2023,487.00,492.50,463.90,488.65,488.65,"255,468","Jul 25, 2023"
24-07-2023,479.75,491.10,479.75,485.95,485.95,"364,645","Jul 24, 2023"
21-07-2023,473.50,487.00,468.00,478.70,478.70,"378,031","Jul 21, 2023"
20-07-2023,481.90,481.90,471.95,474.50,474.50,"285,381","Jul 20, 2023"
19-07-2023,473.00,493.80,471.00,475.00,475.00,"1,103,243","Jul 19, 2023"
18-07-2023,461.70,472.00,455.30,469.20,469.20,"494,926","Jul 18, 2023"
17-07-2023,450.00,466.25,450.00,459.80,459.80,"412,683","Jul 17, 2023"
14-07-2023,452.55,459.30,447.35,450.35,450.35,"245,575","Jul 14, 2023"
13-07-2023,453.00,455.40,450.00,452.85,452.85,"85,393","Jul 13, 2023"
12-07-2023,449.70,455.75,440.05,452.80,452.80,"87,836","Jul 12, 2023"
11-07-2023,454.00,454.05,444.00,447.95,447.95,"65,136","Jul 11, 2023"
10-07-2023,462.00,462.40,440.00,446.90,446.90,"135,766","Jul 10, 2023"
07-07-2023,441.15,458.55,441.15,456.60,456.60,"107,101","Jul 07, 2023"
06-07-2023,445.95,452.00,437.00,449.75,449.75,"119,401","Jul 06, 2023"
05-07-2023,448.00,454.90,442.40,444.65,444.65,"145,889","Jul 05, 2023"
04-07-2023,426.00,457.95,422.05,449.90,449.90,"728,843","Jul 04, 2023"
03-07-2023,425.00,432.00,423.80,428.90,428.90,"121,824","Jul 03, 2023"
30-06-2023,405.00,428.00,405.00,423.80,423.80,"127,486","Jun 30, 2023"
28-06-2023,414.75,414.75,414.75,414.75,414.75,-,"Jun 28, 2023"
27-06-2023,419.50,421.10,410.70,414.75,414.75,"39,524","Jun 27, 2023"
26-06-2023,415.35,417.25,411.15,415.75,415.75,"36,298","Jun 26, 2023"
23-06-2023,422.00,422.00,413.55,416.95,416.95,"49,607","Jun 23, 2023"
22-06-2023,423.00,426.25,416.25,419.60,419.60,"97,856","Jun 22, 2023"
21-06-2023,419.50,430.95,418.50,424.35,424.35,"114,482","Jun 21, 2023"
20-06-2023,426.00,426.20,418.50,420.85,420.85,"43,162","Jun 20, 2023"
19-06-2023,425.75,432.00,421.60,423.70,423.70,"93,796","Jun 19, 2023"
16-06-2023,431.40,431.40,420.35,422.40,422.40,"88,330","Jun 16, 2023"
15-06-2023,430.80,433.00,425.50,427.15,427.15,"64,885","Jun 15, 2023"
14-06-2023,427.95,433.35,425.35,427.75,427.75,"45,281","Jun 14, 2023"
13-06-2023,423.50,433.85,416.75,427.95,427.95,"175,689","Jun 13, 2023"
12-06-2023,430.15,435.00,418.00,419.85,419.85,"110,211","Jun 12, 2023"
09-06-2023,436.90,439.35,422.85,426.05,426.05,"157,569","Jun 09, 2023"
08-06-2023,447.90,464.35,393.30,433.65,433.65,"1,021,431","Jun 08, 2023"
07-06-2023,455.00,456.95,442.90,445.90,445.90,"136,631","Jun 07, 2023"
06-06-2023,461.30,467.70,450.00,450.95,450.95,"92,699","Jun 06, 2023"
05-06-2023,464.80,465.00,456.50,459.05,459.05,"64,132","Jun 05, 2023"
02-06-2023,463.80,467.90,456.25,458.45,458.45,"96,625","Jun 02, 2023"
01-06-2023,478.65,479.95,456.00,460.10,460.10,"169,608","Jun 01, 2023"
31-05-2023,448.20,478.40,439.70,474.65,474.65,"523,506","May 31, 2023"
30-05-2023,448.00,457.70,367.00,445.70,445.70,"2,646,721","May 30, 2023"
29-05-2023,463.05,468.80,442.55,458.75,458.75,"383,197","May 29, 2023"
26-05-2023,476.25,477.00,452.55,457.15,457.15,"313,158","May 26, 2023"
25-05-2023,480.00,481.95,469.15,474.30,474.30,"360,304","May 25, 2023"
24-05-2023,483.15,483.15,473.30,479.70,479.70,"67,818","May 24, 2023"
23-05-2023,478.80,484.00,467.20,481.40,481.40,"383,990","May 23, 2023"
22-05-2023,485.05,489.50,468.50,475.25,475.25,"263,709","May 22, 2023"
19-05-2023,477.20,496.50,477.20,485.95,485.95,"832,221","May 19, 2023"
18-05-2023,478.00,481.90,472.00,478.30,478.30,"192,380","May 18, 2023"
17-05-2023,480.00,481.60,464.00,473.85,473.85,"465,925","May 17, 2023"
16-05-2023,475.20,483.85,472.55,479.05,479.05,"395,614","May 16, 2023"
15-05-2023,486.00,494.00,464.00,471.35,471.35,"389,801","May 15, 2023"
12-05-2023,480.95,486.00,479.10,483.90,483.90,"425,044","May 12, 2023"
11-05-2023,480.15,486.70,478.00,482.70,482.70,"286,215","May 11, 2023"
10-05-2023,475.55,489.85,472.50,483.60,483.60,"638,162","May 10, 2023"
09-05-2023,467.95,479.70,457.55,472.05,472.05,"530,233","May 09, 2023"
