date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,388.20","1,394.40","1,358.80","1,365.10","1,365.10","17,912","Aug 25, 2023"
24-08-2023,"1,405.00","1,409.00","1,381.15","1,389.15","1,389.15","19,868","Aug 24, 2023"
23-08-2023,"1,399.00","1,410.00","1,378.00","1,389.70","1,389.70","27,745","Aug 23, 2023"
22-08-2023,"1,377.00","1,388.00","1,365.00","1,387.00","1,387.00","13,236","Aug 22, 2023"
21-08-2023,"1,364.00","1,377.00","1,352.65","1,369.95","1,369.95","23,245","Aug 21, 2023"
18-08-2023,"1,376.00","1,386.10","1,353.85","1,363.35","1,363.35","21,260","Aug 18, 2023"
17-08-2023,"1,362.00","1,390.00","1,361.70","1,372.45","1,372.45","11,876","Aug 17, 2023"
16-08-2023,"1,348.90","1,380.40","1,335.00","1,369.25","1,369.25","15,640","Aug 16, 2023"
14-08-2023,"1,371.95","1,374.00","1,326.00","1,348.60","1,348.60","21,318","Aug 14, 2023"
11-08-2023,"1,389.95","1,389.95","1,355.00","1,362.80","1,362.80","20,726","Aug 11, 2023"
10-08-2023,"1,395.00","1,399.20","1,365.35","1,381.00","1,381.00","18,725","Aug 10, 2023"
09-08-2023,"1,370.15","1,399.55","1,370.15","1,393.00","1,393.00","28,810","Aug 09, 2023"
08-08-2023,"1,375.00","1,410.00","1,374.00","1,377.10","1,377.10","32,831","Aug 08, 2023"
07-08-2023,"1,396.85","1,415.00","1,375.00","1,382.15","1,382.15","41,045","Aug 07, 2023"
04-08-2023,"1,405.00","1,414.00","1,381.70","1,396.85","1,396.85","42,064","Aug 04, 2023"
03-08-2023,"1,375.00","1,398.00","1,341.00","1,384.90","1,384.90","69,444","Aug 03, 2023"
02-08-2023,"1,422.50","1,428.95","1,363.95","1,380.15","1,380.15","45,541","Aug 02, 2023"
01-08-2023,"1,406.00","1,428.55","1,406.00","1,422.50","1,422.50","26,674","Aug 01, 2023"
31-07-2023,"1,433.95","1,433.95","1,402.25","1,409.50","1,409.50","29,531","Jul 31, 2023"
28-07-2023,"1,416.00","1,426.00","1,408.15","1,415.70","1,415.70","33,291","Jul 28, 2023"
27-07-2023,"1,412.90","1,421.10","1,401.20","1,414.55","1,414.55","37,807","Jul 27, 2023"
26-07-2023,"1,421.05","1,448.25","1,390.00","1,397.50","1,397.50","81,611","Jul 26, 2023"
26-07-2023,26.5 Dividend,,,,,,"Jul 26, 2023"
25-07-2023,"1,437.00","1,451.00","1,420.10","1,437.50","1,411.00","86,678","Jul 25, 2023"
24-07-2023,"1,402.05","1,437.00","1,387.95","1,429.60","1,403.25","181,348","Jul 24, 2023"
21-07-2023,"1,359.05","1,417.30","1,347.50","1,382.90","1,357.41","135,164","Jul 21, 2023"
20-07-2023,"1,389.00","1,391.00","1,350.70","1,359.30","1,334.24","91,821","Jul 20, 2023"
19-07-2023,"1,295.05","1,398.25","1,282.25","1,382.40","1,356.92","276,948","Jul 19, 2023"
18-07-2023,"1,292.05","1,314.90","1,281.00","1,290.30","1,266.51","31,118","Jul 18, 2023"
17-07-2023,"1,301.35","1,314.95","1,283.10","1,290.80","1,267.00","31,800","Jul 17, 2023"
14-07-2023,"1,300.60","1,315.00","1,280.05","1,288.45","1,264.70","25,193","Jul 14, 2023"
13-07-2023,"1,315.00","1,320.00","1,295.30","1,300.60","1,276.62","68,297","Jul 13, 2023"
12-07-2023,"1,279.90","1,310.00","1,272.75","1,297.70","1,273.78","92,699","Jul 12, 2023"
11-07-2023,"1,289.00","1,295.00","1,262.45","1,266.10","1,242.76","37,403","Jul 11, 2023"
10-07-2023,"1,263.80","1,308.10","1,255.05","1,281.05","1,257.43","136,002","Jul 10, 2023"
07-07-2023,"1,280.00","1,282.00","1,250.00","1,259.00","1,235.79","76,389","Jul 07, 2023"
06-07-2023,"1,205.55","1,290.00","1,205.55","1,270.80","1,247.37","231,189","Jul 06, 2023"
05-07-2023,"1,191.00","1,212.00","1,190.95","1,205.20","1,182.98","22,001","Jul 05, 2023"
04-07-2023,"1,200.80","1,206.90","1,188.15","1,194.35","1,172.33","17,987","Jul 04, 2023"
03-07-2023,"1,204.70","1,208.00","1,188.00","1,193.80","1,171.79","12,248","Jul 03, 2023"
30-06-2023,"1,197.00","1,204.75","1,188.05","1,197.35","1,175.28","20,141","Jun 30, 2023"
28-06-2023,"1,195.20","1,195.20","1,195.20","1,195.20","1,173.17",-,"Jun 28, 2023"
27-06-2023,"1,188.50","1,197.40","1,185.00","1,195.20","1,173.17","8,433","Jun 27, 2023"
26-06-2023,"1,182.00","1,190.30","1,177.10","1,181.60","1,159.82","8,517","Jun 26, 2023"
23-06-2023,"1,192.00","1,194.70","1,177.40","1,183.30","1,161.49","9,956","Jun 23, 2023"
22-06-2023,"1,199.95","1,206.95","1,186.10","1,189.45","1,167.52","15,034","Jun 22, 2023"
21-06-2023,"1,198.00","1,211.80","1,190.00","1,195.75","1,173.71","24,081","Jun 21, 2023"
20-06-2023,"1,198.95","1,200.95","1,187.85","1,194.85","1,172.82","8,833","Jun 20, 2023"
19-06-2023,"1,194.95","1,208.00","1,194.90","1,196.60","1,174.54","15,431","Jun 19, 2023"
16-06-2023,"1,194.90","1,200.25","1,185.80","1,188.60","1,166.69","16,680","Jun 16, 2023"
15-06-2023,"1,195.35","1,216.00","1,183.65","1,188.40","1,166.49","36,647","Jun 15, 2023"
14-06-2023,"1,208.00","1,208.00","1,190.35","1,194.35","1,172.33","14,733","Jun 14, 2023"
13-06-2023,"1,198.00","1,218.00","1,193.05","1,200.45","1,178.32","30,080","Jun 13, 2023"
12-06-2023,"1,165.05","1,205.80","1,165.05","1,189.00","1,167.08","24,451","Jun 12, 2023"
09-06-2023,"1,195.60","1,207.00","1,179.55","1,190.35","1,168.41","13,140","Jun 09, 2023"
08-06-2023,"1,195.25","1,211.00","1,191.35","1,195.60","1,173.56","17,149","Jun 08, 2023"
07-06-2023,"1,208.95","1,217.80","1,191.00","1,194.50","1,172.48","23,411","Jun 07, 2023"
06-06-2023,"1,199.95","1,215.00","1,189.05","1,200.05","1,177.93","18,355","Jun 06, 2023"
05-06-2023,"1,218.00","1,219.35","1,187.00","1,190.25","1,168.31","36,275","Jun 05, 2023"
02-06-2023,"1,220.00","1,223.85","1,201.00","1,210.75","1,188.43","21,370","Jun 02, 2023"
01-06-2023,"1,219.90","1,224.85","1,210.95","1,216.30","1,193.88","19,721","Jun 01, 2023"
31-05-2023,"1,210.40","1,227.00","1,206.05","1,215.10","1,192.70","42,437","May 31, 2023"
30-05-2023,"1,251.00","1,251.00","1,206.00","1,210.40","1,188.09","101,523","May 30, 2023"
29-05-2023,"1,254.20","1,286.00","1,224.00","1,266.30","1,242.96","165,730","May 29, 2023"
26-05-2023,"1,259.40","1,266.20","1,251.70","1,257.15","1,233.97","25,648","May 26, 2023"
25-05-2023,"1,242.00","1,274.90","1,241.20","1,248.60","1,225.58","41,560","May 25, 2023"
24-05-2023,"1,245.00","1,270.00","1,236.25","1,252.30","1,229.21","39,188","May 24, 2023"
23-05-2023,"1,247.90","1,253.85","1,225.05","1,234.95","1,212.18","25,488","May 23, 2023"
22-05-2023,"1,224.90","1,274.90","1,221.05","1,235.55","1,212.77","85,466","May 22, 2023"
19-05-2023,"1,209.95","1,224.00","1,207.05","1,214.95","1,192.55","13,466","May 19, 2023"
18-05-2023,"1,219.90","1,224.70","1,202.00","1,204.40","1,182.20","14,749","May 18, 2023"
17-05-2023,"1,210.00","1,227.00","1,173.05","1,206.35","1,184.11","27,491","May 17, 2023"
16-05-2023,"1,219.95","1,234.25","1,205.05","1,212.25","1,189.90","24,766","May 16, 2023"
15-05-2023,"1,212.95","1,236.50","1,206.50","1,219.70","1,197.22","26,258","May 15, 2023"
12-05-2023,"1,214.95","1,242.25","1,201.15","1,210.15","1,187.84","35,418","May 12, 2023"
11-05-2023,"1,214.95","1,227.60","1,195.05","1,205.65","1,183.42","22,038","May 11, 2023"
10-05-2023,"1,210.00","1,224.00","1,186.05","1,201.05","1,178.91","22,993","May 10, 2023"
09-05-2023,"1,210.00","1,235.00","1,205.10","1,208.60","1,186.32","32,256","May 09, 2023"
08-05-2023,"1,239.95","1,246.55","1,211.00","1,217.75","1,195.30","84,060","May 08, 2023"
05-05-2023,"1,155.00","1,210.00","1,155.00","1,200.80","1,178.66","134,485","May 05, 2023"
04-05-2023,"1,185.00","1,188.00","1,148.00","1,154.55","1,133.27","32,581","May 04, 2023"
03-05-2023,"1,119.70","1,170.00","1,119.70","1,164.15","1,142.69","75,355","May 03, 2023"
02-05-2023,"1,116.55","1,128.45","1,105.70","1,117.35","1,096.75","19,355","May 02, 2023"
28-04-2023,"1,080.00","1,114.45","1,071.05","1,105.50","1,085.12","44,984","Apr 28, 2023"
27-04-2023,"1,084.95","1,084.95","1,075.25","1,078.05","1,058.18","9,571","Apr 27, 2023"
26-04-2023,"1,073.50","1,081.50","1,070.95","1,078.50","1,058.62","5,347","Apr 26, 2023"
25-04-2023,"1,080.00","1,088.00","1,068.50","1,069.75","1,050.03","13,714","Apr 25, 2023"
24-04-2023,"1,087.90","1,088.00","1,075.00","1,086.00","1,065.98","8,389","Apr 24, 2023"
21-04-2023,"1,070.05","1,083.95","1,070.05","1,078.00","1,058.13","2,871","Apr 21, 2023"
20-04-2023,"1,075.00","1,083.00","1,069.80","1,075.00","1,055.18","5,955","Apr 20, 2023"
19-04-2023,"1,081.75","1,085.00","1,073.35","1,077.15","1,057.29","4,427","Apr 19, 2023"
18-04-2023,"1,075.00","1,095.45","1,071.25","1,077.50","1,057.64","11,759","Apr 18, 2023"
17-04-2023,"1,074.90","1,079.85","1,069.00","1,071.30","1,051.55","5,229","Apr 17, 2023"
13-04-2023,"1,071.00","1,082.00","1,070.00","1,072.35","1,052.58","4,588","Apr 13, 2023"
12-04-2023,"1,065.85","1,078.00","1,055.00","1,070.80","1,051.06","72,932","Apr 12, 2023"
11-04-2023,"1,074.00","1,079.00","1,062.15","1,065.85","1,046.20","5,445","Apr 11, 2023"
10-04-2023,"1,082.10","1,082.10","1,059.00","1,068.85","1,049.15","7,825","Apr 10, 2023"
06-04-2023,"1,081.35","1,081.35","1,070.00","1,071.50","1,051.75","5,648","Apr 06, 2023"
05-04-2023,"1,066.70","1,075.00","1,060.00","1,070.70","1,050.96","6,817","Apr 05, 2023"
03-04-2023,"1,068.90","1,075.90","1,058.15","1,066.70","1,047.04","3,771","Apr 03, 2023"
31-03-2023,"1,056.00","1,073.55","1,039.05","1,068.90","1,049.20","19,118","Mar 31, 2023"
29-03-2023,"1,050.00","1,060.00","1,040.00","1,047.05","1,027.75","7,029","Mar 29, 2023"
28-03-2023,"1,040.80","1,066.00","1,034.05","1,049.90","1,030.55","8,251","Mar 28, 2023"
27-03-2023,"1,063.80","1,063.80","1,025.00","1,032.40","1,013.37","9,362","Mar 27, 2023"
24-03-2023,"1,067.05","1,071.95","1,053.00","1,054.45","1,035.01","4,232","Mar 24, 2023"
23-03-2023,"1,072.95","1,074.95","1,063.10","1,065.95","1,046.30","2,809","Mar 23, 2023"
