date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,117.95,118.40,116.05,116.40,116.40,"455,368","Aug 25, 2023"
24-08-2023,118.80,118.90,117.30,117.95,117.95,"410,260","Aug 24, 2023"
23-08-2023,120.50,120.55,117.00,117.75,117.75,"857,231","Aug 23, 2023"
22-08-2023,119.70,121.15,119.15,119.65,119.65,"1,045,644","Aug 22, 2023"
21-08-2023,120.00,122.10,118.90,119.50,119.50,"855,202","Aug 21, 2023"
18-08-2023,120.15,120.80,118.25,119.35,119.35,"570,382","Aug 18, 2023"
17-08-2023,116.15,121.00,116.15,120.15,120.15,"922,258","Aug 17, 2023"
16-08-2023,118.10,118.40,116.55,116.90,116.90,"494,484","Aug 16, 2023"
14-08-2023,119.05,119.65,115.55,118.60,118.60,"732,209","Aug 14, 2023"
11-08-2023,121.25,121.45,118.90,119.30,119.30,"648,698","Aug 11, 2023"
10-08-2023,120.30,121.70,119.85,120.60,120.60,"753,708","Aug 10, 2023"
09-08-2023,124.40,125.00,119.50,120.90,120.90,"1,916,530","Aug 09, 2023"
08-08-2023,122.60,125.60,120.85,123.65,123.65,"1,242,257","Aug 08, 2023"
07-08-2023,122.10,124.50,121.55,122.10,122.10,"1,022,709","Aug 07, 2023"
04-08-2023,119.70,122.40,119.70,120.65,120.65,"568,853","Aug 04, 2023"
03-08-2023,121.15,122.10,118.90,119.25,119.25,"722,513","Aug 03, 2023"
02-08-2023,124.00,125.00,119.20,121.10,121.10,"1,051,184","Aug 02, 2023"
01-08-2023,125.90,126.75,123.50,124.25,124.25,"1,340,155","Aug 01, 2023"
31-07-2023,120.10,125.50,119.65,124.80,124.80,"2,254,332","Jul 31, 2023"
28-07-2023,118.90,120.30,117.85,119.50,119.50,"755,658","Jul 28, 2023"
27-07-2023,120.75,121.20,118.40,118.90,118.90,"593,984","Jul 27, 2023"
26-07-2023,121.50,122.10,120.00,120.25,120.25,"1,037,782","Jul 26, 2023"
26-07-2023,3.4 Dividend,,,,,,"Jul 26, 2023"
25-07-2023,122.45,126.25,122.30,123.75,120.35,"2,159,418","Jul 25, 2023"
24-07-2023,122.90,123.90,122.00,122.40,119.04,"1,089,245","Jul 24, 2023"
21-07-2023,120.05,122.75,119.70,122.20,118.84,"785,873","Jul 21, 2023"
20-07-2023,121.60,122.30,120.50,120.75,117.43,"580,589","Jul 20, 2023"
19-07-2023,121.00,123.00,120.30,121.40,118.06,"929,507","Jul 19, 2023"
18-07-2023,122.00,124.80,119.90,120.65,117.34,"1,974,498","Jul 18, 2023"
17-07-2023,120.30,122.60,120.30,121.60,118.26,"601,583","Jul 17, 2023"
14-07-2023,120.00,121.00,119.00,120.10,116.80,"729,843","Jul 14, 2023"
13-07-2023,122.80,122.80,118.95,119.55,116.27,"931,838","Jul 13, 2023"
12-07-2023,122.95,123.40,121.40,122.00,118.65,"944,967","Jul 12, 2023"
11-07-2023,120.30,122.80,120.10,122.20,118.84,"1,600,903","Jul 11, 2023"
10-07-2023,118.55,119.90,116.80,119.30,116.02,"908,704","Jul 10, 2023"
07-07-2023,119.55,121.35,117.65,117.95,114.71,"1,237,942","Jul 07, 2023"
06-07-2023,121.50,123.20,118.15,118.90,115.63,"1,657,097","Jul 06, 2023"
05-07-2023,119.55,123.60,119.55,121.50,118.16,"1,428,565","Jul 05, 2023"
04-07-2023,122.10,122.70,118.65,120.50,117.19,"1,447,578","Jul 04, 2023"
03-07-2023,123.65,126.40,121.40,122.15,118.79,"1,499,652","Jul 03, 2023"
30-06-2023,122.15,124.90,121.20,122.80,119.43,"1,942,299","Jun 30, 2023"
28-06-2023,121.75,121.75,121.75,121.75,118.40,-,"Jun 28, 2023"
27-06-2023,117.60,127.85,116.60,121.75,118.40,"16,286,776","Jun 27, 2023"
26-06-2023,113.90,117.80,113.60,116.90,113.69,"1,303,309","Jun 26, 2023"
23-06-2023,113.40,114.70,111.85,114.00,110.87,"522,937","Jun 23, 2023"
22-06-2023,115.20,115.90,113.20,113.90,110.77,"531,818","Jun 22, 2023"
21-06-2023,115.65,115.65,114.25,115.25,112.08,"483,742","Jun 21, 2023"
20-06-2023,114.10,116.25,114.10,115.55,112.38,"526,963","Jun 20, 2023"
19-06-2023,115.75,116.55,113.65,114.10,110.97,"739,185","Jun 19, 2023"
16-06-2023,115.95,117.00,114.00,115.75,112.57,"1,024,420","Jun 16, 2023"
15-06-2023,113.15,117.25,113.05,115.50,112.33,"1,486,378","Jun 15, 2023"
14-06-2023,114.35,115.10,113.00,113.20,110.09,"1,069,112","Jun 14, 2023"
13-06-2023,114.70,115.40,113.00,114.50,111.35,"1,207,263","Jun 13, 2023"
