date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,269.00","1,284.95","1,246.85","1,273.05","1,273.05","19,595","Aug 25, 2023"
24-08-2023,"1,259.90","1,329.00","1,257.75","1,268.45","1,268.45","145,414","Aug 24, 2023"
23-08-2023,"1,268.90","1,282.90","1,244.00","1,250.90","1,250.90","21,544","Aug 23, 2023"
22-08-2023,"1,260.00","1,274.90","1,247.00","1,256.90","1,256.90","17,093","Aug 22, 2023"
21-08-2023,"1,235.00","1,259.60","1,225.30","1,256.00","1,256.00","22,100","Aug 21, 2023"
18-08-2023,"1,230.10","1,241.95","1,211.20","1,224.50","1,224.50","17,527","Aug 18, 2023"
17-08-2023,"1,264.00","1,267.90","1,220.00","1,238.10","1,238.10","25,729","Aug 17, 2023"
16-08-2023,"1,266.05","1,278.95","1,248.50","1,252.50","1,252.50","16,283","Aug 16, 2023"
14-08-2023,"1,280.00","1,324.00","1,230.00","1,266.05","1,266.05","97,355","Aug 14, 2023"
11-08-2023,"1,285.10","1,306.05","1,251.25","1,281.25","1,281.25","133,713","Aug 11, 2023"
10-08-2023,"1,329.75","1,329.75","1,292.00","1,306.95","1,306.95","23,630","Aug 10, 2023"
09-08-2023,"1,325.00","1,333.20","1,291.00","1,320.80","1,320.80","31,508","Aug 09, 2023"
08-08-2023,"1,350.00","1,350.00","1,320.00","1,329.40","1,329.40","20,063","Aug 08, 2023"
07-08-2023,"1,328.95","1,381.00","1,325.10","1,340.35","1,340.35","45,875","Aug 07, 2023"
04-08-2023,"1,304.55","1,327.00","1,304.55","1,317.35","1,317.35","10,837","Aug 04, 2023"
03-08-2023,"1,294.00","1,319.80","1,287.60","1,310.85","1,310.85","11,384","Aug 03, 2023"
02-08-2023,"1,301.00","1,325.00","1,281.15","1,292.10","1,292.10","31,708","Aug 02, 2023"
01-08-2023,"1,336.00","1,359.00","1,291.10","1,301.80","1,301.80","49,121","Aug 01, 2023"
31-07-2023,"1,283.65","1,335.35","1,280.35","1,330.95","1,330.95","40,014","Jul 31, 2023"
28-07-2023,"1,299.00","1,302.70","1,276.00","1,283.65","1,283.65","21,261","Jul 28, 2023"
27-07-2023,"1,318.00","1,321.90","1,290.15","1,306.20","1,306.20","21,902","Jul 27, 2023"
26-07-2023,"1,253.95","1,300.00","1,253.95","1,296.30","1,296.30","27,385","Jul 26, 2023"
25-07-2023,"1,276.75","1,324.65","1,246.10","1,253.90","1,253.90","31,061","Jul 25, 2023"
24-07-2023,"1,290.75","1,295.00","1,268.05","1,276.75","1,276.75","19,405","Jul 24, 2023"
21-07-2023,"1,300.00","1,308.60","1,281.15","1,290.80","1,290.80","11,032","Jul 21, 2023"
20-07-2023,"1,305.70","1,318.00","1,293.00","1,298.75","1,298.75","14,394","Jul 20, 2023"
19-07-2023,"1,305.00","1,317.40","1,293.70","1,305.70","1,305.70","17,724","Jul 19, 2023"
18-07-2023,"1,326.05","1,330.50","1,305.00","1,311.45","1,311.45","12,849","Jul 18, 2023"
17-07-2023,"1,330.00","1,342.00","1,319.00","1,325.25","1,325.25","18,559","Jul 17, 2023"
14-07-2023,"1,347.35","1,347.35","1,315.00","1,323.20","1,323.20","17,594","Jul 14, 2023"
13-07-2023,"1,337.00","1,350.00","1,302.00","1,330.35","1,330.35","122,878","Jul 13, 2023"
12-07-2023,"1,339.00","1,343.95","1,317.50","1,334.15","1,334.15","24,328","Jul 12, 2023"
11-07-2023,"1,328.40","1,343.95","1,307.00","1,339.85","1,339.85","23,997","Jul 11, 2023"
10-07-2023,"1,327.05","1,350.60","1,318.00","1,328.40","1,328.40","43,594","Jul 10, 2023"
07-07-2023,"1,327.00","1,333.00","1,293.10","1,323.20","1,323.20","34,150","Jul 07, 2023"
06-07-2023,"1,318.00","1,338.00","1,304.15","1,333.20","1,333.20","62,332","Jul 06, 2023"
05-07-2023,"1,295.00","1,339.00","1,287.35","1,312.00","1,312.00","91,404","Jul 05, 2023"
04-07-2023,"1,289.05","1,298.80","1,268.15","1,289.65","1,289.65","68,408","Jul 04, 2023"
03-07-2023,"1,281.40","1,300.00","1,277.30","1,283.95","1,283.95","29,154","Jul 03, 2023"
30-06-2023,"1,280.20","1,289.80","1,262.50","1,281.40","1,281.40","20,977","Jun 30, 2023"
28-06-2023,"1,262.50","1,262.50","1,262.50","1,262.50","1,262.50",-,"Jun 28, 2023"
27-06-2023,"1,272.00","1,275.25","1,255.00","1,262.50","1,262.50","10,219","Jun 27, 2023"
26-06-2023,"1,288.95","1,297.00","1,252.85","1,267.30","1,267.30","16,223","Jun 26, 2023"
23-06-2023,"1,298.95","1,308.95","1,269.30","1,287.25","1,287.25","30,395","Jun 23, 2023"
22-06-2023,"1,300.00","1,309.90","1,275.05","1,290.95","1,290.95","34,943","Jun 22, 2023"
21-06-2023,"1,319.00","1,319.00","1,288.00","1,295.20","1,295.20","101,200","Jun 21, 2023"
20-06-2023,"1,254.05","1,271.30","1,250.00","1,265.50","1,265.50","11,341","Jun 20, 2023"
19-06-2023,"1,290.00","1,290.00","1,243.00","1,249.60","1,249.60","30,255","Jun 19, 2023"
16-06-2023,"1,282.00","1,303.05","1,257.25","1,271.55","1,271.55","30,124","Jun 16, 2023"
15-06-2023,"1,247.25","1,295.95","1,235.00","1,278.30","1,278.30","86,920","Jun 15, 2023"
14-06-2023,"1,265.55","1,268.65","1,240.65","1,246.05","1,246.05","11,910","Jun 14, 2023"
13-06-2023,"1,262.75","1,274.00","1,252.10","1,260.60","1,260.60","11,460","Jun 13, 2023"
12-06-2023,"1,247.00","1,269.05","1,243.30","1,257.75","1,257.75","11,914","Jun 12, 2023"
09-06-2023,"1,260.25","1,276.05","1,234.25","1,238.40","1,238.40","20,545","Jun 09, 2023"
