date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,875.00,894.00,852.40,857.90,857.90,573,"Aug 25, 2023"
24-08-2023,906.65,907.00,865.20,877.50,877.50,381,"Aug 24, 2023"
23-08-2023,885.40,908.95,876.40,890.80,890.80,89,"Aug 23, 2023"
22-08-2023,880.40,928.90,880.40,918.10,918.10,541,"Aug 22, 2023"
21-08-2023,895.35,933.80,864.05,914.15,914.15,491,"Aug 21, 2023"
18-08-2023,896.00,896.00,896.00,896.00,896.00,20,"Aug 18, 2023"
17-08-2023,899.85,934.00,892.05,909.25,909.25,688,"Aug 17, 2023"
16-08-2023,896.85,929.00,891.40,909.70,909.70,670,"Aug 16, 2023"
14-08-2023,881.25,908.00,881.00,897.15,897.15,301,"Aug 14, 2023"
11-08-2023,849.75,955.00,849.75,887.70,887.70,"2,744","Aug 11, 2023"
10-08-2023,869.00,869.05,843.80,854.05,854.05,600,"Aug 10, 2023"
09-08-2023,853.35,859.00,839.65,852.45,852.45,249,"Aug 09, 2023"
08-08-2023,857.60,869.95,830.00,853.05,853.05,490,"Aug 08, 2023"
07-08-2023,857.00,864.00,857.00,857.60,857.60,100,"Aug 07, 2023"
04-08-2023,862.00,867.00,860.40,866.05,866.05,123,"Aug 04, 2023"
03-08-2023,865.40,869.95,854.00,855.50,855.50,172,"Aug 03, 2023"
02-08-2023,882.60,882.80,864.10,875.15,875.15,184,"Aug 02, 2023"
02-08-2023,2 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,871.05,884.40,870.40,873.80,871.80,204,"Aug 01, 2023"
31-07-2023,872.30,891.00,871.70,882.10,880.08,154,"Jul 31, 2023"
28-07-2023,871.00,904.95,869.95,879.85,877.84,328,"Jul 28, 2023"
27-07-2023,878.00,885.20,853.60,877.65,875.64,231,"Jul 27, 2023"
26-07-2023,868.90,902.00,867.65,886.15,884.12,410,"Jul 26, 2023"
25-07-2023,864.30,881.10,853.00,868.65,866.66,491,"Jul 25, 2023"
24-07-2023,889.00,906.00,864.05,875.45,873.45,324,"Jul 24, 2023"
21-07-2023,913.65,913.65,886.00,889.00,886.97,332,"Jul 21, 2023"
20-07-2023,925.45,925.45,900.00,905.40,903.33,"1,078","Jul 20, 2023"
19-07-2023,833.75,995.95,833.75,907.40,905.32,"15,194","Jul 19, 2023"
18-07-2023,817.65,861.90,784.05,835.25,833.34,"2,088","Jul 18, 2023"
17-07-2023,812.00,829.00,812.00,817.65,815.78,100,"Jul 17, 2023"
14-07-2023,820.00,827.00,777.10,813.95,812.09,"1,477","Jul 14, 2023"
13-07-2023,812.60,835.00,810.00,812.60,810.74,779,"Jul 13, 2023"
12-07-2023,820.45,837.00,791.05,811.90,810.04,719,"Jul 12, 2023"
11-07-2023,852.20,863.95,806.00,820.45,818.57,"2,287","Jul 11, 2023"
10-07-2023,859.05,892.00,845.00,862.35,860.38,837,"Jul 10, 2023"
07-07-2023,872.15,895.85,862.30,877.20,875.19,463,"Jul 07, 2023"
06-07-2023,880.00,892.45,851.75,880.45,878.43,279,"Jul 06, 2023"
05-07-2023,880.35,894.90,870.05,876.95,874.94,497,"Jul 05, 2023"
04-07-2023,885.00,920.00,872.00,880.35,878.33,884,"Jul 04, 2023"
03-07-2023,928.90,928.90,881.00,885.00,882.97,"1,482","Jul 03, 2023"
30-06-2023,963.10,978.50,910.00,914.40,912.31,"2,865","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,759.80,908.40,759.75,908.40,906.32,"19,332","Jun 27, 2023"
26-06-2023,765.50,767.90,742.05,757.00,755.27,385,"Jun 26, 2023"
23-06-2023,766.55,769.00,765.00,765.05,763.30,33,"Jun 23, 2023"
22-06-2023,771.00,785.00,763.30,772.95,771.18,96,"Jun 22, 2023"
21-06-2023,780.00,780.25,765.80,771.85,770.08,112,"Jun 21, 2023"
20-06-2023,781.05,791.40,770.00,774.45,772.68,115,"Jun 20, 2023"
19-06-2023,826.50,848.00,760.00,781.05,779.26,781,"Jun 19, 2023"
16-06-2023,826.10,836.90,798.90,806.95,805.10,371,"Jun 16, 2023"
15-06-2023,809.20,819.00,800.25,806.00,804.16,279,"Jun 15, 2023"
14-06-2023,800.00,812.00,791.10,809.20,807.35,234,"Jun 14, 2023"
13-06-2023,779.20,850.00,770.00,787.85,786.05,637,"Jun 13, 2023"
12-06-2023,780.00,780.00,772.20,779.50,777.72,11,"Jun 12, 2023"
09-06-2023,748.30,782.95,748.30,772.20,770.43,197,"Jun 09, 2023"
08-06-2023,763.65,763.65,763.65,763.65,761.90,-,"Jun 08, 2023"
07-06-2023,779.85,780.05,760.00,763.65,761.90,551,"Jun 07, 2023"
06-06-2023,767.05,786.00,757.35,786.00,784.20,38,"Jun 06, 2023"
05-06-2023,767.00,800.00,767.00,770.95,769.19,233,"Jun 05, 2023"
02-06-2023,778.20,800.00,750.25,783.45,781.66,284,"Jun 02, 2023"
01-06-2023,755.30,769.00,755.00,759.30,757.56,142,"Jun 01, 2023"
31-05-2023,755.00,808.00,755.00,775.85,774.07,89,"May 31, 2023"
30-05-2023,755.00,755.00,740.00,741.45,739.75,119,"May 30, 2023"
29-05-2023,756.00,758.00,739.95,747.90,746.19,493,"May 29, 2023"
26-05-2023,742.90,762.30,742.90,747.80,746.09,263,"May 26, 2023"
25-05-2023,749.00,759.00,742.15,755.95,754.22,115,"May 25, 2023"
24-05-2023,754.00,759.95,744.25,754.95,753.22,127,"May 24, 2023"
23-05-2023,743.15,755.00,743.15,745.70,743.99,157,"May 23, 2023"
22-05-2023,740.00,759.70,740.00,750.00,748.28,26,"May 22, 2023"
19-05-2023,758.75,765.00,741.00,746.95,745.24,293,"May 19, 2023"
18-05-2023,783.10,787.00,752.40,759.30,757.56,308,"May 18, 2023"
17-05-2023,754.55,820.00,750.00,789.65,787.84,236,"May 17, 2023"
16-05-2023,745.65,757.40,745.65,756.65,754.92,113,"May 16, 2023"
15-05-2023,749.50,754.55,740.00,745.70,743.99,155,"May 15, 2023"
12-05-2023,743.75,755.00,741.00,741.90,740.20,294,"May 12, 2023"
11-05-2023,760.75,763.10,737.00,748.05,746.34,312,"May 11, 2023"
10-05-2023,752.10,763.00,751.00,761.05,759.31,75,"May 10, 2023"
09-05-2023,755.10,757.05,741.50,746.25,744.54,215,"May 09, 2023"
08-05-2023,790.10,790.35,755.00,755.00,753.27,122,"May 08, 2023"
05-05-2023,753.65,753.65,753.65,753.65,751.92,-,"May 05, 2023"
04-05-2023,755.00,768.00,750.50,753.65,751.92,239,"May 04, 2023"
