date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,165.90,167.20,163.15,164.75,164.75,"1,984,889","Aug 25, 2023"
24-08-2023,165.00,167.75,164.75,165.50,165.50,"1,948,564","Aug 24, 2023"
23-08-2023,162.85,165.70,162.60,163.65,163.65,"3,627,429","Aug 23, 2023"
22-08-2023,157.45,162.50,157.45,161.65,161.65,"3,021,108","Aug 22, 2023"
21-08-2023,151.50,157.90,151.50,156.15,156.15,"3,348,600","Aug 21, 2023"
18-08-2023,152.55,153.85,150.60,151.50,151.50,"928,238","Aug 18, 2023"
17-08-2023,150.95,154.30,150.90,152.65,152.65,"1,103,746","Aug 17, 2023"
16-08-2023,152.80,152.80,149.65,150.50,150.50,"1,364,365","Aug 16, 2023"
14-08-2023,153.05,153.05,150.00,151.75,151.75,"697,958","Aug 14, 2023"
11-08-2023,152.10,153.70,150.95,153.05,153.05,"1,333,288","Aug 11, 2023"
10-08-2023,150.10,153.25,150.10,151.60,151.60,"1,356,568","Aug 10, 2023"
09-08-2023,150.50,151.15,146.15,150.70,150.70,"5,568,459","Aug 09, 2023"
08-08-2023,158.10,159.50,155.60,156.55,156.55,"2,147,536","Aug 08, 2023"
07-08-2023,164.40,164.65,157.50,158.10,158.10,"2,945,459","Aug 07, 2023"
04-08-2023,164.20,165.25,163.10,164.05,164.05,"970,627","Aug 04, 2023"
03-08-2023,164.30,166.25,163.30,164.00,164.00,"1,195,092","Aug 03, 2023"
02-08-2023,167.95,170.40,164.25,165.25,165.25,"2,421,324","Aug 02, 2023"
01-08-2023,165.50,168.95,165.30,168.05,168.05,"2,413,889","Aug 01, 2023"
31-07-2023,163.95,166.55,163.25,164.65,164.65,"1,595,085","Jul 31, 2023"
28-07-2023,167.10,167.75,160.55,163.25,163.25,"3,311,998","Jul 28, 2023"
27-07-2023,169.75,172.30,167.30,167.80,167.80,"1,991,677","Jul 27, 2023"
26-07-2023,168.95,171.30,168.15,169.75,169.75,"2,411,609","Jul 26, 2023"
25-07-2023,167.55,169.60,166.20,168.15,168.15,"1,335,025","Jul 25, 2023"
24-07-2023,167.30,169.20,166.90,167.50,167.50,"1,118,936","Jul 24, 2023"
21-07-2023,167.15,167.90,166.35,167.30,167.30,"832,535","Jul 21, 2023"
20-07-2023,167.80,169.90,167.00,167.45,167.45,"1,379,634","Jul 20, 2023"
19-07-2023,168.45,170.50,167.20,167.80,167.80,"1,778,324","Jul 19, 2023"
18-07-2023,170.00,170.65,166.65,167.15,167.15,"1,302,191","Jul 18, 2023"
17-07-2023,170.40,172.80,168.45,169.35,169.35,"2,841,316","Jul 17, 2023"
14-07-2023,168.70,169.55,167.55,168.90,168.90,"1,254,212","Jul 14, 2023"
13-07-2023,169.00,171.65,166.25,168.25,168.25,"3,166,092","Jul 13, 2023"
12-07-2023,168.30,168.90,167.10,168.15,168.15,"1,704,975","Jul 12, 2023"
11-07-2023,168.90,169.15,167.20,167.55,167.55,"1,835,333","Jul 11, 2023"
10-07-2023,167.25,169.90,166.25,167.60,167.60,"2,374,077","Jul 10, 2023"
07-07-2023,167.70,169.50,165.65,166.90,166.90,"2,121,961","Jul 07, 2023"
06-07-2023,166.15,170.50,166.00,167.95,167.95,"5,452,954","Jul 06, 2023"
05-07-2023,162.55,168.15,162.15,166.40,166.40,"3,824,042","Jul 05, 2023"
04-07-2023,163.65,165.35,161.70,162.45,162.45,"1,310,328","Jul 04, 2023"
03-07-2023,164.40,165.90,163.20,163.65,163.65,"1,251,822","Jul 03, 2023"
30-06-2023,163.00,165.60,162.60,163.90,163.90,"2,149,468","Jun 30, 2023"
28-06-2023,162.40,162.40,162.40,162.40,162.40,-,"Jun 28, 2023"
27-06-2023,163.50,164.85,162.00,162.40,162.40,"1,475,790","Jun 27, 2023"
26-06-2023,161.50,164.40,160.80,163.45,163.45,"1,346,053","Jun 26, 2023"
23-06-2023,164.00,164.00,160.00,161.10,161.10,"1,269,125","Jun 23, 2023"
22-06-2023,165.00,166.95,161.50,162.90,162.90,"3,293,404","Jun 22, 2023"
21-06-2023,163.40,166.50,163.25,163.70,163.70,"3,809,091","Jun 21, 2023"
20-06-2023,160.00,163.90,159.35,162.75,162.75,"2,892,965","Jun 20, 2023"
19-06-2023,161.45,162.50,159.35,159.90,159.90,"1,309,329","Jun 19, 2023"
16-06-2023,161.60,162.30,160.00,160.40,160.40,"1,691,671","Jun 16, 2023"
15-06-2023,163.70,163.85,159.50,160.05,160.05,"2,092,418","Jun 15, 2023"
14-06-2023,158.50,165.25,157.20,163.15,163.15,"7,086,189","Jun 14, 2023"
13-06-2023,159.45,159.50,156.70,157.50,157.50,"1,705,423","Jun 13, 2023"
12-06-2023,158.90,159.75,155.45,158.80,158.80,"2,345,001","Jun 12, 2023"
09-06-2023,160.50,160.50,157.60,157.85,157.85,"1,066,143","Jun 09, 2023"
08-06-2023,161.00,161.75,158.70,159.80,159.80,"1,242,139","Jun 08, 2023"
07-06-2023,160.70,162.30,160.20,160.60,160.60,"1,390,840","Jun 07, 2023"
06-06-2023,162.00,162.75,159.55,160.50,160.50,"1,671,056","Jun 06, 2023"
05-06-2023,161.55,164.20,160.65,161.90,161.90,"2,145,109","Jun 05, 2023"
02-06-2023,159.70,160.90,158.80,160.30,160.30,"1,372,429","Jun 02, 2023"
01-06-2023,158.50,161.10,158.15,158.85,158.85,"1,629,059","Jun 01, 2023"
31-05-2023,160.05,160.25,156.05,157.35,157.35,"3,060,997","May 31, 2023"
30-05-2023,160.50,162.15,159.55,160.30,160.30,"1,594,085","May 30, 2023"
29-05-2023,159.75,160.75,155.80,159.70,159.70,"3,874,534","May 29, 2023"
