date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,7.10,7.10,6.95,7.00,7.00,"465,518","Aug 25, 2023"
24-08-2023,7.00,7.20,6.95,7.05,7.05,"663,451","Aug 24, 2023"
23-08-2023,6.90,7.00,6.85,7.00,7.00,"397,577","Aug 23, 2023"
22-08-2023,6.95,7.00,6.85,6.90,6.90,"294,703","Aug 22, 2023"
21-08-2023,7.05,7.05,6.85,6.90,6.90,"296,351","Aug 21, 2023"
18-08-2023,7.00,7.05,6.90,6.95,6.95,"233,971","Aug 18, 2023"
17-08-2023,7.10,7.10,6.90,6.95,6.95,"368,327","Aug 17, 2023"
16-08-2023,7.10,7.15,7.00,7.00,7.00,"329,513","Aug 16, 2023"
14-08-2023,7.10,7.10,6.90,6.95,6.95,"420,384","Aug 14, 2023"
11-08-2023,7.00,7.05,6.85,7.00,7.00,"459,763","Aug 11, 2023"
10-08-2023,7.05,7.20,7.00,7.05,7.05,"623,432","Aug 10, 2023"
09-08-2023,7.10,7.10,7.00,7.05,7.05,"282,882","Aug 09, 2023"
08-08-2023,7.25,7.25,7.00,7.00,7.00,"489,811","Aug 08, 2023"
07-08-2023,6.95,7.25,6.95,7.15,7.15,"930,107","Aug 07, 2023"
04-08-2023,7.00,7.00,6.90,6.95,6.95,"367,189","Aug 04, 2023"
03-08-2023,6.90,7.00,6.75,6.85,6.85,"395,327","Aug 03, 2023"
02-08-2023,6.95,7.05,6.80,6.85,6.85,"401,038","Aug 02, 2023"
01-08-2023,7.05,7.10,6.95,7.00,7.00,"288,016","Aug 01, 2023"
31-07-2023,6.90,7.15,6.85,7.00,7.00,"431,172","Jul 31, 2023"
28-07-2023,6.85,7.00,6.75,6.80,6.80,"276,439","Jul 28, 2023"
27-07-2023,6.75,6.90,6.75,6.80,6.80,"435,860","Jul 27, 2023"
26-07-2023,7.00,7.00,6.75,6.85,6.85,"469,850","Jul 26, 2023"
25-07-2023,7.00,7.10,6.90,6.95,6.95,"271,414","Jul 25, 2023"
24-07-2023,7.10,7.20,6.95,7.00,7.00,"760,977","Jul 24, 2023"
21-07-2023,7.00,7.15,6.95,7.05,7.05,"447,076","Jul 21, 2023"
20-07-2023,7.20,7.20,7.00,7.05,7.05,"465,425","Jul 20, 2023"
19-07-2023,7.15,7.25,7.00,7.15,7.15,"774,045","Jul 19, 2023"
18-07-2023,7.25,7.50,7.05,7.15,7.15,"813,268","Jul 18, 2023"
17-07-2023,7.15,7.45,6.95,7.20,7.20,"892,602","Jul 17, 2023"
14-07-2023,7.15,7.30,6.60,7.00,7.00,"733,718","Jul 14, 2023"
13-07-2023,7.65,7.80,6.90,7.00,7.00,"2,375,560","Jul 13, 2023"
12-07-2023,7.25,7.75,7.20,7.50,7.50,"2,033,924","Jul 12, 2023"
11-07-2023,7.15,7.30,7.05,7.20,7.20,"775,180","Jul 11, 2023"
10-07-2023,6.95,7.30,6.80,7.05,7.05,"1,001,285","Jul 10, 2023"
07-07-2023,6.65,6.95,6.60,6.80,6.80,"861,465","Jul 07, 2023"
06-07-2023,6.70,6.75,6.55,6.60,6.60,"454,617","Jul 06, 2023"
05-07-2023,6.95,6.95,6.60,6.65,6.65,"625,862","Jul 05, 2023"
04-07-2023,6.75,7.00,6.70,6.80,6.80,"1,319,767","Jul 04, 2023"
03-07-2023,5.95,7.05,5.90,6.70,6.70,"3,237,074","Jul 03, 2023"
30-06-2023,5.95,6.05,5.85,5.90,5.90,"268,741","Jun 30, 2023"
28-06-2023,5.95,5.95,5.95,5.95,5.95,-,"Jun 28, 2023"
27-06-2023,5.95,6.15,5.95,5.95,5.95,"141,748","Jun 27, 2023"
26-06-2023,6.10,6.10,5.90,5.95,5.95,"106,614","Jun 26, 2023"
