date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,656.00,661.25,645.00,652.00,652.00,"119,526","Aug 25, 2023"
24-08-2023,663.75,667.60,655.00,655.95,655.95,"73,309","Aug 24, 2023"
23-08-2023,645.55,669.65,645.55,659.80,659.80,"136,650","Aug 23, 2023"
22-08-2023,639.00,647.00,638.95,643.30,643.30,"51,392","Aug 22, 2023"
21-08-2023,642.00,642.00,634.60,637.80,637.80,"50,766","Aug 21, 2023"
18-08-2023,629.35,640.00,623.00,634.40,634.40,"53,218","Aug 18, 2023"
17-08-2023,628.80,637.55,627.00,629.35,629.35,"45,896","Aug 17, 2023"
16-08-2023,637.50,642.90,626.60,627.80,627.80,"60,242","Aug 16, 2023"
14-08-2023,650.00,650.00,634.20,637.55,637.55,"65,988","Aug 14, 2023"
11-08-2023,650.00,650.00,642.55,646.70,646.70,"58,934","Aug 11, 2023"
10-08-2023,651.95,653.90,641.50,646.60,646.60,"87,970","Aug 10, 2023"
09-08-2023,640.00,656.00,627.80,653.30,653.30,"389,194","Aug 09, 2023"
08-08-2023,668.50,669.15,653.70,662.15,662.15,"51,817","Aug 08, 2023"
07-08-2023,677.50,680.00,665.45,668.90,668.90,"70,260","Aug 07, 2023"
04-08-2023,663.00,677.00,663.00,675.15,675.15,"87,216","Aug 04, 2023"
03-08-2023,660.00,668.50,657.10,664.45,664.45,"55,837","Aug 03, 2023"
02-08-2023,672.00,674.90,655.65,663.50,663.50,"92,919","Aug 02, 2023"
01-08-2023,659.90,672.80,657.00,670.65,670.65,"102,029","Aug 01, 2023"
31-07-2023,658.10,664.75,648.35,659.40,659.40,"73,365","Jul 31, 2023"
28-07-2023,655.00,665.00,650.30,654.80,654.80,"65,803","Jul 28, 2023"
27-07-2023,655.00,655.75,650.00,652.95,652.95,"41,866","Jul 27, 2023"
26-07-2023,651.50,656.65,645.00,647.10,647.10,"72,086","Jul 26, 2023"
25-07-2023,663.55,663.65,650.00,650.90,650.90,"94,305","Jul 25, 2023"
24-07-2023,672.50,672.50,662.25,663.20,663.20,"74,082","Jul 24, 2023"
21-07-2023,674.90,674.90,664.25,669.90,669.90,"54,328","Jul 21, 2023"
20-07-2023,680.00,680.00,670.50,672.45,672.45,"47,866","Jul 20, 2023"
19-07-2023,676.00,681.00,672.00,675.05,675.05,"51,307","Jul 19, 2023"
18-07-2023,683.00,684.80,672.50,675.50,675.50,"43,668","Jul 18, 2023"
17-07-2023,671.85,687.00,671.85,678.80,678.80,"76,874","Jul 17, 2023"
14-07-2023,678.00,679.60,670.20,672.00,672.00,"64,046","Jul 14, 2023"
13-07-2023,681.40,682.05,672.50,676.20,676.20,"46,593","Jul 13, 2023"
12-07-2023,683.95,683.95,674.10,678.00,678.00,"73,606","Jul 12, 2023"
11-07-2023,690.80,690.95,677.80,681.65,681.65,"66,667","Jul 11, 2023"
10-07-2023,677.05,693.00,677.05,688.10,688.10,"246,707","Jul 10, 2023"
07-07-2023,680.00,684.00,669.65,673.95,673.95,"113,640","Jul 07, 2023"
06-07-2023,670.35,684.00,668.55,676.95,676.95,"65,470","Jul 06, 2023"
05-07-2023,675.05,677.80,665.55,669.00,669.00,"68,413","Jul 05, 2023"
04-07-2023,676.05,683.05,672.70,674.65,674.65,"54,359","Jul 04, 2023"
03-07-2023,678.00,684.40,674.15,676.05,676.05,"58,305","Jul 03, 2023"
30-06-2023,687.65,687.65,675.90,678.00,678.00,"82,615","Jun 30, 2023"
28-06-2023,673.55,673.55,673.55,673.55,673.55,-,"Jun 28, 2023"
27-06-2023,675.00,678.35,670.60,673.55,673.55,"42,477","Jun 27, 2023"
26-06-2023,677.95,679.95,670.00,672.55,672.55,"30,325","Jun 26, 2023"
23-06-2023,688.10,695.00,671.35,679.20,679.20,"75,008","Jun 23, 2023"
22-06-2023,683.50,692.50,675.50,683.65,683.65,"99,174","Jun 22, 2023"
21-06-2023,684.00,689.90,678.50,682.35,682.35,"71,955","Jun 21, 2023"
20-06-2023,679.00,685.00,675.00,676.75,676.75,"60,106","Jun 20, 2023"
19-06-2023,683.00,686.00,678.00,681.55,681.55,"56,209","Jun 19, 2023"
16-06-2023,686.00,693.00,679.50,683.05,683.05,"77,769","Jun 16, 2023"
15-06-2023,687.00,695.90,681.25,687.80,687.80,"141,637","Jun 15, 2023"
14-06-2023,670.50,697.75,669.05,688.80,688.80,"364,214","Jun 14, 2023"
13-06-2023,670.00,678.95,667.00,672.55,672.55,"56,050","Jun 13, 2023"
12-06-2023,672.00,677.35,665.90,668.35,668.35,"56,287","Jun 12, 2023"
09-06-2023,666.10,680.00,664.30,672.35,672.35,"104,910","Jun 09, 2023"
08-06-2023,674.00,676.70,666.00,669.30,669.30,"87,611","Jun 08, 2023"
07-06-2023,652.05,678.20,652.05,671.95,671.95,"228,644","Jun 07, 2023"
06-06-2023,649.05,655.00,646.10,651.70,651.70,"62,561","Jun 06, 2023"
05-06-2023,656.95,656.95,647.70,648.80,648.80,"52,373","Jun 05, 2023"
02-06-2023,652.40,657.90,647.10,649.35,649.35,"53,328","Jun 02, 2023"
01-06-2023,651.70,656.00,646.35,649.15,649.15,"41,671","Jun 01, 2023"
31-05-2023,654.00,656.75,644.40,648.55,648.55,"65,254","May 31, 2023"
30-05-2023,655.25,658.40,650.95,653.25,653.25,"66,148","May 30, 2023"
29-05-2023,657.00,658.85,647.20,648.75,648.75,"72,207","May 29, 2023"
26-05-2023,658.00,662.60,652.30,653.75,653.75,"60,526","May 26, 2023"
25-05-2023,660.40,665.60,650.75,655.05,655.05,"66,558","May 25, 2023"
24-05-2023,663.95,671.00,659.10,660.40,660.40,"88,328","May 24, 2023"
23-05-2023,659.95,674.00,645.00,663.95,663.95,"337,088","May 23, 2023"
22-05-2023,692.00,693.75,679.80,681.70,681.70,"99,323","May 22, 2023"
19-05-2023,695.50,695.95,683.05,690.30,690.30,"98,354","May 19, 2023"
18-05-2023,708.00,711.70,688.35,693.75,693.75,"194,743","May 18, 2023"
17-05-2023,684.95,708.20,680.60,703.80,703.80,"322,589","May 17, 2023"
