date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,40.35,40.35,39.35,39.55,39.55,"69,278","Aug 25, 2023"
24-08-2023,40.00,40.30,39.50,39.60,39.60,"74,394","Aug 24, 2023"
23-08-2023,40.65,40.65,39.05,39.60,39.60,"87,157","Aug 23, 2023"
22-08-2023,40.25,40.70,39.00,39.70,39.70,"128,236","Aug 22, 2023"
21-08-2023,41.10,41.20,39.75,40.05,40.05,"101,292","Aug 21, 2023"
18-08-2023,42.55,42.55,40.10,40.60,40.60,"3,665,199","Aug 18, 2023"
17-08-2023,42.40,42.50,41.55,42.00,42.00,"856,190","Aug 17, 2023"
16-08-2023,39.00,40.85,39.00,40.85,40.85,"61,459","Aug 16, 2023"
14-08-2023,39.55,40.00,38.75,38.95,38.95,"289,472","Aug 14, 2023"
11-08-2023,41.45,41.45,40.50,40.75,40.75,"44,362","Aug 11, 2023"
10-08-2023,41.30,41.30,40.80,41.05,41.05,"52,955","Aug 10, 2023"
09-08-2023,41.60,41.60,40.40,40.85,40.85,"393,471","Aug 09, 2023"
08-08-2023,42.20,42.70,41.00,41.15,41.15,"134,512","Aug 08, 2023"
07-08-2023,41.00,41.80,40.85,41.40,41.40,"176,375","Aug 07, 2023"
04-08-2023,40.25,40.70,40.00,40.50,40.50,"326,887","Aug 04, 2023"
03-08-2023,40.05,40.55,40.05,40.25,40.25,"59,805","Aug 03, 2023"
02-08-2023,41.65,41.65,40.00,40.50,40.50,"153,664","Aug 02, 2023"
01-08-2023,42.00,42.00,40.60,40.95,40.95,"109,076","Aug 01, 2023"
31-07-2023,42.25,42.40,40.50,41.30,41.30,"174,726","Jul 31, 2023"
28-07-2023,42.15,42.15,41.50,41.60,41.60,"128,308","Jul 28, 2023"
27-07-2023,42.15,42.15,41.60,41.75,41.75,"51,626","Jul 27, 2023"
26-07-2023,42.90,42.90,41.35,41.60,41.60,"110,159","Jul 26, 2023"
25-07-2023,42.80,43.50,41.10,42.25,42.25,"156,575","Jul 25, 2023"
24-07-2023,42.75,43.15,41.50,41.85,41.85,"133,423","Jul 24, 2023"
21-07-2023,42.70,42.75,40.85,42.00,42.00,"227,181","Jul 21, 2023"
20-07-2023,43.95,44.75,41.90,42.90,42.90,"165,124","Jul 20, 2023"
19-07-2023,44.40,46.35,42.65,43.40,43.40,"366,205","Jul 19, 2023"
18-07-2023,45.35,45.45,43.75,44.40,44.40,"965,810","Jul 18, 2023"
17-07-2023,41.75,43.30,41.30,43.30,43.30,"255,342","Jul 17, 2023"
14-07-2023,40.75,41.60,39.90,41.25,41.25,"172,092","Jul 14, 2023"
13-07-2023,41.45,41.80,39.75,40.45,40.45,"171,334","Jul 13, 2023"
12-07-2023,42.85,43.00,41.00,41.20,41.20,"237,698","Jul 12, 2023"
11-07-2023,43.25,44.40,42.30,42.50,42.50,"239,715","Jul 11, 2023"
10-07-2023,44.20,44.20,42.35,42.75,42.75,"208,322","Jul 10, 2023"
07-07-2023,42.00,44.50,41.70,44.00,44.00,"460,182","Jul 07, 2023"
06-07-2023,45.00,45.00,43.15,43.15,43.15,"658,450","Jul 06, 2023"
05-07-2023,45.65,45.65,42.20,45.40,45.40,"2,142,598","Jul 05, 2023"
04-07-2023,43.50,43.50,43.50,43.50,43.50,"62,559","Jul 04, 2023"
03-07-2023,41.45,41.45,41.45,41.45,41.45,"40,256","Jul 03, 2023"
30-06-2023,38.80,39.50,38.50,39.50,39.50,"110,718","Jun 30, 2023"
28-06-2023,35.90,35.90,35.90,35.90,35.90,-,"Jun 28, 2023"
27-06-2023,38.70,39.65,35.25,35.90,35.90,"998,828","Jun 27, 2023"
26-06-2023,41.50,42.05,38.75,39.00,39.00,"764,732","Jun 26, 2023"
23-06-2023,44.00,46.75,42.05,42.60,42.60,"945,949","Jun 23, 2023"
22-06-2023,45.35,46.90,44.65,45.05,45.05,"285,517","Jun 22, 2023"
21-06-2023,47.75,47.75,45.60,45.80,45.80,"195,013","Jun 21, 2023"
20-06-2023,48.10,48.50,46.35,47.25,47.25,"203,077","Jun 20, 2023"
19-06-2023,49.70,49.75,48.00,48.15,48.15,"182,064","Jun 19, 2023"
16-06-2023,49.45,50.25,48.50,49.25,49.25,"245,551","Jun 16, 2023"
15-06-2023,50.60,51.25,48.25,48.80,48.80,"303,992","Jun 15, 2023"
14-06-2023,52.70,52.70,50.15,50.55,50.55,"2,277,686","Jun 14, 2023"
