date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,432.80,439.90,428.00,435.80,435.80,"57,128","Aug 25, 2023"
24-08-2023,444.00,447.20,431.00,434.10,434.10,"74,621","Aug 24, 2023"
23-08-2023,450.00,452.65,438.60,441.20,441.20,"99,876","Aug 23, 2023"
22-08-2023,437.50,454.80,430.65,450.50,450.50,"433,466","Aug 22, 2023"
21-08-2023,415.00,454.85,410.05,435.30,435.30,"274,919","Aug 21, 2023"
18-08-2023,420.15,425.20,415.00,419.10,419.10,"113,959","Aug 18, 2023"
17-08-2023,409.85,422.40,409.55,419.75,419.75,"77,164","Aug 17, 2023"
16-08-2023,407.25,414.20,406.05,410.20,410.20,"36,318","Aug 16, 2023"
14-08-2023,418.90,418.90,406.50,408.85,408.85,"57,924","Aug 14, 2023"
11-08-2023,417.45,420.65,415.40,419.00,419.00,"58,880","Aug 11, 2023"
10-08-2023,418.70,421.85,411.85,417.45,417.45,"67,961","Aug 10, 2023"
09-08-2023,416.90,422.60,414.35,418.70,418.70,"126,817","Aug 09, 2023"
08-08-2023,396.25,416.15,396.25,414.35,414.35,"174,498","Aug 08, 2023"
07-08-2023,408.95,415.00,395.30,397.00,397.00,"191,604","Aug 07, 2023"
04-08-2023,421.00,424.00,406.10,408.00,408.00,"182,010","Aug 04, 2023"
03-08-2023,420.20,428.25,416.90,420.75,420.75,"100,818","Aug 03, 2023"
02-08-2023,429.10,429.85,419.05,424.30,424.30,"156,785","Aug 02, 2023"
01-08-2023,448.00,450.30,428.10,432.40,432.40,"317,994","Aug 01, 2023"
31-07-2023,441.95,452.90,441.50,447.60,447.60,"120,556","Jul 31, 2023"
28-07-2023,441.90,445.85,440.25,441.70,441.70,"48,593","Jul 28, 2023"
27-07-2023,448.70,448.70,440.50,441.55,441.55,"60,876","Jul 27, 2023"
26-07-2023,442.05,448.40,441.95,445.90,445.90,"77,875","Jul 26, 2023"
25-07-2023,448.00,450.35,441.10,442.70,442.70,"60,001","Jul 25, 2023"
24-07-2023,443.65,464.45,443.65,447.75,447.75,"114,813","Jul 24, 2023"
21-07-2023,442.00,445.10,438.80,441.40,441.40,"71,432","Jul 21, 2023"
20-07-2023,448.80,451.90,442.10,445.60,445.60,"67,811","Jul 20, 2023"
19-07-2023,442.35,450.60,442.05,448.80,448.80,"94,362","Jul 19, 2023"
18-07-2023,443.70,452.10,439.75,443.65,443.65,"116,908","Jul 18, 2023"
17-07-2023,443.70,444.85,439.30,441.60,441.60,"75,193","Jul 17, 2023"
14-07-2023,446.75,448.95,434.00,440.50,440.50,"183,311","Jul 14, 2023"
13-07-2023,446.40,450.40,440.10,445.40,445.40,"125,266","Jul 13, 2023"
12-07-2023,451.40,455.80,442.10,443.45,443.45,"161,903","Jul 12, 2023"
11-07-2023,448.00,459.35,446.85,449.50,449.50,"110,722","Jul 11, 2023"
10-07-2023,457.85,459.30,444.00,446.95,446.95,"211,317","Jul 10, 2023"
07-07-2023,466.15,473.00,455.25,457.80,457.80,"160,779","Jul 07, 2023"
06-07-2023,469.95,474.00,467.00,468.75,468.75,"166,354","Jul 06, 2023"
05-07-2023,463.00,484.55,461.50,469.40,469.40,"311,091","Jul 05, 2023"
04-07-2023,469.60,474.90,460.10,461.60,461.60,"139,182","Jul 04, 2023"
03-07-2023,463.80,472.55,460.65,468.35,468.35,"163,804","Jul 03, 2023"
30-06-2023,465.00,469.00,455.05,460.65,460.65,"216,065","Jun 30, 2023"
28-06-2023,469.65,469.65,469.65,469.65,469.65,-,"Jun 28, 2023"
27-06-2023,472.30,482.35,463.30,469.65,469.65,"412,238","Jun 27, 2023"
26-06-2023,473.40,494.00,467.25,472.85,472.85,"1,224,681","Jun 26, 2023"
23-06-2023,440.70,473.80,414.75,470.45,470.45,"1,432,833","Jun 23, 2023"
22-06-2023,449.00,461.00,438.10,440.20,440.20,"184,760","Jun 22, 2023"
21-06-2023,450.60,458.00,447.10,448.65,448.65,"83,233","Jun 21, 2023"
20-06-2023,441.70,455.85,441.70,449.85,449.85,"123,198","Jun 20, 2023"
19-06-2023,445.60,452.00,440.60,441.70,441.70,"74,884","Jun 19, 2023"
16-06-2023,454.70,458.80,445.10,447.70,447.70,"70,271","Jun 16, 2023"
15-06-2023,458.90,464.90,451.00,452.60,452.60,"127,256","Jun 15, 2023"
14-06-2023,451.00,461.25,450.20,459.25,459.25,"204,465","Jun 14, 2023"
13-06-2023,439.05,452.00,438.65,450.15,450.15,"228,070","Jun 13, 2023"
12-06-2023,435.15,443.50,435.00,439.05,439.05,"54,554","Jun 12, 2023"
09-06-2023,440.85,443.70,433.10,434.70,434.70,"84,235","Jun 09, 2023"
08-06-2023,450.25,452.95,437.70,440.25,440.25,"116,654","Jun 08, 2023"
07-06-2023,439.70,453.25,438.15,447.65,447.65,"180,632","Jun 07, 2023"
06-06-2023,444.85,448.00,434.55,437.75,437.75,"93,223","Jun 06, 2023"
05-06-2023,436.70,449.50,432.15,443.00,443.00,"186,543","Jun 05, 2023"
02-06-2023,433.65,438.60,430.25,433.00,433.00,"100,685","Jun 02, 2023"
01-06-2023,425.50,435.00,425.00,429.75,429.75,"218,054","Jun 01, 2023"
31-05-2023,427.50,431.70,424.05,425.85,425.85,"64,324","May 31, 2023"
30-05-2023,422.25,434.40,422.25,427.50,427.50,"116,720","May 30, 2023"
29-05-2023,438.70,441.60,425.00,428.00,428.00,"129,246","May 29, 2023"
26-05-2023,443.00,448.00,434.50,436.45,436.45,"218,445","May 26, 2023"
25-05-2023,454.00,466.45,449.00,454.10,454.10,"180,281","May 25, 2023"
24-05-2023,449.95,458.75,448.00,450.10,450.10,"91,943","May 24, 2023"
23-05-2023,448.60,458.95,448.00,450.60,450.60,"140,446","May 23, 2023"
22-05-2023,452.65,454.95,446.05,448.60,448.60,"64,607","May 22, 2023"
19-05-2023,445.00,464.00,444.95,453.75,453.75,"160,180","May 19, 2023"
18-05-2023,460.60,460.95,442.35,445.45,445.45,"124,782","May 18, 2023"
17-05-2023,433.45,478.40,433.45,457.05,457.05,"880,197","May 17, 2023"
16-05-2023,444.60,448.45,430.75,433.10,433.10,"97,131","May 16, 2023"
15-05-2023,461.95,462.45,442.00,443.60,443.60,"244,650","May 15, 2023"
12-05-2023,445.75,461.80,441.05,457.90,457.90,"306,958","May 12, 2023"
11-05-2023,451.85,462.40,445.30,447.45,447.45,"365,220","May 11, 2023"
10-05-2023,424.00,467.50,424.00,447.80,447.80,"989,833","May 10, 2023"
09-05-2023,419.00,430.00,412.30,423.35,423.35,"125,271","May 09, 2023"
08-05-2023,419.75,426.45,417.00,418.65,418.65,"80,347","May 08, 2023"
05-05-2023,412.70,427.90,411.00,419.85,419.85,"156,794","May 05, 2023"
04-05-2023,414.45,417.90,408.70,413.40,413.40,"161,264","May 04, 2023"
03-05-2023,423.05,429.10,411.10,414.70,414.70,"136,757","May 03, 2023"
02-05-2023,430.00,446.55,424.00,424.80,424.80,"214,821","May 02, 2023"
28-04-2023,426.00,431.40,421.30,429.50,429.50,"76,423","Apr 28, 2023"
27-04-2023,428.85,432.00,423.50,426.20,426.20,"41,538","Apr 27, 2023"
26-04-2023,427.65,432.00,419.05,428.85,428.85,"94,310","Apr 26, 2023"
25-04-2023,426.90,435.00,423.00,428.85,428.85,"164,289","Apr 25, 2023"
24-04-2023,420.00,432.45,418.15,427.55,427.55,"181,334","Apr 24, 2023"
21-04-2023,409.00,425.95,407.55,420.30,420.30,"172,659","Apr 21, 2023"
20-04-2023,401.45,414.90,400.30,410.95,410.95,"65,264","Apr 20, 2023"
19-04-2023,411.90,412.60,401.00,402.00,402.00,"51,339","Apr 19, 2023"
18-04-2023,411.65,418.90,409.00,411.40,411.40,"58,867","Apr 18, 2023"
17-04-2023,410.35,415.00,405.00,410.05,410.05,"95,438","Apr 17, 2023"
13-04-2023,418.00,421.20,411.20,414.60,414.60,"93,790","Apr 13, 2023"
12-04-2023,425.00,435.00,411.50,419.10,419.10,"413,821","Apr 12, 2023"
11-04-2023,412.90,426.95,409.75,424.40,424.40,"660,321","Apr 11, 2023"
10-04-2023,405.55,415.90,400.50,414.85,414.85,"415,075","Apr 10, 2023"
06-04-2023,404.00,424.55,401.15,410.00,410.00,"1,386,034","Apr 06, 2023"
05-04-2023,337.35,404.45,337.20,400.95,400.95,"1,131,028","Apr 05, 2023"
03-04-2023,335.95,340.00,335.95,337.05,337.05,"229,199","Apr 03, 2023"
31-03-2023,330.80,337.80,330.80,335.05,335.05,"156,581","Mar 31, 2023"
29-03-2023,326.90,332.00,323.80,330.10,330.10,"109,564","Mar 29, 2023"
28-03-2023,324.50,333.90,320.30,330.20,330.20,"247,465","Mar 28, 2023"
27-03-2023,322.80,331.85,309.00,328.00,328.00,"508,703","Mar 27, 2023"
24-03-2023,329.10,329.70,321.00,322.80,322.80,"54,126","Mar 24, 2023"
23-03-2023,324.95,331.00,323.60,329.25,329.25,"63,242","Mar 23, 2023"
22-03-2023,332.20,335.35,325.00,327.15,327.15,"111,620","Mar 22, 2023"
21-03-2023,332.05,335.15,329.50,332.45,332.45,"100,572","Mar 21, 2023"
20-03-2023,330.00,333.90,327.85,331.30,331.30,"112,656","Mar 20, 2023"
17-03-2023,333.75,337.40,330.00,331.20,331.20,"42,720","Mar 17, 2023"
16-03-2023,333.20,336.90,328.95,332.25,332.25,"112,947","Mar 16, 2023"
15-03-2023,333.25,339.10,331.00,331.50,331.50,"47,154","Mar 15, 2023"
14-03-2023,332.00,339.95,328.00,330.85,330.85,"76,312","Mar 14, 2023"
13-03-2023,339.60,344.45,331.55,333.25,333.25,"111,924","Mar 13, 2023"
10-03-2023,342.00,348.40,340.15,343.50,343.50,"98,312","Mar 10, 2023"
