date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,331.60","1,333.20","1,305.75","1,308.30","1,308.30","501,438","Aug 25, 2023"
24-08-2023,"1,347.50","1,350.75","1,330.50","1,335.40","1,335.40","579,338","Aug 24, 2023"
23-08-2023,"1,328.05","1,346.15","1,322.00","1,339.80","1,339.80","1,057,129","Aug 23, 2023"
22-08-2023,"1,297.00","1,321.00","1,295.75","1,319.25","1,319.25","712,933","Aug 22, 2023"
21-08-2023,"1,286.95","1,292.60","1,282.00","1,290.40","1,290.40","256,366","Aug 21, 2023"
18-08-2023,"1,294.95","1,301.95","1,282.95","1,286.15","1,286.15","585,202","Aug 18, 2023"
17-08-2023,"1,270.70","1,297.95","1,269.75","1,296.30","1,296.30","733,247","Aug 17, 2023"
16-08-2023,"1,280.00","1,280.00","1,262.95","1,269.85","1,269.85","433,375","Aug 16, 2023"
14-08-2023,"1,296.85","1,298.65","1,272.10","1,275.70","1,275.70","749,601","Aug 14, 2023"
11-08-2023,"1,295.80","1,311.45","1,291.65","1,300.85","1,300.85","484,186","Aug 11, 2023"
10-08-2023,"1,314.80","1,315.45","1,287.05","1,290.90","1,290.90","388,643","Aug 10, 2023"
09-08-2023,"1,332.00","1,332.85","1,309.40","1,312.05","1,312.05","528,665","Aug 09, 2023"
08-08-2023,"1,325.00","1,340.00","1,313.80","1,323.55","1,323.55","731,893","Aug 08, 2023"
07-08-2023,"1,319.95","1,323.45","1,312.00","1,319.95","1,319.95","451,200","Aug 07, 2023"
04-08-2023,"1,294.00","1,325.60","1,294.00","1,313.95","1,313.95","588,755","Aug 04, 2023"
03-08-2023,"1,307.15","1,310.35","1,283.55","1,301.45","1,301.45","504,649","Aug 03, 2023"
02-08-2023,"1,320.85","1,335.00","1,300.25","1,312.15","1,312.15","763,382","Aug 02, 2023"
01-08-2023,"1,336.00","1,338.05","1,318.20","1,321.00","1,321.00","346,660","Aug 01, 2023"
31-07-2023,"1,310.00","1,338.00","1,310.00","1,334.05","1,334.05","567,110","Jul 31, 2023"
28-07-2023,"1,321.75","1,329.20","1,310.75","1,325.10","1,325.10","563,551","Jul 28, 2023"
27-07-2023,"1,305.00","1,319.80","1,293.40","1,314.75","1,314.75","709,401","Jul 27, 2023"
26-07-2023,"1,309.35","1,309.35","1,296.00","1,300.40","1,300.40","501,602","Jul 26, 2023"
25-07-2023,"1,296.00","1,308.90","1,290.65","1,304.00","1,304.00","518,803","Jul 25, 2023"
24-07-2023,"1,304.50","1,311.95","1,290.60","1,296.70","1,296.70","699,741","Jul 24, 2023"
21-07-2023,"1,337.85","1,348.00","1,281.70","1,303.25","1,303.25","2,337,996","Jul 21, 2023"
20-07-2023,"1,367.90","1,408.30","1,337.80","1,348.05","1,348.05","4,310,236","Jul 20, 2023"
19-07-2023,"1,354.00","1,385.00","1,343.00","1,364.00","1,364.00","3,717,564","Jul 19, 2023"
18-07-2023,"1,327.00","1,372.00","1,320.40","1,334.40","1,334.40","4,395,179","Jul 18, 2023"
17-07-2023,"1,283.10","1,302.00","1,275.55","1,298.50","1,298.50","433,028","Jul 17, 2023"
14-07-2023,"1,274.20","1,283.30","1,258.60","1,280.75","1,280.75","828,040","Jul 14, 2023"
13-07-2023,"1,295.00","1,296.75","1,267.00","1,272.30","1,272.30","1,516,583","Jul 13, 2023"
12-07-2023,"1,316.65","1,323.90","1,285.00","1,290.70","1,290.70","875,900","Jul 12, 2023"
11-07-2023,"1,298.15","1,315.50","1,290.40","1,307.65","1,307.65","659,349","Jul 11, 2023"
10-07-2023,"1,284.40","1,308.75","1,279.00","1,291.15","1,291.15","643,139","Jul 10, 2023"
07-07-2023,"1,310.05","1,311.80","1,276.00","1,284.40","1,284.40","405,412","Jul 07, 2023"
06-07-2023,"1,290.60","1,327.35","1,288.40","1,308.75","1,308.75","952,091","Jul 06, 2023"
05-07-2023,"1,278.00","1,293.95","1,273.70","1,287.10","1,287.10","551,843","Jul 05, 2023"
04-07-2023,"1,297.50","1,297.50","1,274.00","1,277.55","1,277.55","635,541","Jul 04, 2023"
03-07-2023,"1,289.90","1,334.80","1,283.00","1,290.60","1,290.60","1,613,382","Jul 03, 2023"
30-06-2023,"1,296.45","1,304.90","1,280.40","1,282.80","1,282.80","1,416,091","Jun 30, 2023"
28-06-2023,"1,285.90","1,285.90","1,285.90","1,285.90","1,285.90",-,"Jun 28, 2023"
27-06-2023,"1,296.90","1,304.95","1,283.40","1,285.90","1,285.90","953,208","Jun 27, 2023"
26-06-2023,"1,279.95","1,295.25","1,276.00","1,290.40","1,290.40","1,013,995","Jun 26, 2023"
23-06-2023,"1,322.45","1,326.85","1,278.20","1,284.95","1,284.95","1,287,346","Jun 23, 2023"
22-06-2023,"1,341.00","1,348.40","1,321.20","1,325.40","1,325.40","377,770","Jun 22, 2023"
21-06-2023,"1,350.00","1,363.20","1,335.00","1,339.40","1,339.40","717,308","Jun 21, 2023"
20-06-2023,"1,336.00","1,349.90","1,327.95","1,346.80","1,346.80","594,117","Jun 20, 2023"
19-06-2023,"1,354.00","1,356.85","1,332.90","1,336.95","1,336.95","573,868","Jun 19, 2023"
16-06-2023,"1,358.00","1,369.00","1,348.65","1,350.85","1,350.85","844,325","Jun 16, 2023"
15-06-2023,"1,361.70","1,373.70","1,353.25","1,355.30","1,355.30","414,903","Jun 15, 2023"
14-06-2023,"1,353.80","1,366.55","1,345.00","1,360.95","1,360.95","643,835","Jun 14, 2023"
13-06-2023,"1,342.10","1,360.00","1,329.00","1,350.30","1,350.30","1,257,080","Jun 13, 2023"
12-06-2023,"1,346.50","1,360.55","1,336.15","1,346.55","1,346.55","596,601","Jun 12, 2023"
09-06-2023,"1,356.00","1,364.80","1,343.40","1,345.85","1,345.85","659,862","Jun 09, 2023"
08-06-2023,"1,345.00","1,367.05","1,341.00","1,355.45","1,355.45","810,757","Jun 08, 2023"
07-06-2023,"1,336.30","1,357.00","1,336.30","1,345.85","1,345.85","785,794","Jun 07, 2023"
06-06-2023,"1,349.90","1,352.90","1,321.90","1,334.60","1,334.60","796,420","Jun 06, 2023"
05-06-2023,"1,331.00","1,353.85","1,327.00","1,347.20","1,347.20","953,995","Jun 05, 2023"
02-06-2023,"1,334.00","1,342.35","1,326.25","1,331.45","1,331.45","944,335","Jun 02, 2023"
02-06-2023,4.5 Dividend,,,,,,"Jun 02, 2023"
01-06-2023,"1,310.90","1,359.90","1,310.40","1,331.90","1,327.40","1,247,361","Jun 01, 2023"
31-05-2023,"1,283.50","1,318.25","1,280.05","1,307.95","1,303.53","2,068,480","May 31, 2023"
30-05-2023,"1,297.60","1,302.00","1,285.55","1,288.35","1,284.00","408,031","May 30, 2023"
29-05-2023,"1,294.55","1,300.00","1,284.00","1,297.60","1,293.22","319,481","May 29, 2023"
26-05-2023,"1,278.40","1,292.40","1,275.00","1,289.15","1,284.79","390,311","May 26, 2023"
25-05-2023,"1,274.00","1,283.00","1,267.00","1,278.40","1,274.08","434,611","May 25, 2023"
24-05-2023,"1,249.00","1,275.95","1,242.25","1,273.35","1,269.05","561,655","May 24, 2023"
23-05-2023,"1,264.50","1,265.00","1,246.55","1,249.75","1,245.53","520,570","May 23, 2023"
22-05-2023,"1,259.55","1,277.40","1,257.00","1,263.75","1,259.48","444,646","May 22, 2023"
19-05-2023,"1,265.00","1,266.50","1,251.90","1,259.55","1,255.29","314,141","May 19, 2023"
18-05-2023,"1,274.25","1,276.75","1,261.05","1,264.40","1,260.13","261,779","May 18, 2023"
17-05-2023,"1,292.00","1,292.00","1,263.20","1,269.20","1,264.91","436,672","May 17, 2023"
16-05-2023,"1,299.65","1,303.15","1,287.95","1,291.15","1,286.79","378,732","May 16, 2023"
15-05-2023,"1,307.95","1,317.00","1,294.55","1,298.30","1,293.91","478,721","May 15, 2023"
12-05-2023,"1,284.40","1,322.90","1,278.00","1,305.95","1,301.54","1,404,037","May 12, 2023"
11-05-2023,"1,262.05","1,286.00","1,255.70","1,282.05","1,277.72","600,835","May 11, 2023"
10-05-2023,"1,243.05","1,257.90","1,227.50","1,255.70","1,251.46","482,371","May 10, 2023"
09-05-2023,"1,267.95","1,267.95","1,237.00","1,239.55","1,235.36","658,368","May 09, 2023"
08-05-2023,"1,285.00","1,297.00","1,255.60","1,257.90","1,253.65","792,674","May 08, 2023"
05-05-2023,"1,274.70","1,294.90","1,256.10","1,285.80","1,281.46","1,216,747","May 05, 2023"
04-05-2023,"1,244.80","1,260.00","1,213.70","1,256.10","1,251.86","1,145,568","May 04, 2023"
03-05-2023,"1,221.50","1,250.00","1,211.85","1,241.30","1,237.11","2,137,153","May 03, 2023"
02-05-2023,"1,233.00","1,243.00","1,220.05","1,225.60","1,221.46","680,387","May 02, 2023"
28-04-2023,"1,221.00","1,233.85","1,212.45","1,230.20","1,226.04","584,411","Apr 28, 2023"
27-04-2023,"1,219.80","1,228.90","1,214.55","1,221.20","1,217.07","351,744","Apr 27, 2023"
26-04-2023,"1,218.00","1,229.65","1,212.05","1,219.90","1,215.78","692,419","Apr 26, 2023"
25-04-2023,"1,200.10","1,218.00","1,193.20","1,215.90","1,211.79","394,974","Apr 25, 2023"
24-04-2023,"1,208.65","1,213.30","1,196.70","1,201.90","1,197.84","348,301","Apr 24, 2023"
21-04-2023,"1,205.25","1,222.50","1,203.30","1,208.65","1,204.57","485,085","Apr 21, 2023"
20-04-2023,"1,215.00","1,225.00","1,201.70","1,205.85","1,201.78","572,387","Apr 20, 2023"
19-04-2023,"1,214.50","1,237.75","1,208.65","1,215.60","1,211.49","1,049,172","Apr 19, 2023"
18-04-2023,"1,218.00","1,222.85","1,205.75","1,210.00","1,205.91","799,192","Apr 18, 2023"
17-04-2023,"1,186.20","1,222.00","1,175.70","1,215.20","1,211.09","923,153","Apr 17, 2023"
13-04-2023,"1,183.00","1,197.45","1,179.55","1,186.20","1,182.19","622,876","Apr 13, 2023"
12-04-2023,"1,174.45","1,188.45","1,171.25","1,181.85","1,177.86","498,818","Apr 12, 2023"
11-04-2023,"1,170.95","1,182.65","1,158.15","1,173.00","1,169.04","506,156","Apr 11, 2023"
10-04-2023,"1,194.55","1,199.55","1,162.05","1,169.75","1,165.80","795,946","Apr 10, 2023"
06-04-2023,"1,200.00","1,200.95","1,179.45","1,194.55","1,190.51","554,814","Apr 06, 2023"
05-04-2023,"1,188.95","1,209.70","1,182.05","1,200.90","1,196.84","636,055","Apr 05, 2023"
03-04-2023,"1,190.00","1,198.80","1,174.05","1,188.95","1,184.93","703,176","Apr 03, 2023"
