date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,165.00","1,170.80","1,150.00","1,153.95","1,153.95","2,104,756","Aug 25, 2023"
24-08-2023,"1,188.95","1,189.00","1,169.00","1,171.25","1,171.25","2,464,221","Aug 24, 2023"
23-08-2023,"1,192.95","1,195.00","1,178.65","1,182.50","1,182.50","2,347,850","Aug 23, 2023"
22-08-2023,"1,182.00","1,187.00","1,176.15","1,179.50","1,179.50","1,805,887","Aug 22, 2023"
21-08-2023,"1,172.95","1,188.90","1,168.95","1,179.25","1,179.25","1,661,946","Aug 21, 2023"
18-08-2023,"1,173.00","1,177.85","1,158.65","1,173.70","1,173.70","3,406,088","Aug 18, 2023"
17-08-2023,"1,176.85","1,180.95","1,163.95","1,176.70","1,176.70","2,331,256","Aug 17, 2023"
16-08-2023,"1,175.75","1,186.25","1,170.10","1,177.15","1,177.15","2,567,226","Aug 16, 2023"
14-08-2023,"1,170.65","1,177.00","1,154.00","1,171.00","1,171.00","1,720,940","Aug 14, 2023"
11-08-2023,"1,160.00","1,186.95","1,154.30","1,171.45","1,171.45","7,391,806","Aug 11, 2023"
10-08-2023,"1,140.00","1,144.80","1,128.65","1,134.30","1,134.30","1,676,669","Aug 10, 2023"
09-08-2023,"1,140.95","1,146.00","1,125.00","1,144.15","1,144.15","1,559,337","Aug 09, 2023"
08-08-2023,"1,154.90","1,156.90","1,137.00","1,141.35","1,141.35","1,667,697","Aug 08, 2023"
07-08-2023,"1,154.55","1,155.75","1,143.15","1,150.80","1,150.80","1,655,404","Aug 07, 2023"
04-08-2023,"1,130.45","1,152.35","1,126.00","1,144.35","1,144.35","3,315,303","Aug 04, 2023"
03-08-2023,"1,126.00","1,135.55","1,115.05","1,125.50","1,125.50","1,608,187","Aug 03, 2023"
02-08-2023,"1,137.00","1,137.00","1,121.50","1,130.90","1,130.90","2,701,150","Aug 02, 2023"
01-08-2023,"1,120.00","1,142.00","1,111.90","1,138.50","1,138.50","2,710,536","Aug 01, 2023"
31-07-2023,"1,108.00","1,119.50","1,096.00","1,116.70","1,116.70","2,526,624","Jul 31, 2023"
28-07-2023,"1,114.05","1,118.50","1,097.45","1,103.55","1,103.55","2,031,899","Jul 28, 2023"
27-07-2023,"1,115.00","1,122.70","1,108.95","1,117.35","1,117.35","1,769,815","Jul 27, 2023"
26-07-2023,"1,110.20","1,120.85","1,110.10","1,115.00","1,115.00","1,969,964","Jul 26, 2023"
25-07-2023,"1,118.50","1,119.00","1,105.10","1,111.55","1,111.55","2,506,726","Jul 25, 2023"
24-07-2023,"1,120.00","1,127.70","1,111.00","1,112.90","1,112.90","2,672,505","Jul 24, 2023"
