date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,574.55","1,577.50","1,558.40","1,561.50","1,561.50","15,030,826","Aug 25, 2023"
24-08-2023,"1,593.30","1,596.20","1,576.15","1,579.30","1,579.30","21,572,896","Aug 24, 2023"
23-08-2023,"1,580.00","1,590.55","1,573.25","1,586.60","1,586.60","18,249,294","Aug 23, 2023"
22-08-2023,"1,596.35","1,598.00","1,580.00","1,582.70","1,582.70","16,136,785","Aug 22, 2023"
21-08-2023,"1,600.50","1,600.50","1,587.00","1,589.50","1,589.50","10,918,635","Aug 21, 2023"
18-08-2023,"1,587.55","1,596.30","1,585.50","1,590.75","1,590.75","12,816,683","Aug 18, 2023"
17-08-2023,"1,597.60","1,609.90","1,594.00","1,597.30","1,597.30","26,442,020","Aug 17, 2023"
16-08-2023,"1,583.10","1,609.65","1,581.30","1,606.20","1,606.20","17,068,771","Aug 16, 2023"
14-08-2023,"1,611.00","1,615.00","1,600.25","1,610.90","1,610.90","15,652,205","Aug 14, 2023"
11-08-2023,"1,638.40","1,638.40","1,616.20","1,618.80","1,618.80","14,112,911","Aug 11, 2023"
10-08-2023,"1,647.05","1,654.25","1,631.00","1,635.85","1,635.85","25,390,559","Aug 10, 2023"
09-08-2023,"1,653.00","1,654.50","1,631.10","1,650.50","1,650.50","16,680,618","Aug 09, 2023"
08-08-2023,"1,651.70","1,655.60","1,642.05","1,649.90","1,649.90","21,886,914","Aug 08, 2023"
07-08-2023,"1,663.10","1,663.10","1,647.55","1,651.25","1,651.25","14,150,459","Aug 07, 2023"
04-08-2023,"1,635.15","1,656.50","1,629.25","1,652.20","1,652.20","18,694,152","Aug 04, 2023"
03-08-2023,"1,640.00","1,651.35","1,623.00","1,628.65","1,628.65","28,836,973","Aug 03, 2023"
02-08-2023,"1,642.00","1,651.50","1,633.15","1,640.50","1,640.50","14,058,161","Aug 02, 2023"
01-08-2023,"1,654.45","1,667.45","1,650.00","1,662.25","1,662.25","17,697,094","Aug 01, 2023"
31-07-2023,"1,650.05","1,656.80","1,638.70","1,651.20","1,651.20","17,282,503","Jul 31, 2023"
28-07-2023,"1,661.50","1,668.90","1,641.10","1,643.50","1,643.50","20,507,842","Jul 28, 2023"
27-07-2023,"1,699.90","1,703.00","1,667.45","1,673.15","1,673.15","29,870,651","Jul 27, 2023"
26-07-2023,"1,699.60","1,699.60","1,688.00","1,690.70","1,690.70","12,397,179","Jul 26, 2023"
25-07-2023,"1,684.65","1,699.00","1,678.40","1,696.60","1,696.60","27,996,298","Jul 25, 2023"
24-07-2023,"1,678.50","1,684.65","1,670.10","1,678.40","1,678.40","16,089,722","Jul 24, 2023"
21-07-2023,"1,680.00","1,689.80","1,673.25","1,675.75","1,675.75","21,077,124","Jul 21, 2023"
20-07-2023,"1,681.15","1,692.00","1,680.00","1,688.75","1,688.75","28,105,474","Jul 20, 2023"
19-07-2023,"1,681.10","1,688.75","1,675.00","1,685.10","1,685.10","16,467,567","Jul 19, 2023"
18-07-2023,"1,698.00","1,704.00","1,670.00","1,677.50","1,677.50","40,538,409","Jul 18, 2023"
17-07-2023,"1,650.00","1,682.00","1,633.00","1,678.90","1,678.90","24,626,464","Jul 17, 2023"
14-07-2023,"1,653.60","1,653.60","1,635.00","1,644.50","1,644.50","12,363,607","Jul 14, 2023"
13-07-2023,"1,656.70","1,657.45","1,638.05","1,641.10","1,641.10","20,956,773","Jul 13, 2023"
12-07-2023,"1,655.35","1,666.30","1,627.15","1,632.95","1,632.95","35,479,179","Jul 12, 2023"
11-07-2023,"1,663.00","1,676.00","1,645.50","1,648.40","1,648.40","25,335,213","Jul 11, 2023"
10-07-2023,"1,661.00","1,676.75","1,649.70","1,656.45","1,656.45","19,199,221","Jul 10, 2023"
07-07-2023,"1,665.00","1,675.00","1,656.30","1,660.40","1,660.40","9,963,168","Jul 07, 2023"
06-07-2023,"1,673.00","1,687.85","1,660.40","1,675.00","1,675.00","26,078,272","Jul 06, 2023"
05-07-2023,"1,716.25","1,720.00","1,668.55","1,673.30","1,673.30","18,582,877","Jul 05, 2023"
04-07-2023,"1,723.45","1,747.00","1,713.80","1,728.20","1,728.20","19,397,594","Jul 04, 2023"
03-07-2023,"1,712.50","1,757.50","1,710.00","1,719.80","1,719.80","22,052,058","Jul 03, 2023"
30-06-2023,"1,704.00","1,708.80","1,683.25","1,701.40","1,701.40","20,349,508","Jun 30, 2023"
28-06-2023,"1,658.60","1,658.60","1,658.60","1,658.60","1,658.60",-,"Jun 28, 2023"
27-06-2023,"1,642.95","1,672.90","1,638.55","1,658.60","1,658.60","16,915,932","Jun 27, 2023"
26-06-2023,"1,645.00","1,650.75","1,628.70","1,635.55","1,635.55","8,065,157","Jun 26, 2023"
23-06-2023,"1,637.55","1,659.90","1,634.05","1,643.50","1,643.50","10,669,609","Jun 23, 2023"
22-06-2023,"1,640.00","1,657.55","1,639.05","1,643.60","1,643.60","28,298,070","Jun 22, 2023"
21-06-2023,"1,616.00","1,637.25","1,611.00","1,635.60","1,635.60","12,154,473","Jun 21, 2023"
20-06-2023,"1,604.15","1,611.00","1,590.65","1,607.50","1,607.50","10,002,813","Jun 20, 2023"
19-06-2023,"1,611.00","1,614.25","1,598.35","1,604.15","1,604.15","12,414,573","Jun 19, 2023"
16-06-2023,"1,587.15","1,609.20","1,584.00","1,602.75","1,602.75","7,889,636","Jun 16, 2023"
15-06-2023,"1,604.00","1,605.95","1,579.00","1,582.05","1,582.05","17,688,738","Jun 15, 2023"
14-06-2023,"1,610.45","1,612.00","1,600.20","1,601.75","1,601.75","10,056,984","Jun 14, 2023"
13-06-2023,"1,590.10","1,609.00","1,590.10","1,603.50","1,603.50","13,963,054","Jun 13, 2023"
12-06-2023,"1,612.55","1,615.80","1,599.45","1,600.80","1,600.80","6,704,146","Jun 12, 2023"
09-06-2023,"1,615.90","1,618.50","1,607.00","1,610.60","1,610.60","9,106,289","Jun 09, 2023"
08-06-2023,"1,603.25","1,626.00","1,603.25","1,608.70","1,608.70","18,697,761","Jun 08, 2023"
