date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,187.60,188.75,182.30,185.65,185.65,"225,104","Aug 25, 2023"
24-08-2023,187.50,191.70,186.80,188.05,188.05,"628,486","Aug 24, 2023"
23-08-2023,186.00,189.30,184.95,186.60,186.60,"224,159","Aug 23, 2023"
22-08-2023,185.55,187.55,184.40,185.15,185.15,"196,617","Aug 22, 2023"
21-08-2023,185.00,189.65,184.10,185.10,185.10,"327,452","Aug 21, 2023"
18-08-2023,186.20,187.70,183.10,185.05,185.05,"221,221","Aug 18, 2023"
17-08-2023,186.20,188.95,184.70,186.05,186.05,"244,171","Aug 17, 2023"
16-08-2023,189.00,189.85,184.00,185.25,185.25,"456,446","Aug 16, 2023"
14-08-2023,183.50,192.25,179.15,189.80,189.80,"1,299,482","Aug 14, 2023"
11-08-2023,183.25,184.80,181.80,183.55,183.55,"223,846","Aug 11, 2023"
10-08-2023,182.85,186.15,181.75,182.30,182.30,"774,084","Aug 10, 2023"
09-08-2023,188.00,188.50,182.25,182.85,182.85,"302,980","Aug 09, 2023"
08-08-2023,187.75,189.25,184.00,185.90,185.90,"219,726","Aug 08, 2023"
07-08-2023,189.00,190.00,186.40,187.75,187.75,"301,000","Aug 07, 2023"
04-08-2023,187.00,190.00,186.40,187.60,187.60,"485,630","Aug 04, 2023"
03-08-2023,181.95,189.80,181.20,186.00,186.00,"1,154,101","Aug 03, 2023"
02-08-2023,184.70,185.10,179.75,181.60,181.60,"452,260","Aug 02, 2023"
01-08-2023,182.50,186.90,181.55,184.10,184.10,"1,044,563","Aug 01, 2023"
31-07-2023,175.40,182.30,175.00,181.00,181.00,"907,659","Jul 31, 2023"
28-07-2023,176.40,176.40,174.10,174.75,174.75,"115,120","Jul 28, 2023"
27-07-2023,176.65,177.05,175.10,175.50,175.50,"113,167","Jul 27, 2023"
26-07-2023,176.35,178.50,175.05,175.80,175.80,"206,874","Jul 26, 2023"
25-07-2023,174.55,176.55,173.30,175.65,175.65,"275,470","Jul 25, 2023"
24-07-2023,174.35,175.15,173.30,173.75,173.75,"124,284","Jul 24, 2023"
21-07-2023,174.95,175.30,173.25,173.75,173.75,"212,221","Jul 21, 2023"
20-07-2023,176.00,177.10,174.20,174.95,174.95,"188,903","Jul 20, 2023"
19-07-2023,175.90,177.50,174.15,175.85,175.85,"276,984","Jul 19, 2023"
18-07-2023,178.95,181.10,173.50,174.00,174.00,"1,016,416","Jul 18, 2023"
17-07-2023,178.25,179.50,176.60,177.45,177.45,"361,896","Jul 17, 2023"
14-07-2023,177.10,178.70,174.20,176.40,176.40,"294,851","Jul 14, 2023"
13-07-2023,177.50,178.75,176.30,176.95,176.95,"153,493","Jul 13, 2023"
12-07-2023,178.50,179.20,176.00,176.60,176.60,"169,483","Jul 12, 2023"
11-07-2023,180.25,180.40,177.15,177.85,177.85,"202,393","Jul 11, 2023"
10-07-2023,178.40,181.50,178.00,179.50,179.50,"570,572","Jul 10, 2023"
07-07-2023,176.85,178.50,174.60,176.60,176.60,"241,252","Jul 07, 2023"
06-07-2023,175.70,178.00,174.10,176.85,176.85,"348,703","Jul 06, 2023"
05-07-2023,173.80,176.20,173.00,174.80,174.80,"276,160","Jul 05, 2023"
04-07-2023,172.90,174.85,172.25,173.40,173.40,"311,792","Jul 04, 2023"
03-07-2023,172.50,173.90,172.05,172.40,172.40,"185,657","Jul 03, 2023"
30-06-2023,172.00,172.95,171.25,171.95,171.95,"105,571","Jun 30, 2023"
28-06-2023,173.95,173.95,173.95,173.95,173.95,-,"Jun 28, 2023"
27-06-2023,171.30,175.55,171.30,173.95,173.95,"866,728","Jun 27, 2023"
26-06-2023,173.55,173.55,170.05,171.15,171.15,"147,643","Jun 26, 2023"
23-06-2023,174.70,175.05,171.00,172.40,172.40,"270,318","Jun 23, 2023"
22-06-2023,174.00,176.80,173.00,173.80,173.80,"335,046","Jun 22, 2023"
21-06-2023,175.00,176.80,172.15,172.85,172.85,"1,302,373","Jun 21, 2023"
20-06-2023,175.95,177.00,171.85,173.10,173.10,"592,333","Jun 20, 2023"
19-06-2023,175.95,177.95,175.00,176.20,176.20,"247,221","Jun 19, 2023"
16-06-2023,175.80,176.05,174.55,175.05,175.05,"526,592","Jun 16, 2023"
15-06-2023,177.60,178.50,174.30,174.90,174.90,"286,255","Jun 15, 2023"
14-06-2023,177.10,178.40,176.15,176.85,176.85,"149,011","Jun 14, 2023"
13-06-2023,178.00,178.90,176.25,176.80,176.80,"142,515","Jun 13, 2023"
12-06-2023,177.90,179.00,176.50,176.80,176.80,"248,038","Jun 12, 2023"
09-06-2023,173.15,178.00,172.60,176.25,176.25,"406,797","Jun 09, 2023"
08-06-2023,175.70,176.00,172.30,173.05,173.05,"159,043","Jun 08, 2023"
07-06-2023,176.80,176.80,173.25,173.70,173.70,"254,500","Jun 07, 2023"
06-06-2023,171.35,179.00,170.90,175.45,175.45,"1,266,635","Jun 06, 2023"
05-06-2023,170.45,172.40,169.00,169.90,169.90,"237,633","Jun 05, 2023"
02-06-2023,170.15,171.45,169.50,169.95,169.95,"178,878","Jun 02, 2023"
01-06-2023,172.30,172.75,168.55,169.30,169.30,"173,770","Jun 01, 2023"
31-05-2023,166.70,172.00,166.70,171.70,171.70,"138,153","May 31, 2023"
30-05-2023,168.00,173.80,167.60,168.10,168.10,"547,172","May 30, 2023"
29-05-2023,171.75,173.75,170.50,172.50,172.50,"113,683","May 29, 2023"
26-05-2023,170.05,172.95,170.05,171.65,171.65,"92,621","May 26, 2023"
25-05-2023,170.40,171.50,168.95,170.00,170.00,"47,109","May 25, 2023"
24-05-2023,172.10,173.95,167.60,170.30,170.30,"145,012","May 24, 2023"
23-05-2023,171.85,173.40,170.50,171.35,171.35,"77,678","May 23, 2023"
22-05-2023,170.20,174.00,169.65,170.95,170.95,"110,484","May 22, 2023"
19-05-2023,172.35,172.45,168.75,170.20,170.20,"86,584","May 19, 2023"
18-05-2023,172.75,172.75,171.00,171.45,171.45,"51,637","May 18, 2023"
17-05-2023,172.75,173.30,170.75,171.75,171.75,"53,047","May 17, 2023"
16-05-2023,172.10,173.15,171.05,171.35,171.35,"90,794","May 16, 2023"
15-05-2023,172.45,173.65,171.75,172.35,172.35,"51,608","May 15, 2023"
12-05-2023,173.50,174.95,172.00,172.40,172.40,"59,399","May 12, 2023"
11-05-2023,173.70,174.75,171.70,172.70,172.70,"136,305","May 11, 2023"
10-05-2023,172.70,175.00,170.35,174.30,174.30,"164,861","May 10, 2023"
09-05-2023,175.45,176.80,171.05,171.85,171.85,"152,071","May 09, 2023"
08-05-2023,171.10,178.60,169.80,175.45,175.45,"476,670","May 08, 2023"
05-05-2023,171.00,172.00,167.95,171.10,171.10,"109,108","May 05, 2023"
04-05-2023,170.90,172.50,170.50,171.20,171.20,"72,418","May 04, 2023"
03-05-2023,170.30,172.10,170.00,170.90,170.90,"47,758","May 03, 2023"
02-05-2023,173.45,174.20,170.05,170.55,170.55,"117,610","May 02, 2023"
28-04-2023,168.45,173.85,168.05,172.75,172.75,"203,483","Apr 28, 2023"
27-04-2023,167.00,169.95,166.60,167.60,167.60,"58,939","Apr 27, 2023"
26-04-2023,169.45,169.95,167.20,167.70,167.70,"93,343","Apr 26, 2023"
25-04-2023,170.20,170.25,168.25,169.45,169.45,"34,267","Apr 25, 2023"
24-04-2023,169.70,170.55,166.00,168.80,168.80,"30,037","Apr 24, 2023"
21-04-2023,169.70,171.25,168.80,169.70,169.70,"52,579","Apr 21, 2023"
20-04-2023,170.70,172.40,168.10,169.70,169.70,"61,164","Apr 20, 2023"
19-04-2023,170.25,172.75,170.25,170.75,170.75,"90,562","Apr 19, 2023"
18-04-2023,169.90,174.00,167.50,170.25,170.25,"120,014","Apr 18, 2023"
17-04-2023,169.85,169.90,168.05,168.90,168.90,"58,756","Apr 17, 2023"
13-04-2023,170.70,172.50,168.05,169.90,169.90,"46,416","Apr 13, 2023"
12-04-2023,168.50,170.35,167.55,169.45,169.45,"83,255","Apr 12, 2023"
11-04-2023,166.25,169.30,166.25,167.65,167.65,"60,337","Apr 11, 2023"
10-04-2023,167.20,169.45,165.15,167.40,167.40,"95,529","Apr 10, 2023"
06-04-2023,164.50,166.80,163.65,165.95,165.95,"76,231","Apr 06, 2023"
05-04-2023,161.60,165.70,161.00,163.95,163.95,"120,982","Apr 05, 2023"
03-04-2023,161.80,163.80,159.75,161.45,161.45,"120,282","Apr 03, 2023"
31-03-2023,160.00,164.35,154.75,160.95,160.95,"393,574","Mar 31, 2023"
29-03-2023,155.80,159.05,154.15,156.40,156.40,"228,315","Mar 29, 2023"
28-03-2023,156.85,157.05,152.75,155.75,155.75,"215,256","Mar 28, 2023"
27-03-2023,161.95,161.95,155.05,155.50,155.50,"187,076","Mar 27, 2023"
24-03-2023,162.90,162.95,160.05,160.35,160.35,"114,033","Mar 24, 2023"
23-03-2023,163.90,164.20,162.00,162.35,162.35,"69,026","Mar 23, 2023"
22-03-2023,164.45,164.90,162.90,163.35,163.35,"60,790","Mar 22, 2023"
21-03-2023,163.90,165.00,163.15,163.90,163.90,"128,623","Mar 21, 2023"
20-03-2023,163.00,164.90,161.95,163.15,163.15,"193,246","Mar 20, 2023"
17-03-2023,163.50,165.60,163.00,163.85,163.85,"302,937","Mar 17, 2023"
16-03-2023,166.25,166.90,161.55,162.65,162.65,"164,202","Mar 16, 2023"
15-03-2023,166.70,168.95,165.05,166.25,166.25,"68,562","Mar 15, 2023"
14-03-2023,167.00,167.75,164.25,166.05,166.05,"92,736","Mar 14, 2023"
13-03-2023,168.80,169.75,165.65,166.45,166.45,"105,376","Mar 13, 2023"
10-03-2023,171.00,171.40,168.65,169.75,169.75,"42,763","Mar 10, 2023"
09-03-2023,171.25,175.95,170.00,170.75,170.75,"87,197","Mar 09, 2023"
08-03-2023,172.20,172.95,171.00,171.40,171.40,"43,839","Mar 08, 2023"
06-03-2023,173.75,174.50,172.00,172.35,172.35,"47,271","Mar 06, 2023"
