date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,023.00","1,030.00","1,010.00","1,013.85","1,013.85","17,941","Aug 25, 2023"
24-08-2023,"1,031.00","1,039.95","1,021.00","1,023.70","1,023.70","18,766","Aug 24, 2023"
23-08-2023,"1,011.80","1,046.00","1,011.60","1,031.15","1,031.15","44,835","Aug 23, 2023"
22-08-2023,"1,009.00","1,016.00","1,008.00","1,010.55","1,010.55","16,599","Aug 22, 2023"
21-08-2023,"1,000.00","1,010.00",999.00,"1,006.30","1,006.30","21,113","Aug 21, 2023"
18-08-2023,"1,011.00","1,019.95","1,000.10","1,003.25","1,003.25","17,853","Aug 18, 2023"
17-08-2023,"1,014.95","1,022.95","1,010.00","1,011.00","1,011.00","22,157","Aug 17, 2023"
16-08-2023,"1,014.85","1,023.50","1,009.10","1,013.15","1,013.15","23,742","Aug 16, 2023"
14-08-2023,"1,014.00","1,031.70","1,012.50","1,015.25","1,015.25","19,443","Aug 14, 2023"
11-08-2023,"1,017.00","1,024.75","1,014.00","1,020.45","1,020.45","27,752","Aug 11, 2023"
10-08-2023,"1,059.00","1,059.00","1,020.60","1,025.75","1,025.75","75,040","Aug 10, 2023"
09-08-2023,"1,050.55","1,058.50","1,045.00","1,053.45","1,053.45","14,504","Aug 09, 2023"
08-08-2023,"1,041.75","1,051.95","1,041.75","1,047.25","1,047.25","16,895","Aug 08, 2023"
07-08-2023,"1,059.95","1,063.45","1,036.90","1,041.75","1,041.75","23,148","Aug 07, 2023"
04-08-2023,"1,050.55","1,059.85","1,050.25","1,052.05","1,052.05","9,537","Aug 04, 2023"
03-08-2023,"1,048.35","1,056.40","1,042.00","1,048.20","1,048.20","12,595","Aug 03, 2023"
02-08-2023,"1,056.25","1,062.45","1,048.00","1,051.60","1,051.60","12,828","Aug 02, 2023"
01-08-2023,"1,060.95","1,062.65","1,048.95","1,056.25","1,056.25","20,570","Aug 01, 2023"
31-07-2023,"1,060.00","1,064.75","1,048.95","1,054.35","1,054.35","20,830","Jul 31, 2023"
28-07-2023,"1,060.90","1,071.00","1,050.00","1,058.45","1,058.45","16,093","Jul 28, 2023"
27-07-2023,"1,044.05","1,064.80","1,043.60","1,054.05","1,054.05","16,738","Jul 27, 2023"
26-07-2023,"1,053.10","1,054.90","1,040.00","1,043.60","1,043.60","20,836","Jul 26, 2023"
25-07-2023,"1,056.75","1,060.25","1,049.10","1,050.80","1,050.80","15,133","Jul 25, 2023"
24-07-2023,"1,066.00","1,072.55","1,049.00","1,051.60","1,051.60","26,776","Jul 24, 2023"
21-07-2023,"1,065.00","1,074.00","1,062.50","1,065.90","1,065.90","15,763","Jul 21, 2023"
20-07-2023,"1,073.30","1,078.95","1,065.10","1,068.80","1,068.80","10,621","Jul 20, 2023"
19-07-2023,"1,088.00","1,088.00","1,065.25","1,073.30","1,073.30","20,139","Jul 19, 2023"
18-07-2023,"1,089.95","1,089.95","1,070.00","1,075.10","1,075.10","16,974","Jul 18, 2023"
17-07-2023,"1,061.95","1,091.65","1,061.95","1,078.50","1,078.50","39,291","Jul 17, 2023"
14-07-2023,"1,057.05","1,063.15","1,052.10","1,057.35","1,057.35","32,445","Jul 14, 2023"
13-07-2023,"1,055.10","1,063.00","1,051.15","1,056.75","1,056.75","14,818","Jul 13, 2023"
12-07-2023,"1,064.75","1,070.35","1,055.10","1,058.45","1,058.45","17,638","Jul 12, 2023"
11-07-2023,"1,071.05","1,074.90","1,060.00","1,062.60","1,062.60","20,857","Jul 11, 2023"
10-07-2023,"1,088.20","1,091.75","1,065.05","1,069.65","1,069.65","18,398","Jul 10, 2023"
07-07-2023,"1,089.95","1,096.35","1,085.00","1,088.25","1,088.25","17,246","Jul 07, 2023"
06-07-2023,"1,079.05","1,104.75","1,079.00","1,090.10","1,090.10","34,774","Jul 06, 2023"
05-07-2023,"1,079.40","1,084.40","1,070.20","1,077.85","1,077.85","14,843","Jul 05, 2023"
04-07-2023,"1,082.05","1,082.60","1,073.10","1,076.35","1,076.35","8,998","Jul 04, 2023"
03-07-2023,"1,083.60","1,089.90","1,076.00","1,077.00","1,077.00","16,322","Jul 03, 2023"
30-06-2023,"1,069.05","1,093.50","1,069.05","1,079.60","1,079.60","35,972","Jun 30, 2023"
28-06-2023,"1,063.90","1,063.90","1,063.90","1,063.90","1,063.90",-,"Jun 28, 2023"
27-06-2023,"1,057.00","1,089.00","1,057.00","1,063.90","1,063.90","26,123","Jun 27, 2023"
26-06-2023,"1,068.20","1,072.95","1,060.00","1,060.85","1,060.85","23,774","Jun 26, 2023"
23-06-2023,"1,075.40","1,078.45","1,066.15","1,068.25","1,068.25","17,834","Jun 23, 2023"
22-06-2023,"1,080.60","1,083.85","1,073.05","1,074.95","1,074.95","14,389","Jun 22, 2023"
21-06-2023,"1,085.25","1,087.85","1,075.50","1,079.30","1,079.30","19,684","Jun 21, 2023"
20-06-2023,"1,076.05","1,087.00","1,072.00","1,078.90","1,078.90","26,838","Jun 20, 2023"
19-06-2023,"1,087.85","1,087.85","1,075.00","1,075.65","1,075.65","29,125","Jun 19, 2023"
16-06-2023,"1,085.60","1,093.00","1,080.45","1,081.85","1,081.85","20,894","Jun 16, 2023"
15-06-2023,"1,090.00","1,093.45","1,083.00","1,085.60","1,085.60","21,839","Jun 15, 2023"
14-06-2023,"1,090.90","1,096.45","1,080.00","1,089.60","1,089.60","34,692","Jun 14, 2023"
13-06-2023,"1,075.35","1,089.00","1,075.35","1,081.90","1,081.90","68,587","Jun 13, 2023"
12-06-2023,"1,080.00","1,084.45","1,075.10","1,077.95","1,077.95","137,018","Jun 12, 2023"
09-06-2023,"1,088.05","1,120.95","1,085.05","1,088.65","1,088.65","167,892","Jun 09, 2023"
08-06-2023,"1,115.00","1,147.00","1,114.05","1,117.90","1,117.90","34,813","Jun 08, 2023"
07-06-2023,"1,119.80","1,126.95","1,108.10","1,123.10","1,123.10","20,824","Jun 07, 2023"
06-06-2023,"1,141.85","1,141.85","1,113.10","1,116.10","1,116.10","13,805","Jun 06, 2023"
05-06-2023,"1,148.00","1,148.00","1,121.00","1,123.95","1,123.95","18,565","Jun 05, 2023"
02-06-2023,"1,135.80","1,148.80","1,135.80","1,141.35","1,141.35","11,049","Jun 02, 2023"
01-06-2023,"1,136.80","1,144.95","1,128.80","1,134.55","1,134.55","16,753","Jun 01, 2023"
31-05-2023,"1,126.20","1,139.85","1,123.65","1,128.65","1,128.65","11,223","May 31, 2023"
30-05-2023,"1,129.00","1,135.45","1,115.00","1,123.60","1,123.60","18,968","May 30, 2023"
29-05-2023,"1,140.00","1,149.80","1,126.30","1,128.60","1,128.60","35,906","May 29, 2023"
26-05-2023,"1,163.85","1,166.95","1,153.05","1,156.75","1,156.75","20,139","May 26, 2023"
25-05-2023,"1,161.00","1,164.00","1,154.45","1,160.10","1,160.10","17,427","May 25, 2023"
24-05-2023,"1,152.20","1,164.95","1,151.60","1,159.65","1,159.65","17,485","May 24, 2023"
23-05-2023,"1,157.80","1,165.00","1,152.30","1,154.95","1,154.95","19,201","May 23, 2023"
22-05-2023,"1,170.00","1,174.00","1,151.05","1,157.80","1,157.80","26,403","May 22, 2023"
19-05-2023,"1,139.90","1,170.00","1,124.10","1,164.20","1,164.20","49,204","May 19, 2023"
18-05-2023,"1,124.85","1,144.65","1,115.00","1,134.05","1,134.05","25,168","May 18, 2023"
17-05-2023,"1,127.15","1,140.95","1,112.15","1,124.80","1,124.80","16,432","May 17, 2023"
16-05-2023,"1,158.00","1,158.00","1,130.00","1,135.60","1,135.60","26,588","May 16, 2023"
15-05-2023,"1,160.00","1,165.80","1,147.50","1,153.70","1,153.70","33,554","May 15, 2023"
12-05-2023,"1,134.00","1,163.45","1,132.95","1,146.85","1,146.85","62,072","May 12, 2023"
11-05-2023,"1,104.00","1,144.45","1,100.00","1,125.20","1,125.20","74,051","May 11, 2023"
