date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,143.40,143.40,135.00,139.65,139.65,"93,184","Aug 25, 2023"
24-08-2023,146.85,146.85,138.00,142.10,142.10,"140,901","Aug 24, 2023"
23-08-2023,149.40,149.40,144.65,145.25,145.25,"35,250","Aug 23, 2023"
22-08-2023,149.00,149.00,144.00,148.30,148.30,"22,473","Aug 22, 2023"
21-08-2023,149.70,149.70,144.10,148.60,148.60,"31,188","Aug 21, 2023"
18-08-2023,147.90,149.00,142.80,147.75,147.75,"58,463","Aug 18, 2023"
17-08-2023,147.90,147.90,140.40,146.30,146.30,"53,287","Aug 17, 2023"
16-08-2023,151.00,153.00,144.00,145.30,145.30,"35,274","Aug 16, 2023"
14-08-2023,153.00,153.00,146.00,150.25,150.25,"38,198","Aug 14, 2023"
11-08-2023,148.60,156.00,148.50,153.55,153.55,"53,605","Aug 11, 2023"
10-08-2023,149.00,157.50,143.15,153.20,153.20,"175,948","Aug 10, 2023"
09-08-2023,161.70,161.70,150.35,150.65,150.65,"96,258","Aug 09, 2023"
08-08-2023,161.90,161.90,154.10,158.25,158.25,"35,335","Aug 08, 2023"
07-08-2023,160.15,164.50,157.10,158.15,158.15,"25,063","Aug 07, 2023"
04-08-2023,166.80,166.80,158.55,160.85,160.85,"36,074","Aug 04, 2023"
03-08-2023,160.30,165.80,160.30,164.65,164.65,"15,369","Aug 03, 2023"
02-08-2023,166.00,166.00,162.00,162.55,162.55,"19,810","Aug 02, 2023"
01-08-2023,162.15,167.00,162.00,166.75,166.75,"58,352","Aug 01, 2023"
31-07-2023,163.40,166.00,158.00,164.65,164.65,"96,798","Jul 31, 2023"
28-07-2023,161.00,166.85,156.00,159.30,159.30,"31,564","Jul 28, 2023"
27-07-2023,168.60,168.60,162.25,163.55,163.55,"21,407","Jul 27, 2023"
26-07-2023,166.15,170.00,165.10,165.90,165.90,"23,727","Jul 26, 2023"
25-07-2023,165.75,169.00,165.00,166.15,166.15,"33,760","Jul 25, 2023"
24-07-2023,164.90,167.80,162.00,165.80,165.80,"24,322","Jul 24, 2023"
21-07-2023,162.00,169.90,160.00,164.90,164.90,"66,824","Jul 21, 2023"
20-07-2023,164.65,165.00,160.00,163.30,163.30,"34,628","Jul 20, 2023"
19-07-2023,161.95,164.90,159.10,163.55,163.55,"23,679","Jul 19, 2023"
18-07-2023,159.40,167.40,159.40,161.95,161.95,"15,201","Jul 18, 2023"
17-07-2023,169.50,169.50,163.00,166.15,166.15,"13,306","Jul 17, 2023"
14-07-2023,166.40,168.95,162.15,167.60,167.60,"28,338","Jul 14, 2023"
13-07-2023,169.50,169.50,161.00,164.45,164.45,"37,033","Jul 13, 2023"
12-07-2023,170.00,171.00,166.25,166.55,166.55,"11,920","Jul 12, 2023"
11-07-2023,170.90,171.00,167.00,168.25,168.25,"10,459","Jul 11, 2023"
10-07-2023,169.40,170.95,166.00,169.95,169.95,"53,772","Jul 10, 2023"
07-07-2023,169.95,171.50,166.00,169.65,169.65,"43,280","Jul 07, 2023"
06-07-2023,165.00,168.95,160.00,167.35,167.35,"73,357","Jul 06, 2023"
05-07-2023,166.25,166.30,161.50,164.55,164.55,"40,835","Jul 05, 2023"
04-07-2023,166.30,168.90,163.10,164.65,164.65,"62,538","Jul 04, 2023"
03-07-2023,163.50,167.95,162.60,163.40,163.40,"16,201","Jul 03, 2023"
30-06-2023,167.00,171.85,164.20,166.40,166.40,"24,688","Jun 30, 2023"
28-06-2023,164.75,164.75,164.75,164.75,164.75,-,"Jun 28, 2023"
27-06-2023,167.55,169.70,161.00,164.75,164.75,"15,695","Jun 27, 2023"
26-06-2023,169.00,169.95,166.10,167.55,167.55,"17,231","Jun 26, 2023"
23-06-2023,170.45,172.70,162.10,168.65,168.65,"64,664","Jun 23, 2023"
22-06-2023,173.90,173.90,167.50,170.45,170.45,"64,854","Jun 22, 2023"
21-06-2023,169.00,173.70,168.00,172.40,172.40,"60,271","Jun 21, 2023"
20-06-2023,169.90,172.00,166.00,171.75,171.75,"72,682","Jun 20, 2023"
19-06-2023,173.50,174.00,167.00,168.40,168.40,"93,341","Jun 19, 2023"
16-06-2023,168.00,171.10,162.30,170.25,170.25,"110,202","Jun 16, 2023"
15-06-2023,164.70,167.60,162.50,166.95,166.95,"106,711","Jun 15, 2023"
14-06-2023,167.20,167.20,160.00,163.60,163.60,"153,269","Jun 14, 2023"
13-06-2023,165.50,167.00,161.10,163.75,163.75,"10,571","Jun 13, 2023"
12-06-2023,158.45,166.35,155.45,163.15,163.15,"77,999","Jun 12, 2023"
09-06-2023,156.75,162.00,154.00,158.45,158.45,"100,241","Jun 09, 2023"
08-06-2023,160.90,161.00,154.50,156.75,156.75,"59,960","Jun 08, 2023"
07-06-2023,154.95,160.00,152.05,158.90,158.90,"47,259","Jun 07, 2023"
06-06-2023,161.80,162.50,157.00,158.80,158.80,"202,642","Jun 06, 2023"
05-06-2023,161.45,164.00,157.70,159.10,159.10,"151,012","Jun 05, 2023"
02-06-2023,166.25,167.00,158.60,161.45,161.45,"153,723","Jun 02, 2023"
01-06-2023,168.95,169.30,162.60,164.95,164.95,"155,894","Jun 01, 2023"
31-05-2023,158.25,166.00,158.25,164.80,164.80,"318,476","May 31, 2023"
30-05-2023,158.95,160.30,153.05,158.65,158.65,"246,568","May 30, 2023"
29-05-2023,159.80,159.80,152.00,155.75,155.75,"191,242","May 29, 2023"
26-05-2023,159.70,159.70,155.50,156.70,156.70,"146,628","May 26, 2023"
25-05-2023,150.10,158.70,150.10,156.95,156.95,"161,255","May 25, 2023"
24-05-2023,150.75,156.00,150.70,152.90,152.90,"310,108","May 24, 2023"
23-05-2023,155.00,162.30,149.95,151.45,151.45,"538,300","May 23, 2023"
22-05-2023,147.80,155.15,147.80,154.80,154.80,"140,066","May 22, 2023"
19-05-2023,142.30,147.80,141.00,147.80,147.80,"151,656","May 19, 2023"
18-05-2023,142.90,142.90,139.10,140.80,140.80,"39,227","May 18, 2023"
17-05-2023,142.40,142.40,138.10,141.05,141.05,"34,294","May 17, 2023"
16-05-2023,143.50,143.50,138.50,141.15,141.15,"43,726","May 16, 2023"
15-05-2023,140.15,143.00,140.00,141.05,141.05,"27,441","May 15, 2023"
12-05-2023,141.00,142.35,140.00,140.30,140.30,"32,647","May 12, 2023"
11-05-2023,145.25,145.25,137.25,142.35,142.35,"153,819","May 11, 2023"
10-05-2023,148.25,148.25,143.35,144.45,144.45,"12,074","May 10, 2023"
09-05-2023,147.35,149.80,142.00,145.95,145.95,"57,586","May 09, 2023"
08-05-2023,149.20,150.25,144.00,145.95,145.95,"37,793","May 08, 2023"
05-05-2023,151.90,151.90,145.00,146.25,146.25,"32,419","May 05, 2023"
04-05-2023,145.20,152.90,145.20,150.55,150.55,"38,417","May 04, 2023"
03-05-2023,148.45,153.00,141.30,150.55,150.55,"94,352","May 03, 2023"
02-05-2023,146.95,150.00,143.10,147.55,147.55,"53,060","May 02, 2023"
28-04-2023,147.00,149.50,142.00,146.95,146.95,"58,885","Apr 28, 2023"
27-04-2023,149.00,151.00,142.00,144.85,144.85,"107,173","Apr 27, 2023"
26-04-2023,141.50,148.00,135.10,147.45,147.45,"178,368","Apr 26, 2023"
25-04-2023,140.00,141.40,128.00,141.10,141.10,"199,988","Apr 25, 2023"
24-04-2023,135.80,135.80,128.50,134.70,134.70,"164,864","Apr 24, 2023"
21-04-2023,129.35,129.35,126.90,129.35,129.35,"134,261","Apr 21, 2023"
20-04-2023,117.40,123.20,117.40,123.20,123.20,"176,791","Apr 20, 2023"
19-04-2023,120.00,120.00,116.15,117.35,117.35,"24,754","Apr 19, 2023"
18-04-2023,120.70,123.00,117.20,118.80,118.80,"53,014","Apr 18, 2023"
17-04-2023,118.00,120.40,116.00,119.70,119.70,"78,586","Apr 17, 2023"
13-04-2023,119.70,121.00,115.50,119.10,119.10,"56,830","Apr 13, 2023"
12-04-2023,118.45,121.95,114.00,119.65,119.65,"61,746","Apr 12, 2023"
11-04-2023,118.60,123.00,116.05,118.45,118.45,"61,914","Apr 11, 2023"
10-04-2023,117.00,121.30,115.10,118.30,118.30,"81,299","Apr 10, 2023"
06-04-2023,115.00,115.55,110.05,115.55,115.55,"93,680","Apr 06, 2023"
05-04-2023,107.40,110.05,105.00,110.05,110.05,"88,601","Apr 05, 2023"
03-04-2023,104.80,104.85,103.15,104.85,104.85,"51,509","Apr 03, 2023"
31-03-2023,95.15,99.90,95.15,99.90,99.90,"21,170","Mar 31, 2023"
29-03-2023,99.70,99.70,94.50,95.15,95.15,"54,382","Mar 29, 2023"
28-03-2023,101.90,104.75,97.15,98.65,98.65,"63,820","Mar 28, 2023"
27-03-2023,107.90,107.90,101.05,101.90,101.90,"32,286","Mar 27, 2023"
24-03-2023,102.00,107.95,102.00,105.45,105.45,"16,122","Mar 24, 2023"
23-03-2023,104.00,108.00,101.00,105.35,105.35,"23,678","Mar 23, 2023"
22-03-2023,101.25,107.60,101.25,104.00,104.00,"22,309","Mar 22, 2023"
21-03-2023,104.70,104.70,100.35,102.95,102.95,"18,148","Mar 21, 2023"
20-03-2023,105.00,105.85,102.05,102.65,102.65,"22,023","Mar 20, 2023"
17-03-2023,101.00,106.50,100.00,104.95,104.95,"55,223","Mar 17, 2023"
16-03-2023,104.80,104.80,100.55,102.05,102.05,"94,427","Mar 16, 2023"
15-03-2023,105.20,111.45,104.20,105.80,105.80,"54,217","Mar 15, 2023"
14-03-2023,112.95,113.00,109.10,109.65,109.65,"17,521","Mar 14, 2023"
13-03-2023,113.45,116.85,110.00,113.00,113.00,"53,594","Mar 13, 2023"
10-03-2023,113.45,114.00,109.00,113.55,113.55,"45,785","Mar 10, 2023"
09-03-2023,113.10,115.00,111.10,113.45,113.45,"53,122","Mar 09, 2023"
08-03-2023,115.00,115.85,111.00,113.50,113.50,"26,828","Mar 08, 2023"
06-03-2023,117.85,117.85,113.50,114.55,114.55,"52,151","Mar 06, 2023"
03-03-2023,115.90,118.15,111.90,115.75,115.75,"56,084","Mar 03, 2023"
02-03-2023,117.60,117.60,112.60,115.90,115.90,"54,829","Mar 02, 2023"
01-03-2023,113.00,118.45,111.80,117.60,117.60,"143,370","Mar 01, 2023"
28-02-2023,110.00,114.95,106.65,113.95,113.95,"189,189","Feb 28, 2023"
27-02-2023,119.90,119.90,111.80,112.25,112.25,"276,213","Feb 27, 2023"
24-02-2023,114.00,119.00,108.30,117.65,117.65,"519,386","Feb 24, 2023"
23-02-2023,117.10,118.35,113.00,114.00,114.00,"105,524","Feb 23, 2023"
22-02-2023,115.50,118.70,114.25,117.05,117.05,"138,466","Feb 22, 2023"
21-02-2023,121.00,122.95,115.25,116.40,116.40,"133,214","Feb 21, 2023"
20-02-2023,116.80,119.50,111.65,117.20,117.20,"289,179","Feb 20, 2023"
17-02-2023,115.50,118.50,113.70,116.55,116.55,"271,724","Feb 17, 2023"
16-02-2023,110.50,114.45,107.30,114.45,114.45,"351,386","Feb 16, 2023"
15-02-2023,107.00,111.00,104.00,109.00,109.00,"287,433","Feb 15, 2023"
14-02-2023,110.00,112.35,101.65,106.15,106.15,"714,794","Feb 14, 2023"
13-02-2023,104.50,109.60,99.55,107.00,107.00,"794,091","Feb 13, 2023"
10-02-2023,92.35,101.30,88.85,99.65,99.65,"1,033,558","Feb 10, 2023"
09-02-2023,82.60,92.50,82.35,92.35,92.35,"575,620","Feb 09, 2023"
08-02-2023,82.50,86.95,82.50,84.10,84.10,"86,208","Feb 08, 2023"
07-02-2023,82.35,84.75,82.35,84.00,84.00,"70,759","Feb 07, 2023"
06-02-2023,81.05,82.30,80.00,81.75,81.75,"40,165","Feb 06, 2023"
03-02-2023,82.75,84.00,79.35,81.05,81.05,"157,052","Feb 03, 2023"
02-02-2023,82.95,84.50,80.50,82.70,82.70,"63,734","Feb 02, 2023"
01-02-2023,87.40,88.30,82.05,82.45,82.45,"205,062","Feb 01, 2023"
31-01-2023,87.00,90.00,85.00,86.35,86.35,"212,015","Jan 31, 2023"
30-01-2023,84.00,87.25,83.55,86.85,86.85,"239,641","Jan 30, 2023"
27-01-2023,87.00,87.05,81.50,83.10,83.10,"272,631","Jan 27, 2023"
25-01-2023,87.00,88.90,85.45,85.70,85.70,"139,692","Jan 25, 2023"
24-01-2023,93.35,93.35,86.45,87.90,87.90,"848,776","Jan 24, 2023"
23-01-2023,87.50,88.95,85.20,88.95,88.95,"67,092","Jan 23, 2023"
20-01-2023,79.00,84.75,77.55,84.75,84.75,"377,324","Jan 20, 2023"
19-01-2023,82.75,84.20,80.50,80.75,80.75,"524,126","Jan 19, 2023"
18-01-2023,88.35,88.90,84.00,84.35,84.35,"661,491","Jan 18, 2023"
17-01-2023,92.00,96.00,87.40,87.60,87.60,"1,081,611","Jan 17, 2023"
16-01-2023,88.40,91.90,88.00,91.90,91.90,"789,261","Jan 16, 2023"
13-01-2023,86.75,88.80,85.45,87.55,87.55,"1,034,416","Jan 13, 2023"
12-01-2023,81.50,84.65,81.50,84.65,84.65,"617,711","Jan 12, 2023"
11-01-2023,77.20,81.65,75.50,80.65,80.65,"440,146","Jan 11, 2023"
10-01-2023,76.70,78.05,74.85,77.80,77.80,"964,285","Jan 10, 2023"
09-01-2023,74.35,74.35,72.20,74.35,74.35,"383,563","Jan 09, 2023"
06-01-2023,68.00,70.85,66.00,70.85,70.85,"325,347","Jan 06, 2023"
05-01-2023,66.00,68.00,65.90,67.50,67.50,"124,742","Jan 05, 2023"
04-01-2023,66.50,66.70,65.30,65.70,65.70,"48,377","Jan 04, 2023"
03-01-2023,66.45,68.10,65.10,65.95,65.95,"102,925","Jan 03, 2023"
02-01-2023,65.85,66.90,64.00,66.80,66.80,"164,049","Jan 02, 2023"
