date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,316.95,318.00,313.30,314.45,314.45,"344,271","Aug 25, 2023"
24-08-2023,314.10,316.75,314.10,316.10,316.10,"305,984","Aug 24, 2023"
23-08-2023,316.30,317.50,313.60,314.10,314.10,"322,539","Aug 23, 2023"
22-08-2023,315.90,316.85,313.50,316.30,316.30,"190,788","Aug 22, 2023"
21-08-2023,316.00,316.85,312.30,315.10,315.10,"243,071","Aug 21, 2023"
18-08-2023,314.00,315.90,312.05,314.55,314.55,"246,539","Aug 18, 2023"
17-08-2023,314.35,317.30,313.05,314.00,314.00,"231,013","Aug 17, 2023"
16-08-2023,316.80,316.90,314.00,314.20,314.20,"207,990","Aug 16, 2023"
14-08-2023,317.00,317.95,314.00,316.55,316.55,"234,103","Aug 14, 2023"
11-08-2023,320.00,320.00,316.00,316.55,316.55,"279,237","Aug 11, 2023"
10-08-2023,320.95,321.95,318.00,318.80,318.80,"225,424","Aug 10, 2023"
09-08-2023,319.05,321.00,318.05,320.60,320.60,"235,747","Aug 09, 2023"
08-08-2023,319.35,320.95,315.75,319.45,319.45,"427,000","Aug 08, 2023"
07-08-2023,321.90,321.90,316.00,316.75,316.75,"411,143","Aug 07, 2023"
04-08-2023,318.90,321.50,316.75,318.20,318.20,"362,429","Aug 04, 2023"
03-08-2023,322.00,322.00,316.10,318.10,318.10,"485,555","Aug 03, 2023"
02-08-2023,323.00,324.70,319.30,321.00,321.00,"580,855","Aug 02, 2023"
01-08-2023,323.55,324.35,320.40,322.25,322.25,"406,743","Aug 01, 2023"
31-07-2023,320.30,323.00,318.20,321.95,321.95,"632,384","Jul 31, 2023"
28-07-2023,320.40,320.90,316.90,320.15,320.15,"497,223","Jul 28, 2023"
27-07-2023,321.10,321.95,314.85,320.40,320.40,"816,751","Jul 27, 2023"
26-07-2023,320.00,322.45,318.00,319.85,319.85,"562,029","Jul 26, 2023"
25-07-2023,316.00,320.00,312.00,318.05,318.05,"572,162","Jul 25, 2023"
24-07-2023,315.00,318.00,313.00,316.55,316.55,"763,349","Jul 24, 2023"
21-07-2023,323.60,323.60,315.60,318.15,318.15,"950,300","Jul 21, 2023"
20-07-2023,324.65,324.65,322.00,323.15,323.15,"208,681","Jul 20, 2023"
19-07-2023,320.00,328.00,318.70,323.25,323.25,"607,414","Jul 19, 2023"
18-07-2023,325.15,325.15,318.50,320.30,320.30,"442,325","Jul 18, 2023"
17-07-2023,327.50,327.95,323.00,323.95,323.95,"720,807","Jul 17, 2023"
14-07-2023,326.80,329.00,324.05,328.55,328.55,"563,672","Jul 14, 2023"
14-07-2023,7 Dividend,,,,,,"Jul 14, 2023"
13-07-2023,333.35,334.00,327.95,330.70,323.70,"1,090,510","Jul 13, 2023"
12-07-2023,332.90,333.00,331.60,332.65,325.61,"624,584","Jul 12, 2023"
11-07-2023,329.95,333.00,327.85,330.95,323.94,"1,207,370","Jul 11, 2023"
10-07-2023,331.00,332.00,324.05,327.85,320.91,"2,648,867","Jul 10, 2023"
07-07-2023,340.00,344.00,337.55,340.60,333.39,"3,390,644","Jul 07, 2023"
06-07-2023,316.00,338.35,316.00,335.95,328.84,"6,685,794","Jul 06, 2023"
05-07-2023,312.40,312.40,310.50,311.50,304.91,"311,186","Jul 05, 2023"
04-07-2023,310.70,312.85,310.00,310.75,304.17,"388,875","Jul 04, 2023"
03-07-2023,309.00,310.00,308.20,309.55,303.00,"329,058","Jul 03, 2023"
30-06-2023,308.00,308.00,305.30,307.35,300.84,"347,574","Jun 30, 2023"
28-06-2023,305.25,305.25,305.25,305.25,298.79,-,"Jun 28, 2023"
27-06-2023,307.10,307.50,305.00,305.25,298.79,"362,332","Jun 27, 2023"
26-06-2023,308.45,308.95,304.00,307.00,300.50,"577,649","Jun 26, 2023"
23-06-2023,313.60,313.60,308.00,308.45,301.92,"333,504","Jun 23, 2023"
22-06-2023,308.80,311.45,306.95,310.70,304.12,"655,279","Jun 22, 2023"
21-06-2023,308.40,308.70,305.55,307.90,301.38,"488,122","Jun 21, 2023"
20-06-2023,307.10,308.30,306.00,308.10,301.58,"485,539","Jun 20, 2023"
19-06-2023,306.15,307.45,304.50,307.10,300.60,"661,796","Jun 19, 2023"
16-06-2023,304.90,309.50,303.90,304.50,298.05,"803,574","Jun 16, 2023"
15-06-2023,303.05,304.70,300.15,303.90,297.47,"1,066,599","Jun 15, 2023"
14-06-2023,305.00,305.90,301.00,302.15,295.75,"790,046","Jun 14, 2023"
13-06-2023,299.75,304.60,299.55,303.85,297.42,"984,236","Jun 13, 2023"
12-06-2023,301.00,301.55,298.70,298.95,292.62,"697,003","Jun 12, 2023"
09-06-2023,305.95,305.95,299.00,300.55,294.19,"854,118","Jun 09, 2023"
08-06-2023,306.50,306.50,303.60,304.20,297.76,"712,681","Jun 08, 2023"
07-06-2023,309.80,309.80,305.10,305.45,298.98,"710,622","Jun 07, 2023"
06-06-2023,308.00,309.40,306.40,307.05,300.55,"255,148","Jun 06, 2023"
05-06-2023,305.85,309.90,305.50,306.90,300.40,"421,092","Jun 05, 2023"
02-06-2023,306.00,307.15,305.00,306.50,300.01,"273,163","Jun 02, 2023"
01-06-2023,306.75,307.10,304.50,305.65,299.18,"283,062","Jun 01, 2023"
31-05-2023,306.65,307.15,304.40,306.00,299.52,"343,628","May 31, 2023"
30-05-2023,307.00,307.80,305.45,306.65,300.16,"370,133","May 30, 2023"
29-05-2023,307.25,308.00,305.25,306.70,300.21,"453,398","May 29, 2023"
26-05-2023,307.85,307.85,304.55,305.60,299.13,"442,425","May 26, 2023"
25-05-2023,306.00,307.40,304.40,304.90,298.45,"363,830","May 25, 2023"
24-05-2023,307.55,309.70,306.10,306.55,300.06,"480,513","May 24, 2023"
23-05-2023,308.10,310.00,307.10,307.55,301.04,"533,927","May 23, 2023"
22-05-2023,309.95,310.90,308.00,308.70,302.17,"330,803","May 22, 2023"
19-05-2023,310.85,312.20,307.55,308.35,301.82,"330,855","May 19, 2023"
18-05-2023,312.60,313.50,310.00,310.30,303.73,"303,319","May 18, 2023"
17-05-2023,311.40,313.60,310.15,312.35,305.74,"314,221","May 17, 2023"
16-05-2023,311.20,312.85,310.00,310.55,303.98,"242,696","May 16, 2023"
15-05-2023,312.50,312.50,308.85,309.70,303.14,"308,715","May 15, 2023"
12-05-2023,313.00,313.00,309.30,310.35,303.78,"339,326","May 12, 2023"
