date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,189.95,195.90,189.00,194.30,194.30,"41,200","Aug 25, 2023"
24-08-2023,178.00,186.60,174.00,186.60,186.60,"22,824","Aug 24, 2023"
23-08-2023,171.75,178.90,171.75,177.75,177.75,"15,950","Aug 23, 2023"
22-08-2023,170.00,173.30,168.00,171.75,171.75,"10,702","Aug 22, 2023"
21-08-2023,168.55,174.90,168.00,168.90,168.90,"28,152","Aug 21, 2023"
18-08-2023,176.00,176.00,167.20,167.40,167.40,"33,372","Aug 18, 2023"
17-08-2023,180.00,183.95,173.90,176.00,176.00,"39,363","Aug 17, 2023"
16-08-2023,178.55,193.00,178.55,183.05,183.05,"31,717","Aug 16, 2023"
14-08-2023,188.15,188.15,187.95,187.95,187.95,"7,724","Aug 14, 2023"
11-08-2023,201.80,207.70,197.85,197.85,197.85,"26,623","Aug 11, 2023"
10-08-2023,221.00,221.00,203.20,208.25,208.25,"112,252","Aug 10, 2023"
09-08-2023,223.00,251.90,221.40,224.20,224.20,"1,125,003","Aug 09, 2023"
08-08-2023,209.95,212.50,183.20,212.50,212.50,"858,075","Aug 08, 2023"
07-08-2023,150.90,177.10,145.65,177.10,177.10,"593,523","Aug 07, 2023"
04-08-2023,152.35,152.95,146.50,147.60,147.60,"42,807","Aug 04, 2023"
03-08-2023,153.00,153.00,147.50,148.65,148.65,"30,528","Aug 03, 2023"
02-08-2023,151.45,155.00,146.05,148.20,148.20,"31,078","Aug 02, 2023"
01-08-2023,154.25,156.80,152.70,153.35,153.35,"45,109","Aug 01, 2023"
31-07-2023,157.00,157.00,152.35,154.70,154.70,"35,204","Jul 31, 2023"
28-07-2023,154.10,155.55,151.00,152.05,152.05,"29,931","Jul 28, 2023"
27-07-2023,159.20,159.20,153.10,154.00,154.00,"46,155","Jul 27, 2023"
26-07-2023,157.90,159.85,155.30,157.05,157.05,"30,635","Jul 26, 2023"
25-07-2023,153.00,162.95,152.70,156.60,156.60,"130,818","Jul 25, 2023"
24-07-2023,152.05,155.35,151.50,151.90,151.90,"12,362","Jul 24, 2023"
21-07-2023,154.85,157.20,153.05,153.40,153.40,"15,755","Jul 21, 2023"
20-07-2023,154.20,158.45,152.60,153.70,153.70,"36,408","Jul 20, 2023"
19-07-2023,152.45,158.80,151.20,156.15,156.15,"24,918","Jul 19, 2023"
18-07-2023,161.55,162.15,151.25,153.05,153.05,"51,577","Jul 18, 2023"
17-07-2023,164.50,164.50,159.55,160.05,160.05,"45,776","Jul 17, 2023"
14-07-2023,163.70,164.95,160.05,161.85,161.85,"16,828","Jul 14, 2023"
13-07-2023,165.60,168.00,158.00,161.40,161.40,"74,596","Jul 13, 2023"
12-07-2023,162.95,170.00,162.50,164.50,164.50,"99,925","Jul 12, 2023"
11-07-2023,155.50,167.50,153.90,162.30,162.30,"244,401","Jul 11, 2023"
10-07-2023,145.00,162.95,142.00,153.05,153.05,"246,221","Jul 10, 2023"
07-07-2023,145.90,147.60,143.10,144.00,144.00,"34,921","Jul 07, 2023"
06-07-2023,144.90,146.95,142.60,145.55,145.55,"45,769","Jul 06, 2023"
05-07-2023,137.45,147.00,137.45,143.45,143.45,"91,586","Jul 05, 2023"
04-07-2023,134.60,138.00,134.60,135.45,135.45,"12,290","Jul 04, 2023"
03-07-2023,139.25,139.25,134.15,135.00,135.00,"21,993","Jul 03, 2023"
30-06-2023,139.00,139.20,136.30,137.20,137.20,"6,648","Jun 30, 2023"
28-06-2023,138.60,138.60,138.60,138.60,138.60,-,"Jun 28, 2023"
27-06-2023,138.80,141.45,137.55,138.60,138.60,"5,854","Jun 27, 2023"
26-06-2023,138.15,140.00,137.10,137.85,137.85,"3,828","Jun 26, 2023"
23-06-2023,141.25,142.20,136.85,138.10,138.10,"17,074","Jun 23, 2023"
22-06-2023,143.30,146.80,141.00,141.80,141.80,"15,648","Jun 22, 2023"
21-06-2023,143.75,144.00,142.15,142.20,142.20,"4,588","Jun 21, 2023"
20-06-2023,144.15,144.45,141.05,143.60,143.60,"6,480","Jun 20, 2023"
