date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,75.85,76.40,75.05,75.30,75.30,"253,150","Aug 25, 2023"
24-08-2023,76.05,77.00,75.15,75.75,75.75,"387,165","Aug 24, 2023"
23-08-2023,76.00,77.95,75.20,75.45,75.45,"616,992","Aug 23, 2023"
22-08-2023,76.90,77.50,75.70,76.05,76.05,"252,071","Aug 22, 2023"
21-08-2023,75.45,77.40,75.10,76.90,76.90,"504,335","Aug 21, 2023"
18-08-2023,78.10,78.55,75.10,75.35,75.35,"389,649","Aug 18, 2023"
17-08-2023,79.55,79.70,77.35,78.05,78.05,"225,942","Aug 17, 2023"
16-08-2023,79.00,80.60,78.00,79.70,79.70,"609,116","Aug 16, 2023"
14-08-2023,80.00,80.00,75.30,77.00,77.00,"420,510","Aug 14, 2023"
11-08-2023,79.05,79.45,73.85,76.25,76.25,"787,401","Aug 11, 2023"
10-08-2023,79.15,80.00,78.30,79.05,79.05,"279,872","Aug 10, 2023"
09-08-2023,79.95,80.40,78.00,78.65,78.65,"358,325","Aug 09, 2023"
08-08-2023,81.45,81.80,79.00,79.55,79.55,"605,853","Aug 08, 2023"
07-08-2023,82.00,82.20,80.45,81.00,81.00,"247,824","Aug 07, 2023"
04-08-2023,81.15,83.00,80.25,80.65,80.65,"375,457","Aug 04, 2023"
03-08-2023,81.80,83.20,80.60,82.35,82.35,"270,646","Aug 03, 2023"
02-08-2023,84.60,84.70,80.20,81.20,81.20,"868,398","Aug 02, 2023"
01-08-2023,82.50,84.20,82.00,83.95,83.95,"589,940","Aug 01, 2023"
31-07-2023,81.10,83.75,80.85,82.20,82.20,"607,607","Jul 31, 2023"
28-07-2023,79.45,82.40,78.50,80.30,80.30,"604,732","Jul 28, 2023"
27-07-2023,80.00,80.60,78.50,78.80,78.80,"260,670","Jul 27, 2023"
26-07-2023,81.00,81.70,79.10,79.55,79.55,"321,270","Jul 26, 2023"
25-07-2023,80.00,82.95,80.00,80.75,80.75,"635,694","Jul 25, 2023"
24-07-2023,83.55,83.85,79.35,79.90,79.90,"705,608","Jul 24, 2023"
21-07-2023,84.00,85.20,82.65,83.55,83.55,"475,597","Jul 21, 2023"
20-07-2023,83.45,85.25,82.70,84.40,84.40,"942,686","Jul 20, 2023"
19-07-2023,82.55,83.75,82.50,82.85,82.85,"337,606","Jul 19, 2023"
18-07-2023,83.45,85.55,81.60,82.50,82.50,"949,350","Jul 18, 2023"
17-07-2023,82.85,84.85,82.50,83.45,83.45,"815,651","Jul 17, 2023"
14-07-2023,82.00,84.85,81.50,82.10,82.10,"2,713,830","Jul 14, 2023"
13-07-2023,75.65,80.60,75.15,79.70,79.70,"1,814,494","Jul 13, 2023"
12-07-2023,75.20,77.45,73.40,74.10,74.10,"507,628","Jul 12, 2023"
11-07-2023,75.00,76.50,73.30,75.60,75.60,"492,622","Jul 11, 2023"
10-07-2023,77.45,77.45,73.80,74.60,74.60,"228,466","Jul 10, 2023"
07-07-2023,76.00,77.20,75.50,76.10,76.10,"182,725","Jul 07, 2023"
06-07-2023,76.20,77.00,76.00,76.60,76.60,"183,671","Jul 06, 2023"
05-07-2023,77.40,77.55,75.50,75.80,75.80,"230,637","Jul 05, 2023"
04-07-2023,78.00,79.20,76.70,77.05,77.05,"556,677","Jul 04, 2023"
03-07-2023,72.95,78.35,72.05,77.25,77.25,"856,037","Jul 03, 2023"
30-06-2023,74.20,75.60,71.00,72.05,72.05,"535,197","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,73.75,74.80,73.20,74.40,74.40,"139,361","Jun 27, 2023"
26-06-2023,74.70,74.95,73.50,73.75,73.75,"141,377","Jun 26, 2023"
23-06-2023,74.90,75.50,73.70,74.10,74.10,"252,025","Jun 23, 2023"
22-06-2023,76.10,77.60,74.55,74.90,74.90,"333,185","Jun 22, 2023"
21-06-2023,78.80,78.80,76.00,76.75,76.75,"247,291","Jun 21, 2023"
20-06-2023,77.65,78.75,77.50,78.00,78.00,"230,045","Jun 20, 2023"
19-06-2023,79.00,79.95,77.15,77.70,77.70,"334,497","Jun 19, 2023"
16-06-2023,78.10,80.80,77.10,78.15,78.15,"414,563","Jun 16, 2023"
15-06-2023,78.65,79.80,77.60,77.75,77.75,"370,236","Jun 15, 2023"
14-06-2023,77.95,79.80,77.75,78.65,78.65,"245,203","Jun 14, 2023"
13-06-2023,77.50,80.00,77.50,77.95,77.95,"457,364","Jun 13, 2023"
12-06-2023,77.90,78.40,77.05,77.45,77.45,"211,074","Jun 12, 2023"
09-06-2023,77.85,78.50,77.25,77.90,77.90,"390,558","Jun 09, 2023"
08-06-2023,80.30,80.60,77.60,77.85,77.85,"703,150","Jun 08, 2023"
07-06-2023,81.05,81.50,78.85,80.00,80.00,"399,091","Jun 07, 2023"
06-06-2023,80.55,81.90,79.55,79.90,79.90,"424,741","Jun 06, 2023"
05-06-2023,78.50,80.65,78.30,80.05,80.05,"1,062,235","Jun 05, 2023"
02-06-2023,76.00,79.70,75.50,77.55,77.55,"868,421","Jun 02, 2023"
01-06-2023,75.60,77.10,75.15,75.95,75.95,"316,959","Jun 01, 2023"
31-05-2023,76.90,78.00,74.25,75.60,75.60,"892,063","May 31, 2023"
30-05-2023,78.65,78.70,75.00,76.15,76.15,"464,708","May 30, 2023"
29-05-2023,82.00,82.00,76.50,77.50,77.50,"1,548,815","May 29, 2023"
26-05-2023,75.60,76.90,75.25,76.25,76.25,"349,249","May 26, 2023"
25-05-2023,72.65,76.00,72.10,75.25,75.25,"582,589","May 25, 2023"
24-05-2023,72.30,73.30,72.05,72.60,72.60,"89,997","May 24, 2023"
23-05-2023,73.55,73.55,71.95,72.30,72.30,"112,443","May 23, 2023"
22-05-2023,74.15,74.15,72.60,72.80,72.80,"119,085","May 22, 2023"
19-05-2023,73.90,74.40,72.90,73.30,73.30,"144,522","May 19, 2023"
18-05-2023,73.50,75.00,73.00,73.90,73.90,"314,698","May 18, 2023"
17-05-2023,73.80,74.65,72.10,72.75,72.75,"112,291","May 17, 2023"
16-05-2023,73.90,74.35,73.40,73.60,73.60,"73,168","May 16, 2023"
15-05-2023,75.50,75.50,73.50,73.85,73.85,"167,400","May 15, 2023"
12-05-2023,73.25,74.50,73.20,74.20,74.20,"315,856","May 12, 2023"
11-05-2023,74.00,74.80,73.20,73.70,73.70,"176,444","May 11, 2023"
10-05-2023,72.55,75.25,71.75,73.70,73.70,"199,672","May 10, 2023"
09-05-2023,75.60,75.60,71.10,71.75,71.75,"452,831","May 09, 2023"
08-05-2023,73.75,75.85,73.00,74.55,74.55,"267,599","May 08, 2023"
05-05-2023,73.50,73.95,71.00,72.65,72.65,"297,550","May 05, 2023"
04-05-2023,73.45,75.00,72.80,73.00,73.00,"244,115","May 04, 2023"
03-05-2023,76.80,76.80,72.50,73.45,73.45,"377,506","May 03, 2023"
02-05-2023,77.00,78.15,75.00,75.80,75.80,"157,628","May 02, 2023"
28-04-2023,78.75,78.75,76.35,76.80,76.80,"139,413","Apr 28, 2023"
27-04-2023,76.55,78.35,76.50,77.45,77.45,"179,300","Apr 27, 2023"
26-04-2023,80.80,80.80,76.50,77.50,77.50,"317,956","Apr 26, 2023"
25-04-2023,80.15,81.00,78.15,79.35,79.35,"161,956","Apr 25, 2023"
24-04-2023,80.05,81.80,78.80,79.40,79.40,"271,307","Apr 24, 2023"
21-04-2023,78.60,80.00,76.60,79.80,79.80,"612,700","Apr 21, 2023"
20-04-2023,73.90,78.30,73.40,77.15,77.15,"642,311","Apr 20, 2023"
19-04-2023,76.00,76.35,72.95,73.05,73.05,"253,374","Apr 19, 2023"
18-04-2023,75.70,78.65,74.00,74.60,74.60,"320,900","Apr 18, 2023"
17-04-2023,77.50,77.80,75.50,75.95,75.95,"119,870","Apr 17, 2023"
13-04-2023,79.45,79.45,76.90,77.65,77.65,"107,960","Apr 13, 2023"
12-04-2023,78.35,79.50,77.50,77.85,77.85,"776,086","Apr 12, 2023"
