date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,71.50,71.50,71.50,71.50,71.50,"1,464","Aug 25, 2023"
24-08-2023,72.95,72.95,72.95,72.95,72.95,"16,879","Aug 24, 2023"
23-08-2023,74.40,75.40,74.40,74.40,74.40,"16,090","Aug 23, 2023"
22-08-2023,75.90,75.90,75.90,75.90,75.90,"96,859","Aug 22, 2023"
21-08-2023,74.45,74.45,71.65,74.45,74.45,"101,719","Aug 21, 2023"
18-08-2023,73.00,73.75,73.00,73.00,73.00,"102,243","Aug 18, 2023"
17-08-2023,71.05,74.45,70.00,74.45,74.45,"329,465","Aug 17, 2023"
16-08-2023,67.60,70.95,65.10,70.95,70.95,"195,018","Aug 16, 2023"
14-08-2023,66.85,70.10,64.10,67.60,67.60,"142,312","Aug 14, 2023"
11-08-2023,63.50,67.05,63.50,66.85,66.85,"103,598","Aug 11, 2023"
10-08-2023,63.85,65.25,62.00,64.80,64.80,"52,954","Aug 10, 2023"
09-08-2023,61.50,64.00,61.05,63.00,63.00,"22,359","Aug 09, 2023"
08-08-2023,62.35,63.00,61.00,61.40,61.40,"22,698","Aug 08, 2023"
07-08-2023,63.95,64.00,60.25,62.30,62.30,"37,625","Aug 07, 2023"
04-08-2023,61.90,64.15,61.50,62.95,62.95,"76,244","Aug 04, 2023"
03-08-2023,60.80,62.35,60.00,61.10,61.10,"38,084","Aug 03, 2023"
02-08-2023,62.90,62.90,60.00,60.85,60.85,"47,234","Aug 02, 2023"
01-08-2023,62.45,63.40,61.75,62.40,62.40,"40,004","Aug 01, 2023"
31-07-2023,65.75,65.75,61.90,62.45,62.45,"52,100","Jul 31, 2023"
28-07-2023,67.05,67.05,63.65,64.85,64.85,"77,407","Jul 28, 2023"
27-07-2023,68.60,70.35,65.20,66.65,66.65,"133,478","Jul 27, 2023"
26-07-2023,66.95,70.35,66.95,68.60,68.60,"98,908","Jul 26, 2023"
25-07-2023,67.20,68.30,66.05,67.00,67.00,"63,603","Jul 25, 2023"
24-07-2023,68.05,69.00,66.20,67.30,67.30,"153,339","Jul 24, 2023"
21-07-2023,63.05,68.10,63.05,68.05,68.05,"247,625","Jul 21, 2023"
20-07-2023,64.00,66.00,63.00,64.90,64.90,"44,334","Jul 20, 2023"
19-07-2023,64.00,66.00,63.00,63.45,63.45,"32,939","Jul 19, 2023"
18-07-2023,61.00,64.60,61.00,64.05,64.05,"65,277","Jul 18, 2023"
17-07-2023,62.65,62.65,59.70,61.55,61.55,"46,254","Jul 17, 2023"
14-07-2023,60.90,62.90,60.10,62.65,62.65,"63,156","Jul 14, 2023"
13-07-2023,62.95,62.95,60.60,60.90,60.90,"14,739","Jul 13, 2023"
12-07-2023,61.50,62.50,60.75,62.00,62.00,"32,870","Jul 12, 2023"
11-07-2023,62.05,62.85,61.00,61.25,61.25,"16,373","Jul 11, 2023"
10-07-2023,63.40,63.40,61.50,62.05,62.05,"29,784","Jul 10, 2023"
07-07-2023,61.50,63.00,61.50,61.75,61.75,"27,092","Jul 07, 2023"
06-07-2023,61.50,63.90,61.50,62.25,62.25,"59,025","Jul 06, 2023"
05-07-2023,61.50,63.10,61.05,62.15,62.15,"62,919","Jul 05, 2023"
04-07-2023,60.05,63.05,60.05,62.65,62.65,"40,288","Jul 04, 2023"
03-07-2023,63.40,64.00,61.75,62.95,62.95,"51,515","Jul 03, 2023"
30-06-2023,65.00,65.00,61.90,62.55,62.55,"73,107","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,59.95,65.00,59.95,62.75,62.75,"315,643","Jun 27, 2023"
26-06-2023,58.10,59.20,58.00,58.95,58.95,"24,466","Jun 26, 2023"
23-06-2023,60.00,60.00,57.90,58.25,58.25,"42,504","Jun 23, 2023"
22-06-2023,60.40,61.00,59.50,59.70,59.70,"38,817","Jun 22, 2023"
21-06-2023,60.95,61.50,60.00,60.15,60.15,"66,307","Jun 21, 2023"
20-06-2023,60.50,60.85,59.60,60.30,60.30,"108,455","Jun 20, 2023"
19-06-2023,63.50,63.65,61.80,62.30,62.30,"45,147","Jun 19, 2023"
16-06-2023,62.50,65.00,62.50,62.95,62.95,"144,585","Jun 16, 2023"
15-06-2023,63.85,63.85,61.30,62.60,62.60,"75,250","Jun 15, 2023"
14-06-2023,62.00,63.50,61.05,62.95,62.95,"85,968","Jun 14, 2023"
13-06-2023,62.00,62.50,61.00,61.45,61.45,"59,003","Jun 13, 2023"
12-06-2023,61.35,62.65,61.10,62.00,62.00,"56,759","Jun 12, 2023"
09-06-2023,63.85,65.50,59.60,60.85,60.85,"162,900","Jun 09, 2023"
08-06-2023,65.25,65.45,63.35,63.85,63.85,"74,917","Jun 08, 2023"
07-06-2023,64.90,66.00,64.40,64.85,64.85,"84,836","Jun 07, 2023"
06-06-2023,64.50,65.80,63.50,64.20,64.20,"97,145","Jun 06, 2023"
05-06-2023,65.50,67.85,62.60,64.10,64.10,"267,865","Jun 05, 2023"
02-06-2023,65.65,68.90,64.00,64.80,64.80,"333,568","Jun 02, 2023"
01-06-2023,67.50,68.45,64.25,65.65,65.65,"173,964","Jun 01, 2023"
31-05-2023,66.75,67.80,64.90,66.90,66.90,"188,329","May 31, 2023"
30-05-2023,69.10,71.15,66.30,66.75,66.75,"375,929","May 30, 2023"
29-05-2023,65.95,69.30,64.80,68.25,68.25,"569,282","May 29, 2023"
26-05-2023,62.70,65.50,62.40,63.95,63.95,"325,323","May 26, 2023"
25-05-2023,62.45,63.00,60.60,61.70,61.70,"137,964","May 25, 2023"
24-05-2023,62.40,62.55,60.15,61.55,61.55,"266,437","May 24, 2023"
23-05-2023,57.50,61.95,56.00,59.45,59.45,"300,405","May 23, 2023"
22-05-2023,55.90,57.95,55.05,56.35,56.35,"70,294","May 22, 2023"
19-05-2023,56.80,57.45,54.20,54.85,54.85,"56,237","May 19, 2023"
18-05-2023,57.10,59.00,56.50,56.80,56.80,"51,088","May 18, 2023"
17-05-2023,60.50,61.05,55.50,56.55,56.55,"201,966","May 17, 2023"
16-05-2023,61.90,63.75,58.70,59.55,59.55,"440,368","May 16, 2023"
15-05-2023,54.20,62.50,53.85,61.65,61.65,"1,043,976","May 15, 2023"
12-05-2023,53.90,54.50,52.85,54.15,54.15,"59,214","May 12, 2023"
11-05-2023,52.80,53.45,51.85,53.15,53.15,"46,583","May 11, 2023"
10-05-2023,52.35,52.60,51.50,52.30,52.30,"30,298","May 10, 2023"
09-05-2023,51.95,53.60,51.05,51.60,51.60,"90,343","May 09, 2023"
08-05-2023,53.25,53.25,51.60,51.75,51.75,"35,669","May 08, 2023"
05-05-2023,52.50,54.70,51.00,53.40,53.40,"129,739","May 05, 2023"
04-05-2023,51.60,52.90,50.60,52.20,52.20,"45,478","May 04, 2023"
03-05-2023,50.80,52.00,49.40,51.60,51.60,"50,087","May 03, 2023"
02-05-2023,49.05,50.80,48.05,50.30,50.30,"70,276","May 02, 2023"
28-04-2023,46.30,49.85,46.25,48.40,48.40,"126,915","Apr 28, 2023"
27-04-2023,45.80,46.70,45.75,46.20,46.20,"26,660","Apr 27, 2023"
26-04-2023,47.00,47.00,45.40,45.95,45.95,"21,451","Apr 26, 2023"
25-04-2023,45.80,47.60,45.65,46.45,46.45,"19,381","Apr 25, 2023"
24-04-2023,46.00,46.70,45.35,46.10,46.10,"18,854","Apr 24, 2023"
21-04-2023,45.70,46.40,45.20,45.45,45.45,"9,667","Apr 21, 2023"
20-04-2023,46.40,46.65,45.50,45.80,45.80,"16,826","Apr 20, 2023"
19-04-2023,46.30,46.95,45.60,46.05,46.05,"16,068","Apr 19, 2023"
18-04-2023,47.25,48.10,46.05,46.15,46.15,"24,364","Apr 18, 2023"
17-04-2023,44.95,48.40,44.40,47.35,47.35,"59,292","Apr 17, 2023"
13-04-2023,45.75,46.00,43.80,44.30,44.30,"31,943","Apr 13, 2023"
12-04-2023,45.45,45.85,44.25,45.20,45.20,"21,927","Apr 12, 2023"
11-04-2023,44.75,45.95,44.15,44.65,44.65,"25,178","Apr 11, 2023"
10-04-2023,45.95,45.95,44.45,44.60,44.60,"24,509","Apr 10, 2023"
06-04-2023,45.10,45.90,45.00,45.30,45.30,"21,445","Apr 06, 2023"
05-04-2023,44.30,45.60,43.05,45.00,45.00,"45,265","Apr 05, 2023"
03-04-2023,41.85,44.00,41.85,43.60,43.60,"44,340","Apr 03, 2023"
31-03-2023,42.85,43.85,41.25,41.85,41.85,"101,651","Mar 31, 2023"
29-03-2023,42.80,43.00,42.05,42.30,42.30,"64,590","Mar 29, 2023"
28-03-2023,44.75,44.75,41.55,42.40,42.40,"84,801","Mar 28, 2023"
27-03-2023,46.35,46.50,44.10,44.30,44.30,"84,009","Mar 27, 2023"
24-03-2023,46.65,47.10,46.00,46.35,46.35,"21,022","Mar 24, 2023"
23-03-2023,46.85,47.10,46.05,46.55,46.55,"64,121","Mar 23, 2023"
22-03-2023,46.95,47.45,46.45,46.70,46.70,"78,727","Mar 22, 2023"
21-03-2023,47.35,48.75,46.25,46.50,46.50,"57,085","Mar 21, 2023"
20-03-2023,49.20,49.20,46.65,47.15,47.15,"50,550","Mar 20, 2023"
17-03-2023,49.10,49.70,48.35,48.90,48.90,"15,479","Mar 17, 2023"
16-03-2023,48.60,49.80,47.80,49.00,49.00,"36,283","Mar 16, 2023"
15-03-2023,49.55,50.20,47.75,48.20,48.20,"72,532","Mar 15, 2023"
14-03-2023,50.50,51.00,48.60,48.90,48.90,"48,143","Mar 14, 2023"
13-03-2023,52.85,53.05,50.50,50.90,50.90,"37,829","Mar 13, 2023"
10-03-2023,50.70,54.30,50.40,52.50,52.50,"138,357","Mar 10, 2023"
09-03-2023,51.45,51.45,50.50,50.65,50.65,"18,107","Mar 09, 2023"
08-03-2023,51.05,51.75,50.45,50.80,50.80,"23,097","Mar 08, 2023"
06-03-2023,51.05,51.60,50.00,51.05,51.05,"60,368","Mar 06, 2023"
03-03-2023,51.00,51.80,49.65,51.50,51.50,"57,466","Mar 03, 2023"
02-03-2023,51.20,52.05,50.55,51.00,51.00,"55,381","Mar 02, 2023"
01-03-2023,50.15,51.70,48.00,51.20,51.20,"101,706","Mar 01, 2023"
28-02-2023,52.05,52.05,50.00,51.00,51.00,"56,132","Feb 28, 2023"
27-02-2023,51.20,52.60,49.95,51.35,51.35,"74,144","Feb 27, 2023"
24-02-2023,51.45,51.45,50.55,51.20,51.20,"39,124","Feb 24, 2023"
23-02-2023,51.90,51.90,50.20,51.45,51.45,"35,276","Feb 23, 2023"
22-02-2023,51.30,52.50,51.00,51.90,51.90,"43,114","Feb 22, 2023"
21-02-2023,51.90,52.35,51.35,51.80,51.80,"34,788","Feb 21, 2023"
20-02-2023,50.25,52.35,50.15,51.90,51.90,"47,400","Feb 20, 2023"
17-02-2023,50.60,51.80,50.30,51.40,51.40,"19,429","Feb 17, 2023"
16-02-2023,51.05,51.70,49.95,50.80,50.80,"32,731","Feb 16, 2023"
15-02-2023,51.00,52.70,49.65,51.00,51.00,"84,640","Feb 15, 2023"
14-02-2023,51.80,51.90,50.25,51.25,51.25,"36,019","Feb 14, 2023"
13-02-2023,52.00,52.95,48.95,50.25,50.25,"78,457","Feb 13, 2023"
10-02-2023,54.00,54.00,52.00,52.20,52.20,"12,546","Feb 10, 2023"
09-02-2023,50.50,54.15,49.60,53.40,53.40,"71,391","Feb 09, 2023"
08-02-2023,50.75,50.75,49.15,49.95,49.95,"32,649","Feb 08, 2023"
07-02-2023,50.25,50.25,49.05,49.20,49.20,"24,143","Feb 07, 2023"
06-02-2023,49.95,50.80,49.05,49.55,49.55,"22,367","Feb 06, 2023"
03-02-2023,50.15,50.50,48.95,49.30,49.30,"26,900","Feb 03, 2023"
02-02-2023,51.20,52.20,48.55,49.50,49.50,"68,229","Feb 02, 2023"
01-02-2023,51.85,52.50,50.00,51.15,51.15,"31,204","Feb 01, 2023"
31-01-2023,50.65,51.70,49.10,51.40,51.40,"27,148","Jan 31, 2023"
30-01-2023,51.50,52.40,49.10,49.95,49.95,"62,761","Jan 30, 2023"
27-01-2023,52.75,53.25,51.45,51.65,51.65,"26,699","Jan 27, 2023"
25-01-2023,54.00,54.00,52.10,52.50,52.50,"23,369","Jan 25, 2023"
24-01-2023,54.05,54.55,53.60,53.85,53.85,"13,412","Jan 24, 2023"
23-01-2023,56.25,56.25,54.25,54.70,54.70,"21,050","Jan 23, 2023"
20-01-2023,54.60,56.30,54.45,55.45,55.45,"81,187","Jan 20, 2023"
19-01-2023,54.85,55.10,54.15,54.40,54.40,"7,959","Jan 19, 2023"
18-01-2023,53.80,54.95,53.50,54.55,54.55,"20,561","Jan 18, 2023"
17-01-2023,54.55,55.00,53.20,54.30,54.30,"20,421","Jan 17, 2023"
16-01-2023,54.05,55.70,54.05,54.40,54.40,"20,561","Jan 16, 2023"
13-01-2023,55.45,55.60,53.55,54.60,54.60,"33,832","Jan 13, 2023"
12-01-2023,55.50,56.00,54.35,54.70,54.70,"19,883","Jan 12, 2023"
11-01-2023,55.65,56.50,55.35,55.50,55.50,"23,722","Jan 11, 2023"
10-01-2023,56.00,56.75,55.10,55.50,55.50,"33,451","Jan 10, 2023"
09-01-2023,57.40,57.40,55.15,55.40,55.40,"22,035","Jan 09, 2023"
06-01-2023,56.30,58.00,54.45,56.25,56.25,"50,610","Jan 06, 2023"
05-01-2023,56.65,56.80,55.10,55.60,55.60,"40,914","Jan 05, 2023"
04-01-2023,57.45,57.45,55.15,56.65,56.65,"53,273","Jan 04, 2023"
03-01-2023,55.25,57.20,55.25,55.65,55.65,"62,996","Jan 03, 2023"
02-01-2023,55.00,57.30,54.65,56.05,56.05,"27,107","Jan 02, 2023"
30-12-2022,55.40,56.05,55.00,55.40,55.40,"23,130","Dec 30, 2022"
29-12-2022,55.00,55.55,54.60,55.10,55.10,"7,624","Dec 29, 2022"
28-12-2022,55.00,56.35,54.10,55.20,55.20,"21,461","Dec 28, 2022"
27-12-2022,53.50,54.90,53.50,54.60,54.60,"26,853","Dec 27, 2022"
26-12-2022,51.40,53.85,50.35,53.05,53.05,"37,666","Dec 26, 2022"
23-12-2022,55.00,55.80,51.65,52.05,52.05,"69,943","Dec 23, 2022"
22-12-2022,56.20,57.05,54.55,54.90,54.90,"38,837","Dec 22, 2022"
21-12-2022,58.95,59.50,55.65,56.20,56.20,"56,349","Dec 21, 2022"
20-12-2022,59.55,59.90,58.15,58.85,58.85,"25,809","Dec 20, 2022"
19-12-2022,58.05,60.45,57.70,59.55,59.55,"70,973","Dec 19, 2022"
16-12-2022,59.80,59.80,57.65,58.05,58.05,"25,005","Dec 16, 2022"
15-12-2022,60.40,60.40,58.20,59.00,59.00,"47,534","Dec 15, 2022"
14-12-2022,57.05,60.25,57.00,58.90,58.90,"84,796","Dec 14, 2022"
13-12-2022,57.35,58.75,56.00,56.95,56.95,"311,538","Dec 13, 2022"
12-12-2022,56.40,58.00,56.05,56.55,56.55,"31,217","Dec 12, 2022"
09-12-2022,58.60,59.25,55.35,56.45,56.45,"86,123","Dec 09, 2022"
08-12-2022,58.70,59.40,58.55,58.65,58.65,"22,390","Dec 08, 2022"
07-12-2022,60.75,61.10,58.80,59.00,59.00,"91,151","Dec 07, 2022"
06-12-2022,59.70,61.80,59.35,59.95,59.95,"68,117","Dec 06, 2022"
05-12-2022,58.00,59.85,58.00,59.20,59.20,"46,179","Dec 05, 2022"
02-12-2022,59.15,60.70,57.55,58.00,58.00,"74,677","Dec 02, 2022"
01-12-2022,60.40,60.50,58.05,59.00,59.00,"44,674","Dec 01, 2022"
30-11-2022,60.40,61.50,58.60,59.85,59.85,"101,806","Nov 30, 2022"
29-11-2022,57.65,61.00,57.50,60.40,60.40,"279,661","Nov 29, 2022"
28-11-2022,56.00,57.25,54.30,56.65,56.65,"116,408","Nov 28, 2022"
25-11-2022,54.70,55.45,54.25,55.25,55.25,"51,230","Nov 25, 2022"
24-11-2022,53.55,54.50,53.45,53.70,53.70,"26,730","Nov 24, 2022"
23-11-2022,52.20,54.70,52.20,54.20,54.20,"42,473","Nov 23, 2022"
22-11-2022,52.80,53.40,51.50,51.95,51.95,"48,714","Nov 22, 2022"
21-11-2022,54.35,54.35,52.30,52.75,52.75,"23,782","Nov 21, 2022"
18-11-2022,54.70,55.30,53.45,53.55,53.55,"35,856","Nov 18, 2022"
17-11-2022,56.00,56.05,54.20,54.70,54.70,"39,408","Nov 17, 2022"
16-11-2022,55.65,56.95,54.95,55.30,55.30,"64,637","Nov 16, 2022"
15-11-2022,55.00,55.45,54.05,54.90,54.90,"64,213","Nov 15, 2022"
14-11-2022,55.70,56.10,54.00,55.00,55.00,"68,668","Nov 14, 2022"
11-11-2022,54.85,57.25,53.60,56.15,56.15,"556,265","Nov 11, 2022"
