date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,869.00,870.50,842.50,849.20,849.20,"64,511","Aug 25, 2023"
24-08-2023,870.90,874.30,854.75,864.45,864.45,"45,106","Aug 24, 2023"
23-08-2023,861.90,873.00,859.65,863.95,863.95,"73,276","Aug 23, 2023"
22-08-2023,864.50,877.15,855.25,857.45,857.45,"52,904","Aug 22, 2023"
21-08-2023,864.90,882.75,862.25,870.80,870.80,"331,053","Aug 21, 2023"
18-08-2023,867.55,876.35,860.05,862.70,862.70,"89,657","Aug 18, 2023"
17-08-2023,852.95,922.00,843.30,867.55,867.55,"1,002,240","Aug 17, 2023"
16-08-2023,848.90,856.90,838.00,846.45,846.45,"117,436","Aug 16, 2023"
14-08-2023,855.50,858.95,842.10,852.90,852.90,"232,643","Aug 14, 2023"
11-08-2023,838.15,849.00,830.35,843.25,843.25,"45,577","Aug 11, 2023"
10-08-2023,850.00,855.35,832.05,838.15,838.15,"99,815","Aug 10, 2023"
09-08-2023,841.65,850.75,836.20,849.60,849.60,"108,352","Aug 09, 2023"
08-08-2023,862.15,863.00,831.00,840.45,840.45,"73,620","Aug 08, 2023"
07-08-2023,840.00,854.00,836.05,849.40,849.40,"89,814","Aug 07, 2023"
04-08-2023,850.50,851.20,829.00,833.30,833.30,"82,750","Aug 04, 2023"
03-08-2023,836.00,853.00,826.10,839.50,839.50,"76,753","Aug 03, 2023"
02-08-2023,840.00,857.00,831.00,834.25,834.25,"391,422","Aug 02, 2023"
01-08-2023,880.00,880.00,831.00,838.05,838.05,"215,460","Aug 01, 2023"
31-07-2023,860.00,880.00,851.90,870.10,870.10,"331,013","Jul 31, 2023"
28-07-2023,884.75,884.75,850.00,854.55,854.55,"331,601","Jul 28, 2023"
27-07-2023,848.80,890.00,842.50,868.75,868.75,"435,658","Jul 27, 2023"
26-07-2023,830.00,847.55,819.05,840.50,840.50,"334,249","Jul 26, 2023"
25-07-2023,834.20,839.95,821.75,823.05,823.05,"69,051","Jul 25, 2023"
24-07-2023,812.25,845.00,811.40,834.20,834.20,"182,020","Jul 24, 2023"
21-07-2023,810.90,829.50,805.00,812.25,812.25,"146,292","Jul 21, 2023"
20-07-2023,800.00,815.00,800.00,810.35,810.35,"260,628","Jul 20, 2023"
19-07-2023,804.90,815.25,798.30,801.45,801.45,"100,870","Jul 19, 2023"
18-07-2023,804.90,807.95,792.00,799.00,799.00,"242,688","Jul 18, 2023"
17-07-2023,809.00,818.35,790.25,795.80,795.80,"164,876","Jul 17, 2023"
14-07-2023,805.00,813.55,796.35,803.65,803.65,"125,348","Jul 14, 2023"
13-07-2023,802.00,807.95,790.00,796.45,796.45,"109,586","Jul 13, 2023"
12-07-2023,794.20,804.60,785.65,798.55,798.55,"93,391","Jul 12, 2023"
11-07-2023,795.10,801.45,785.00,794.20,794.20,"308,283","Jul 11, 2023"
10-07-2023,783.50,794.90,775.10,788.55,788.55,"152,365","Jul 10, 2023"
07-07-2023,787.20,795.00,771.00,783.50,783.50,"154,753","Jul 07, 2023"
06-07-2023,790.00,796.90,781.30,787.20,787.20,"163,124","Jul 06, 2023"
05-07-2023,816.00,816.00,790.10,794.50,794.50,"155,308","Jul 05, 2023"
04-07-2023,794.80,814.75,792.20,809.95,809.95,"298,289","Jul 04, 2023"
03-07-2023,799.00,814.80,772.60,790.80,790.80,"339,946","Jul 03, 2023"
