date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,213.00,219.10,212.95,213.65,213.65,"298,188","Aug 25, 2023"
24-08-2023,216.80,222.00,213.00,213.90,213.90,"398,411","Aug 24, 2023"
23-08-2023,215.40,218.70,211.55,213.70,213.70,"340,534","Aug 23, 2023"
22-08-2023,220.45,224.70,211.20,214.80,214.80,"1,246,091","Aug 22, 2023"
21-08-2023,207.95,214.00,204.00,214.00,214.00,"722,813","Aug 21, 2023"
18-08-2023,203.50,207.10,200.00,203.85,203.85,"347,108","Aug 18, 2023"
17-08-2023,203.00,207.45,201.50,202.35,202.35,"246,945","Aug 17, 2023"
16-08-2023,203.00,207.50,198.35,202.10,202.10,"350,412","Aug 16, 2023"
14-08-2023,197.70,205.00,197.15,202.00,202.00,"363,998","Aug 14, 2023"
11-08-2023,204.50,204.50,195.75,199.95,199.95,"525,201","Aug 11, 2023"
10-08-2023,205.15,209.00,204.35,204.35,204.35,"788,917","Aug 10, 2023"
09-08-2023,217.70,223.25,210.60,215.10,215.10,"893,195","Aug 09, 2023"
08-08-2023,206.40,215.65,201.25,215.65,215.65,"858,887","Aug 08, 2023"
07-08-2023,220.50,220.50,200.00,205.40,205.40,"742,350","Aug 07, 2023"
04-08-2023,202.95,210.00,202.90,210.00,210.00,"266,719","Aug 04, 2023"
03-08-2023,205.25,206.95,197.50,200.00,200.00,"204,357","Aug 03, 2023"
02-08-2023,206.90,206.90,194.30,203.50,203.50,"376,009","Aug 02, 2023"
01-08-2023,198.80,207.00,198.80,203.05,203.05,"322,609","Aug 01, 2023"
31-07-2023,207.00,208.85,201.50,201.80,201.80,"296,878","Jul 31, 2023"
28-07-2023,203.80,210.00,198.35,207.00,207.00,"684,201","Jul 28, 2023"
27-07-2023,197.50,202.80,193.30,202.80,202.80,"377,265","Jul 27, 2023"
26-07-2023,199.90,203.90,190.00,193.15,193.15,"854,252","Jul 26, 2023"
25-07-2023,210.75,215.80,199.25,199.25,199.25,"541,498","Jul 25, 2023"
24-07-2023,222.80,223.50,207.70,209.70,209.70,"714,155","Jul 24, 2023"
21-07-2023,206.50,216.15,206.00,216.15,216.15,"886,931","Jul 21, 2023"
20-07-2023,207.00,219.35,203.00,205.90,205.90,"1,609,418","Jul 20, 2023"
19-07-2023,213.20,216.70,210.35,210.35,210.35,"1,566,962","Jul 19, 2023"
18-07-2023,239.00,244.70,221.40,221.40,221.40,"2,099,993","Jul 18, 2023"
17-07-2023,212.80,233.05,212.50,233.05,233.05,"1,742,870","Jul 17, 2023"
14-07-2023,194.40,213.00,189.00,211.90,211.90,"2,540,250","Jul 14, 2023"
13-07-2023,192.95,199.80,186.65,193.65,193.65,"2,721,114","Jul 13, 2023"
12-07-2023,169.85,186.05,168.35,185.30,185.30,"2,014,236","Jul 12, 2023"
11-07-2023,168.95,174.00,168.50,169.15,169.15,"523,368","Jul 11, 2023"
10-07-2023,173.00,174.70,166.60,168.25,168.25,"709,051","Jul 10, 2023"
07-07-2023,174.40,179.35,167.85,173.00,173.00,"1,609,116","Jul 07, 2023"
06-07-2023,177.00,179.50,169.20,173.70,173.70,"2,743,589","Jul 06, 2023"
05-07-2023,160.05,183.70,159.30,180.90,180.90,"10,876,784","Jul 05, 2023"
04-07-2023,130.75,155.30,130.75,155.30,155.30,"5,080,849","Jul 04, 2023"
03-07-2023,132.70,133.00,129.00,129.45,129.45,"283,844","Jul 03, 2023"
30-06-2023,129.15,135.95,127.90,131.45,131.45,"703,951","Jun 30, 2023"
28-06-2023,131.75,131.75,131.75,131.75,131.75,-,"Jun 28, 2023"
27-06-2023,132.20,134.90,130.50,131.75,131.75,"357,309","Jun 27, 2023"
26-06-2023,133.00,134.20,129.05,132.30,132.30,"577,528","Jun 26, 2023"
23-06-2023,131.50,137.55,126.35,133.65,133.65,"2,251,342","Jun 23, 2023"
22-06-2023,127.60,132.55,123.50,131.10,131.10,"1,950,541","Jun 22, 2023"
21-06-2023,123.10,134.20,123.10,126.75,126.75,"3,593,476","Jun 21, 2023"
20-06-2023,120.50,126.50,120.30,122.90,122.90,"2,132,108","Jun 20, 2023"
19-06-2023,109.00,124.50,108.30,122.30,122.30,"7,212,953","Jun 19, 2023"
16-06-2023,103.85,108.15,103.85,106.15,106.15,"521,288","Jun 16, 2023"
15-06-2023,106.50,106.70,103.20,103.80,103.80,"478,928","Jun 15, 2023"
14-06-2023,100.50,108.30,100.50,105.90,105.90,"1,418,656","Jun 14, 2023"
13-06-2023,100.85,102.80,100.25,100.95,100.95,"276,396","Jun 13, 2023"
12-06-2023,100.00,101.60,99.25,100.25,100.25,"234,517","Jun 12, 2023"
09-06-2023,99.35,101.70,98.40,99.10,99.10,"330,970","Jun 09, 2023"
08-06-2023,100.75,103.40,97.80,98.35,98.35,"630,778","Jun 08, 2023"
07-06-2023,101.40,103.50,100.10,100.45,100.45,"465,624","Jun 07, 2023"
06-06-2023,100.20,102.30,99.20,100.20,100.20,"377,201","Jun 06, 2023"
05-06-2023,100.50,102.90,98.80,99.20,99.20,"623,522","Jun 05, 2023"
02-06-2023,95.00,100.70,94.55,98.85,98.85,"920,419","Jun 02, 2023"
01-06-2023,94.80,96.65,94.00,94.25,94.25,"175,393","Jun 01, 2023"
31-05-2023,93.00,94.75,92.95,93.40,93.40,"122,972","May 31, 2023"
30-05-2023,96.00,96.00,92.15,93.10,93.10,"321,500","May 30, 2023"
29-05-2023,95.80,97.55,94.80,97.05,97.05,"177,249","May 29, 2023"
26-05-2023,96.05,97.05,95.10,95.50,95.50,"157,940","May 26, 2023"
25-05-2023,96.35,98.40,95.10,95.50,95.50,"224,629","May 25, 2023"
24-05-2023,94.70,98.80,94.70,95.85,95.85,"518,533","May 24, 2023"
23-05-2023,93.00,96.15,93.00,94.60,94.60,"140,682","May 23, 2023"
22-05-2023,94.25,94.25,93.00,93.30,93.30,"68,795","May 22, 2023"
19-05-2023,93.80,95.15,92.35,94.00,94.00,"157,456","May 19, 2023"
18-05-2023,94.45,95.70,92.85,93.35,93.35,"78,766","May 18, 2023"
17-05-2023,95.10,97.00,93.15,94.45,94.45,"200,380","May 17, 2023"
16-05-2023,96.50,97.40,94.15,95.25,95.25,"294,164","May 16, 2023"
15-05-2023,93.80,97.25,92.50,96.35,96.35,"359,380","May 15, 2023"
12-05-2023,95.00,95.40,93.00,93.30,93.30,"93,213","May 12, 2023"
11-05-2023,93.85,95.30,93.20,94.70,94.70,"248,915","May 11, 2023"
10-05-2023,90.40,98.60,89.25,93.45,93.45,"1,748,008","May 10, 2023"
09-05-2023,91.50,92.75,90.00,90.25,90.25,"99,269","May 09, 2023"
08-05-2023,91.50,93.00,89.75,91.50,91.50,"153,604","May 08, 2023"
05-05-2023,93.00,94.05,92.00,92.15,92.15,"99,674","May 05, 2023"
04-05-2023,94.50,94.80,92.95,93.30,93.30,"87,812","May 04, 2023"
03-05-2023,91.85,94.90,91.70,93.65,93.65,"188,035","May 03, 2023"
02-05-2023,93.00,94.40,91.35,91.90,91.90,"215,850","May 02, 2023"
28-04-2023,91.00,92.50,89.80,91.85,91.85,"149,607","Apr 28, 2023"
27-04-2023,92.10,93.20,89.70,90.50,90.50,"138,986","Apr 27, 2023"
26-04-2023,89.20,91.80,89.20,91.20,91.20,"117,359","Apr 26, 2023"
25-04-2023,91.85,92.15,88.70,89.10,89.10,"101,693","Apr 25, 2023"
24-04-2023,89.25,93.05,88.50,91.05,91.05,"179,981","Apr 24, 2023"
21-04-2023,88.20,89.50,86.30,88.35,88.35,"77,772","Apr 21, 2023"
20-04-2023,88.80,90.70,87.75,88.20,88.20,"100,828","Apr 20, 2023"
19-04-2023,88.50,90.35,87.35,88.10,88.10,"86,938","Apr 19, 2023"
18-04-2023,87.10,91.25,87.10,88.55,88.55,"203,382","Apr 18, 2023"
17-04-2023,87.25,88.85,86.50,87.00,87.00,"87,101","Apr 17, 2023"
13-04-2023,88.85,89.00,87.00,87.25,87.25,"58,899","Apr 13, 2023"
12-04-2023,90.40,91.05,88.10,88.35,88.35,"82,190","Apr 12, 2023"
11-04-2023,88.00,90.00,87.65,89.55,89.55,"150,559","Apr 11, 2023"
10-04-2023,87.40,89.00,86.30,87.80,87.80,"128,053","Apr 10, 2023"
06-04-2023,87.50,88.20,86.85,87.40,87.40,"59,031","Apr 06, 2023"
05-04-2023,88.05,88.05,86.40,87.05,87.05,"80,047","Apr 05, 2023"
03-04-2023,85.90,87.60,84.30,86.75,86.75,"143,275","Apr 03, 2023"
31-03-2023,83.50,85.90,82.10,84.75,84.75,"305,035","Mar 31, 2023"
29-03-2023,75.80,84.00,75.80,81.55,81.55,"225,965","Mar 29, 2023"
28-03-2023,77.00,77.40,75.15,75.80,75.80,"180,206","Mar 28, 2023"
27-03-2023,80.10,80.55,75.80,76.35,76.35,"172,579","Mar 27, 2023"
24-03-2023,81.90,82.30,79.80,80.10,80.10,"88,748","Mar 24, 2023"
23-03-2023,83.25,84.25,80.55,81.20,81.20,"116,210","Mar 23, 2023"
22-03-2023,82.00,83.70,81.90,83.25,83.25,"61,061","Mar 22, 2023"
21-03-2023,81.70,82.90,80.90,81.30,81.30,"89,692","Mar 21, 2023"
20-03-2023,82.75,84.95,79.70,80.70,80.70,"148,931","Mar 20, 2023"
17-03-2023,81.80,83.75,81.80,82.75,82.75,"63,844","Mar 17, 2023"
16-03-2023,82.95,83.20,80.60,81.80,81.80,"96,100","Mar 16, 2023"
15-03-2023,84.10,85.45,82.10,82.80,82.80,"75,405","Mar 15, 2023"
14-03-2023,85.00,85.85,82.70,83.25,83.25,"112,399","Mar 14, 2023"
13-03-2023,86.15,86.55,83.40,84.00,84.00,"91,686","Mar 13, 2023"
10-03-2023,86.00,87.20,85.15,86.15,86.15,"85,111","Mar 10, 2023"
09-03-2023,88.30,88.30,85.95,86.30,86.30,"92,410","Mar 09, 2023"
08-03-2023,88.50,89.00,86.60,87.05,87.05,"152,496","Mar 08, 2023"
06-03-2023,87.70,89.90,86.10,87.90,87.90,"225,093","Mar 06, 2023"
03-03-2023,86.35,87.40,85.70,86.25,86.25,"164,491","Mar 03, 2023"
02-03-2023,87.00,87.00,85.10,85.30,85.30,"108,664","Mar 02, 2023"
01-03-2023,86.50,87.45,85.60,86.20,86.20,"231,413","Mar 01, 2023"
28-02-2023,82.00,88.30,80.70,85.25,85.25,"1,144,904","Feb 28, 2023"
27-02-2023,84.05,84.95,80.10,80.60,80.60,"164,879","Feb 27, 2023"
24-02-2023,85.45,85.90,84.50,84.90,84.90,"42,922","Feb 24, 2023"
23-02-2023,85.50,85.90,84.10,84.60,84.60,"84,634","Feb 23, 2023"
22-02-2023,86.95,86.95,84.00,84.85,84.85,"153,774","Feb 22, 2023"
21-02-2023,85.10,87.70,84.50,86.65,86.65,"209,257","Feb 21, 2023"
20-02-2023,85.65,87.05,84.05,84.30,84.30,"187,253","Feb 20, 2023"
17-02-2023,87.00,88.70,85.20,85.65,85.65,"191,952","Feb 17, 2023"
16-02-2023,87.35,89.95,85.15,86.15,86.15,"371,007","Feb 16, 2023"
15-02-2023,91.10,92.85,85.10,86.90,86.90,"570,298","Feb 15, 2023"
14-02-2023,93.25,94.00,92.00,93.00,93.00,"97,652","Feb 14, 2023"
13-02-2023,93.10,93.70,91.10,92.05,92.05,"82,101","Feb 13, 2023"
10-02-2023,92.95,93.80,91.70,92.35,92.35,"248,914","Feb 10, 2023"
09-02-2023,95.50,95.80,91.90,93.05,93.05,"268,714","Feb 09, 2023"
08-02-2023,94.10,95.95,94.05,94.75,94.75,"142,091","Feb 08, 2023"
07-02-2023,95.90,97.10,93.50,94.00,94.00,"185,767","Feb 07, 2023"
06-02-2023,93.95,95.40,93.50,94.50,94.50,"122,195","Feb 06, 2023"
03-02-2023,96.05,96.05,92.20,93.40,93.40,"175,048","Feb 03, 2023"
02-02-2023,94.00,96.55,93.20,94.65,94.65,"205,846","Feb 02, 2023"
01-02-2023,98.35,99.90,92.70,94.55,94.55,"269,917","Feb 01, 2023"
31-01-2023,94.95,98.25,94.70,97.25,97.25,"186,130","Jan 31, 2023"
30-01-2023,96.15,98.25,93.70,94.35,94.35,"225,845","Jan 30, 2023"
27-01-2023,99.90,99.90,92.45,96.85,96.85,"297,783","Jan 27, 2023"
25-01-2023,98.45,99.05,96.20,97.55,97.55,"231,189","Jan 25, 2023"
24-01-2023,102.30,103.90,96.55,97.50,97.50,"416,908","Jan 24, 2023"
23-01-2023,104.30,105.25,102.20,102.85,102.85,"212,046","Jan 23, 2023"
20-01-2023,103.65,105.50,102.40,102.75,102.75,"218,113","Jan 20, 2023"
19-01-2023,104.15,105.80,102.40,102.70,102.70,"227,406","Jan 19, 2023"
18-01-2023,102.00,108.70,101.90,105.00,105.00,"955,677","Jan 18, 2023"
17-01-2023,103.45,103.80,101.25,101.55,101.55,"230,078","Jan 17, 2023"
16-01-2023,103.50,104.70,103.00,103.40,103.40,"255,433","Jan 16, 2023"
13-01-2023,104.40,104.80,102.25,102.85,102.85,"218,987","Jan 13, 2023"
12-01-2023,106.05,106.55,102.70,103.85,103.85,"310,407","Jan 12, 2023"
11-01-2023,107.40,109.00,105.00,105.70,105.70,"502,860","Jan 11, 2023"
10-01-2023,104.85,112.60,104.45,107.00,107.00,"2,310,195","Jan 10, 2023"
09-01-2023,103.60,106.50,101.00,104.10,104.10,"603,660","Jan 09, 2023"
06-01-2023,108.00,108.90,102.00,102.60,102.60,"583,722","Jan 06, 2023"
05-01-2023,103.70,111.10,101.00,107.65,107.65,"1,174,382","Jan 05, 2023"
04-01-2023,102.80,104.50,100.65,102.40,102.40,"383,924","Jan 04, 2023"
03-01-2023,101.70,103.00,100.05,102.20,102.20,"271,986","Jan 03, 2023"
02-01-2023,100.95,102.40,98.55,100.95,100.95,"456,188","Jan 02, 2023"
30-12-2022,96.20,102.50,95.70,99.90,99.90,"887,950","Dec 30, 2022"
29-12-2022,94.20,96.10,93.15,94.85,94.85,"234,356","Dec 29, 2022"
28-12-2022,93.70,94.40,92.20,94.05,94.05,"181,040","Dec 28, 2022"
27-12-2022,93.35,94.45,90.30,92.20,92.20,"392,544","Dec 27, 2022"
26-12-2022,86.05,92.70,86.05,91.15,91.15,"607,994","Dec 26, 2022"
23-12-2022,93.00,93.00,84.45,85.30,85.30,"657,330","Dec 23, 2022"
22-12-2022,98.50,99.90,91.50,93.20,93.20,"508,758","Dec 22, 2022"
21-12-2022,103.25,106.05,97.55,98.40,98.40,"417,874","Dec 21, 2022"
20-12-2022,104.75,106.50,102.50,103.20,103.20,"187,218","Dec 20, 2022"
19-12-2022,103.10,105.70,102.90,104.75,104.75,"207,614","Dec 19, 2022"
16-12-2022,105.00,107.35,102.10,102.80,102.80,"340,305","Dec 16, 2022"
15-12-2022,107.40,108.05,105.15,105.80,105.80,"162,958","Dec 15, 2022"
14-12-2022,110.35,110.60,107.00,107.40,107.40,"310,229","Dec 14, 2022"
13-12-2022,110.00,112.90,108.45,109.35,109.35,"700,982","Dec 13, 2022"
