date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,73.10,73.95,70.80,71.45,71.45,"6,069,835","Aug 25, 2023"
24-08-2023,75.45,76.45,72.80,73.10,73.10,"8,728,639","Aug 24, 2023"
23-08-2023,74.45,75.70,73.70,75.05,75.05,"11,434,166","Aug 23, 2023"
22-08-2023,72.05,74.40,71.70,74.10,74.10,"14,552,354","Aug 22, 2023"
21-08-2023,73.90,74.25,71.40,72.10,72.10,"13,170,721","Aug 21, 2023"
18-08-2023,70.60,74.30,69.65,73.65,73.65,"32,377,264","Aug 18, 2023"
17-08-2023,68.30,71.80,68.30,70.60,70.60,"24,642,958","Aug 17, 2023"
16-08-2023,67.90,69.50,66.90,68.20,68.20,"9,723,390","Aug 16, 2023"
14-08-2023,67.70,68.30,64.50,67.90,67.90,"9,421,185","Aug 14, 2023"
11-08-2023,67.15,68.30,66.25,67.35,67.35,"10,781,413","Aug 11, 2023"
10-08-2023,67.40,68.55,66.40,66.80,66.80,"8,909,545","Aug 10, 2023"
09-08-2023,68.10,68.50,66.85,67.15,67.15,"9,104,602","Aug 09, 2023"
08-08-2023,65.05,70.30,65.05,68.85,68.85,"50,457,824","Aug 08, 2023"
07-08-2023,61.95,65.45,61.30,64.60,64.60,"15,427,562","Aug 07, 2023"
04-08-2023,64.40,66.60,60.75,61.65,61.65,"20,574,241","Aug 04, 2023"
03-08-2023,64.15,64.20,63.20,63.85,63.85,"7,267,256","Aug 03, 2023"
02-08-2023,64.50,67.20,62.85,63.85,63.85,"23,318,683","Aug 02, 2023"
01-08-2023,64.70,65.70,64.35,64.65,64.65,"8,534,677","Aug 01, 2023"
31-07-2023,63.45,64.60,63.30,64.20,64.20,"5,993,325","Jul 31, 2023"
28-07-2023,63.35,63.60,62.35,63.30,63.30,"5,113,243","Jul 28, 2023"
27-07-2023,63.90,64.70,62.85,63.35,63.35,"6,739,713","Jul 27, 2023"
26-07-2023,65.20,65.55,63.40,63.75,63.75,"9,495,572","Jul 26, 2023"
25-07-2023,63.20,65.40,61.85,64.75,64.75,"20,067,806","Jul 25, 2023"
24-07-2023,60.65,64.40,60.45,62.60,62.60,"24,972,173","Jul 24, 2023"
21-07-2023,60.00,61.35,59.60,60.35,60.35,"8,437,824","Jul 21, 2023"
20-07-2023,59.40,60.50,59.30,59.90,59.90,"5,718,104","Jul 20, 2023"
19-07-2023,59.10,60.35,59.00,59.35,59.35,"3,569,579","Jul 19, 2023"
18-07-2023,59.50,59.70,58.60,58.95,58.95,"3,039,266","Jul 18, 2023"
17-07-2023,59.25,60.20,58.90,59.35,59.35,"3,883,417","Jul 17, 2023"
14-07-2023,58.95,59.70,58.65,59.05,59.05,"3,501,237","Jul 14, 2023"
13-07-2023,59.90,60.35,58.55,58.80,58.80,"6,171,882","Jul 13, 2023"
12-07-2023,60.65,60.70,59.35,59.65,59.65,"5,567,601","Jul 12, 2023"
11-07-2023,59.40,61.25,59.00,60.30,60.30,"12,851,763","Jul 11, 2023"
10-07-2023,58.45,59.55,57.80,59.15,59.15,"8,205,125","Jul 10, 2023"
