date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,511.95,511.95,495.00,500.10,500.10,"21,236","Aug 25, 2023"
24-08-2023,510.60,520.00,500.00,504.35,504.35,"20,270","Aug 24, 2023"
23-08-2023,519.85,519.85,505.00,510.60,510.60,"11,178","Aug 23, 2023"
22-08-2023,509.85,520.00,505.00,506.80,506.80,"27,231","Aug 22, 2023"
21-08-2023,501.00,515.00,497.60,503.30,503.30,"52,239","Aug 21, 2023"
18-08-2023,516.95,529.00,500.15,507.75,507.75,"21,720","Aug 18, 2023"
17-08-2023,510.70,520.00,499.05,508.85,508.85,"17,291","Aug 17, 2023"
16-08-2023,485.00,520.15,480.00,510.70,510.70,"56,472","Aug 16, 2023"
14-08-2023,491.30,508.90,491.30,495.40,495.40,"63,140","Aug 14, 2023"
11-08-2023,519.40,525.00,514.05,517.15,517.15,"11,573","Aug 11, 2023"
10-08-2023,538.80,550.00,510.05,514.35,514.35,"55,955","Aug 10, 2023"
09-08-2023,509.95,528.55,502.05,528.55,528.55,"22,909","Aug 09, 2023"
08-08-2023,502.00,512.00,492.50,503.40,503.40,"51,450","Aug 08, 2023"
07-08-2023,564.00,564.00,518.10,518.10,518.10,"54,047","Aug 07, 2023"
04-08-2023,559.95,562.55,532.50,545.35,545.35,"69,127","Aug 04, 2023"
03-08-2023,527.00,535.80,506.05,535.80,535.80,"104,801","Aug 03, 2023"
02-08-2023,508.00,510.30,493.05,510.30,510.30,"37,935","Aug 02, 2023"
01-08-2023,476.00,486.00,458.00,486.00,486.00,"21,351","Aug 01, 2023"
31-07-2023,476.00,478.00,457.00,462.90,462.90,"24,869","Jul 31, 2023"
28-07-2023,477.30,486.95,468.05,471.60,471.60,"17,029","Jul 28, 2023"
27-07-2023,488.90,488.90,480.30,482.65,482.65,"18,913","Jul 27, 2023"
26-07-2023,505.90,505.90,479.95,489.25,489.25,"25,183","Jul 26, 2023"
25-07-2023,456.10,483.95,456.10,483.95,483.95,"22,762","Jul 25, 2023"
24-07-2023,482.70,489.35,452.20,460.95,460.95,"53,260","Jul 24, 2023"
21-07-2023,492.80,513.10,464.30,466.05,466.05,"162,208","Jul 21, 2023"
20-07-2023,488.70,488.70,461.55,488.70,488.70,"157,440","Jul 20, 2023"
19-07-2023,465.45,465.45,457.25,465.45,465.45,"78,779","Jul 19, 2023"
18-07-2023,435.95,443.30,434.00,443.30,443.30,"23,942","Jul 18, 2023"
17-07-2023,410.90,422.20,405.00,422.20,422.20,"58,232","Jul 17, 2023"
14-07-2023,406.00,406.00,395.05,402.10,402.10,"19,120","Jul 14, 2023"
13-07-2023,402.95,410.00,393.55,398.20,398.20,"23,512","Jul 13, 2023"
12-07-2023,405.00,411.00,395.00,400.55,400.55,"45,282","Jul 12, 2023"
11-07-2023,384.30,403.50,384.30,399.25,399.25,"51,763","Jul 11, 2023"
