date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,993.90,"1,008.00",984.95,986.30,986.30,"104,688","Aug 25, 2023"
24-08-2023,"1,018.95","1,020.00",991.20,997.30,997.30,"112,563","Aug 24, 2023"
23-08-2023,"1,018.30","1,024.40","1,000.70","1,009.60","1,009.60","76,079","Aug 23, 2023"
22-08-2023,"1,008.95","1,044.60","1,002.00","1,009.20","1,009.20","142,347","Aug 22, 2023"
21-08-2023,"1,024.00","1,029.40",996.00,"1,000.05","1,000.05","121,470","Aug 21, 2023"
18-08-2023,"1,036.40","1,036.70","1,009.00","1,022.45","1,022.45","136,714","Aug 18, 2023"
17-08-2023,"1,048.70","1,069.00","1,024.00","1,031.55","1,031.55","207,570","Aug 17, 2023"
16-08-2023,963.00,"1,057.90",962.90,"1,040.05","1,040.05","696,674","Aug 16, 2023"
14-08-2023,987.40,990.00,959.40,962.25,962.25,"142,264","Aug 14, 2023"
11-08-2023,993.00,"1,007.80",982.30,985.45,985.45,"158,597","Aug 11, 2023"
10-08-2023,"1,019.95","1,032.25",982.00,988.05,988.05,"263,773","Aug 10, 2023"
09-08-2023,"1,030.00","1,048.80",996.00,"1,010.95","1,010.95","814,010","Aug 09, 2023"
08-08-2023,"1,095.00","1,127.00","1,065.10","1,076.40","1,076.40","244,560","Aug 08, 2023"
07-08-2023,"1,114.95","1,127.70","1,090.00","1,095.60","1,095.60","114,542","Aug 07, 2023"
04-08-2023,"1,118.00","1,121.90","1,101.10","1,106.05","1,106.05","86,350","Aug 04, 2023"
03-08-2023,"1,119.00","1,129.75","1,102.00","1,112.35","1,112.35","124,864","Aug 03, 2023"
02-08-2023,"1,159.20","1,167.30","1,095.20","1,114.30","1,114.30","222,286","Aug 02, 2023"
01-08-2023,"1,151.00","1,169.40","1,116.00","1,154.50","1,154.50","242,932","Aug 01, 2023"
31-07-2023,"1,153.90","1,160.00","1,139.00","1,141.65","1,141.65","89,036","Jul 31, 2023"
28-07-2023,"1,140.90","1,168.00","1,136.20","1,148.20","1,148.20","172,309","Jul 28, 2023"
27-07-2023,"1,171.90","1,171.90","1,123.05","1,135.20","1,135.20","182,531","Jul 27, 2023"
26-07-2023,"1,180.70","1,188.45","1,162.00","1,167.70","1,167.70","189,956","Jul 26, 2023"
25-07-2023,"1,184.75","1,194.75","1,165.90","1,171.60","1,171.60","170,683","Jul 25, 2023"
24-07-2023,"1,179.75","1,212.90","1,161.25","1,175.25","1,175.25","224,678","Jul 24, 2023"
21-07-2023,"1,180.00","1,194.65","1,168.05","1,171.35","1,171.35","163,942","Jul 21, 2023"
20-07-2023,"1,199.95","1,217.00","1,188.00","1,191.50","1,191.50","165,396","Jul 20, 2023"
19-07-2023,"1,188.00","1,249.00","1,178.00","1,194.90","1,194.90","524,394","Jul 19, 2023"
18-07-2023,"1,215.00","1,226.95","1,170.00","1,181.30","1,181.30","304,864","Jul 18, 2023"
17-07-2023,"1,218.50","1,230.00","1,190.00","1,192.00","1,192.00","290,910","Jul 17, 2023"
14-07-2023,"1,234.60","1,234.60","1,192.85","1,204.90","1,204.90","289,021","Jul 14, 2023"
13-07-2023,"1,272.00","1,284.90","1,212.85","1,229.85","1,229.85","569,977","Jul 13, 2023"
12-07-2023,"1,269.55","1,319.40","1,264.05","1,279.30","1,279.30","1,299,590","Jul 12, 2023"
11-07-2023,"1,154.00","1,320.00","1,114.45","1,269.55","1,269.55","4,076,823","Jul 11, 2023"
10-07-2023,"1,299.90","1,304.65","1,151.05","1,162.40","1,162.40","1,922,461","Jul 10, 2023"
07-07-2023,"1,300.00","1,343.95","1,260.00","1,294.95","1,294.95","9,712,139","Jul 07, 2023"
