date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,91.30,92.10,90.20,91.10,91.10,"29,655,425","Aug 25, 2023"
24-08-2023,93.00,93.55,90.95,91.45,91.45,"33,846,829","Aug 24, 2023"
23-08-2023,92.70,93.60,92.15,92.25,92.25,"42,359,762","Aug 23, 2023"
22-08-2023,90.00,92.50,89.90,91.95,91.95,"49,308,878","Aug 22, 2023"
21-08-2023,89.40,89.95,88.75,89.70,89.70,"27,088,533","Aug 21, 2023"
18-08-2023,88.15,89.65,88.15,88.95,88.95,"20,227,094","Aug 18, 2023"
17-08-2023,88.45,90.00,88.05,88.55,88.55,"36,736,850","Aug 17, 2023"
16-08-2023,87.80,88.65,87.35,88.35,88.35,"27,771,707","Aug 16, 2023"
14-08-2023,88.20,88.50,86.30,88.15,88.15,"21,353,172","Aug 14, 2023"
11-08-2023,88.05,89.00,87.65,88.15,88.15,"33,682,850","Aug 11, 2023"
10-08-2023,88.00,89.00,87.20,87.55,87.55,"28,905,866","Aug 10, 2023"
09-08-2023,87.65,88.30,87.10,88.15,88.15,"21,568,879","Aug 09, 2023"
08-08-2023,87.70,88.75,86.85,87.45,87.45,"21,638,603","Aug 08, 2023"
07-08-2023,87.75,88.45,87.10,87.65,87.65,"25,688,424","Aug 07, 2023"
04-08-2023,87.70,88.20,86.50,87.45,87.45,"28,666,645","Aug 04, 2023"
03-08-2023,87.30,87.90,85.85,86.95,86.95,"34,558,158","Aug 03, 2023"
02-08-2023,88.30,88.30,85.55,87.10,87.10,"38,132,375","Aug 02, 2023"
01-08-2023,87.65,89.45,87.50,88.50,88.50,"44,063,991","Aug 01, 2023"
31-07-2023,85.50,88.30,84.05,87.20,87.20,"101,482,338","Jul 31, 2023"
28-07-2023,83.00,84.15,82.55,83.95,83.95,"31,513,904","Jul 28, 2023"
27-07-2023,85.45,86.10,82.05,82.55,82.55,"57,037,266","Jul 27, 2023"
26-07-2023,83.15,84.80,83.10,84.65,84.65,"35,416,467","Jul 26, 2023"
25-07-2023,84.05,84.30,82.60,83.05,83.05,"27,648,977","Jul 25, 2023"
24-07-2023,83.40,85.50,83.10,83.70,83.70,"52,748,590","Jul 24, 2023"
21-07-2023,81.45,83.15,81.00,82.85,82.85,"33,765,456","Jul 21, 2023"
20-07-2023,81.75,81.80,80.90,81.40,81.40,"22,078,998","Jul 20, 2023"
19-07-2023,81.45,82.20,80.60,81.80,81.80,"35,963,042","Jul 19, 2023"
18-07-2023,82.15,82.40,80.55,81.10,81.10,"26,356,687","Jul 18, 2023"
17-07-2023,82.55,82.70,81.25,81.70,81.70,"20,735,946","Jul 17, 2023"
14-07-2023,81.80,82.75,81.20,82.50,82.50,"23,195,358","Jul 14, 2023"
13-07-2023,83.50,83.65,81.10,81.35,81.35,"31,808,815","Jul 13, 2023"
12-07-2023,83.30,84.40,82.85,83.10,83.10,"44,600,443","Jul 12, 2023"
11-07-2023,79.55,83.00,79.50,82.80,82.80,"61,675,220","Jul 11, 2023"
10-07-2023,80.20,80.20,78.85,79.25,79.25,"23,509,603","Jul 10, 2023"
07-07-2023,80.50,80.80,79.05,79.70,79.70,"27,805,119","Jul 07, 2023"
06-07-2023,80.35,81.10,79.70,80.50,80.50,"45,178,598","Jul 06, 2023"
05-07-2023,78.50,81.45,78.00,80.35,80.35,"74,563,754","Jul 05, 2023"
04-07-2023,81.50,81.50,77.05,78.65,78.65,"123,645,833","Jul 04, 2023"
03-07-2023,79.95,82.10,79.90,81.95,81.95,"41,722,855","Jul 03, 2023"
30-06-2023,80.05,81.45,79.25,79.40,79.40,"45,626,525","Jun 30, 2023"
28-06-2023,78.25,78.25,78.25,78.25,78.25,-,"Jun 28, 2023"
27-06-2023,78.10,79.60,77.95,78.25,78.25,"37,226,897","Jun 27, 2023"
26-06-2023,77.90,78.25,76.45,77.75,77.75,"30,737,311","Jun 26, 2023"
23-06-2023,77.60,79.15,75.55,77.75,77.75,"56,849,916","Jun 23, 2023"
22-06-2023,81.90,82.00,77.30,77.60,77.60,"85,854,307","Jun 22, 2023"
21-06-2023,83.10,84.35,81.50,82.20,82.20,"44,526,728","Jun 21, 2023"
20-06-2023,81.75,83.15,81.40,82.80,82.80,"46,126,349","Jun 20, 2023"
