date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,586.90,595.00,580.90,586.30,586.30,"355,953","Aug 25, 2023"
24-08-2023,587.00,597.00,582.60,583.95,583.95,"304,059","Aug 24, 2023"
23-08-2023,610.20,610.20,580.05,583.60,583.60,"480,191","Aug 23, 2023"
22-08-2023,581.00,612.85,581.00,608.30,608.30,"1,098,440","Aug 22, 2023"
21-08-2023,578.10,596.00,564.10,577.75,577.75,"1,556,475","Aug 21, 2023"
18-08-2023,570.00,601.00,570.00,575.20,575.20,"557,051","Aug 18, 2023"
17-08-2023,571.30,577.95,565.80,568.85,568.85,"267,609","Aug 17, 2023"
16-08-2023,561.00,575.45,556.40,568.45,568.45,"268,137","Aug 16, 2023"
14-08-2023,571.00,571.00,555.75,560.70,560.70,"253,185","Aug 14, 2023"
11-08-2023,576.95,582.95,569.00,570.60,570.60,"202,948","Aug 11, 2023"
10-08-2023,581.25,586.15,564.75,574.70,574.70,"665,953","Aug 10, 2023"
09-08-2023,592.05,598.35,580.10,583.45,583.45,"196,380","Aug 09, 2023"
08-08-2023,588.00,597.50,583.15,591.55,591.55,"375,842","Aug 08, 2023"
07-08-2023,597.80,597.80,583.25,588.00,588.00,"191,440","Aug 07, 2023"
04-08-2023,579.60,602.05,574.90,594.95,594.95,"380,659","Aug 04, 2023"
03-08-2023,587.40,589.00,572.00,575.50,575.50,"427,991","Aug 03, 2023"
02-08-2023,619.60,619.60,581.65,588.25,588.25,"600,793","Aug 02, 2023"
01-08-2023,593.15,625.00,590.60,619.60,619.60,"1,318,365","Aug 01, 2023"
31-07-2023,571.00,593.65,569.35,590.15,590.15,"795,959","Jul 31, 2023"
28-07-2023,582.00,584.90,567.00,569.35,569.35,"388,372","Jul 28, 2023"
27-07-2023,582.35,592.05,563.85,583.05,583.05,"946,943","Jul 27, 2023"
26-07-2023,577.00,595.70,572.90,579.45,579.45,"326,702","Jul 26, 2023"
25-07-2023,568.20,580.00,566.05,575.00,575.00,"275,285","Jul 25, 2023"
24-07-2023,567.75,579.70,562.35,565.35,565.35,"331,762","Jul 24, 2023"
21-07-2023,560.00,572.80,560.00,568.10,568.10,"310,145","Jul 21, 2023"
20-07-2023,556.70,566.00,554.15,562.15,562.15,"256,414","Jul 20, 2023"
19-07-2023,560.00,564.50,553.15,555.50,555.50,"256,544","Jul 19, 2023"
18-07-2023,550.00,564.30,546.00,555.15,555.15,"751,771","Jul 18, 2023"
17-07-2023,552.75,554.50,545.00,550.75,550.75,"437,062","Jul 17, 2023"
14-07-2023,538.90,550.00,537.95,547.30,547.30,"501,563","Jul 14, 2023"
13-07-2023,545.50,545.50,531.00,536.55,536.55,"514,557","Jul 13, 2023"
12-07-2023,539.00,546.60,536.15,542.40,542.40,"312,418","Jul 12, 2023"
11-07-2023,545.00,548.80,532.15,538.25,538.25,"533,008","Jul 11, 2023"
10-07-2023,510.00,545.00,508.00,540.05,540.05,"1,306,028","Jul 10, 2023"
07-07-2023,512.25,514.70,506.10,509.90,509.90,"805,077","Jul 07, 2023"
06-07-2023,507.00,523.80,506.95,512.25,512.25,"4,157,383","Jul 06, 2023"
05-07-2023,507.95,514.45,504.70,508.00,508.00,"435,537","Jul 05, 2023"
04-07-2023,502.45,510.90,500.55,504.70,504.70,"1,356,934","Jul 04, 2023"
03-07-2023,501.00,517.35,497.50,499.40,499.40,"544,256","Jul 03, 2023"
30-06-2023,500.00,512.90,495.65,505.65,505.65,"770,378","Jun 30, 2023"
28-06-2023,496.50,496.50,496.50,496.50,496.50,-,"Jun 28, 2023"
27-06-2023,485.00,506.50,485.00,496.50,496.50,"1,311,968","Jun 27, 2023"
26-06-2023,474.75,489.00,467.05,484.10,484.10,"553,446","Jun 26, 2023"
23-06-2023,474.55,483.35,466.00,473.95,473.95,"397,969","Jun 23, 2023"
22-06-2023,486.70,494.80,475.75,478.10,478.10,"674,052","Jun 22, 2023"
