date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,72.25,79.70,72.25,78.75,78.75,"3,029,056","Aug 25, 2023"
24-08-2023,73.90,75.50,72.50,72.95,72.95,"756,116","Aug 24, 2023"
23-08-2023,73.85,74.20,72.85,73.20,73.20,"446,154","Aug 23, 2023"
22-08-2023,74.60,74.60,72.60,73.50,73.50,"612,401","Aug 22, 2023"
21-08-2023,73.95,75.40,72.80,74.60,74.60,"1,444,488","Aug 21, 2023"
18-08-2023,74.40,74.80,71.25,72.20,72.20,"1,128,488","Aug 18, 2023"
17-08-2023,70.55,74.00,69.55,73.75,73.75,"3,952,913","Aug 17, 2023"
16-08-2023,68.00,72.00,65.35,69.80,69.80,"7,449,999","Aug 16, 2023"
14-08-2023,66.45,66.45,63.25,64.85,64.85,"262,630","Aug 14, 2023"
11-08-2023,66.60,66.85,65.40,65.75,65.75,"474,335","Aug 11, 2023"
10-08-2023,66.50,67.00,65.55,65.95,65.95,"276,377","Aug 10, 2023"
09-08-2023,66.50,66.65,65.40,66.05,66.05,"210,020","Aug 09, 2023"
08-08-2023,67.65,67.70,65.45,65.70,65.70,"271,286","Aug 08, 2023"
07-08-2023,65.60,67.00,64.40,66.70,66.70,"623,506","Aug 07, 2023"
04-08-2023,65.30,65.30,64.00,64.65,64.65,"193,276","Aug 04, 2023"
03-08-2023,64.90,65.30,63.40,64.35,64.35,"358,172","Aug 03, 2023"
02-08-2023,66.00,66.95,63.45,64.55,64.55,"594,961","Aug 02, 2023"
01-08-2023,66.50,67.45,65.00,66.00,66.00,"794,347","Aug 01, 2023"
31-07-2023,66.85,67.00,65.50,65.85,65.85,"357,082","Jul 31, 2023"
28-07-2023,65.95,66.00,65.10,65.40,65.40,"292,723","Jul 28, 2023"
27-07-2023,64.85,66.35,64.60,65.10,65.10,"414,438","Jul 27, 2023"
26-07-2023,66.00,66.55,63.05,64.45,64.45,"427,232","Jul 26, 2023"
25-07-2023,67.80,68.00,65.35,66.00,66.00,"1,141,564","Jul 25, 2023"
24-07-2023,65.95,66.75,64.50,65.10,65.10,"491,611","Jul 24, 2023"
21-07-2023,63.90,65.35,63.90,64.95,64.95,"358,239","Jul 21, 2023"
20-07-2023,65.15,65.55,63.90,64.60,64.60,"261,360","Jul 20, 2023"
19-07-2023,64.00,65.00,63.55,64.50,64.50,"242,969","Jul 19, 2023"
18-07-2023,65.60,66.30,63.25,64.00,64.00,"601,768","Jul 18, 2023"
17-07-2023,68.30,68.30,65.20,65.60,65.60,"675,442","Jul 17, 2023"
14-07-2023,62.50,67.85,62.50,67.25,67.25,"2,197,193","Jul 14, 2023"
13-07-2023,63.05,63.95,62.35,62.95,62.95,"494,443","Jul 13, 2023"
12-07-2023,63.00,63.70,62.30,63.00,63.00,"375,168","Jul 12, 2023"
11-07-2023,61.20,63.50,60.65,63.00,63.00,"729,386","Jul 11, 2023"
10-07-2023,60.95,61.85,60.50,60.70,60.70,"417,004","Jul 10, 2023"
07-07-2023,62.30,62.30,60.55,60.95,60.95,"426,154","Jul 07, 2023"
06-07-2023,62.10,63.20,61.50,62.40,62.40,"520,270","Jul 06, 2023"
05-07-2023,60.95,62.35,60.40,61.80,61.80,"695,840","Jul 05, 2023"
04-07-2023,61.25,61.45,60.30,60.65,60.65,"364,004","Jul 04, 2023"
03-07-2023,61.45,61.55,60.80,61.15,61.15,"447,025","Jul 03, 2023"
30-06-2023,62.50,62.50,60.90,61.05,61.05,"435,217","Jun 30, 2023"
28-06-2023,63.10,63.10,63.10,63.10,63.10,-,"Jun 28, 2023"
27-06-2023,60.50,65.90,60.50,63.10,63.10,"5,519,932","Jun 27, 2023"
26-06-2023,59.25,60.50,58.75,60.35,60.35,"739,028","Jun 26, 2023"
23-06-2023,59.85,60.00,57.80,59.10,59.10,"611,526","Jun 23, 2023"
