date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,56.65,58.10,55.65,56.50,56.50,"1,247,732","Aug 25, 2023"
24-08-2023,57.45,58.50,56.50,56.80,56.80,"1,006,212","Aug 24, 2023"
23-08-2023,58.20,58.75,56.80,57.15,57.15,"1,996,836","Aug 23, 2023"
22-08-2023,58.30,58.95,57.00,57.90,57.90,"1,373,000","Aug 22, 2023"
21-08-2023,59.50,60.30,57.40,58.00,58.00,"1,348,194","Aug 21, 2023"
18-08-2023,60.50,61.00,58.30,59.50,59.50,"1,513,987","Aug 18, 2023"
17-08-2023,62.50,63.10,60.10,60.35,60.35,"1,563,962","Aug 17, 2023"
16-08-2023,62.00,63.70,61.30,62.40,62.40,"2,004,450","Aug 16, 2023"
14-08-2023,61.50,64.15,59.50,62.20,62.20,"3,438,865","Aug 14, 2023"
11-08-2023,58.45,65.25,58.45,62.55,62.55,"11,210,302","Aug 11, 2023"
10-08-2023,59.35,60.95,55.60,57.25,57.25,"3,074,792","Aug 10, 2023"
09-08-2023,59.65,59.90,57.85,59.35,59.35,"1,743,269","Aug 09, 2023"
08-08-2023,60.70,61.80,58.65,59.10,59.10,"1,873,527","Aug 08, 2023"
07-08-2023,61.15,62.05,59.30,60.55,60.55,"2,785,045","Aug 07, 2023"
04-08-2023,57.70,63.00,57.60,60.40,60.40,"7,508,685","Aug 04, 2023"
03-08-2023,53.00,57.25,52.70,56.55,56.55,"3,701,835","Aug 03, 2023"
02-08-2023,54.50,55.15,51.80,53.05,53.05,"2,753,248","Aug 02, 2023"
01-08-2023,52.90,55.45,52.50,54.70,54.70,"3,754,407","Aug 01, 2023"
31-07-2023,52.30,53.80,51.75,52.25,52.25,"2,053,611","Jul 31, 2023"
28-07-2023,52.45,55.60,51.30,51.95,51.95,"3,533,242","Jul 28, 2023"
27-07-2023,53.10,54.15,51.45,52.20,52.20,"1,819,527","Jul 27, 2023"
26-07-2023,53.75,55.20,52.25,52.80,52.80,"2,756,366","Jul 26, 2023"
25-07-2023,53.70,57.50,52.75,53.70,53.70,"11,873,013","Jul 25, 2023"
24-07-2023,47.80,53.55,47.70,52.55,52.55,"5,694,349","Jul 24, 2023"
21-07-2023,47.50,48.80,47.05,47.60,47.60,"1,015,409","Jul 21, 2023"
20-07-2023,48.60,49.05,47.50,47.70,47.70,"835,832","Jul 20, 2023"
19-07-2023,49.00,49.45,48.05,48.40,48.40,"716,924","Jul 19, 2023"
18-07-2023,49.80,50.30,47.55,48.80,48.80,"1,094,793","Jul 18, 2023"
17-07-2023,48.70,50.70,48.50,49.50,49.50,"2,096,958","Jul 17, 2023"
14-07-2023,47.45,49.40,46.95,48.25,48.25,"1,119,164","Jul 14, 2023"
13-07-2023,48.75,49.50,45.80,47.20,47.20,"1,729,892","Jul 13, 2023"
12-07-2023,49.25,49.50,47.90,48.50,48.50,"1,052,657","Jul 12, 2023"
11-07-2023,48.90,49.65,47.60,49.10,49.10,"1,171,437","Jul 11, 2023"
10-07-2023,50.80,51.20,48.25,48.65,48.65,"1,736,548","Jul 10, 2023"
07-07-2023,45.85,51.30,45.85,50.30,50.30,"6,648,096","Jul 07, 2023"
06-07-2023,46.55,46.80,45.95,46.15,46.15,"769,562","Jul 06, 2023"
05-07-2023,44.80,47.30,44.75,46.45,46.45,"1,342,591","Jul 05, 2023"
04-07-2023,46.70,46.95,44.70,44.95,44.95,"1,087,995","Jul 04, 2023"
03-07-2023,46.15,47.30,45.70,46.55,46.55,"1,667,500","Jul 03, 2023"
30-06-2023,44.70,46.90,44.55,45.75,45.75,"1,376,455","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,43.25,46.40,42.90,44.75,44.75,"2,521,630","Jun 27, 2023"
26-06-2023,46.00,46.40,43.20,43.45,43.45,"1,709,014","Jun 26, 2023"
23-06-2023,48.95,48.95,45.50,45.80,45.80,"2,037,225","Jun 23, 2023"
22-06-2023,50.20,50.40,48.50,48.90,48.90,"1,382,598","Jun 22, 2023"
21-06-2023,52.50,53.40,49.75,50.10,50.10,"3,283,994","Jun 21, 2023"
20-06-2023,48.50,54.00,48.00,52.50,52.50,"4,650,542","Jun 20, 2023"
19-06-2023,48.30,49.40,46.90,47.80,47.80,"1,041,280","Jun 19, 2023"
16-06-2023,50.55,50.55,47.40,48.00,48.00,"1,422,991","Jun 16, 2023"
15-06-2023,51.45,53.10,48.55,49.20,49.20,"5,662,627","Jun 15, 2023"
14-06-2023,44.00,50.40,42.50,47.15,47.15,"3,814,777","Jun 14, 2023"
13-06-2023,43.00,43.75,42.15,42.80,42.80,"368,549","Jun 13, 2023"
12-06-2023,42.30,43.45,42.15,43.15,43.15,"265,344","Jun 12, 2023"
09-06-2023,43.40,43.40,42.10,42.60,42.60,"293,721","Jun 09, 2023"
08-06-2023,44.55,44.55,42.10,42.90,42.90,"475,845","Jun 08, 2023"
07-06-2023,41.00,43.35,41.00,42.75,42.75,"1,085,410","Jun 07, 2023"
06-06-2023,40.95,41.50,40.70,41.00,41.00,"284,562","Jun 06, 2023"
05-06-2023,41.60,42.60,39.55,40.75,40.75,"603,177","Jun 05, 2023"
02-06-2023,42.20,42.80,41.10,41.40,41.40,"418,182","Jun 02, 2023"
01-06-2023,41.75,42.30,41.25,41.70,41.70,"412,233","Jun 01, 2023"
31-05-2023,41.65,42.00,40.50,41.70,41.70,"492,932","May 31, 2023"
30-05-2023,41.95,42.00,41.30,41.45,41.45,"325,286","May 30, 2023"
29-05-2023,43.05,43.70,41.80,42.15,42.15,"692,565","May 29, 2023"
