date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,378.00,381.35,367.65,371.35,371.35,"88,044","Aug 25, 2023"
24-08-2023,386.00,389.90,373.00,377.55,377.55,"202,542","Aug 24, 2023"
23-08-2023,360.00,390.00,357.40,381.65,381.65,"729,019","Aug 23, 2023"
22-08-2023,349.70,360.50,346.55,357.60,357.60,"152,943","Aug 22, 2023"
21-08-2023,343.00,348.25,335.85,347.20,347.20,"92,541","Aug 21, 2023"
18-08-2023,344.00,347.50,328.80,337.15,337.15,"107,537","Aug 18, 2023"
17-08-2023,344.40,349.90,340.55,343.50,343.50,"62,772","Aug 17, 2023"
16-08-2023,345.15,347.40,340.00,340.90,340.90,"101,372","Aug 16, 2023"
14-08-2023,352.50,353.45,334.80,345.15,345.15,"87,955","Aug 14, 2023"
11-08-2023,357.80,357.80,349.00,352.55,352.55,"69,775","Aug 11, 2023"
10-08-2023,356.00,359.40,350.25,354.60,354.60,"67,127","Aug 10, 2023"
09-08-2023,357.90,358.90,349.60,354.20,354.20,"78,691","Aug 09, 2023"
08-08-2023,349.75,361.35,349.15,356.10,356.10,"69,325","Aug 08, 2023"
07-08-2023,355.00,358.15,340.10,347.25,347.25,"111,542","Aug 07, 2023"
04-08-2023,361.50,365.50,351.50,354.90,354.90,"105,643","Aug 04, 2023"
03-08-2023,351.20,363.65,351.20,359.30,359.30,"102,476","Aug 03, 2023"
02-08-2023,365.80,367.40,348.25,354.50,354.50,"188,874","Aug 02, 2023"
01-08-2023,360.95,371.60,360.95,367.70,367.70,"175,336","Aug 01, 2023"
31-07-2023,355.10,365.10,355.10,360.95,360.95,"106,587","Jul 31, 2023"
28-07-2023,364.80,374.45,355.30,357.75,357.75,"146,730","Jul 28, 2023"
27-07-2023,374.05,374.05,355.20,360.20,360.20,"323,133","Jul 27, 2023"
26-07-2023,356.90,377.65,351.35,375.30,375.30,"1,218,672","Jul 26, 2023"
25-07-2023,359.80,366.45,350.05,354.60,354.60,"218,595","Jul 25, 2023"
24-07-2023,343.80,363.00,341.80,357.85,357.85,"299,176","Jul 24, 2023"
21-07-2023,337.95,345.45,337.00,341.40,341.40,"59,676","Jul 21, 2023"
21-07-2023,5 Dividend,,,,,,"Jul 21, 2023"
20-07-2023,345.50,347.90,339.00,341.40,336.40,"89,775","Jul 20, 2023"
19-07-2023,350.90,350.90,342.80,345.80,340.74,"86,860","Jul 19, 2023"
18-07-2023,361.50,361.50,343.00,347.70,342.61,"181,938","Jul 18, 2023"
17-07-2023,336.00,361.00,335.00,355.05,349.85,"579,303","Jul 17, 2023"
14-07-2023,332.15,337.00,324.05,331.90,327.04,"90,123","Jul 14, 2023"
13-07-2023,334.95,339.90,328.00,329.20,324.38,"125,591","Jul 13, 2023"
12-07-2023,341.70,343.45,331.55,332.35,327.48,"138,376","Jul 12, 2023"
11-07-2023,343.00,345.00,337.10,338.90,333.94,"90,828","Jul 11, 2023"
10-07-2023,341.10,346.40,336.50,342.80,337.78,"143,279","Jul 10, 2023"
07-07-2023,335.30,351.95,335.30,340.80,335.81,"377,058","Jul 07, 2023"
06-07-2023,327.95,340.95,326.10,337.00,332.06,"194,243","Jul 06, 2023"
05-07-2023,328.35,335.00,323.70,328.95,324.13,"168,896","Jul 05, 2023"
04-07-2023,328.00,331.05,321.00,325.30,320.54,"95,559","Jul 04, 2023"
03-07-2023,322.45,331.55,316.50,328.30,323.49,"186,230","Jul 03, 2023"
30-06-2023,323.30,328.30,318.00,320.85,316.15,"133,558","Jun 30, 2023"
28-06-2023,326.60,326.60,326.60,326.60,321.82,-,"Jun 28, 2023"
27-06-2023,318.00,328.00,318.00,326.60,321.82,"397,902","Jun 27, 2023"
26-06-2023,302.85,317.95,302.55,314.10,309.50,"562,659","Jun 26, 2023"
23-06-2023,306.65,311.95,298.00,302.85,298.41,"121,326","Jun 23, 2023"
22-06-2023,308.00,314.80,302.45,304.80,300.34,"217,798","Jun 22, 2023"
21-06-2023,304.35,313.20,299.15,307.95,303.44,"312,277","Jun 21, 2023"
20-06-2023,294.30,305.60,294.00,302.20,297.77,"322,105","Jun 20, 2023"
19-06-2023,291.00,312.20,289.20,292.55,288.27,"881,047","Jun 19, 2023"
16-06-2023,286.00,286.00,283.35,283.90,279.74,"65,463","Jun 16, 2023"
15-06-2023,286.35,287.35,283.05,284.00,279.84,"76,443","Jun 15, 2023"
14-06-2023,287.15,292.40,283.45,284.35,280.19,"106,089","Jun 14, 2023"
13-06-2023,288.00,291.85,281.60,284.60,280.43,"72,077","Jun 13, 2023"
12-06-2023,290.90,293.50,283.95,287.00,282.80,"69,455","Jun 12, 2023"
09-06-2023,295.05,295.05,288.30,289.30,285.06,"35,434","Jun 09, 2023"
08-06-2023,288.50,296.50,288.05,290.70,286.44,"82,339","Jun 08, 2023"
07-06-2023,280.50,292.00,280.50,290.15,285.90,"106,508","Jun 07, 2023"
06-06-2023,280.50,284.40,279.10,279.90,275.80,"68,515","Jun 06, 2023"
05-06-2023,283.55,287.10,279.00,280.45,276.34,"134,270","Jun 05, 2023"
02-06-2023,298.00,298.00,281.60,283.55,279.40,"267,188","Jun 02, 2023"
01-06-2023,296.40,302.90,289.65,293.60,289.30,"101,012","Jun 01, 2023"
31-05-2023,283.00,296.90,274.50,293.45,289.15,"290,823","May 31, 2023"
30-05-2023,286.10,292.00,280.00,283.50,279.35,"58,001","May 30, 2023"
29-05-2023,288.45,288.45,281.50,284.55,280.38,"57,817","May 29, 2023"
26-05-2023,289.30,290.85,282.55,285.50,281.32,"44,686","May 26, 2023"
25-05-2023,281.15,290.00,279.95,289.20,284.96,"83,369","May 25, 2023"
24-05-2023,280.00,284.00,279.45,281.00,276.88,"24,272","May 24, 2023"
23-05-2023,283.00,285.00,280.55,283.70,279.55,"27,712","May 23, 2023"
22-05-2023,279.60,281.70,277.40,280.20,276.10,"24,065","May 22, 2023"
19-05-2023,283.00,286.00,277.65,279.10,275.01,"49,106","May 19, 2023"
18-05-2023,279.95,286.90,278.95,284.15,279.99,"72,425","May 18, 2023"
17-05-2023,279.60,282.00,274.40,279.55,275.46,"31,123","May 17, 2023"
16-05-2023,282.25,285.00,279.00,279.60,275.51,"22,638","May 16, 2023"
15-05-2023,279.85,284.00,275.00,280.65,276.54,"43,321","May 15, 2023"
12-05-2023,280.00,281.00,277.10,278.30,274.22,"21,934","May 12, 2023"
