date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,329.40,331.00,321.30,323.65,323.65,"94,889","Aug 25, 2023"
24-08-2023,332.00,336.30,327.65,329.65,329.65,"70,377","Aug 24, 2023"
23-08-2023,336.95,337.00,328.80,330.50,330.50,"84,698","Aug 23, 2023"
22-08-2023,330.05,336.60,330.05,335.55,335.55,"65,134","Aug 22, 2023"
21-08-2023,330.00,333.00,328.00,329.35,329.35,"55,035","Aug 21, 2023"
18-08-2023,335.45,340.90,327.20,329.00,329.00,"76,135","Aug 18, 2023"
17-08-2023,340.40,343.10,333.00,335.45,335.45,"89,803","Aug 17, 2023"
16-08-2023,338.20,341.10,333.65,339.30,339.30,"59,782","Aug 16, 2023"
14-08-2023,340.05,343.35,334.00,342.30,342.30,"73,770","Aug 14, 2023"
11-08-2023,346.10,352.60,340.00,341.70,341.70,"177,420","Aug 11, 2023"
10-08-2023,346.00,346.90,337.80,345.05,345.05,"266,870","Aug 10, 2023"
09-08-2023,321.05,343.95,321.00,341.65,341.65,"766,491","Aug 09, 2023"
08-08-2023,323.00,325.80,318.05,319.55,319.55,"396,391","Aug 08, 2023"
07-08-2023,325.95,327.90,318.90,321.75,321.75,"182,135","Aug 07, 2023"
04-08-2023,327.85,328.90,321.45,324.30,324.30,"109,157","Aug 04, 2023"
03-08-2023,313.65,325.30,312.20,324.00,324.00,"238,400","Aug 03, 2023"
02-08-2023,315.25,317.90,311.80,313.65,313.65,"84,262","Aug 02, 2023"
01-08-2023,317.50,321.35,314.10,314.80,314.80,"129,149","Aug 01, 2023"
31-07-2023,317.00,325.00,315.00,317.15,317.15,"191,950","Jul 31, 2023"
28-07-2023,319.95,321.75,316.95,318.55,318.55,"75,582","Jul 28, 2023"
27-07-2023,318.05,324.95,317.05,317.85,317.85,"112,164","Jul 27, 2023"
26-07-2023,324.00,332.10,316.00,317.00,317.00,"986,902","Jul 26, 2023"
25-07-2023,330.00,335.05,315.30,322.85,322.85,"458,346","Jul 25, 2023"
24-07-2023,333.75,336.15,329.00,329.80,329.80,"51,757","Jul 24, 2023"
21-07-2023,330.35,339.95,330.35,332.05,332.05,"184,324","Jul 21, 2023"
20-07-2023,330.75,333.50,326.95,331.80,331.80,"101,148","Jul 20, 2023"
19-07-2023,331.70,332.25,328.55,329.75,329.75,"66,507","Jul 19, 2023"
18-07-2023,332.00,332.00,325.70,328.85,328.85,"94,887","Jul 18, 2023"
17-07-2023,323.00,332.00,323.00,330.25,330.25,"119,005","Jul 17, 2023"
14-07-2023,324.00,326.00,322.00,322.95,322.95,"37,556","Jul 14, 2023"
13-07-2023,327.00,327.90,321.85,323.30,323.30,"35,167","Jul 13, 2023"
12-07-2023,322.95,328.00,321.10,325.45,325.45,"92,888","Jul 12, 2023"
11-07-2023,321.30,331.30,317.85,322.65,322.65,"282,394","Jul 11, 2023"
10-07-2023,326.30,326.40,315.00,320.65,320.65,"43,343","Jul 10, 2023"
07-07-2023,326.60,329.95,324.10,324.80,324.80,"78,529","Jul 07, 2023"
06-07-2023,330.90,331.00,325.00,326.60,326.60,"77,457","Jul 06, 2023"
05-07-2023,328.90,333.55,328.25,329.55,329.55,"86,534","Jul 05, 2023"
04-07-2023,331.30,331.85,325.00,327.65,327.65,"60,934","Jul 04, 2023"
03-07-2023,327.05,334.00,327.05,329.35,329.35,"85,926","Jul 03, 2023"
30-06-2023,327.05,330.00,325.30,326.95,326.95,"76,462","Jun 30, 2023"
28-06-2023,326.50,326.50,326.50,326.50,326.50,-,"Jun 28, 2023"
27-06-2023,330.80,332.70,324.15,326.50,326.50,"71,560","Jun 27, 2023"
26-06-2023,319.90,332.50,318.40,329.40,329.40,"142,443","Jun 26, 2023"
23-06-2023,318.00,323.55,316.10,319.90,319.90,"64,102","Jun 23, 2023"
22-06-2023,329.70,329.90,320.00,321.05,321.05,"87,243","Jun 22, 2023"
21-06-2023,331.40,331.40,326.05,328.35,328.35,"65,193","Jun 21, 2023"
20-06-2023,330.85,333.55,328.00,329.75,329.75,"100,662","Jun 20, 2023"
19-06-2023,332.00,336.50,329.25,330.85,330.85,"154,176","Jun 19, 2023"
16-06-2023,332.10,333.50,329.90,330.55,330.55,"105,278","Jun 16, 2023"
15-06-2023,322.40,333.15,322.40,329.30,329.30,"164,031","Jun 15, 2023"
14-06-2023,323.45,324.65,320.10,322.05,322.05,"80,509","Jun 14, 2023"
13-06-2023,332.50,333.00,320.20,321.80,321.80,"255,251","Jun 13, 2023"
12-06-2023,333.85,333.85,329.05,330.95,330.95,"99,235","Jun 12, 2023"
09-06-2023,329.50,334.90,326.05,329.65,329.65,"151,416","Jun 09, 2023"
08-06-2023,330.90,332.65,328.50,329.55,329.55,"57,928","Jun 08, 2023"
