date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,222.10,228.00,218.00,226.40,226.40,"2,611","Aug 25, 2023"
24-08-2023,225.00,230.00,221.10,223.30,223.30,"4,033","Aug 24, 2023"
23-08-2023,219.80,224.25,215.00,223.00,223.00,"1,865","Aug 23, 2023"
22-08-2023,214.30,220.00,214.30,216.25,216.25,"4,073","Aug 22, 2023"
21-08-2023,226.00,228.55,219.00,220.55,220.55,"3,715","Aug 21, 2023"
18-08-2023,230.00,230.55,224.90,228.55,228.55,"2,383","Aug 18, 2023"
17-08-2023,222.70,230.00,216.30,224.90,224.90,"2,844","Aug 17, 2023"
16-08-2023,229.20,229.20,221.00,227.65,227.65,"1,325","Aug 16, 2023"
14-08-2023,235.95,235.95,225.00,229.20,229.20,"11,746","Aug 14, 2023"
11-08-2023,232.40,237.00,229.50,236.40,236.40,"1,847","Aug 11, 2023"
10-08-2023,239.40,239.40,234.00,236.25,236.25,"2,141","Aug 10, 2023"
09-08-2023,240.00,241.90,230.00,234.25,234.25,"3,618","Aug 09, 2023"
08-08-2023,241.00,244.50,235.15,235.40,235.40,"2,427","Aug 08, 2023"
07-08-2023,253.65,253.65,245.00,245.30,245.30,"8,484","Aug 07, 2023"
04-08-2023,245.00,245.00,232.10,241.60,241.60,627,"Aug 04, 2023"
03-08-2023,245.00,245.00,240.00,241.00,241.00,109,"Aug 03, 2023"
02-08-2023,237.00,242.50,237.00,240.00,240.00,"5,746","Aug 02, 2023"
01-08-2023,241.00,242.00,232.15,236.30,236.30,"1,537","Aug 01, 2023"
31-07-2023,240.05,245.00,235.00,238.05,238.05,"3,383","Jul 31, 2023"
28-07-2023,250.00,250.00,235.00,240.05,240.05,"6,339","Jul 28, 2023"
27-07-2023,241.00,247.00,240.00,245.00,245.00,"1,799","Jul 27, 2023"
26-07-2023,247.45,247.45,237.50,244.10,244.10,"2,758","Jul 26, 2023"
25-07-2023,234.95,243.85,234.95,242.35,242.35,"8,072","Jul 25, 2023"
24-07-2023,245.45,245.90,231.00,232.25,232.25,"2,754","Jul 24, 2023"
21-07-2023,237.00,239.00,232.00,237.00,237.00,932,"Jul 21, 2023"
20-07-2023,240.00,242.00,233.00,239.05,239.05,"1,420","Jul 20, 2023"
19-07-2023,230.00,242.90,230.00,240.00,240.00,"1,776","Jul 19, 2023"
18-07-2023,246.90,246.90,232.00,237.55,237.55,"2,298","Jul 18, 2023"
17-07-2023,246.75,246.75,239.00,239.00,239.00,"2,953","Jul 17, 2023"
14-07-2023,250.00,250.00,233.00,240.35,240.35,"1,968","Jul 14, 2023"
13-07-2023,249.00,249.00,239.00,240.60,240.60,"2,801","Jul 13, 2023"
12-07-2023,254.90,254.90,245.75,251.20,251.20,736,"Jul 12, 2023"
11-07-2023,237.00,253.00,235.00,249.55,249.55,"2,052","Jul 11, 2023"
10-07-2023,248.10,248.10,240.00,243.00,243.00,"2,718","Jul 10, 2023"
07-07-2023,252.90,252.90,240.50,243.20,243.20,"6,930","Jul 07, 2023"
06-07-2023,253.00,253.10,245.00,253.00,253.00,"1,471","Jul 06, 2023"
05-07-2023,247.25,254.00,245.00,253.00,253.00,"1,241","Jul 05, 2023"
04-07-2023,241.10,255.50,231.35,247.25,247.25,"10,545","Jul 04, 2023"
03-07-2023,256.30,256.30,243.50,243.50,243.50,"7,268","Jul 03, 2023"
30-06-2023,261.05,264.95,256.05,256.30,256.30,"3,393","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,259.65,263.00,253.10,259.70,259.70,"4,348","Jun 27, 2023"
26-06-2023,261.00,261.00,250.05,253.20,253.20,"6,746","Jun 26, 2023"
23-06-2023,269.70,270.00,256.10,258.85,258.85,"4,451","Jun 23, 2023"
22-06-2023,275.75,275.75,261.40,264.90,264.90,"6,068","Jun 22, 2023"
21-06-2023,281.95,282.00,263.25,265.05,265.05,"7,037","Jun 21, 2023"
20-06-2023,282.95,284.90,277.00,281.55,281.55,"2,205","Jun 20, 2023"
19-06-2023,297.45,300.00,272.00,276.90,276.90,"9,206","Jun 19, 2023"
16-06-2023,301.05,302.55,292.10,297.45,297.45,"8,894","Jun 16, 2023"
15-06-2023,310.00,311.00,292.00,301.15,301.15,"32,345","Jun 15, 2023"
14-06-2023,295.00,301.85,288.00,301.85,301.85,"16,427","Jun 14, 2023"
13-06-2023,253.10,274.45,248.05,274.45,274.45,"32,802","Jun 13, 2023"
12-06-2023,252.55,260.00,247.00,249.50,249.50,"9,176","Jun 12, 2023"
09-06-2023,269.00,275.00,255.60,257.50,257.50,"4,342","Jun 09, 2023"
08-06-2023,261.40,265.05,242.40,255.45,255.45,"3,749","Jun 08, 2023"
