date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,413.00","1,422.50","1,411.40","1,420.10","1,420.10","4,306,563","Aug 25, 2023"
24-08-2023,"1,421.50","1,425.05","1,414.45","1,423.60","1,423.60","5,171,963","Aug 24, 2023"
23-08-2023,"1,416.00","1,416.60","1,405.65","1,407.95","1,407.95","2,559,125","Aug 23, 2023"
22-08-2023,"1,404.70","1,406.05","1,396.65","1,403.75","1,403.75","2,890,714","Aug 22, 2023"
21-08-2023,"1,389.75","1,407.00","1,387.15","1,405.40","1,405.40","3,032,722","Aug 21, 2023"
18-08-2023,"1,403.70","1,408.70","1,386.15","1,388.80","1,388.80","5,134,103","Aug 18, 2023"
17-08-2023,"1,420.00","1,420.00","1,406.00","1,411.55","1,411.55","5,618,346","Aug 17, 2023"
16-08-2023,"1,410.80","1,419.95","1,405.40","1,418.50","1,418.50","7,735,313","Aug 16, 2023"
14-08-2023,"1,371.85","1,395.00","1,365.60","1,393.55","1,393.55","4,304,135","Aug 14, 2023"
11-08-2023,"1,392.00","1,396.85","1,367.05","1,371.85","1,371.85","5,783,517","Aug 11, 2023"
10-08-2023,"1,391.60","1,395.80","1,385.60","1,389.10","1,389.10","3,873,025","Aug 10, 2023"
09-08-2023,"1,384.00","1,396.00","1,382.50","1,394.40","1,394.40","4,090,828","Aug 09, 2023"
08-08-2023,"1,392.85","1,393.55","1,384.40","1,390.20","1,390.20","4,161,877","Aug 08, 2023"
07-08-2023,"1,387.90","1,395.00","1,377.00","1,393.00","1,393.00","3,729,093","Aug 07, 2023"
04-08-2023,"1,368.90","1,385.90","1,362.00","1,378.35","1,378.35","5,712,345","Aug 04, 2023"
03-08-2023,"1,350.00","1,366.55","1,349.00","1,364.30","1,364.30","6,503,741","Aug 03, 2023"
02-08-2023,"1,369.30","1,371.95","1,348.45","1,356.85","1,356.85","7,419,145","Aug 02, 2023"
01-08-2023,"1,362.00","1,369.00","1,357.00","1,365.20","1,365.20","6,064,652","Aug 01, 2023"
31-07-2023,"1,348.75","1,357.50","1,333.25","1,355.70","1,355.70","7,902,180","Jul 31, 2023"
28-07-2023,"1,353.85","1,363.85","1,336.00","1,340.50","1,340.50","6,122,735","Jul 28, 2023"
27-07-2023,"1,358.60","1,363.80","1,347.05","1,353.15","1,353.15","9,191,861","Jul 27, 2023"
26-07-2023,"1,343.00","1,350.00","1,339.40","1,348.85","1,348.85","5,528,885","Jul 26, 2023"
25-07-2023,"1,337.00","1,342.85","1,324.25","1,334.60","1,334.60","6,801,982","Jul 25, 2023"
24-07-2023,"1,341.00","1,349.90","1,334.25","1,336.60","1,336.60","8,859,789","Jul 24, 2023"
21-07-2023,"1,320.20","1,350.00","1,305.00","1,331.60","1,331.60","45,548,305","Jul 21, 2023"
20-07-2023,"1,471.00","1,471.00","1,440.70","1,449.50","1,449.50","8,347,221","Jul 20, 2023"
19-07-2023,"1,486.00","1,498.80","1,460.70","1,474.95","1,474.95","13,687,062","Jul 19, 2023"
18-07-2023,"1,434.00","1,477.95","1,429.00","1,475.20","1,475.20","16,743,977","Jul 18, 2023"
17-07-2023,"1,425.95","1,458.95","1,414.30","1,422.95","1,422.95","11,569,884","Jul 17, 2023"
14-07-2023,"1,380.65","1,430.00","1,380.65","1,425.95","1,425.95","12,833,381","Jul 14, 2023"
13-07-2023,"1,334.90","1,376.80","1,330.85","1,365.10","1,365.10","9,977,644","Jul 13, 2023"
12-07-2023,"1,351.00","1,351.90","1,327.00","1,333.30","1,333.30","8,102,770","Jul 12, 2023"
11-07-2023,"1,333.45","1,350.90","1,327.00","1,348.60","1,348.60","6,126,128","Jul 11, 2023"
10-07-2023,"1,336.55","1,341.90","1,319.30","1,329.15","1,329.15","3,940,315","Jul 10, 2023"
07-07-2023,"1,334.00","1,345.80","1,325.35","1,330.20","1,330.20","6,295,647","Jul 07, 2023"
06-07-2023,"1,342.55","1,347.45","1,337.15","1,343.90","1,343.90","5,963,897","Jul 06, 2023"
05-07-2023,"1,357.85","1,357.95","1,341.00","1,347.30","1,347.30","5,414,936","Jul 05, 2023"
04-07-2023,"1,344.30","1,346.00","1,331.40","1,345.15","1,345.15","5,797,775","Jul 04, 2023"
03-07-2023,"1,330.00","1,346.00","1,328.45","1,333.70","1,333.70","7,732,412","Jul 03, 2023"
30-06-2023,"1,308.20","1,338.90","1,304.45","1,335.50","1,335.50","12,821,692","Jun 30, 2023"
28-06-2023,"1,279.15","1,279.15","1,279.15","1,279.15","1,279.15",-,"Jun 28, 2023"
27-06-2023,"1,280.00","1,282.00","1,274.20","1,279.15","1,279.15","3,240,024","Jun 27, 2023"
26-06-2023,"1,270.25","1,274.00","1,262.25","1,270.35","1,270.35","3,403,244","Jun 26, 2023"
23-06-2023,"1,276.45","1,279.35","1,263.35","1,265.00","1,265.00","7,239,467","Jun 23, 2023"
22-06-2023,"1,289.40","1,289.40","1,273.50","1,281.55","1,281.55","6,676,607","Jun 22, 2023"
21-06-2023,"1,299.95","1,303.80","1,295.00","1,299.35","1,299.35","4,041,529","Jun 21, 2023"
20-06-2023,"1,294.00","1,305.00","1,291.10","1,303.40","1,303.40","4,009,180","Jun 20, 2023"
19-06-2023,"1,294.00","1,299.50","1,287.05","1,294.00","1,294.00","4,451,787","Jun 19, 2023"
16-06-2023,"1,287.00","1,301.50","1,281.05","1,291.65","1,291.65","8,536,287","Jun 16, 2023"
15-06-2023,"1,293.95","1,293.95","1,282.65","1,286.80","1,286.80","6,161,155","Jun 15, 2023"
14-06-2023,"1,306.35","1,306.70","1,293.20","1,300.40","1,300.40","3,457,981","Jun 14, 2023"
13-06-2023,"1,299.90","1,306.50","1,297.05","1,304.85","1,304.85","4,846,587","Jun 13, 2023"
12-06-2023,"1,273.50","1,295.70","1,273.00","1,291.95","1,291.95","4,785,588","Jun 12, 2023"
09-06-2023,"1,282.50","1,282.50","1,264.00","1,265.95","1,265.95","5,339,073","Jun 09, 2023"
08-06-2023,"1,286.20","1,292.00","1,281.10","1,282.80","1,282.80","5,034,942","Jun 08, 2023"
07-06-2023,"1,290.50","1,294.00","1,282.50","1,288.95","1,288.95","5,397,578","Jun 07, 2023"
06-06-2023,"1,288.60","1,288.60","1,273.00","1,279.00","1,279.00","10,008,100","Jun 06, 2023"
05-06-2023,"1,304.00","1,309.45","1,297.30","1,304.50","1,304.50","5,002,553","Jun 05, 2023"
02-06-2023,"1,309.00","1,312.90","1,296.05","1,299.00","1,299.00","10,909,311","Jun 02, 2023"
02-06-2023,17.5 Dividend,,,,,,"Jun 02, 2023"
01-06-2023,"1,322.55","1,329.50","1,318.10","1,319.50","1,302.00","4,277,841","Jun 01, 2023"
01-06-2023,17.5 Dividend,,,,,,"Jun 01, 2023"
31-05-2023,"1,319.85","1,331.10","1,314.15","1,318.30","1,283.55","17,800,782","May 31, 2023"
30-05-2023,"1,315.00","1,326.40","1,309.15","1,323.85","1,288.95","6,274,719","May 30, 2023"
29-05-2023,"1,332.70","1,332.70","1,309.85","1,314.40","1,279.75","4,419,365","May 29, 2023"
26-05-2023,"1,306.00","1,323.45","1,306.00","1,317.45","1,282.72","5,521,606","May 26, 2023"
25-05-2023,"1,294.50","1,307.00","1,289.25","1,304.35","1,269.97","4,334,121","May 25, 2023"
24-05-2023,"1,296.30","1,305.00","1,291.30","1,298.65","1,264.42","4,824,077","May 24, 2023"
23-05-2023,"1,299.20","1,314.15","1,297.05","1,300.05","1,265.78","7,436,031","May 23, 2023"
22-05-2023,"1,272.95","1,295.60","1,270.25","1,292.80","1,258.72","7,625,947","May 22, 2023"
19-05-2023,"1,256.05","1,273.30","1,252.80","1,268.90","1,235.45","11,094,136","May 19, 2023"
