date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,691.00,700.00,685.10,692.20,692.20,"221,729","Aug 25, 2023"
24-08-2023,699.80,719.00,689.00,692.20,692.20,"686,052","Aug 24, 2023"
23-08-2023,687.95,713.00,687.95,695.90,695.90,"590,836","Aug 23, 2023"
22-08-2023,692.40,700.00,683.50,686.45,686.45,"213,847","Aug 22, 2023"
21-08-2023,685.00,695.00,678.00,689.90,689.90,"259,253","Aug 21, 2023"
18-08-2023,702.65,702.65,670.70,678.50,678.50,"517,812","Aug 18, 2023"
17-08-2023,715.00,719.90,700.10,702.65,702.65,"286,204","Aug 17, 2023"
16-08-2023,705.00,731.00,696.65,715.00,715.00,"874,066","Aug 16, 2023"
14-08-2023,693.90,707.95,675.50,704.40,704.40,"612,450","Aug 14, 2023"
11-08-2023,690.60,708.25,689.00,694.10,694.10,"601,417","Aug 11, 2023"
10-08-2023,687.95,697.00,679.65,687.85,687.85,"282,380","Aug 10, 2023"
09-08-2023,674.95,693.90,668.55,687.95,687.95,"524,147","Aug 09, 2023"
08-08-2023,703.25,706.95,670.00,675.50,675.50,"635,050","Aug 08, 2023"
07-08-2023,696.75,709.95,692.45,699.65,699.65,"1,091,816","Aug 07, 2023"
04-08-2023,669.00,715.50,668.85,691.95,691.95,"4,303,002","Aug 04, 2023"
03-08-2023,665.00,674.20,659.20,663.70,663.70,"571,711","Aug 03, 2023"
02-08-2023,665.50,679.40,656.00,661.20,661.20,"831,832","Aug 02, 2023"
01-08-2023,668.50,688.95,665.00,667.50,667.50,"1,438,142","Aug 01, 2023"
31-07-2023,687.00,693.75,651.50,674.65,674.65,"6,801,551","Jul 31, 2023"
28-07-2023,604.50,692.60,599.10,690.90,690.90,"16,495,461","Jul 28, 2023"
27-07-2023,604.70,608.70,572.00,577.20,577.20,"1,329,320","Jul 27, 2023"
26-07-2023,619.05,622.90,592.30,599.95,599.95,"1,222,884","Jul 26, 2023"
25-07-2023,630.60,634.70,615.00,618.85,618.85,"771,621","Jul 25, 2023"
24-07-2023,632.20,644.80,626.50,630.60,630.60,"895,494","Jul 24, 2023"
21-07-2023,630.00,634.95,620.00,632.20,632.20,"374,409","Jul 21, 2023"
21-07-2023,2.5 Dividend,,,,,,"Jul 21, 2023"
20-07-2023,641.20,644.00,634.35,635.75,633.25,"277,956","Jul 20, 2023"
19-07-2023,640.00,648.40,635.00,637.80,635.29,"484,681","Jul 19, 2023"
18-07-2023,641.00,649.05,635.60,639.60,637.08,"472,836","Jul 18, 2023"
17-07-2023,645.00,653.95,632.25,638.55,636.04,"1,488,628","Jul 17, 2023"
14-07-2023,608.05,644.50,608.05,640.85,638.33,"2,511,476","Jul 14, 2023"
13-07-2023,599.90,618.00,599.30,605.90,603.52,"1,044,242","Jul 13, 2023"
12-07-2023,599.90,604.45,594.10,597.50,595.15,"355,773","Jul 12, 2023"
11-07-2023,582.00,602.35,582.00,597.85,595.50,"1,148,516","Jul 11, 2023"
10-07-2023,605.00,611.90,583.20,588.85,586.53,"760,149","Jul 10, 2023"
07-07-2023,615.00,615.00,575.00,601.80,599.43,"5,481,141","Jul 07, 2023"
06-07-2023,607.80,625.00,607.10,623.55,621.10,"801,446","Jul 06, 2023"
05-07-2023,613.30,621.35,604.85,607.80,605.41,"261,918","Jul 05, 2023"
04-07-2023,621.00,625.95,608.15,610.10,607.70,"356,393","Jul 04, 2023"
03-07-2023,631.75,633.20,615.15,621.35,618.91,"719,026","Jul 03, 2023"
30-06-2023,621.60,638.80,621.60,628.60,626.13,"820,751","Jun 30, 2023"
28-06-2023,612.20,612.20,612.20,612.20,609.79,-,"Jun 28, 2023"
27-06-2023,610.25,617.55,607.55,612.20,609.79,"463,619","Jun 27, 2023"
26-06-2023,595.00,612.80,594.10,609.70,607.30,"538,020","Jun 26, 2023"
23-06-2023,597.00,602.25,591.30,596.45,594.10,"338,024","Jun 23, 2023"
22-06-2023,620.00,620.00,598.00,599.10,596.74,"477,746","Jun 22, 2023"
21-06-2023,614.05,626.45,613.75,618.55,616.12,"681,886","Jun 21, 2023"
20-06-2023,615.00,624.50,612.30,614.10,611.69,"524,866","Jun 20, 2023"
19-06-2023,607.05,619.95,607.00,615.95,613.53,"608,662","Jun 19, 2023"
16-06-2023,605.00,613.25,601.30,608.45,606.06,"307,799","Jun 16, 2023"
15-06-2023,613.80,614.60,600.15,604.75,602.37,"348,202","Jun 15, 2023"
14-06-2023,610.00,616.60,601.50,613.80,611.39,"863,190","Jun 14, 2023"
