date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,450.90,451.00,442.05,443.35,443.35,"9,266,437","Aug 25, 2023"
24-08-2023,450.60,453.50,449.30,450.90,450.90,"6,088,274","Aug 24, 2023"
23-08-2023,455.60,455.65,448.60,450.45,450.45,"8,445,029","Aug 23, 2023"
22-08-2023,449.00,455.15,447.00,454.25,454.25,"9,854,945","Aug 22, 2023"
21-08-2023,442.00,448.50,441.35,447.80,447.80,"9,572,041","Aug 21, 2023"
18-08-2023,441.00,443.35,438.50,441.65,441.65,"19,324,262","Aug 18, 2023"
17-08-2023,450.00,450.00,440.00,441.00,441.00,"16,269,569","Aug 17, 2023"
16-08-2023,451.00,457.40,448.20,450.25,450.25,"14,920,272","Aug 16, 2023"
14-08-2023,448.75,451.25,445.05,449.20,449.20,"7,562,808","Aug 14, 2023"
11-08-2023,453.90,453.90,444.75,448.75,448.75,"11,582,326","Aug 11, 2023"
10-08-2023,458.90,459.30,449.00,451.75,451.75,"13,194,170","Aug 10, 2023"
09-08-2023,452.35,459.90,446.90,458.65,458.65,"9,758,343","Aug 09, 2023"
08-08-2023,457.00,457.00,451.05,452.35,452.35,"6,392,488","Aug 08, 2023"
07-08-2023,454.10,456.55,450.95,454.90,454.90,"9,161,131","Aug 07, 2023"
04-08-2023,456.30,461.40,454.25,454.95,454.95,"6,834,401","Aug 04, 2023"
03-08-2023,460.10,463.75,454.30,456.05,456.05,"10,617,897","Aug 03, 2023"
02-08-2023,464.60,464.80,458.00,460.10,460.10,"10,318,220","Aug 02, 2023"
01-08-2023,466.00,468.85,463.80,464.80,464.80,"6,438,221","Aug 01, 2023"
31-07-2023,469.00,469.70,463.50,465.70,465.70,"8,194,797","Jul 31, 2023"
28-07-2023,467.70,469.45,463.40,468.45,468.45,"9,978,231","Jul 28, 2023"
27-07-2023,474.40,475.15,461.10,465.05,465.05,"13,989,457","Jul 27, 2023"
26-07-2023,464.90,473.00,462.05,472.25,472.25,"18,143,422","Jul 26, 2023"
25-07-2023,467.90,468.50,455.40,462.30,462.30,"43,534,718","Jul 25, 2023"
24-07-2023,493.45,499.70,468.15,471.35,471.35,"38,976,815","Jul 24, 2023"
21-07-2023,491.80,497.70,487.00,490.45,490.45,"13,971,982","Jul 21, 2023"
20-07-2023,479.90,493.70,476.30,492.15,492.15,"20,250,206","Jul 20, 2023"
19-07-2023,472.75,480.45,468.10,478.85,478.85,"13,867,323","Jul 19, 2023"
18-07-2023,472.55,474.20,471.00,472.50,472.50,"5,352,283","Jul 18, 2023"
17-07-2023,474.50,475.80,470.60,472.35,472.35,"6,090,738","Jul 17, 2023"
14-07-2023,473.00,475.00,471.35,472.90,472.90,"5,081,391","Jul 14, 2023"
13-07-2023,473.90,476.75,471.00,472.00,472.00,"7,909,757","Jul 13, 2023"
12-07-2023,477.75,477.75,470.45,472.30,472.30,"12,340,934","Jul 12, 2023"
11-07-2023,466.00,474.55,466.00,473.15,473.15,"8,457,557","Jul 11, 2023"
10-07-2023,470.00,470.90,463.70,465.85,465.85,"6,521,300","Jul 10, 2023"
07-07-2023,473.00,475.50,467.60,468.40,468.40,"7,323,451","Jul 07, 2023"
06-07-2023,477.35,477.40,470.50,473.90,473.90,"9,471,054","Jul 06, 2023"
05-07-2023,466.35,480.65,464.30,475.10,475.10,"16,252,992","Jul 05, 2023"
04-07-2023,465.00,468.00,459.80,466.35,466.35,"7,725,081","Jul 04, 2023"
03-07-2023,451.60,465.95,450.05,463.25,463.25,"10,699,143","Jul 03, 2023"
30-06-2023,450.00,451.95,446.60,451.60,451.60,"9,106,074","Jun 30, 2023"
28-06-2023,445.10,445.10,445.10,445.10,445.10,-,"Jun 28, 2023"
27-06-2023,446.10,447.20,443.15,445.10,445.10,"4,865,596","Jun 27, 2023"
26-06-2023,446.90,451.40,444.00,445.70,445.70,"5,477,339","Jun 26, 2023"
23-06-2023,447.50,447.65,442.70,444.75,444.75,"6,090,901","Jun 23, 2023"
22-06-2023,448.00,449.65,445.85,447.65,447.65,"6,637,099","Jun 22, 2023"
21-06-2023,452.00,454.20,445.05,447.05,447.05,"6,059,504","Jun 21, 2023"
20-06-2023,454.80,454.80,450.15,452.85,452.85,"4,472,119","Jun 20, 2023"
19-06-2023,454.75,455.90,452.25,453.60,453.60,"4,189,180","Jun 19, 2023"
16-06-2023,449.00,455.60,447.90,453.10,453.10,"11,729,681","Jun 16, 2023"
15-06-2023,445.00,448.75,444.75,448.10,448.10,"7,498,727","Jun 15, 2023"
14-06-2023,446.25,447.75,443.75,444.50,444.50,"8,704,178","Jun 14, 2023"
13-06-2023,441.00,446.40,438.30,445.40,445.40,"16,111,860","Jun 13, 2023"
12-06-2023,440.00,440.95,433.85,436.95,436.95,"8,719,176","Jun 12, 2023"
09-06-2023,435.15,444.70,435.15,438.45,438.45,"7,057,843","Jun 09, 2023"
08-06-2023,445.70,445.75,441.90,442.90,442.90,"7,024,424","Jun 08, 2023"
07-06-2023,444.00,445.65,442.75,443.95,443.95,"7,543,432","Jun 07, 2023"
06-06-2023,440.80,443.60,440.40,442.80,442.80,"6,454,486","Jun 06, 2023"
05-06-2023,445.00,446.85,440.10,440.65,440.65,"7,152,179","Jun 05, 2023"
02-06-2023,440.00,444.90,439.80,443.40,443.40,"9,203,842","Jun 02, 2023"
01-06-2023,447.00,447.00,439.00,439.70,439.70,"8,803,137","Jun 01, 2023"
31-05-2023,449.30,452.00,442.45,445.50,445.50,"14,272,292","May 31, 2023"
30-05-2023,441.00,451.45,441.00,449.90,449.90,"18,900,002","May 30, 2023"
30-05-2023,2.75 Dividend,,,,,,"May 30, 2023"
29-05-2023,445.00,451.80,444.10,449.10,446.35,"19,826,254","May 29, 2023"
26-05-2023,443.40,444.75,439.50,443.60,440.88,"12,995,706","May 26, 2023"
25-05-2023,436.95,442.45,434.80,441.15,438.45,"18,204,464","May 25, 2023"
24-05-2023,428.30,434.75,427.00,433.50,430.85,"11,479,706","May 24, 2023"
23-05-2023,426.00,431.20,424.20,429.15,426.52,"8,732,608","May 23, 2023"
22-05-2023,421.95,425.75,419.10,424.75,422.15,"15,421,680","May 22, 2023"
19-05-2023,420.95,423.10,411.35,419.85,417.28,"25,767,521","May 19, 2023"
18-05-2023,430.00,432.45,418.10,419.70,417.13,"23,995,166","May 18, 2023"
17-05-2023,424.15,428.95,422.60,427.60,424.98,"9,479,691","May 17, 2023"
16-05-2023,430.00,430.00,423.50,423.95,421.35,"7,994,197","May 16, 2023"
15-05-2023,420.00,428.70,419.05,427.80,425.18,"9,151,102","May 15, 2023"
12-05-2023,420.40,422.70,416.05,420.45,417.88,"11,135,894","May 12, 2023"
11-05-2023,427.25,427.40,418.90,420.40,417.83,"15,982,423","May 11, 2023"
10-05-2023,423.95,426.35,422.20,425.35,422.75,"9,754,485","May 10, 2023"
09-05-2023,432.80,433.15,421.50,423.80,421.20,"9,992,962","May 09, 2023"
08-05-2023,431.00,433.45,429.35,431.45,428.81,"7,243,636","May 08, 2023"
05-05-2023,425.95,431.90,424.35,428.75,426.12,"12,412,416","May 05, 2023"
04-05-2023,425.30,427.00,424.00,424.60,422.00,"7,984,933","May 04, 2023"
03-05-2023,424.00,428.50,422.05,427.15,424.53,"7,325,483","May 03, 2023"
