date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,390.85,395.25,385.10,387.35,387.35,"66,964","Aug 25, 2023"
24-08-2023,389.00,400.40,382.60,388.90,388.90,"171,448","Aug 24, 2023"
23-08-2023,393.15,404.70,381.10,383.95,383.95,"302,642","Aug 23, 2023"
22-08-2023,367.50,390.00,366.10,386.55,386.55,"206,010","Aug 22, 2023"
21-08-2023,371.70,375.05,363.00,364.75,364.75,"38,998","Aug 21, 2023"
18-08-2023,370.00,377.65,366.05,370.00,370.00,"50,836","Aug 18, 2023"
17-08-2023,362.50,372.90,361.95,371.80,371.80,"73,847","Aug 17, 2023"
16-08-2023,368.00,373.10,358.65,360.40,360.40,"60,358","Aug 16, 2023"
14-08-2023,364.90,371.70,361.35,367.50,367.50,"49,231","Aug 14, 2023"
11-08-2023,378.20,380.70,358.85,363.20,363.20,"109,525","Aug 11, 2023"
10-08-2023,375.30,388.00,375.30,378.25,378.25,"81,596","Aug 10, 2023"
09-08-2023,382.80,382.95,371.25,377.40,377.40,"80,084","Aug 09, 2023"
08-08-2023,379.00,393.90,368.00,377.15,377.15,"233,695","Aug 08, 2023"
07-08-2023,370.95,379.05,369.05,374.15,374.15,"297,436","Aug 07, 2023"
04-08-2023,357.80,363.60,354.85,361.90,361.90,"71,220","Aug 04, 2023"
03-08-2023,353.90,362.00,353.85,356.05,356.05,"49,755","Aug 03, 2023"
02-08-2023,351.00,368.90,348.15,353.90,353.90,"218,009","Aug 02, 2023"
01-08-2023,353.00,354.95,348.10,350.05,350.05,"35,461","Aug 01, 2023"
31-07-2023,354.95,355.40,346.25,350.75,350.75,"58,096","Jul 31, 2023"
28-07-2023,358.05,359.20,346.95,351.80,351.80,"65,932","Jul 28, 2023"
27-07-2023,337.20,362.50,332.85,357.65,357.65,"477,159","Jul 27, 2023"
26-07-2023,333.50,336.45,331.00,333.90,333.90,"26,375","Jul 26, 2023"
25-07-2023,330.00,334.00,329.05,331.40,331.40,"19,132","Jul 25, 2023"
24-07-2023,333.90,334.00,329.30,330.50,330.50,"12,872","Jul 24, 2023"
21-07-2023,333.00,333.00,330.05,331.10,331.10,"10,716","Jul 21, 2023"
20-07-2023,334.00,335.50,331.00,332.45,332.45,"18,616","Jul 20, 2023"
19-07-2023,332.90,336.50,328.95,332.65,332.65,"22,692","Jul 19, 2023"
18-07-2023,336.40,337.00,330.55,332.90,332.90,"18,353","Jul 18, 2023"
17-07-2023,331.00,337.65,328.95,333.70,333.70,"44,865","Jul 17, 2023"
14-07-2023,330.20,331.05,327.20,328.30,328.30,"12,485","Jul 14, 2023"
13-07-2023,331.90,338.00,327.00,327.85,327.85,"39,676","Jul 13, 2023"
12-07-2023,332.90,335.50,328.65,329.60,329.60,"25,303","Jul 12, 2023"
11-07-2023,332.00,332.95,328.00,329.55,329.55,"14,845","Jul 11, 2023"
10-07-2023,334.30,334.30,327.40,327.90,327.90,"13,970","Jul 10, 2023"
07-07-2023,332.75,334.40,325.95,331.80,331.80,"20,704","Jul 07, 2023"
06-07-2023,333.00,344.00,329.95,332.75,332.75,"34,870","Jul 06, 2023"
05-07-2023,330.00,337.60,325.40,331.50,331.50,"45,104","Jul 05, 2023"
04-07-2023,333.70,336.05,327.10,328.15,328.15,"29,250","Jul 04, 2023"
03-07-2023,324.60,343.80,324.60,331.40,331.40,"80,031","Jul 03, 2023"
30-06-2023,326.50,329.40,323.10,324.60,324.60,"15,610","Jun 30, 2023"
28-06-2023,326.60,326.60,326.60,326.60,326.60,-,"Jun 28, 2023"
27-06-2023,330.90,330.90,315.00,326.60,326.60,"22,056","Jun 27, 2023"
26-06-2023,329.90,329.90,324.45,328.70,328.70,"19,178","Jun 26, 2023"
23-06-2023,332.85,332.85,323.50,324.90,324.90,"31,141","Jun 23, 2023"
22-06-2023,335.85,337.75,329.20,330.25,330.25,"21,294","Jun 22, 2023"
21-06-2023,329.90,339.30,327.00,333.90,333.90,"76,391","Jun 21, 2023"
20-06-2023,327.40,327.90,324.00,327.10,327.10,"12,867","Jun 20, 2023"
19-06-2023,327.30,330.90,325.00,325.80,325.80,"20,522","Jun 19, 2023"
16-06-2023,325.85,326.90,324.00,325.45,325.45,"14,046","Jun 16, 2023"
15-06-2023,327.45,328.70,323.10,323.50,323.50,"27,400","Jun 15, 2023"
14-06-2023,330.85,332.85,324.00,325.15,325.15,"36,564","Jun 14, 2023"
13-06-2023,329.85,333.50,327.00,328.60,328.60,"19,453","Jun 13, 2023"
12-06-2023,329.30,333.40,326.00,327.50,327.50,"23,496","Jun 12, 2023"
09-06-2023,335.00,337.00,323.70,326.65,326.65,"38,053","Jun 09, 2023"
08-06-2023,334.50,347.65,329.00,331.80,331.80,"66,560","Jun 08, 2023"
07-06-2023,331.40,343.00,328.55,336.60,336.60,"69,987","Jun 07, 2023"
06-06-2023,330.00,335.00,327.75,328.50,328.50,"32,492","Jun 06, 2023"
05-06-2023,328.35,330.95,325.80,328.40,328.40,"20,980","Jun 05, 2023"
02-06-2023,329.00,329.00,324.05,325.20,325.20,"15,012","Jun 02, 2023"
01-06-2023,324.70,328.00,323.20,326.80,326.80,"17,488","Jun 01, 2023"
31-05-2023,324.25,326.00,320.00,321.90,321.90,"20,848","May 31, 2023"
30-05-2023,327.70,336.00,325.00,325.60,325.60,"19,500","May 30, 2023"
29-05-2023,330.00,330.00,324.05,325.65,325.65,"15,808","May 29, 2023"
26-05-2023,325.10,332.25,325.10,326.80,326.80,"40,731","May 26, 2023"
25-05-2023,329.60,338.60,323.60,325.05,325.05,"235,711","May 25, 2023"
24-05-2023,334.50,344.00,321.00,323.05,323.05,"130,197","May 24, 2023"
23-05-2023,338.80,342.40,331.60,333.75,333.75,"35,783","May 23, 2023"
22-05-2023,328.30,339.80,322.90,337.10,337.10,"112,235","May 22, 2023"
19-05-2023,333.75,333.75,321.95,324.65,324.65,"23,216","May 19, 2023"
18-05-2023,334.00,337.00,327.00,328.55,328.55,"46,831","May 18, 2023"
17-05-2023,325.80,337.45,325.80,330.75,330.75,"83,413","May 17, 2023"
16-05-2023,324.85,331.95,321.50,327.80,327.80,"46,140","May 16, 2023"
15-05-2023,324.00,324.95,316.35,318.75,318.75,"18,902","May 15, 2023"
12-05-2023,325.10,326.00,320.20,322.45,322.45,"17,352","May 12, 2023"
11-05-2023,319.65,327.90,319.00,323.60,323.60,"39,764","May 11, 2023"
10-05-2023,319.40,321.20,315.80,318.90,318.90,"19,951","May 10, 2023"
09-05-2023,318.25,324.45,316.00,317.35,317.35,"25,797","May 09, 2023"
08-05-2023,318.70,323.60,316.40,321.00,321.00,"20,089","May 08, 2023"
05-05-2023,324.60,324.60,315.10,316.40,316.40,"26,868","May 05, 2023"
04-05-2023,321.70,326.50,317.25,322.65,322.65,"38,622","May 04, 2023"
03-05-2023,318.00,325.00,316.00,319.60,319.60,"65,532","May 03, 2023"
02-05-2023,312.05,320.00,311.00,316.50,316.50,"42,582","May 02, 2023"
28-04-2023,313.00,316.90,308.60,309.75,309.75,"73,253","Apr 28, 2023"
27-04-2023,311.70,316.70,309.00,310.25,310.25,"77,408","Apr 27, 2023"
26-04-2023,313.45,322.90,309.00,309.75,309.75,"84,380","Apr 26, 2023"
25-04-2023,312.35,312.35,307.05,308.80,308.80,"13,869","Apr 25, 2023"
24-04-2023,312.80,318.20,306.10,307.75,307.75,"34,420","Apr 24, 2023"
21-04-2023,312.70,335.60,304.00,310.60,310.60,"126,061","Apr 21, 2023"
20-04-2023,313.50,314.85,310.05,310.70,310.70,"39,272","Apr 20, 2023"
19-04-2023,315.75,318.25,311.10,312.50,312.50,"15,856","Apr 19, 2023"
18-04-2023,316.35,318.95,311.10,315.15,315.15,"15,174","Apr 18, 2023"
17-04-2023,315.60,332.00,313.00,313.90,313.90,"62,582","Apr 17, 2023"
13-04-2023,322.55,322.55,314.05,317.45,317.45,"15,761","Apr 13, 2023"
12-04-2023,323.65,328.95,320.70,322.15,322.15,"33,654","Apr 12, 2023"
11-04-2023,312.40,324.75,309.00,322.55,322.55,"36,968","Apr 11, 2023"
10-04-2023,314.00,316.00,306.50,309.70,309.70,"25,150","Apr 10, 2023"
06-04-2023,307.40,311.95,304.50,310.25,310.25,"20,881","Apr 06, 2023"
05-04-2023,301.00,304.90,298.20,303.70,303.70,"11,489","Apr 05, 2023"
03-04-2023,301.00,301.00,296.30,298.60,298.60,"6,398","Apr 03, 2023"
31-03-2023,297.00,299.15,293.50,295.20,295.20,"31,448","Mar 31, 2023"
29-03-2023,288.75,292.85,282.15,290.00,290.00,"34,264","Mar 29, 2023"
28-03-2023,277.00,284.90,277.00,282.25,282.25,"63,752","Mar 28, 2023"
27-03-2023,287.15,287.15,276.00,277.30,277.30,"17,264","Mar 27, 2023"
24-03-2023,295.90,295.90,283.05,285.50,285.50,"23,139","Mar 24, 2023"
23-03-2023,297.10,299.95,293.95,294.35,294.35,"15,419","Mar 23, 2023"
22-03-2023,296.85,302.95,295.55,296.90,296.90,"13,736","Mar 22, 2023"
21-03-2023,299.95,301.30,292.25,295.00,295.00,"13,508","Mar 21, 2023"
20-03-2023,301.25,305.60,295.20,299.35,299.35,"9,260","Mar 20, 2023"
17-03-2023,304.25,304.25,296.55,299.50,299.50,"27,089","Mar 17, 2023"
16-03-2023,298.75,299.55,293.95,296.90,296.90,"38,341","Mar 16, 2023"
15-03-2023,309.00,309.95,298.35,299.60,299.60,"17,186","Mar 15, 2023"
14-03-2023,311.20,312.80,304.00,305.40,305.40,"20,881","Mar 14, 2023"
13-03-2023,324.00,324.00,310.00,311.15,311.15,"17,866","Mar 13, 2023"
10-03-2023,319.70,324.45,317.35,320.90,320.90,"22,742","Mar 10, 2023"
09-03-2023,323.60,326.45,319.75,320.45,320.45,"17,530","Mar 09, 2023"
08-03-2023,326.00,329.50,321.90,323.10,323.10,"24,086","Mar 08, 2023"
06-03-2023,323.70,328.95,319.05,323.75,323.75,"20,809","Mar 06, 2023"
03-03-2023,324.40,327.45,315.55,320.75,320.75,"29,156","Mar 03, 2023"
02-03-2023,323.70,324.10,319.70,321.00,321.00,"7,961","Mar 02, 2023"
01-03-2023,317.00,327.65,317.00,322.75,322.75,"26,548","Mar 01, 2023"
28-02-2023,318.60,321.15,315.60,316.35,316.35,"9,151","Feb 28, 2023"
27-02-2023,322.65,322.65,313.30,317.25,317.25,"9,680","Feb 27, 2023"
24-02-2023,322.50,325.55,320.75,322.40,322.40,"7,672","Feb 24, 2023"
23-02-2023,324.80,326.65,316.30,320.55,320.55,"22,600","Feb 23, 2023"
22-02-2023,330.15,330.20,322.00,323.05,323.05,"12,698","Feb 22, 2023"
21-02-2023,334.00,337.90,328.80,330.25,330.25,"18,434","Feb 21, 2023"
20-02-2023,335.90,338.95,331.55,333.00,333.00,"14,251","Feb 20, 2023"
17-02-2023,335.70,339.30,333.00,334.95,334.95,"15,447","Feb 17, 2023"
16-02-2023,340.60,341.95,335.55,336.20,336.20,"12,274","Feb 16, 2023"
15-02-2023,335.90,343.60,333.95,337.25,337.25,"12,385","Feb 15, 2023"
14-02-2023,342.70,342.70,335.05,336.00,336.00,"10,881","Feb 14, 2023"
13-02-2023,339.70,348.15,339.70,341.45,341.45,"13,692","Feb 13, 2023"
10-02-2023,340.00,342.60,336.25,338.45,338.45,"9,503","Feb 10, 2023"
09-02-2023,345.90,349.30,340.00,341.40,341.40,"11,389","Feb 09, 2023"
08-02-2023,355.95,355.95,345.00,345.85,345.85,"54,728","Feb 08, 2023"
07-02-2023,338.50,369.70,333.40,357.65,357.65,"173,003","Feb 07, 2023"
06-02-2023,333.45,337.90,330.60,334.45,334.45,"18,891","Feb 06, 2023"
03-02-2023,337.95,337.95,325.05,328.05,328.05,"13,117","Feb 03, 2023"
02-02-2023,341.00,342.95,330.00,332.40,332.40,"13,092","Feb 02, 2023"
01-02-2023,341.65,349.00,335.00,339.15,339.15,"51,695","Feb 01, 2023"
31-01-2023,339.95,343.75,335.00,337.80,337.80,"22,825","Jan 31, 2023"
30-01-2023,331.00,338.45,328.45,335.95,335.95,"15,221","Jan 30, 2023"
27-01-2023,339.80,342.20,329.05,331.65,331.65,"17,525","Jan 27, 2023"
25-01-2023,349.50,349.50,334.10,337.55,337.55,"18,967","Jan 25, 2023"
24-01-2023,348.05,351.70,348.05,349.60,349.60,"8,759","Jan 24, 2023"
23-01-2023,352.45,352.45,346.95,347.75,347.75,"6,094","Jan 23, 2023"
20-01-2023,348.50,353.65,348.00,348.40,348.40,"6,325","Jan 20, 2023"
19-01-2023,352.45,354.05,349.35,352.85,352.85,"8,077","Jan 19, 2023"
18-01-2023,347.70,355.10,346.10,352.40,352.40,"15,625","Jan 18, 2023"
17-01-2023,344.10,351.65,344.10,347.90,347.90,"18,027","Jan 17, 2023"
16-01-2023,351.70,352.10,342.50,344.85,344.85,"14,793","Jan 16, 2023"
13-01-2023,349.40,351.45,346.95,348.45,348.45,"10,529","Jan 13, 2023"
12-01-2023,349.70,352.00,345.15,347.75,347.75,"9,489","Jan 12, 2023"
11-01-2023,352.05,352.05,346.20,347.65,347.65,"9,710","Jan 11, 2023"
10-01-2023,352.00,358.60,345.20,350.95,350.95,"17,761","Jan 10, 2023"
09-01-2023,343.50,356.00,343.50,351.45,351.45,"23,136","Jan 09, 2023"
06-01-2023,350.80,353.15,344.20,345.70,345.70,"14,738","Jan 06, 2023"
05-01-2023,352.70,354.35,348.80,350.50,350.50,"10,639","Jan 05, 2023"
04-01-2023,357.45,357.45,348.50,351.30,351.30,"25,006","Jan 04, 2023"
03-01-2023,354.65,359.80,354.45,355.35,355.35,"22,816","Jan 03, 2023"
02-01-2023,356.70,361.40,351.25,354.65,354.65,"25,541","Jan 02, 2023"
30-12-2022,353.00,358.80,352.25,354.80,354.80,"28,087","Dec 30, 2022"
29-12-2022,354.70,354.70,347.00,350.30,350.30,"19,790","Dec 29, 2022"
28-12-2022,350.90,362.05,346.30,355.00,355.00,"39,655","Dec 28, 2022"
27-12-2022,357.00,363.40,349.10,350.05,350.05,"24,650","Dec 27, 2022"
26-12-2022,332.00,358.00,326.45,356.10,356.10,"54,838","Dec 26, 2022"
23-12-2022,348.00,349.50,325.35,331.10,331.10,"43,202","Dec 23, 2022"
22-12-2022,355.05,357.80,343.50,346.55,346.55,"25,204","Dec 22, 2022"
21-12-2022,368.10,372.25,352.90,355.05,355.05,"43,352","Dec 21, 2022"
20-12-2022,375.00,375.00,365.00,368.10,368.10,"27,711","Dec 20, 2022"
19-12-2022,361.80,375.40,359.05,373.70,373.70,"61,075","Dec 19, 2022"
16-12-2022,362.10,368.80,357.50,360.20,360.20,"23,668","Dec 16, 2022"
15-12-2022,372.30,375.05,363.15,365.50,365.50,"33,912","Dec 15, 2022"
14-12-2022,377.25,378.65,368.00,369.25,369.25,"27,228","Dec 14, 2022"
13-12-2022,361.00,384.50,361.00,377.25,377.25,"167,930","Dec 13, 2022"
12-12-2022,357.00,363.55,352.10,360.10,360.10,"33,376","Dec 12, 2022"
09-12-2022,363.60,365.40,349.95,356.40,356.40,"62,234","Dec 09, 2022"
08-12-2022,369.45,369.45,361.05,361.70,361.70,"36,969","Dec 08, 2022"
07-12-2022,368.80,372.70,366.00,368.10,368.10,"41,537","Dec 07, 2022"
06-12-2022,375.00,375.80,366.10,367.45,367.45,"43,184","Dec 06, 2022"
05-12-2022,379.80,381.45,371.50,373.05,373.05,"56,586","Dec 05, 2022"
02-12-2022,379.90,386.40,375.70,377.55,377.55,"110,865","Dec 02, 2022"
01-12-2022,384.90,391.90,376.55,378.40,378.40,"156,857","Dec 01, 2022"
30-11-2022,384.85,395.90,376.10,382.95,382.95,"349,778","Nov 30, 2022"
29-11-2022,380.20,425.90,380.20,384.85,384.85,"1,766,931","Nov 29, 2022"
28-11-2022,419.70,427.00,378.85,385.10,385.10,"1,163,021","Nov 28, 2022"
