date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,71.20,71.20,71.20,71.20,71.20,"9,521","Aug 25, 2023"
24-08-2023,72.65,75.00,72.65,72.65,72.65,"163,307","Aug 24, 2023"
23-08-2023,74.10,74.10,74.10,74.10,74.10,"38,858","Aug 23, 2023"
22-08-2023,72.65,72.65,72.65,72.65,72.65,"58,243","Aug 22, 2023"
21-08-2023,71.25,71.25,71.25,71.25,71.25,"38,716","Aug 21, 2023"
18-08-2023,69.90,69.90,69.90,69.90,69.90,"34,931","Aug 18, 2023"
17-08-2023,68.55,68.55,68.55,68.55,68.55,"30,560","Aug 17, 2023"
16-08-2023,67.25,67.25,67.25,67.25,67.25,"23,206","Aug 16, 2023"
14-08-2023,65.95,65.95,65.95,65.95,65.95,"82,191","Aug 14, 2023"
11-08-2023,64.70,64.70,64.70,64.70,64.70,"28,364","Aug 11, 2023"
10-08-2023,63.45,63.45,63.45,63.45,63.45,"27,825","Aug 10, 2023"
09-08-2023,62.25,62.25,62.25,62.25,62.25,"36,568","Aug 09, 2023"
08-08-2023,61.05,61.05,60.95,61.05,61.05,"115,634","Aug 08, 2023"
07-08-2023,59.90,59.90,59.85,59.90,59.90,"148,101","Aug 07, 2023"
04-08-2023,58.75,58.75,58.75,58.75,58.75,"82,183","Aug 04, 2023"
03-08-2023,57.60,57.60,56.50,57.60,57.60,"164,510","Aug 03, 2023"
02-08-2023,56.50,56.50,56.50,56.50,56.50,"59,823","Aug 02, 2023"
01-08-2023,53.85,53.85,53.85,53.85,53.85,"32,416","Aug 01, 2023"
31-07-2023,51.30,51.30,50.00,51.30,51.30,"90,193","Jul 31, 2023"
28-07-2023,47.40,48.90,47.00,48.90,48.90,"81,432","Jul 28, 2023"
27-07-2023,44.60,46.60,44.40,46.60,46.60,"246,682","Jul 27, 2023"
26-07-2023,44.40,44.40,44.40,44.40,44.40,"36,776","Jul 26, 2023"
25-07-2023,42.30,42.30,42.30,42.30,42.30,"42,865","Jul 25, 2023"
24-07-2023,40.30,40.30,40.00,40.30,40.30,"81,530","Jul 24, 2023"
21-07-2023,37.00,39.00,35.75,38.40,38.40,"122,837","Jul 21, 2023"
20-07-2023,39.00,39.00,36.95,37.15,37.15,"117,319","Jul 20, 2023"
19-07-2023,40.00,40.50,38.55,38.65,38.65,"84,576","Jul 19, 2023"
18-07-2023,42.00,42.00,40.00,40.50,40.50,"88,758","Jul 18, 2023"
17-07-2023,43.05,43.50,41.55,42.10,42.10,"101,071","Jul 17, 2023"
14-07-2023,44.05,44.45,43.50,43.70,43.70,"39,406","Jul 14, 2023"
13-07-2023,44.45,44.50,43.00,43.90,43.90,"66,350","Jul 13, 2023"
12-07-2023,44.10,44.95,43.45,43.90,43.90,"66,557","Jul 12, 2023"
11-07-2023,45.05,45.50,44.75,44.95,44.95,"58,447","Jul 11, 2023"
10-07-2023,46.85,47.55,46.05,46.30,46.30,"39,527","Jul 10, 2023"
07-07-2023,44.85,46.90,44.75,46.75,46.75,"50,682","Jul 07, 2023"
06-07-2023,45.20,45.55,44.50,45.25,45.25,"60,791","Jul 06, 2023"
05-07-2023,46.70,46.70,44.50,45.85,45.85,"71,835","Jul 05, 2023"
04-07-2023,47.50,47.80,46.00,46.35,46.35,"70,949","Jul 04, 2023"
03-07-2023,48.05,48.50,46.70,47.20,47.20,"57,445","Jul 03, 2023"
30-06-2023,48.90,48.95,48.00,48.15,48.15,"51,449","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,48.05,50.40,48.05,49.25,49.25,"34,914","Jun 27, 2023"
26-06-2023,50.45,50.45,49.00,49.75,49.75,"21,179","Jun 26, 2023"
23-06-2023,50.50,50.70,50.00,50.10,50.10,"15,738","Jun 23, 2023"
22-06-2023,50.70,51.10,50.05,50.50,50.50,"40,493","Jun 22, 2023"
21-06-2023,50.45,50.75,50.00,50.70,50.70,"21,876","Jun 21, 2023"
20-06-2023,50.75,50.95,50.00,50.05,50.05,"16,277","Jun 20, 2023"
19-06-2023,49.15,50.75,49.15,49.95,49.95,"31,826","Jun 19, 2023"
16-06-2023,50.50,50.50,48.10,50.20,50.20,"56,535","Jun 16, 2023"
15-06-2023,50.00,50.55,50.00,50.50,50.50,"18,715","Jun 15, 2023"
14-06-2023,50.70,51.35,50.00,50.55,50.55,"26,375","Jun 14, 2023"
13-06-2023,50.25,51.40,49.20,50.70,50.70,"36,545","Jun 13, 2023"
12-06-2023,51.55,52.00,51.30,51.55,51.55,"22,758","Jun 12, 2023"
09-06-2023,51.50,52.25,51.20,51.55,51.55,"14,322","Jun 09, 2023"
08-06-2023,51.30,51.90,51.30,51.65,51.65,"19,888","Jun 08, 2023"
07-06-2023,52.50,52.50,51.20,51.30,51.30,"40,072","Jun 07, 2023"
06-06-2023,51.15,51.80,51.10,51.45,51.45,"25,336","Jun 06, 2023"
05-06-2023,51.65,51.95,51.00,51.15,51.15,"32,903","Jun 05, 2023"
02-06-2023,51.55,51.85,51.00,51.60,51.60,"23,370","Jun 02, 2023"
01-06-2023,51.00,51.90,51.00,51.50,51.50,"38,057","Jun 01, 2023"
31-05-2023,51.90,52.00,50.75,51.25,51.25,"15,250","May 31, 2023"
